Physical Time (s),aphi_alt_flux_top Monitor (kg-m/s^3): top_cv1,aphi_alt_flux_top Monitor (kg-m/s^3): top_cv2,aphi_alt_flux_top Monitor (kg-m/s^3): top_cv3,aphi_alt_flux_top Monitor (kg-m/s^3): top_cv4,aphi_alt_flux_top Monitor (kg-m/s^3): top_cv5,aphi_alt_flux_top Monitor (kg-m/s^3): top_cv6,aphi_alt_flux_top Monitor (kg-m/s^3): top_cv7
0.0025,3.9155295292878491e-14,4.1901987697613969e-14,4.4777543670746453e-14,4.4898163046543626e-14,4.4900253263291107e-14,4.4900319248823462e-14,4.4900320609272595e-14
0.005,1.8291765647565533e-12,1.8972002975037585e-12,2.15317158757659e-12,2.1693686917720099e-12,2.1695722884305819e-12,2.1695753555139358e-12,2.1695753775742276e-12
0.0075,1.7725881584071526e-11,1.3045565062906362e-11,1.3791105712540326e-11,1.4355051806110665e-11,1.436768523388076e-11,1.436783467426773e-11,1.4367834926651163e-11
0.01,9.9169572048315675e-11,5.5289527294236133e-11,1.6185336392050956e-11,1.9450960682725745e-11,1.9726461489465744e-11,1.9731105509720449e-11,1.9731107808555089e-11
0.0125,3.5892635150001981e-10,2.3563807671547367e-10,-4.3582996243942404e-12,-1.6530886401393671e-11,-1.4409556410228244e-11,-1.4333835985993052e-11,-1.43338146427395e-11
0.015,6.707268757908023e-10,5.046707388715094e-10,-6.6100419245713354e-11,-1.8710603798149513e-10,-1.820834361093115e-10,-1.8145507267612791e-10,-1.8145484344933975e-10
0.0175,7.0551177806145234e-10,6.0343428403695406e-10,-1.4140936302875704e-10,-5.0861252169793795e-10,-5.2088884801184368e-10,-5.1844787408877385e-10,-5.1844547101531528e-10
0.02,8.8415018690494255e-10,7.735336921045181e-10,-1.4186807298748968e-10,-6.7370169618975689e-10,-7.1361282041891479e-10,-7.0816520641860316e-10,-7.0815387980568545e-10
0.0225,1.5543362084003904e-09,1.486312258940162e-09,5.2237137335298347e-10,-1.4895443632924287e-10,-2.0025588547037836e-10,-1.9192611706006601e-10,-1.9186939748016404e-10
0.025,5.8573335034728158e-10,5.7685413584794971e-10,6.9761521635656525e-11,-7.0642984806561411e-10,-7.7348515680575535e-10,-7.605702914742217e-10,-7.6033372811964711e-10
0.0275,-1.3445634688958178e-09,-1.3298064712730036e-09,-1.2698788760821584e-09,-1.7659164881828338e-09,-1.925513073942795e-09,-1.9070149776373078e-09,-1.9063480779598308e-09
0.03,-1.9010841370712728e-09,-1.8815818827017883e-09,-1.5175328945924847e-09,-1.4450319643711083e-09,-1.6643911816841631e-09,-1.6680114829029127e-09,-1.6669208024760518e-09
0.0325,-1.5384660100443917e-09,-1.5222870637719798e-09,-1.0992677352432687e-09,-6.0382690487413758e-10,-6.8687757150996086e-10,-7.5642558726739555e-10,-7.5564864636759346e-10
0.035,-8.9222712158087276e-10,-8.8175023169838065e-10,-5.4108820341598294e-10,9.3551467565732114e-11,2.3566410955685913e-10,1.2553391334701794e-10,1.2422025822452108e-10
0.0375,-3.1607618574438394e-10,-3.1332671181582292e-10,-1.1569761682470827e-10,4.4392496030525971e-10,7.3058255660265828e-10,6.6531738166650883e-10,6.5699711887641855e-10
0.04,4.3103614385523458e-11,3.4969492534171998e-11,7.4994581245842853e-11,4.3751977905851296e-10,7.5774877808969724e-10,7.9187554732929756e-10,7.6713562367329882e-10
0.0425,2.8012221640723234e-10,2.6067747451046055e-10,1.5903901599963527e-10,2.9404579209639299e-10,5.5956418689092228e-10,6.9549169036021475e-10,6.5055186141025113e-10
0.045,4.7670429953860232e-10,4.4953039002978484e-10,2.4621687508947555e-10,1.8832086865860452e-10,3.4461977203586954e-10,5.4636922257790288e-10,4.9757444028532241e-10
0.0475,6.2616517219772222e-10,5.9702793127342019e-10,3.4356931632004215e-10,1.5398637715043678e-10,1.9824101140948204e-10,4.0754300565807353e-10,3.7893819645943742e-10
0.05,6.9372859056731497e-10,6.6657781046521667e-10,4.0834458270173875e-10,1.4874031518147503e-10,1.1167368500326585e-10,2.8444139610616693e-10,2.8313469616265204e-10
0.0525,6.5595514636222674e-10,6.351887565412573e-10,4.1012969354112202e-10,1.3767485326373034e-10,5.4838242479474203e-11,1.6013062706451867e-10,1.869292434666197e-10
0.055,5.4084416308642861e-10,5.2637620174278737e-10,3.5121197617417443e-10,1.0728944954712942e-10,7.1214612649558832e-12,4.2227724669311458e-11,8.8436102534794618e-11
