Physical Time (s),drag Monitor (N)
0.0025,0.055857666726090223
0.005,-0.025216928005163251
0.0075,-0.005726330318833117
0.01,-0.0021214217731666458
0.0125,0.0016603727795641149
0.015,0.0013001722577251212
0.0175,0.00036287267113968395
0.02,-0.00022379847416277313
0.0225,-0.00022861025242193727
0.025,-5.7305570838339388e-05
0.0275,0.00010813037180778073
0.03,0.00024171753181307184
0.0325,0.00037771605141163602
0.035,0.00051381073385675115
0.0375,0.0006034395011661085
0.04,0.00060128272405946914
0.0425,0.00051044374773699371
0.045,0.00038211154848072381
0.0475,0.00027431526000825263
0.05,0.00021796305221077612
0.0525,0.00021422594440958479
0.055,0.00024840826561547328
0.0575,0.00030183166957701982
0.06,0.00035670627264311087
0.0625,0.0003984610355887473
0.065,0.00041864696422439461
0.0675,0.00041699172438753853
0.07,0.00040009305730643349
0.0725,0.00037756031578277844
0.075,0.00035796455769169242
0.0775,0.0003465776180488418
0.08,0.00034503271907272725
0.0825,0.00035205157328834186
0.085,0.00036441266128993464
0.0875,0.00037800145268968716
0.09,0.0003889086617174575
0.0925,0.00039448803913537698
0.095,0.00039394873563318997
0.0975,0.00038828496764868272
0.1,0.00037956036732285549
0.1025,0.00037014187468833266
0.105,0.00036209128169798231
0.1075,0.00035687489653605175
0.11,0.00035519716870022005
0.1125,0.0003569127979417535
0.115,0.00036150158024943744
0.1175,0.00036824269015003989
0.12,0.00037616507124352017
0.1225,0.00038422498617688133
0.125,0.00039146173004014895
0.1275,0.00039709731437788951
0.13,0.00040058207036708284
0.1325,0.00040179453742131819
0.135,0.00040090948688043123
0.1375,0.00039823186917188017
0.14,0.00039418914747894787
0.1425,0.00038930654002486539
0.145,0.00038414353213512935
0.1475,0.00037924780330378084
0.15,0.00037515644014605423
0.1525,0.00037229483117686216
0.155,0.00037089711467988481
0.1575,0.0003709419110224992
0.16,0.00037213269071609126
0.1625,0.0003739799440938764
0.165,0.00037593313025360527
0.1675,0.00037751468733261527
0.17,0.00037837230835875539
0.1725,0.00037829828365484571
0.175,0.00037726834306659704
0.1775,0.00037544503690170377
0.18,0.00037313727321240756
0.1825,0.00037071594095324141
0.185,0.00036853924318204652
0.1875,0.0003668731218401875
0.19,0.00036585208556220777
0.1925,0.00036546482882930312
0.195,0.0003655762480829962
0.1975,0.00036596595425490404
0.2,0.00036638396317717795
0.2025,0.00036661187840445755
0.205,0.00036650678805390973
0.2075,0.00036600515796866742
0.21,0.00036511114931398175
0.2125,0.00036390227577391882
0.215,0.00036251383641461716
0.2175,0.00036111039412164617
0.22,0.00035983829086467893
0.2225,0.00035880206139468569
0.225,0.00035804951804600988
0.2275,0.00035756642761205245
0.23,0.00035728746639976112
0.2325,0.00035712358933715215
0.235,0.00035698385764446533
0.2375,0.00035678157079461846
0.24,0.00035643177805217688
0.2425,0.00035618162563302955
0.245,0.00035554230011409767
0.2475,0.00035470811214056974
0.25,0.00035368258371752659
0.2525,0.0003524935615010291
0.255,0.00035125832508429885
0.2575,0.00035040276737552259
0.26,0.00034965784117718408
0.2625,0.00034911936416963342
0.265,0.00034857831704143802
0.2675,0.00034818324735894513
0.27,0.00034780945169355574
0.2725,0.00034751472472641998
0.275,0.00034707196677441981
0.2775,0.00034663186407445589
0.28,0.0003461976217537872
0.2825,0.00034603188118912195
0.285,0.00034585722289839595
0.2875,0.00034576529166574645
0.29,0.00034541438440684424
0.2925,0.00034488197690362126
0.295,0.00034407573952883769
0.2975,0.00034321587505525689
0.3,0.00034246237231728592
0.3025,0.0003419741258532434
0.305,0.00034145122187048444
0.3075,0.00034075441459032341
0.31,0.00034011941339964682
0.3125,0.00033955293543949086
0.315,0.00033897930254939124
0.3175,0.00033853231261179599
0.32,0.00033814209952845572
0.3225,0.00033770937453453083
0.325,0.00033741768550982584
0.3275,0.00033723494909169174
0.33,0.00033704976020277732
0.3325,0.00033680188383464844
0.335,0.00033648977361646796
0.3375,0.00033630567015451398
0.34,0.00033611367194539383
0.3425,0.00033570080500957254
0.345,0.00033519327155758568
0.3475,0.00033464572370830558
0.35,0.00033394578060200652
0.3525,0.00033339259746375307
0.355,0.0003330047375085986
0.3575,0.00033268070378679275
0.36,0.00033234726544622466
0.3625,0.00033199190498385252
0.365,0.00033162587013120569
0.3675,0.00033125696400902862
0.37,0.00033089338312468765
0.3725,0.00033055899588236263
0.375,0.00033039407508293598
0.3775,0.00033012938488941458
0.38,0.00032991907008100407
0.3825,0.00032983700993997
0.385,0.00032986361361488591
0.3875,0.00032993875573243843
0.39,0.00033001909716112601
0.3925,0.0003300838965694168
0.395,0.00033011837817629666
0.3975,0.00033010265334790521
0.4,0.00033001477342544272
0.4025,0.00032983989962562428
0.405,0.00032957530940403031
0.4075,0.00032925383106169272
0.41,0.00032886475283392313
0.4125,0.0003283826130025
0.415,0.00032784960853457078
0.4175,0.0003272304832282014
0.42,0.00032659144502628534
0.4225,0.00032600572513209497
0.425,0.00032544834832385049
0.4275,0.00032492869040804838
0.43,0.00032453143995517524
0.4325,0.00032413960745965678
0.435,0.00032384123398588422
0.4375,0.00032371222593517897
0.44,0.00032358290457738749
0.4425,0.00032341679163000773
0.445,0.00032320181904614488
0.4475,0.00032293520969798066
0.45,0.00032259321137480604
0.4525,0.00032220115758197827
0.455,0.00032180136065881019
0.4575,0.00032142218996021187
0.46,0.00032107039626586681
0.4625,0.00032062067048262935
0.465,0.0003200751992694568
0.4675,0.00031958365511458803
0.47,0.00031916722982257842
0.4725,0.00031878922060107786
0.475,0.00031841437506593658
0.4775,0.00031803522209878027
0.48,0.00031770420185881599
0.4825,0.00031747661983039829
0.485,0.00031726256458201689
0.4875,0.00031704012521256215
0.49,0.00031682858553152123
0.4925,0.00031670200726020473
0.495,0.0003166956524250513
0.4975,0.00031679917476261853
0.5,0.0003169483680718208
0.5025,0.00031715140479856511
0.505,0.00031736572053331846
0.5075,0.00031761132268221648
0.51,0.00031786626640718248
0.5125,0.00031810248508039091
0.515,0.00031829826550364712
0.5175,0.00031845452997307413
0.52,0.00031855344788072931
0.5225,0.00031855891002543081
0.525,0.00031846668394892164
0.5275,0.00031828756263269954
0.53,0.00031803664004343319
0.5325,0.00031772779022168189
0.535,0.00031737175883170114
0.5375,0.00031699004160600999
0.54,0.00031654480154756734
0.5425,0.00031610756715688096
0.545,0.0003157204525868562
0.5475,0.00031539384421179126
0.55,0.00031516692779473066
0.5525,0.00031500522548135368
0.555,0.00031485902814580401
0.5575,0.00031470121440439877
0.56,0.00031454585752640715
0.5625,0.0003144184784303625
0.565,0.00031432749738932936
0.5675,0.00031425952424980725
0.57,0.00031419127975815399
0.5725,0.00031410102697693355
0.575,0.00031397215859879841
