Physical Time (s),ea_left Monitor (kg-m/s^3)
0.0025,-2.4211958033971211e-12
0.005,-7.8444809658952144e-10
0.0075,-2.4710595826971639e-08
0.01,-1.7152137698160891e-07
0.0125,-5.2910705910390874e-07
0.015,-9.3203172897579936e-07
0.0175,-7.8912185371811449e-07
0.02,-2.5799238876826029e-07
0.0225,-2.6176304143442909e-08
0.025,-1.4145495941306345e-07
0.0275,-2.5754249426981775e-07
0.03,-2.3017575285897305e-07
0.0325,-1.2292335349327697e-07
0.035,-3.7230057621084452e-08
0.0375,-3.5000746640975057e-09
0.04,-3.8667148444862292e-09
0.0425,-1.6403968114115884e-08
0.045,-2.6974235593611141e-08
0.0475,-2.9219744286199195e-08
0.05,-2.354972858867088e-08
0.0525,-1.4543660753793005e-08
0.055,-6.9834677888325205e-09
0.0575,-2.9423849716815043e-09
0.06,-1.7095672980928337e-09
0.0625,-1.7955099894576531e-09
0.065,-2.4339748950121984e-09
0.0675,-3.4170988458862556e-09
0.07,-4.3742015910546213e-09
0.0725,-4.7122475155268507e-09
0.075,-4.1498648828203734e-09
0.0775,-3.0425446992322539e-09
0.08,-2.0936455438987348e-09
0.0825,-1.7596340524686772e-09
0.085,-1.9310269089080056e-09
0.0875,-2.1555566783904604e-09
0.09,-2.1495794661786595e-09
0.0925,-2.1146579036790557e-09
0.095,-2.6181617111263672e-09
0.0975,-4.1871564627037893e-09
0.1,-6.9478439816329313e-09
0.1025,-1.053267702433038e-08
0.105,-1.4254973946938464e-08
0.1075,-1.740390091961077e-08
0.11,-1.9500578251918611e-08
0.1125,-2.0407986771971708e-08
0.115,-2.0277376265805782e-08
0.1175,-1.9418999706961633e-08
0.12,-1.815662990595817e-08
0.1225,-1.6759408792738955e-08
0.125,-1.5393926979536497e-08
0.1275,-1.4136911410994317e-08
0.13,-1.2996534148606384e-08
0.1325,-1.1941041599268856e-08
0.135,-1.0926862610370489e-08
0.1375,-9.9198719092601887e-09
0.14,-8.9108884093722065e-09
0.1425,-7.924033024260267e-09
0.145,-7.0119094514508188e-09
