Physical Time (s),ea_right Monitor (kg-m/s^3): right_cv1,ea_right Monitor (kg-m/s^3): right_cv2,ea_right Monitor (kg-m/s^3): right_cv3,ea_right Monitor (kg-m/s^3): right_cv4,ea_right Monitor (kg-m/s^3): right_cv5,ea_right Monitor (kg-m/s^3): right_cv6,ea_right Monitor (kg-m/s^3): right_cv7
0.0025,5.3646870449677187e-06,2.8020393650810942e-09,1.9281599804786491e-13,3.8686528622531706e-16,3.8475009636178953e-18,7.2973562329106387e-21,1.2191368548413146e-23
0.005,1.5294051290775168e-05,1.9124159037813494e-07,1.2792903870148542e-10,1.4337782016264603e-13,6.7725008365396929e-16,4.7332419407425301e-19,3.3671079469089662e-22
0.0075,2.4670215288362545e-06,1.1759753269740022e-06,9.5169075247276053e-09,2.4858151570924861e-11,9.8762010616098276e-14,2.5401268896503349e-17,6.5390304136281709e-21
0.01,5.0544686749879988e-06,2.8288663053950339e-06,1.1049384164133812e-07,1.1522404037437672e-09,7.0287956371487298e-12,1.0773418195796822e-15,9.7737352908971401e-20
0.0125,9.6370438194224552e-06,2.1788214360387116e-06,4.3545192384289613e-07,1.694507943592268e-08,2.2424206905630457e-10,3.6237250098238819e-14,1.2106008782358407e-18
0.015,6.9206946044732737e-06,2.0255437400537438e-07,8.8764349116860814e-07,1.0152922902055359e-07,3.3136891129872171e-09,9.2620771206536308e-13,1.3082106975710252e-17
0.0175,4.2052318683575063e-06,7.7486761537247017e-07,9.1121382948557343e-07,3.0536858918453127e-07,2.4476172657808515e-08,1.7026116861838358e-11,1.2827697147107182e-16
0.02,2.5830851017378182e-06,1.8824889730060985e-06,3.2943359598664359e-07,5.1072595775108557e-07,9.6402432837026124e-08,1.8627872024667486e-10,4.941884888531569e-16
0.0225,1.6281306017513325e-06,9.5092590621932873e-07,4.5287589671556858e-09,4.4118607626303698e-07,2.2585760078934864e-07,1.4394848755213225e-09,1.672631082366245e-15
0.025,1.2582318628448271e-06,2.7185611494569549e-07,3.9785975429529734e-07,1.1894442280202355e-07,3.1496717883596519e-07,7.7138390212224473e-09,7.9231739140579942e-15
0.0275,1.3390237247514509e-06,6.7594281804729902e-08,6.0311587263772557e-07,2.0445753595236251e-08,2.2837506159853581e-07,2.8292532837719863e-08,5.995407488375461e-14
0.03,1.5733971533122517e-06,4.1243904366239382e-08,3.0469545112364324e-07,3.0602984846809314e-07,4.2167709717305855e-08,7.0820939589812983e-08,5.6629498576186801e-13
0.0325,1.7133137831186091e-06,6.2036752042111171e-08,6.4670116661678653e-08,4.76400516469354e-07,2.950576225350498e-08,1.1897399358275973e-07,5.0566027383130107e-12
0.035,1.721408640523166e-06,8.6012557737505021e-08,4.5370214724292146e-09,3.0235293146030263e-07,2.3021247455775348e-07,1.257654314244356e-07,3.7168160306140524e-11
0.0375,1.6960510844337956e-06,9.9744556504356638e-08,1.6178910629605363e-08,8.7005918418773432e-08,3.4969829960215179e-07,6.7175189639534864e-08,2.1456386452476859e-10
0.04,1.723631879135977e-06,9.8716779413073221e-08,3.6863182704037185e-08,6.6388615823324408e-09,2.4521134554122496e-07,4.4859463279101987e-09,9.6134399683516184e-10
0.0425,1.8241550634637713e-06,8.4638146128887531e-08,4.8498511391129986e-08,9.9095463271130681e-09,8.3745872022002713e-08,2.8646270293691629e-08,3.3387425537059089e-09
0.045,1.9762782955982511e-06,6.4595927541248843e-08,4.7094487314368521e-08,2.8137576031380633e-08,7.8623392331457725e-09,1.2634458628848197e-07,8.982013351127074e-09
0.0475,2.1527981273863042e-06,4.6491025419066348e-08,3.5150957821195383e-08,3.6763178972371066e-08,5.5274988149481171e-09,1.8471768076954977e-07,1.8611620376118289e-08
0.05,2.3393776860670513e-06,3.4658533982757582e-08,1.9719280916071634e-08,3.3664153349233665e-08,2.1691992607811451e-08,1.4533149907248334e-07,2.920153076750569e-08
0.0525,2.5346451163840329e-06,2.8831269644400883e-08,7.7565447852521324e-09,2.3260455998159349e-08,2.9520807037697802e-08,6.3035575328044799e-08,3.3292116375829328e-08
0.055,2.7398441509681543e-06,2.6779959139522555e-08,1.9641721212372035e-09,1.1650077221054853e-08,2.631065368337773e-08,1.0134008644369183e-08,2.4863400405030705e-08
0.0575,2.9519050801548697e-06,2.7347415569937669e-08,6.0458964883796589e-10,3.6065100550066792e-09,1.7252445264964665e-08,8.714218452378799e-10,8.574780728263971e-09
0.06,3.1661282122622735e-06,3.0659199466705814e-08,6.4966152413036949e-10,3.8958195691944189e-10,8.014020623544202e-09,1.0675198535642245e-08,1.7982061156594847e-10
0.0625,3.3821646018952361e-06,3.6443631067397376e-08,7.2042262036802606e-10,1.5433738595648506e-10,2.1329535350530234e-09,1.7932147312268148e-08,1.2037776723702941e-08
0.065,3.6051403203873166e-06,4.31866217639038e-08,1.255686155723691e-09,4.4184921218332811e-10,1.1214859801831284e-10,1.6942173993239171e-08,3.7865633866010874e-08
0.0675,3.8413260109702577e-06,4.8885144549645493e-08,2.8029665096544075e-09,2.6868421944702116e-10,2.3059939068939133e-10,1.1087927756268547e-08,5.6724298864362415e-08
0.07,4.0932121167322951e-06,5.2260275694721863e-08,4.9031887762183646e-09,1.3844555943502757e-10,5.3556437908015099e-10,5.0122582872235933e-09,5.3719912684135626e-08
0.0725,4.3581984702880977e-06,5.3300141496030054e-08,6.4883454965735681e-09,6.8226246983785504e-10,3.2579726226311657e-10,1.2747439465216639e-09,3.3333884541798433e-08
0.075,4.6307067791749696e-06,5.2924136715818076e-08,6.8502163993080763e-09,1.7344771810784622e-09,5.2664504443345005e-11,4.8980955548317152e-11,1.1867422731330287e-08
0.0775,4.9050461290768348e-06,5.2263590584737256e-08,6.0808951267959878e-09,2.5815591914328586e-09,2.5522194027660116e-10,1.5703886433587423e-10,1.0480990112913653e-09
0.08,5.1770929536940166e-06,5.2142551395624676e-08,4.7923922392227524e-09,2.7050415848167463e-09,8.5899035372382211e-10,3.8882348119968057e-10,9.2496084484558484e-10
0.0825,5.4444024941244519e-06,5.2945870627325354e-08,3.5914822131915352e-09,2.151158268118472e-09,1.3579229009846312e-09,2.8620435492995927e-10,4.8292582438705348e-09
0.085,5.7058133266250526e-06,5.4706972199635361e-08,2.7761562001026346e-09,1.3411229348685912e-09,1.3790513310187433e-09,6.1032400351042822e-11,7.1106519380067512e-09
0.0875,5.9609147543442841e-06,5.7221598980635122e-08,2.3545108968546989e-09,6.7730314027280433e-10,9.717880481865002e-10,2.6970562227900624e-11,6.3378457042249746e-09
0.09,6.2093117025913318e-06,6.0134620138114148e-08,2.2052080775371688e-09,3.1791462888573673e-10,4.6019708807706149e-10,1.9972115704727319e-10,3.9276265855022302e-09
0.0925,6.4498006412778723e-06,6.3029643302390237e-08,2.1960899731291437e-09,2.0816474989194948e-10,1.3184954459512637e-10,3.5576708581294059e-10,1.6756866673350518e-09
0.095,6.6798770628819758e-06,6.5531638477161153e-08,2.2233873818821866e-09,2.244987941173696e-10,6.6979721795662108e-11,3.2413831263370895e-10,4.1241615694637996e-10
0.0975,6.89581096681432e-06,6.7386003722628639e-08,2.2196486752519144e-09,2.7617744322926394e-10,1.7960893923885931e-10,1.4970224004252516e-10,2.2288170593865537e-11
0.1,7.0933587961157781e-06,6.8492285151158089e-08,2.1602924243364842e-09,3.2501741999109526e-10,3.4641715416410682e-10,1.4678264387954817e-11,3.571017894048604e-11
0.1025,7.2688204877849624e-06,6.8902069895716883e-08,2.0606422174483968e-09,3.6523255488085776e-10,4.9253140474250313e-10,6.2620567669213644e-11,9.8599990256683897e-11
0.105,7.4200837309677779e-06,6.8803529066511036e-08,1.9559701015222884e-09,4.0136140144027089e-10,6.0136286121915255e-10,3.0137530268923862e-10,9.8494440806740894e-11
0.1075,7.5470593185055636e-06,6.8509146533250884e-08,1.8795650456351019e-09,4.3218088640584387e-10,6.8484810049686111e-10,6.3304543384381816e-10,6.3774013229020294e-11
0.11,7.651549953841693e-06,6.8433175275357945e-08,1.8614848464370435e-09,4.4044619755079171e-10,7.5287856518340115e-10,9.4370255119306012e-10,3.726470149005354e-11
