Physical Time (s),ea_top Monitor (kg-m/s^3): top_cv1,ea_top Monitor (kg-m/s^3): top_cv2,ea_top Monitor (kg-m/s^3): top_cv3,ea_top Monitor (kg-m/s^3): top_cv4,ea_top Monitor (kg-m/s^3): top_cv5,ea_top Monitor (kg-m/s^3): top_cv6,ea_top Monitor (kg-m/s^3): top_cv7
0.0025,1.865012950656374e-18,1.850070039684244e-18,1.8267733825137721e-18,1.8262311978798892e-18,1.8262298314243345e-18,1.8262298278482574e-18,1.8262298278471639e-18
0.005,3.9879456510171806e-15,3.690844251768738e-15,3.3380623010456249e-15,3.332700290021843e-15,3.3326945966982835e-15,3.332694591038939e-15,3.332694591038668e-15
0.0075,5.8250658920723006e-13,4.5344966108309904e-13,3.1078532565947213e-13,3.0509066226635913e-13,3.0508133162126466e-13,3.0508132469806616e-13,3.0508132469801481e-13
0.01,1.4826593141507064e-11,9.4410032559985451e-12,4.8541030406454014e-12,4.2697160691597489e-12,4.2669777982332169e-12,4.2669745938666748e-12,4.2669745938591704e-12
0.0125,1.335323355489712e-10,7.3016293813534003e-11,3.9205084183270982e-11,2.6902640176265333e-11,2.6719469797045515e-11,2.6718976463770688e-11,2.6718976462838116e-11
0.015,5.822362066974503e-10,2.9326641653068606e-10,1.9569289118854721e-10,1.0753584668024448e-10,1.036390272538642e-10,1.0361154393496633e-10,1.0361154384071204e-10
0.0175,1.406760574344825e-09,7.3647105012757624e-10,5.7673353565873114e-10,3.0194480417637378e-10,2.6797488396247093e-10,2.6733678306321592e-10,2.6733677625282515e-10
0.02,1.8444917632812393e-09,1.1252996569959354e-09,8.5254428064623245e-10,4.6021896586789365e-10,3.1853299865081074e-10,3.1174109773391513e-10,3.1174087662705131e-10
0.0225,1.1500506093130371e-09,8.4553964720588072e-10,4.4382029738047142e-10,2.2145221455138691e-10,-7.6289673943805752e-11,-1.1447763026621473e-10,-1.1448320426860128e-10
0.025,5.751684856756857e-11,3.4318433584680309e-11,-2.0588910247130165e-10,-2.7432407128215665e-10,-5.7249286093786563e-10,-6.9199806279326768e-10,-6.9208964904257145e-10
0.0275,-6.5394098911667035e-10,-6.3997761952206501e-10,-5.9452916818127337e-10,-6.7583223053732705e-10,-7.9257638729231382e-10,-1.004917665763309e-09,-1.0058260622475435e-09
0.03,-6.6155739810185318e-10,-6.5838680803365426e-10,-5.4986128804917503e-10,-5.1371629491591947e-10,-5.4143512789748655e-10,-7.5963783428444002e-10,-7.6509969914243827e-10
0.0325,-2.6086038689368673e-10,-2.6078865608292577e-10,-2.1943976989319982e-10,-3.6064754195117826e-11,-5.1033306232854922e-11,-1.9658848301329357e-10,-2.1685567635229757e-10
0.035,-3.861919660179619e-11,-3.7680443820016055e-11,-3.2591496346272123e-11,1.1697528198740196e-10,2.1758741981395287e-10,1.3387755458595304e-10,8.7018951769332818e-11
0.0375,-1.9550155002975577e-12,-1.7296058818896473e-12,5.0078922094494484e-14,4.8846278828587067e-11,2.3619934805139442e-10,2.2162376748268945e-10,1.5390840538257121e-10
0.04,2.3826150087996663e-13,-6.635720524897639e-13,-2.530261330180333e-13,5.296803765241863e-12,1.3370023731239186e-10,2.1653398974815883e-10,1.5289872585364327e-10
0.0425,3.1192360714231572e-12,2.3863123509817688e-12,-1.3409939372738636e-12,-4.0445152095966632e-13,3.7919689981785501e-11,1.8603657125703529e-10,1.370757165490193e-10
0.045,4.8636959647511943e-12,4.6860553087053914e-12,-1.1250370059411025e-12,-3.3135799429065119e-12,7.0381146495781052e-13,1.5757762601144329e-10,1.1588984268719624e-10
0.0475,4.857396415330027e-12,4.2471688279031056e-12,-2.0584333739303053e-13,-7.4941939138212484e-12,-7.1473794417833277e-12,1.161744813595334e-10,9.4783803914986571e-11
0.05,4.3347706759442449e-12,2.6486147624217174e-12,6.0640184987157595e-13,-7.874572794350926e-12,-1.0570301721187645e-11,5.6063774971188666e-11,7.8383273507396427e-11
0.0525,4.0083442205918211e-12,1.7575885023098295e-12,9.9439490865978631e-13,-4.6499301261538158e-12,-1.0904711082404358e-11,9.2116942163558733e-12,6.8457642253747215e-11
0.055,3.6349284741927643e-12,1.6404226505800825e-12,1.0413166511656246e-12,-1.2158971329713851e-12,-7.4297915465042423e-12,-7.0556037930780344e-12,6.265750385447228e-11
0.0575,2.8860189339734423e-12,1.4905755105760414e-12,8.6472538471736225e-13,3.9225865488023366e-13,-3.2279808529532737e-12,-7.3904948214348163e-12,5.6734373976230014e-11
0.06,1.9918381614099402e-12,1.1021921186307917e-12,6.2720833083718291e-13,5.8021085411794722e-13,-6.7073209657836024e-13,-6.0208399255750577e-12,4.9423300885944726e-11
0.0625,1.3946994557642418e-12,7.9567281581463751e-13,5.1962033377482559e-13,4.7958149546783211e-13,2.6939236950758605e-13,-4.8459435993731303e-12,4.2935213781720012e-11
0.065,1.2267442048287436e-12,7.3275916586529559e-13,5.8624426633510353e-13,5.555863697101206e-13,5.3997325761568936e-13,-2.8830356548907051e-12,3.7054467146410972e-11
0.0675,1.3764127121918245e-12,8.3125426503368305e-13,7.4077108376616478e-13,7.3279756424233477e-13,7.1912785160533215e-13,-8.2849604013451703e-13,2.7961842565323242e-11
0.07,1.8062158953156461e-12,1.0376430890108682e-12,9.4315359850496791e-13,9.4153462561848691e-13,9.3976339692100573e-13,4.9865616229869454e-13,1.5589432223590222e-11
0.0725,2.5736521159346171e-12,1.3683517984502878e-12,1.210977007754328e-12,1.1926161619247684e-12,1.1961550402307819e-12,1.1379633369407211e-12,5.449377036276342e-12
0.075,3.6685126929064016e-12,1.8016504995071579e-12,1.5146873916045736e-12,1.4551146317834684e-12,1.4544187617889681e-12,1.4653898781625655e-12,1.1047290696521697e-12
0.0775,4.9161733056928641e-12,2.2191149580302567e-12,1.7156926191305726e-12,1.6204776393227919e-12,1.6072556585226788e-12,1.6264055852272278e-12,6.021157842303219e-13
0.08,5.9405227935312334e-12,2.3425706838308778e-12,1.518364028555912e-12,1.4308239415746416e-12,1.3898377051185528e-12,1.4102042863105638e-12,6.5105384332273055e-13
0.0825,6.2575033297148344e-12,1.7617576300438661e-12,5.1922156619003128e-13,4.7346057537864063e-13,4.0857216536670658e-13,4.155845390511993e-13,-1.5277105140896138e-13
0.085,5.5770208008718202e-12,1.9751142168372998e-13,-1.5351075457006481e-12,-1.5560922522411701e-12,-1.6126626346736006e-12,-1.6283010162686727e-12,-1.9780225412020609e-12
0.0875,4.0734975081407979e-12,-2.2092565407326936e-12,-4.4817685272611961e-12,-4.5367239990249354e-12,-4.5599516308915377e-12,-4.5923480907195413e-12,-4.7149454765548653e-12
0.09,2.3084459297610529e-12,-4.9218404199272674e-12,-7.7742091029607615e-12,-7.926231950036882e-12,-7.9312879462510436e-12,-7.9644553260580964e-12,-7.9677773448885415e-12
0.0925,8.7521674132827641e-13,-7.3083730965682406e-12,-1.0766291112542465e-11,-1.1055831297853168e-11,-1.1090195781155792e-11,-1.1111395553193682e-11,-1.1095705999984043e-11
0.095,1.209016724848618e-13,-8.8886271713251349e-12,-1.2932508703527171e-11,-1.3370331826372509e-11,-1.3480193337588801e-11,-1.3500329179783384e-11,-1.3497408495990512e-11
0.0975,1.2638670651634342e-13,-9.3648316981885322e-12,-1.3881261365523643e-11,-1.4451800130490349e-11,-1.4655856030690611e-11,-1.471967787009788e-11,-1.472551103184247e-11
0.1,8.1337243785060219e-13,-8.5830970196232222e-12,-1.3324936417769749e-11,-1.399070508828641e-11,-1.4275913428592673e-11,-1.444069742118882e-11,-1.4450421412680469e-11
0.1025,1.9973521346642954e-12,-6.5944136940843355e-12,-1.1186981565860385e-11,-1.1890938738970396e-11,-1.2223862649053758e-11,-1.2518146828069845e-11,-1.2539819200849628e-11
0.105,3.3843202308232853e-12,-3.7609945938205771e-12,-7.7814618149335763e-12,-8.450754565039801e-12,-8.7913116395114473e-12,-9.1906453635809457e-12,-9.2485142486901988e-12
0.1075,4.6125863370347357e-12,-7.2839332268389528e-13,-3.8432039069645161e-12,-4.4018297380947783e-12,-4.7118786433549241e-12,-5.1505613048415565e-12,-5.2752214892122363e-12
0.11,5.3816029837246436e-12,1.8124010487256019e-12,-2.7793589624793174e-13,-6.7121723571723409e-13,-9.1934951359045875e-13,-1.3227429889273492e-12,-1.5293764150108947e-12
0.1125,5.594507180258792e-12,3.4508164584751871e-12,2.263541919664001e-12,2.0447327302483651e-12,1.8776076334761266e-12,1.5665540758103461e-12,1.2947812253872075e-12
0.115,5.3634346581714282e-12,4.1770899102604976e-12,3.6224810954114138e-12,3.5379723059003175e-12,3.4516913778401285e-12,3.2619024232882606e-12,2.9725933297764796e-12
0.1175,4.9003061236310714e-12,4.25481390804166e-12,4.049186574313174e-12,4.0338665601924521e-12,4.0070608291517404e-12,3.9385365443932316e-12,3.6955956055791196e-12
0.12,4.4193731781141833e-12,4.0274575559799686e-12,3.9635898893590311e-12,3.9618868916017883e-12,3.9622217253835887e-12,3.9886075051058584e-12,3.8544722676209697e-12
0.1225,4.1056381788599907e-12,3.7935213298333247e-12,3.7498929427086884e-12,3.7289833857296223e-12,3.7321495278833567e-12,3.808419449743955e-12,3.8266132142294786e-12
0.125,4.1039591762257913e-12,3.7504588004777338e-12,3.6551852748830303e-12,3.5836845215255099e-12,3.5846916824971813e-12,3.6637753760790136e-12,3.8436244600710103e-12
0.1275,4.446306603401279e-12,3.9163696339225945e-12,3.7203537885954147e-12,3.5345764951725292e-12,3.5362171216600491e-12,3.5895802410023961e-12,3.8999868994610398e-12
0.13,4.9409692022644288e-12,4.0275997925368568e-12,3.7050951709739392e-12,3.3011460861125726e-12,3.2847006658383813e-12,3.3114350827648707e-12,3.6902046684785299e-12
0.1325,5.1503682282693722e-12,3.5369929224146833e-12,3.0912348607896602e-12,2.359349970153033e-12,2.2630447309001564e-12,2.2760626535480537e-12,2.652221622508277e-12
0.135,4.5652389940222968e-12,1.8362626332501415e-12,1.2866904423503536e-12,1.6721295528970399e-13,-1.0432529844719946e-13,-1.0749096382331412e-13,2.1027203640982789e-13
0.1375,2.9195261302309439e-12,-1.357430686839591e-12,-2.0021965056349556e-12,-3.4789010574314656e-12,-4.0148155864018708e-12,-4.0738355002146479e-12,-3.841236983134401e-12
0.14,4.3236030988865681e-13,-5.7010549521272616e-12,-6.4612154350741592e-12,-8.1753545926709921e-12,-9.0123635558187186e-12,-9.1993475070299376e-12,-9.0505998996367701e-12
0.1425,-2.218894268056913e-12,-1.0257231868084416e-11,-1.1174417122794764e-11,-1.2955444776008169e-11,-1.4053666664558385e-11,-1.4442505283115655e-11,-1.4359792101070468e-11
0.145,-4.2096140312024718e-12,-1.3894378627280114e-11,-1.5004957684420262e-11,-1.6685210117571691e-11,-1.793863703558289e-11,-1.8567940041494646e-11,-1.8530898837442597e-11
0.1475,-4.9448375585921233e-12,-1.5785690422250039e-11,-1.7096778843387535e-11,-1.8553717164261959e-11,-1.9826293586525697e-11,-2.0677967502836857e-11,-2.0672931470489486e-11
0.15,-4.2599936217459963e-12,-1.5685176706326565e-11,-1.7170446515059049e-11,-1.8343788932161866e-11,-1.9510881943537586e-11,-2.0513700820320887e-11,-2.0535416056148265e-11
0.1525,-2.385444497441564e-12,-1.3891181161740987e-11,-1.5505880034941705e-11,-1.6391408991218955e-11,-1.7369038458926425e-11,-1.8421533398236205e-11,-1.8469100231234559e-11
0.155,2.3199090582835763e-13,-1.1013667892609305e-11,-1.2716211754606456e-11,-1.3346987590844392e-11,-1.4101300917597091e-11,-1.5100927460856589e-11,-1.5172504047662462e-11
0.1575,3.1204387519665646e-12,-7.7145166488163027e-12,-9.4825890567854023e-12,-9.9087519563127448e-12,-1.0448529615645242e-11,-1.1315479369848595e-11,-1.1406350111558116e-11
0.16,5.9086235547604316e-12,-4.5302786019673493e-12,-6.3667664711938899e-12,-6.6404520388804631e-12,-7.0007419339657454e-12,-7.6903395077743299e-12,-7.7959559429361214e-12
0.1625,8.3671751380721932e-12,-1.8066625607391976e-12,-3.7370668530738449e-12,-3.9040011160971926e-12,-4.1293694495984005e-12,-4.6325763083064034e-12,-4.7537541047041644e-12
0.165,1.0390035392783576e-11,2.8481032882804169e-13,-1.7804116234574053e-12,-1.8768702824592038e-12,-2.0093548042785546e-12,-2.3445977075840376e-12,-2.4895640924174673e-12
0.1675,1.1950515491537013e-11,1.6944235560091622e-12,-5.5277468181505115e-13,-6.0570154997974187e-13,-6.7887701600945231e-13,-8.8020768392282899e-13,-1.0601040997782343e-12
0.17,1.3064052625938274e-11,2.4497961113700665e-12,-2.227800347852413e-14,-5.0715194601724006e-14,-8.8514515175821137e-14,-1.9451168933690633e-13,-4.1422855124108284e-13
0.1725,1.3771283301093286e-11,2.6349192312675897e-12,-8.8883905146554749e-14,-1.0555941062187209e-13,-1.2367747036065597e-13,-1.6963891601823946e-13,-4.2004434982056611e-13
0.175,1.4134066725076357e-11,2.3820375512396667e-12,-5.9288852833331236e-13,-6.0546693110024678e-13,-6.1353792499726667e-13,-6.2747270407073239e-13,-8.8482147538135803e-13
0.1775,1.4238168846648483e-11,1.8631213074754471e-12,-1.3276281117906819e-12,-1.3396948087848444e-12,-1.3432508016322166e-12,-1.3447931131925894e-12,-1.5785299887081923e-12
0.18,1.4188679784531353e-11,1.2678002957130194e-12,-2.0699864853338981e-12,-2.0821953475294897e-12,-2.0841475931077639e-12,-2.0851264692208598e-12,-2.2700963460662324e-12
0.1825,1.4099625161418999e-11,7.7305841045971402e-13,-2.620856119988832e-12,-2.6326346878313425e-12,-2.6344265762199248e-12,-2.6401695299032946e-12,-2.7666354669532579e-12
0.185,1.4079086202157438e-11,5.1425825512436862e-13,-2.8413776486054046e-12,-2.8531006563056006e-12,-2.8557404658697985e-12,-2.8667194569018175e-12,-2.9431471319745171e-12
0.1875,1.4216040864993674e-11,5.6872326946515832e-13,-2.6701960229811443e-12,-2.6851224748005545e-12,-2.6901252412016668e-12,-2.7038653395595198e-12,-2.7516452304440766e-12
0.19,1.457282148900057e-11,9.5600344549171777e-13,-2.1174975950367754e-12,-2.1425363111179898e-12,-2.1525664357474587e-12,-2.1657135658051073e-12,-2.2090512724490555e-12
0.1925,1.5183778947616687e-11,1.6509360674413209e-12,-1.2428460040091233e-12,-1.287645411576813e-12,-1.3065641211669606e-12,-1.3167753190726044e-12,-1.372817476559569e-12
0.195,1.60573863764376e-11,2.6006597548657969e-12,-1.2987711061232073e-13,-2.0457271215537144e-13,-2.3676839161461759e-13,-2.4389492641401144e-13,-3.1730417530204912e-13
0.1975,1.7178121086498377e-11,3.737436559985217e-12,1.1312797391447576e-12,1.0186650431497039e-12,9.6941698721682534e-13,9.6331844943597863e-13,8.7972223084745262e-13
0.2,1.8506579502086265e-11,4.9841369194591513e-12,2.4503324711948988e-12,2.2957731266493761e-12,2.2273559892555729e-12,2.2192301685983141e-12,2.1390365110104203e-12
0.2025,1.9977728402026882e-11,6.2528615312258211e-12,3.7335728987336389e-12,3.5376500216769776e-12,3.4499751281283484e-12,3.4376112902026308e-12,3.3737601408600509e-12
0.205,2.1498776399396874e-11,7.4400353970388001e-12,4.8763424225969478e-12,4.6436827999380231e-12,4.5381544911936241e-12,4.5216112475755721e-12,4.4810631395008333e-12
