Physical Time (s),enth_flux_enthalpy_bot Monitor (kg-m/s^3): bot_cv1,enth_flux_enthalpy_bot Monitor (kg-m/s^3): bot_cv2,enth_flux_enthalpy_bot Monitor (kg-m/s^3): bot_cv3,enth_flux_enthalpy_bot Monitor (kg-m/s^3): bot_cv4,enth_flux_enthalpy_bot Monitor (kg-m/s^3): bot_cv5,enth_flux_enthalpy_bot Monitor (kg-m/s^3): bot_cv6,enth_flux_enthalpy_bot Monitor (kg-m/s^3): bot_cv7
0.0025,4.7000366968124438e-11,4.9605206834646992e-11,5.1105642084561934e-11,5.1139712377258782e-11,5.1140516894137443e-11,5.1140583238466688e-11,5.1140584980629387e-11
0.005,8.7752291882764861e-09,1.0561893421117993e-08,1.1557990194077144e-08,1.157646046561886e-08,1.1576632808479793e-08,1.1576638316201423e-08,1.1576638342861752e-08
0.0075,2.2589787525393238e-07,3.0227230245854108e-07,3.6264238807211761e-07,3.6475412327137841e-07,3.6477457137149659e-07,3.6477485949689838e-07,3.6477485937003614e-07
0.01,1.6315347333810664e-06,2.1939516890316334e-06,2.8686307541825389e-06,2.920701284729022e-06,2.9216173559703619e-06,2.9216282339928145e-06,2.921628226628062e-06
0.0125,5.5830305229918596e-06,7.1251983613191742e-06,9.884104289838293e-06,1.0322529737225076e-05,1.0338663494575135e-05,1.0338928176334257e-05,1.0338928090033682e-05
0.015,1.1530593770723483e-05,1.3720402445637236e-05,1.9606615030164287e-05,2.137439088682197e-05,2.1508115358750233e-05,2.1511918533655147e-05,2.1511918280136214e-05
0.0175,1.4572389953435264e-05,1.5843816407826014e-05,2.2750687066664701e-05,2.6823141387725784e-05,2.7434009055388623e-05,2.7466531450298693e-05,2.7466538671799861e-05
0.02,9.4104931436623494e-06,9.0034685520812302e-06,1.2260896197386265e-05,1.774184044474321e-05,1.9395167909051324e-05,1.9557807492357884e-05,1.9557919282409705e-05
0.0225,-4.5820187120064821e-07,-1.094997276274927e-06,-2.3934010535942848e-06,1.3459351387298496e-06,4.2025359470373347e-06,4.7608594373443864e-06,4.7618909695437933e-06
0.025,-9.5162459936102048e-07,-1.0450552903492721e-06,-2.6888617529681861e-06,-2.5559812653635977e-06,4.0991845092223221e-07,1.7292598530011381e-06,1.7364075386824634e-06
0.0275,6.1914069625967942e-06,6.2758150593727968e-06,6.6047996152591945e-06,5.3370218816003498e-06,6.7406636338832836e-06,8.900714810110262e-06,8.9369656685337169e-06
0.03,8.0328770247321807e-06,8.0917740785829344e-06,9.376237344362376e-06,9.6391347486385104e-06,9.3250086229658054e-06,1.175397975228504e-05,1.1888133875566039e-05
0.0325,4.4260701549072365e-06,4.439310719066241e-06,5.3537527542179685e-06,7.1999079569076118e-06,6.831608111346801e-06,8.6461272976817424e-06,9.0130368190189945e-06
0.035,1.3471505634001978e-06,1.3295908684851026e-06,1.5639417679780119e-06,3.2973655604903122e-06,4.1369711098624613e-06,5.0072412438382398e-06,5.7582652837488491e-06
0.0375,2.3666099467114069e-07,2.2622491100265907e-07,1.103672246338245e-07,7.808232332560948e-07,2.3276949949454103e-06,2.7506297440002078e-06,3.9115009291731912e-06
