Physical Time (s),enth_flux_enthalpy_top Monitor (kg-m/s^3): top_cv1,enth_flux_enthalpy_top Monitor (kg-m/s^3): top_cv2,enth_flux_enthalpy_top Monitor (kg-m/s^3): top_cv3,enth_flux_enthalpy_top Monitor (kg-m/s^3): top_cv4,enth_flux_enthalpy_top Monitor (kg-m/s^3): top_cv5,enth_flux_enthalpy_top Monitor (kg-m/s^3): top_cv6,enth_flux_enthalpy_top Monitor (kg-m/s^3): top_cv7
0.0025,4.8898073084586914e-11,5.1491839876846336e-11,5.3039358562047806e-11,5.3084575768847174e-11,5.3085726287268326e-11,5.3085829851183724e-11,5.3085835219000514e-11
0.005,9.3835201314004534e-09,1.1178730090354489e-08,1.2195982254193714e-08,1.2216645189383857e-08,1.2216856389782223e-08,1.2216863541841296e-08,1.2216863725707454e-08
0.0075,2.3242963478447646e-07,3.0898744265038546e-07,3.6998199987051342e-07,3.7217330414452743e-07,3.7219537797735915e-07,3.7219569418319243e-07,3.7219569672507959e-07
0.01,1.6538121536762799e-06,2.2170359672597069e-06,2.8936486603370467e-06,2.9462486559686434e-06,2.9471867528206078e-06,2.9471979215533005e-06,2.947197944748474e-06
0.0125,5.6320882823862787e-06,7.1795065293358764e-06,9.938051648325174e-06,1.0376555385454144e-05,1.0392756625654345e-05,1.0393023965381114e-05,1.0393024154346433e-05
0.015,1.1554721327229465e-05,1.3762005270559627e-05,1.9647584127452686e-05,2.1409879658240741e-05,2.154333247882915e-05,2.1547157974876862e-05,2.1547159788961168e-05
0.0175,1.4585021086965614e-05,1.5880892010473072e-05,2.2795053082180027e-05,2.6852666852878669e-05,2.7461482601161741e-05,2.7494107765462672e-05,2.7494127634269515e-05
0.02,9.3727285016197647e-06,8.9774634686886683e-06,1.2249156476346397e-05,1.7716762294836264e-05,1.9361603486661891e-05,1.9524268817057154e-05,1.9524396467895872e-05
0.0225,-4.4209087014957833e-07,-1.0774861363257235e-06,-2.3605212859205145e-06,1.3819799504780076e-06,4.2300701533856541e-06,4.7867818597798844e-06,4.787811196578009e-06
0.025,-1.0683517123741251e-06,-1.151930344906571e-06,-2.7850147845042979e-06,-2.6401628922176707e-06,3.2500204611749265e-07,1.6414812693990864e-06,1.64857054616053e-06
0.0275,6.1429182164034817e-06,6.2323920640712522e-06,6.5700781828839202e-06,5.3096211736799375e-06,6.7215754765273887e-06,8.8815289124082202e-06,8.9176380879958301e-06
0.03,8.112640207018007e-06,8.1703564914671442e-06,9.4567250285439402e-06,9.7205690694782671e-06,9.4152509113229607e-06,1.1848820742259702e-05,1.1982837963643686e-05
0.0325,4.4840871405187767e-06,4.4943790967827297e-06,5.4021033842927497e-06,7.2476818531324838e-06,6.8829232470672128e-06,8.7028163709731831e-06,9.0700766241847088e-06
0.035,1.3637858848959595e-06,1.3458308806269061e-06,1.5731336162706692e-06,3.3059650520562985e-06,4.1484744127925451e-06,5.022171395167813e-06,5.775267453628307e-06
0.0375,2.4040975336700188e-07,2.3204016838082758e-07,1.1437135689957806e-07,7.8298141629110224e-07,2.3363955270475285e-06,2.7635008405431378e-06,3.9296873630056216e-06
0.04,2.626588789779433e-08,1.0561237321271359e-07,7.1732906658351859e-08,-2.4148701437719787e-08,1.0709002668461928e-06,1.7191903686036342e-06,3.0955015539864091e-06
0.0425,9.7946067357953556e-09,2.1887476788256233e-07,5.0731324570006985e-07,3.2812794557683634e-07,5.743118423288377e-07,1.6161112927472704e-06,2.8862035021469405e-06
0.045,9.2695115650315545e-09,2.8462882054176686e-07,8.4435471613324047e-07,9.4984836637618554e-07,7.762033742963775e-07,1.9188767784785861e-06,2.9221698895061124e-06
0.0475,2.1065623855586472e-08,2.5238402646806832e-07,8.4087412382372971e-07,1.1985165121818343e-06,1.09350903518574e-06,1.9919093350699201e-06,2.8264566832119061e-06
0.05,6.3259025011740733e-08,1.8511407891765317e-07,5.7526704489845813e-07,9.6648667593089369e-07,1.0658952065595667e-06,1.5991302683470639e-06,2.446031499835648e-06
0.0525,1.2337305682952149e-07,1.4013577808964297e-07,2.5840972159291442e-07,4.9525751822252498e-07,6.7917627701241403e-07,9.3958976563235319e-07,1.8776993773771897e-06
0.055,1.6553575810645042e-07,1.1746013168998816e-07,3.4117299768551996e-08,6.4071954997248998e-08,1.8306243119647504e-07,3.1042394835092752e-07,1.3253116603802998e-06
0.0575,1.6390137231632086e-07,8.9104992115915268e-08,-7.6504277203693643e-08,-1.8403640797434347e-07,-1.8699470054414017e-07,-1.2592301665805512e-07,9.4872289139229107e-07
0.06,1.3049705001622394e-07,5.1020256324640351e-08,-1.1071898226200372e-07,-2.472291881468259e-07,-3.3371518803665791e-07,-3.3063725519980083e-07,7.8398916482142545e-07
0.0625,1.0290734994450672e-07,2.9534083464768978e-08,-9.7539306565235762e-08,-1.93411842435446e-07,-2.8917747678253091e-07,-3.273658771341476e-07,7.4492029456582922e-07
