Physical Time (s),enth_flux_viscous_bot Monitor (kg-m/s^3): bot_cv1,enth_flux_viscous_bot Monitor (kg-m/s^3): bot_cv2,enth_flux_viscous_bot Monitor (kg-m/s^3): bot_cv3,enth_flux_viscous_bot Monitor (kg-m/s^3): bot_cv4,enth_flux_viscous_bot Monitor (kg-m/s^3): bot_cv5,enth_flux_viscous_bot Monitor (kg-m/s^3): bot_cv6,enth_flux_viscous_bot Monitor (kg-m/s^3): bot_cv7
0.0025,6.5796168940140364e-11,5.5806831856690835e-11,4.7118581843755583e-11,4.6189125136885425e-11,4.6109583223327025e-11,4.6099145062581737e-11,4.6098829404015455e-11
0.005,8.0855609030176459e-10,5.6759273431103071e-10,3.6682549925081603e-10,3.4668408682056258e-10,3.4540474932838717e-10,3.4529827156719054e-10,3.4529760370640276e-10
0.0075,4.5419642203724307e-09,3.0791424425453777e-09,1.5614473573058875e-09,1.3403093587326922e-09,1.3244490574290319e-09,1.3233873866815492e-09,1.3233883961834178e-09
0.01,1.5155189098680883e-08,1.1594817060843495e-08,6.7973383061031469e-09,5.6898469651461295e-09,5.5766132369971104e-09,5.568469818371888e-09,5.5684904144500179e-09
0.0125,3.5484343561840252e-08,3.0243868828915859e-08,2.0959706671005266e-08,1.7790288131681398e-08,1.7296154711130079e-08,1.7249999229309642e-08,1.72501103956066e-08
0.015,6.182065806415921e-08,5.621013925898569e-08,4.2364281250679607e-08,3.6058731212546648e-08,3.4609334045385755e-08,3.4415218183579658e-08,3.441546705311035e-08
0.0175,7.9438469608669267e-08,7.4696766746613454e-08,5.7013331891148917e-08,4.6937155505121757e-08,4.3802192076100715e-08,4.3181853421594303e-08,4.3181039583380685e-08
0.02,6.917254650816495e-08,6.6371899338017958e-08,4.7630922635356363e-08,3.3608164593195303e-08,2.8171755579149977e-08,2.6643265362303531e-08,2.6632963087077266e-08
0.0225,3.5433587034140545e-08,3.4778906418723723e-08,2.1429027872265306e-08,5.0477578434147288e-09,-3.0904780613160236e-09,-6.1744532752446615e-09,-6.224340069170417e-09
0.025,5.6897451417437182e-09,5.6191822221476698e-09,1.2707088593182244e-09,-1.2540861100534693e-08,-2.3100922107593564e-08,-2.843333117994086e-08,-2.8605325740032253e-08
0.0275,-1.2650228190489654e-08,-1.2553024059419149e-08,-1.0300046491073978e-08,-1.6352530178381711e-08,-2.7285524293830433e-08,-3.5392485832140661e-08,-3.5858465061028997e-08
0.03,-2.2323880658549151e-08,-2.1693975645455495e-08,-1.6283345449069752e-08,-1.3957771460485089e-08,-2.1539666836939331e-08,-3.2247515538685995e-08,-3.3291044494394402e-08
0.0325,-1.9885277188544791e-08,-1.8838492287814342e-08,-1.2724441381526136e-08,-5.485979788766987e-09,-6.94259661108203e-09,-1.8668626926737867e-08,-2.0677106189995811e-08
0.035,-1.0734310609955665e-08,-9.8262311189825582e-09,-4.760669690902892e-09,3.5078824231159324e-09,7.7135308683767923e-09,-2.115229585568355e-09,-5.5267308850601477e-09
0.0375,-3.5617466914475197e-09,-3.3525718129248152e-09,-3.9026260227813632e-10,6.5159766111792767e-09,1.355245694953396e-08,8.487468359356377e-09,3.33397723206781e-09
0.04,9.7553366101840803e-11,-6.5288785658166794e-10,-1.4414795837015328e-10,4.3615380797695226e-09,1.1411388020108943e-08,1.2312805920821721e-08,5.4720220231151417e-09
0.0425,2.4023294599475088e-09,7.9258487246919673e-10,-9.4276985769981548e-10,9.5686119657795082e-10,6.4215050555630781e-09,1.2346359534242654e-08,4.5584244469167577e-09
0.045,4.5167009866191697e-09,2.3964827671916301e-09,-9.9349630720424227e-10,-1.3910376253763124e-09,1.9257464055748586e-09,1.053901054937619e-08,3.1623648582068895e-09
0.0475,6.2143506231426139e-09,3.9940891340058734e-09,-2.6677636416403434e-10,-2.3483207523602203e-09,-1.1529655357776177e-09,7.6057590712593033e-09,2.074055233797514e-09
0.05,6.9523604932200868e-09,4.9444712951955538e-09,5.8692406863656193e-10,-2.4473221079788564e-09,-2.9897809228825548e-09,4.0517139224164327e-09,1.2739065850349879e-09
0.0525,6.5795707121421144e-09,4.9297676188203496e-09,1.0596491280164517e-09,-2.2310666489985763e-09,-3.9317554248658059e-09,5.0643646651060761e-10,6.7964111050061273e-10
0.055,5.3997217510625021e-09,4.1057263596676694e-09,1.020626672591168e-09,-1.9753657666479316e-09,-4.2242847381876541e-09,-2.4584741173260335e-09,3.3350576911854144e-10
0.0575,3.9418261496319384e-09,2.9163339544961415e-09,6.3577121152747067e-10,-1.727519576065606e-09,-4.0034192814244756e-09,-4.4523946480397871e-09,3.0788577040193227e-10
0.06,2.7266647436240906e-09,1.8568224972117361e-09,2.0390911799392631e-10,-1.4204686758913255e-09,-3.3511331631093535e-09,-5.279453561247836e-09,5.8754835551786399e-10
0.0625,2.1034004067738194e-09,1.2824367492954878e-09,-1.5978762503637422e-11,-9.9268512349136123e-10,-2.3777384644799125e-09,-4.9815778551144857e-09,1.0238482170207509e-09
0.065,2.1653102681203532e-09,1.3030870052114909e-09,7.3520029636329837e-11,-4.7341928032547376e-10,-1.2794683166274445e-09,-3.8597446911369971e-09,1.3912451995901726e-09
0.0675,2.7588263872448127e-09,1.7874290604825173e-09,3.8875743821874367e-10,8.0954403417698917e-12,-3.1979868886082778e-10,-2.3889341149172457e-09,1.4967798540368416e-09
0.07,3.5789290934665105e-09,2.4586225935026575e-09,7.3844360724700213e-10,2.8524583896263972e-10,2.5394642312947211e-10,-1.0606355833061118e-09,1.2544865336198395e-09
