Physical Time (s),enth_flux_viscous_left Monitor (kg-m/s^3)
0.0025,2.0660415491525865e-10
0.005,3.6169306830028447e-09
0.0075,2.3283073250811423e-08
0.01,7.4477280424603464e-08
0.0125,1.4790980008067192e-07
0.015,1.9859364717080475e-07
0.0175,1.4747092465369985e-07
0.02,5.7737788514141332e-08
0.0225,2.071754796261261e-09
0.025,-3.7814687502316333e-08
0.0275,-6.5731798981739036e-08
0.03,-7.2297569726839993e-08
0.0325,-5.7138772246534796e-08
0.035,-3.1439395294772347e-08
0.0375,-7.9775539101977527e-09
0.04,8.8246385022212432e-09
0.0425,1.9428863566092802e-08
0.045,2.4636994550987361e-08
0.0475,2.517561644573112e-08
0.05,2.2137261404196971e-08
0.0525,1.7039806268057076e-08
0.055,1.1454095104174638e-08
0.0575,6.7470471522960947e-09
0.06,3.8498639038655376e-09
0.0625,3.0731106133004696e-09
0.065,4.038481429702757e-09
0.0675,5.8479365638686343e-09
0.07,7.4566594223312651e-09
0.0725,8.0704739602197802e-09
0.075,7.3730729983107162e-09
0.0775,5.5298818802649762e-09
0.08,3.0476006489615131e-09
0.0825,5.8503828315040501e-10
0.085,-1.2254770817999016e-09
0.0875,-1.9182399969116672e-09
0.09,-1.2823791094983822e-09
0.0925,6.1881663803734583e-10
0.095,3.4965021761665322e-09
0.0975,6.9332204536359972e-09
0.1,1.0489013335780189e-08
0.1025,1.378393427406181e-08
0.105,1.6542899740677263e-08
0.1075,1.860742375341224e-08
0.11,1.9929131074026151e-08
0.1125,2.055107321443364e-08
0.115,2.0578300323028366e-08
0.1175,2.0149164823298657e-08
0.12,1.9410412057335533e-08
0.1225,1.849747126816334e-08
0.125,1.7518775594164857e-08
0.1275,1.6547061767266993e-08
0.13,1.5615480910251038e-08
0.1325,1.4723303601819903e-08
0.135,1.3849044935712089e-08
0.1375,1.2964904521891247e-08
0.14,1.2050128532012044e-08
0.1425,1.1102781800286268e-08
0.145,1.0147113022961077e-08
0.1475,9.2343870491573051e-09
0.15,8.4373926645298311e-09
0.1525,7.8390780681011412e-09
0.155,7.5177417554596545e-09
0.1575,7.5333816705364764e-09
0.16,7.9093477797363066e-09
0.1625,8.6276949775851309e-09
0.165,9.627678747727167e-09
0.1675,1.0814983906654173e-08
0.17,1.2075719861524462e-08
0.1725,1.3293552839216983e-08
0.175,1.4366389756383016e-08
0.1775,1.5219681130225219e-08
0.18,1.5814258899639068e-08
0.1825,1.6147810264507133e-08
0.185,1.6250473080464744e-08
0.1875,1.6176003975603999e-08
0.19,1.5990916965357925e-08
0.1925,1.5763093151720654e-08
0.195,1.5551917162019542e-08
0.1975,1.5401694063198647e-08
0.2,1.5338275144595446e-08
0.2025,1.5370081565864176e-08
0.205,1.5491312696868941e-08
0.2075,1.5686554826174923e-08
0.21,1.5935434177523385e-08
0.2125,1.6216591394296151e-08
0.215,1.6510308850007756e-08
0.2175,1.6799520769199051e-08
0.22,1.7069919582927311e-08
0.2225,1.7308879784081545e-08
0.225,1.7504981839730555e-08
0.2275,1.7647954979168623e-08
0.23,1.7729440706085938e-08
0.2325,1.7744395381137721e-08
0.235,1.7692685556444683e-08
0.2375,1.7580676077014756e-08
0.24,1.7422834981654458e-08
0.2425,1.7240592965980299e-08
0.245,1.7060736981383018e-08
0.2475,1.6912202409268808e-08
0.25,1.6821840968118949e-08
0.2525,1.6810836006774743e-08
0.255,1.6893667576347636e-08
0.2575,1.707309049757609e-08
0.26,1.7341517514577656e-08
0.2625,1.7680257306925819e-08
0.265,1.8064360030943782e-08
0.2675,1.8463535603807287e-08
0.27,1.8846634324387433e-08
0.2725,1.9183552566995984e-08
0.275,1.9452660709027464e-08
0.2775,1.9643131015150767e-08
0.28,1.975590668682705e-08
0.2825,1.9799932109446762e-08
0.285,1.9791092870632779e-08
0.2875,1.9749640700980736e-08
0.29,1.9698135192873209e-08
0.2925,1.9658251901077005e-08
0.295,1.9648059306737915e-08
0.2975,1.9680318371099623e-08
0.3,1.9761876992463646e-08
0.3025,1.9892850534848214e-08
0.305,2.0068162731596899e-08
0.3075,2.0280121275648376e-08
0.31,2.0518532108659189e-08
0.3125,2.0770750484477009e-08
0.315,2.1023133649050399e-08
0.3175,2.1262080875283767e-08
0.32,2.1476364201596978e-08
0.3225,2.1660103328975579e-08
0.325,2.1810409775922539e-08
0.3275,2.1927007568649227e-08
0.33,2.2011763535989415e-08
0.3325,2.2068722100001323e-08
0.335,2.2104560825834568e-08
0.3375,2.212747936757505e-08
0.34,2.2146205805330194e-08
0.3425,2.2170196315455801e-08
0.345,2.2208809726812614e-08
0.3475,2.226878381664072e-08
0.35,2.235670801026232e-08
0.3525,2.2477234985893535e-08
0.355,2.2633257057607684e-08
0.3575,2.2825940241721355e-08
0.36,2.3054590586429588e-08
0.3625,2.3316141527346395e-08
0.365,2.3604469870224913e-08
0.3675,2.3910261784643916e-08
0.37,2.4221843333079914e-08
0.3725,2.4528025275363196e-08
0.375,2.4813372231925322e-08
0.3775,2.5066793868088379e-08
0.38,2.5278146568044657e-08
0.3825,2.5438786025012802e-08
0.385,2.5541272346407366e-08
0.3875,2.5579696712006168e-08
0.39,2.5550385250738773e-08
0.3925,2.5452291912040951e-08
0.395,2.5286842301155592e-08
0.3975,2.5057643457282162e-08
0.4,2.4770415991582699e-08
0.4025,2.4433039432388767e-08
0.405,2.405385142324403e-08
0.4075,2.3643443509927745e-08
0.41,2.3214353090295382e-08
0.4125,2.2780077213847097e-08
0.415,2.2357147674997879e-08
0.4175,2.1961718333723071e-08
0.42,2.1610188857944148e-08
0.4225,2.1316070967963278e-08
0.425,2.1089493568520162e-08
0.4275,2.0936209176620445e-08
0.43,2.08571880478275e-08
0.4325,2.0851248690591195e-08
0.435,2.0918512939765267e-08
0.4375,2.1055854281095311e-08
0.44,2.1259668755355408e-08
0.4425,2.1524740201919773e-08
0.445,2.1843900512704551e-08
0.4475,2.2207865380584294e-08
0.45,2.2606974773325007e-08
0.4525,2.3032665092928588e-08
0.455,2.3478226919931156e-08
0.4575,2.3939083429614674e-08
0.46,2.4409411489964798e-08
0.4625,2.4886865568769535e-08
0.465,2.5373653897803988e-08
0.4675,2.5870575345181177e-08
0.47,2.6377175501226308e-08
0.4725,2.6891997555974347e-08
0.475,2.741307139604672e-08
0.4775,2.7939065189574252e-08
0.48,2.846681350740071e-08
0.4825,2.8989095555154026e-08
0.485,2.9497924225652951e-08
0.4875,2.9985405473409262e-08
0.49,3.0444224594397228e-08
0.4925,3.0867388892852095e-08
0.495,3.1248135281792426e-08
0.4975,3.1580598221929403e-08
0.5,3.186051646415611e-08
0.5025,3.2085355370931917e-08
0.505,3.2254058123112213e-08
0.5075,3.2366114710304733e-08
0.51,3.2421684822191062e-08
0.5125,3.242187677731633e-08
0.515,3.2368692112856901e-08
0.5175,3.2265198664420818e-08
0.52,3.211567218968728e-08
0.5225,3.1924938691087997e-08
0.525,3.1698309115558276e-08
0.5275,3.144166918499336e-08
0.53,3.1161314558521321e-08
0.5325,3.08642668568951e-08
0.535,3.0557531285744785e-08
0.5375,3.0249203888076448e-08
0.54,2.99440729116298e-08
0.5425,2.9646688645956703e-08
0.545,2.9360515937866893e-08
0.5475,2.9087689172215135e-08
0.55,2.8831790691588656e-08
0.5525,2.8597295360272195e-08
0.555,2.8388768366607763e-08
0.5575,2.8210139944197301e-08
0.56,2.8064312533164471e-08
0.5625,2.7953076580829501e-08
0.565,2.7877599299112617e-08
0.5675,2.7839122655908209e-08
0.57,2.7839239047450827e-08
0.5725,2.7879632934798171e-08
0.575,2.7961530275309701e-08
0.5775,2.8085254500397761e-08
0.58,2.8250084767723173e-08
0.5825,2.8454335987244004e-08
0.585,2.8695505268226766e-08
0.5875,2.8970315693437394e-08
0.59,2.9274912306693072e-08
0.5925,2.9604752571512234e-08
0.595,2.9954661978621759e-08
0.5975,3.0318815902178444e-08
0.6,3.0690752552915851e-08
0.6025,3.1063437473197347e-08
0.605,3.1429467534853975e-08
0.6075,3.1781323034816739e-08
0.61,3.2111691912164838e-08
0.6125,3.241379836013367e-08
0.615,3.2681732833157332e-08
0.6175,3.2910775845464395e-08
0.62,3.3097675711815389e-08
0.6225,3.3240829040404241e-08
0.625,3.3340352429670538e-08
0.6275,3.3398006329662776e-08
0.63,3.3417038663645198e-08
0.6325,3.3401934968202303e-08
0.635,3.3358138807816961e-08
0.6375,3.3291742493517164e-08
0.64,3.320917976892482e-08
0.6425,3.311693936480935e-08
0.645,3.3021282649222927e-08
0.6475,3.2928003356383104e-08
0.65,3.2842170538072245e-08
