Physical Time (s),enth_flux_viscous_top Monitor (kg-m/s^3): top_cv1,enth_flux_viscous_top Monitor (kg-m/s^3): top_cv2,enth_flux_viscous_top Monitor (kg-m/s^3): top_cv3,enth_flux_viscous_top Monitor (kg-m/s^3): top_cv4,enth_flux_viscous_top Monitor (kg-m/s^3): top_cv5,enth_flux_viscous_top Monitor (kg-m/s^3): top_cv6,enth_flux_viscous_top Monitor (kg-m/s^3): top_cv7
0.0025,6.9273369142512799e-11,5.928337222952182e-11,5.0361841717269057e-11,4.9223615475153383e-11,4.9115907944473159e-11,4.909958335130715e-11,4.9098610456511819e-11
0.005,8.5265792298728737e-10,6.110431602783254e-10,4.0749905398188606e-10,3.8556086963493e-10,3.8405797425121676e-10,3.8391785538018282e-10,3.8391319233605345e-10
0.0075,4.6961848130270595e-09,3.231455526211177e-09,1.7048737605085059e-09,1.4770416526134817e-09,1.4601919956789023e-09,1.458984823463885e-09,1.458966872236761e-09
0.01,1.5506893977876516e-08,1.1944349612003979e-08,7.1388866193013452e-09,6.0215632453765284e-09,5.9061929205344439e-09,5.8975172643693772e-09,5.8974567492825604e-09
0.0125,3.6015271095101258e-08,3.0765931015112021e-08,2.1481258538784683e-08,1.8308886216948198e-08,1.7813284565932249e-08,1.776548595607979e-08,1.7765278667077773e-08
0.015,6.2118885399139112e-08,5.6476283726436952e-08,4.2634081350740421e-08,3.6338847925909595e-08,3.4891791262861364e-08,3.4693777754864875e-08,3.4692937866280634e-08
0.0175,7.9159378855803003e-08,7.4345593502304939e-08,5.6655518271203373e-08,4.6598457701527968e-08,4.3469162458905565e-08,4.2842339464108277e-08,4.2838403307404842e-08
0.02,6.8940222370961499e-08,6.6064887570777589e-08,4.7308739313361966e-08,3.3305254789821061e-08,2.7876489028642794e-08,2.6344877320866409e-08,2.6331791535182445e-08
0.0225,3.5764982296630743e-08,3.5146547286285438e-08,2.1805655613976384e-08,5.4474663304882864e-09,-2.6758026226226207e-09,-5.7572342371635657e-09,-5.8076884892034118e-09
0.025,5.9904407983092744e-09,6.0184840041210586e-09,1.7177404264962701e-09,-1.2078531844129432e-08,-2.2621888478643558e-08,-2.7949928079419985e-08,-2.8119918060460851e-08
0.0275,-1.2497086333547015e-08,-1.2366101924269943e-08,-1.0080617646697155e-08,-1.612645566019986e-08,-2.7049931219367285e-08,-3.5155574553285995e-08,-3.5618217222512255e-08
0.03,-2.2414404057508142e-08,-2.1825834797777614e-08,-1.6441204748836018e-08,-1.4116320520737694e-08,-2.1694896822451234e-08,-3.2407254641166157e-08,-3.3449230679365023e-08
0.0325,-2.0132673715862488e-08,-1.9158393095529856e-08,-1.3099506029179815e-08,-5.871917726801789e-09,-7.3243540500572536e-09,-1.9055996210045027e-08,-2.1069633319641827e-08
0.035,-1.0918991150824158e-08,-1.0071930833131251e-08,-5.051751664394122e-09,3.1990810734474899e-09,7.4114916917418437e-09,-2.4136971953270722e-09,-5.8425879490065486e-09
0.0375,-3.6272190256778186e-09,-3.4540166373662015e-09,-5.2441526927811654e-10,6.3623022582052699e-09,1.3404508793862931e-08,8.3582446075972235e-09,3.172272459274154e-09
0.04,1.0036038063363357e-10,-6.69528150278052e-10,-1.8901001804588293e-10,4.2986827794058811e-09,1.1351441484053212e-08,1.2278035282323751e-08,5.3928665584620241e-09
0.0425,2.4282520462922055e-09,8.0693486024532932e-10,-9.5168189386127549e-10,9.3307510682507503e-10,6.3986981672889794e-09,1.2338867212861861e-08,4.506219921210493e-09
0.045,4.5566827371971496e-09,2.4310990802399825e-09,-9.7049098877429296e-10,-1.3776579571048058e-09,1.9385860041572757e-09,1.0550679856626414e-08,3.1440999222434983e-09
0.0475,6.2716476781639688e-09,4.0526884607169312e-09,-2.0394615047153009e-10,-2.2864786815648566e-09,-1.092796464633084e-09,7.6547489083290445e-09,2.1222771931707056e-09
0.05,7.0198898454874574e-09,5.015786245300637e-09,6.7251317813992174e-10,-2.3532299824008889e-09,-2.8958252370983329e-09,4.1354295145690485e-09,1.3944709914279947e-09
0.0525,6.638890588687017e-09,4.9865007994626022e-09,1.1258912546368177e-09,-2.1519622414597675e-09,-3.8474830956999808e-09,5.8952256119197148e-10,8.3459936722000548e-10
