Physical Time (s),enthalpy_storage_vol Monitor (N): cv1,enthalpy_storage_vol Monitor (N): cv2,enthalpy_storage_vol Monitor (N): cv3,enthalpy_storage_vol Monitor (N): cv4,enthalpy_storage_vol Monitor (N): cv5,enthalpy_storage_vol Monitor (N): cv6,enthalpy_storage_vol Monitor (N): cv7
0.0025,6.5266300547755813e-05,6.5546088009496947e-05,6.5543063717946778e-05,6.5542901259736807e-05,6.5542882773899014e-05,6.5542876541915959e-05,6.5542870852757342e-05
0.005,8.4812444811345879e-05,8.6425358100627493e-05,8.6432268652444219e-05,8.6430986511996981e-05,8.643085813809556e-05,8.6430829661162482e-05,8.6430810114360832e-05
0.0075,9.0605600444249853e-05,9.3076078110202281e-05,9.3185947089205966e-05,9.318196602253108e-05,9.3181214562101242e-05,9.3181079423765255e-05,9.3181022656039914e-05
0.01,9.2675366253967248e-05,9.5919731582042234e-05,9.6285915574299648e-05,9.629009610853434e-05,9.6287513769397829e-05,9.6286961317374438e-05,9.6286824780210701e-05
0.0125,9.3668247891499359e-05,9.7594459103972938e-05,9.8234217431274572e-05,9.8287411232630877e-05,9.8283547384756155e-05,9.828180729575801e-05,9.8281513218450935e-05
0.015,9.3802012806820756e-05,9.8175393063232747e-05,9.8907835050483873e-05,9.9059881350510939e-05,9.9064704895619182e-05,9.906093081026295e-05,9.9060321184732365e-05
0.0175,9.3310387585033783e-05,9.7921224246431021e-05,9.8631905614122225e-05,9.8881497580519706e-05,9.8920312620786281e-05,9.8916371360417501e-05,9.891518683553875e-05
0.02,9.2548813407354095e-05,9.726506468475397e-05,9.801188645320295e-05,9.8269524263705586e-05,9.8355490668345868e-05,9.8359160790370301e-05,9.8357640956570636e-05
0.0225,9.184075286621337e-05,9.669818547926014e-05,9.7484562707115852e-05,9.7703100219157337e-05,9.7819756594863644e-05,9.7844606781910071e-05,9.7842674294333642e-05
0.025,9.1296504635235727e-05,9.6378658790269235e-05,9.7165217176417985e-05,9.7404615041333202e-05,9.7510538145704885e-05,9.7567226177593225e-05,9.7565036285232718e-05
0.0275,9.0884460462338349e-05,9.6261597963101769e-05,9.7018574255917434e-05,9.732778851593424e-05,9.7416334811024802e-05,9.7497913551417543e-05,9.7496998944936796e-05
0.03,9.0554296032035379e-05,9.627786656032072e-05,9.7012892140844285e-05,9.7351152117981768e-05,9.7467020674423687e-05,9.755301565026779e-05,9.7557515293911383e-05
0.0325,9.027834764927122e-05,9.6384514619971654e-05,9.7115596967349855e-05,9.7431663429995466e-05,9.7600362847129866e-05,9.7684018831569329e-05,9.769961746541471e-05
0.035,9.0049135031129973e-05,9.6569888585269482e-05,9.7309744172898366e-05,9.7595219929632316e-05,9.7786093335204327e-05,9.7885086725294225e-05,9.7914701953184013e-05
0.0375,8.9861036119105305e-05,9.6830950551692621e-05,9.7586475599649748e-05,9.7856004765782935e-05,9.8030438214217539e-05,9.816308788335473e-05,9.8203592188799173e-05
