Physical Time (s),ep_bot Monitor (kg-m/s^3): bot_cv1,ep_bot Monitor (kg-m/s^3): bot_cv2,ep_bot Monitor (kg-m/s^3): bot_cv3,ep_bot Monitor (kg-m/s^3): bot_cv4,ep_bot Monitor (kg-m/s^3): bot_cv5,ep_bot Monitor (kg-m/s^3): bot_cv6,ep_bot Monitor (kg-m/s^3): bot_cv7
0.0025,4.7319800339680134e-11,4.9867257285676413e-11,5.131830627686501e-11,5.1347267076775862e-11,5.1347638457176723e-11,5.1347648094972731e-11,5.1347648123341853e-11
0.005,8.8044324146089488e-09,1.058162225350704e-08,1.1569692154330303e-08,1.1587371260833181e-08,1.1587493879314828e-08,1.1587495259296153e-08,1.1587495260081492e-08
0.0075,2.2644158208509788e-07,3.026058489620037e-07,3.6275664399727324e-07,3.6483720408767416e-07,3.6485545737014031e-07,3.6485559933010989e-07,3.6485559934203807e-07
0.01,1.6355994852650597e-06,2.1964981444891405e-06,2.8692334994034749e-06,2.9208810578884364e-06,2.9217557151780443e-06,2.92176365177288e-06,2.9217636518237769e-06
0.0125,5.6006907520030475e-06,7.1369472604489869e-06,9.8868742503766668e-06,1.0322489049795486e-05,1.0338219378710269e-05,1.0338447571907177e-05,1.0338447572701108e-05
0.015,1.1586053618108392e-05,1.3759846329891065e-05,1.9617521857670248e-05,2.1373331629963386e-05,2.1504589143270162e-05,2.1508083173144026e-05,2.1508083305794451e-05
0.0175,1.4701369706796734e-05,1.5942911255499631e-05,2.2784837021287992e-05,2.6821542218861803e-05,2.7422176898440435e-05,2.7452866453255851e-05,2.7452871367758687e-05
0.02,9.5844088857794863e-06,9.1487217185493385e-06,1.2321235336504461e-05,1.7737896677987415e-05,1.9366032748443741e-05,1.9522264350835947e-05,1.9522336536964881e-05
0.0225,-2.8575824681373828e-07,-9.4108635697209814e-07,-2.3283438743045155e-06,1.3083362164680953e-06,4.1085488130204496e-06,4.6463926582340305e-06,4.6471306077938712e-06
0.025,-9.1304486174796057e-07,-1.0105349143554096e-06,-2.7112530967445609e-06,-2.7085924970431665e-06,1.4857931706561984e-07,1.410014096117123e-06,1.4155056534152925e-06
0.0275,5.9508968362944041e-06,6.043188416928484e-06,6.3899462330016016e-06,5.0182993417563944e-06,6.2554107108273568e-06,8.2768582991953003e-06,8.3056845798242071e-06
