Physical Time (s),ep_right Monitor (kg-m/s^3): right_cv1,ep_right Monitor (kg-m/s^3): right_cv2,ep_right Monitor (kg-m/s^3): right_cv3,ep_right Monitor (kg-m/s^3): right_cv4,ep_right Monitor (kg-m/s^3): right_cv5,ep_right Monitor (kg-m/s^3): right_cv6,ep_right Monitor (kg-m/s^3): right_cv7
0.0025,0.00036394935439917078,2.3217347488423235e-07,1.4591765488161452e-11,3.4261030856526757e-14,4.6859435683852888e-16,1.5630295883885342e-18,2.8885354014613815e-21
0.005,0.0010450206891533483,1.8938881526212365e-05,1.1797183062868221e-08,1.4244300553354618e-11,8.4722704577908755e-14,1.0097418628618495e-16,8.968196040979794e-20
0.0075,2.9908992925650164e-05,9.8786597973255993e-05,9.4398622391172338e-07,2.41098261133961e-09,1.0757986569586893e-11,4.4745581462687094e-15,1.5874128043449822e-18
0.01,0.0001386406057430844,0.00020882004752652105,1.13660570030742e-05,1.145835657966647e-07,7.1927427259438151e-10,1.5783537179354923e-13,2.1276259861676592e-17
0.0125,0.00021624874050219238,0.00014560612605133444,4.3832236885591082e-05,1.7295412767202833e-06,2.2765801468622887e-08,4.6268644244198229e-12,2.3898063218718611e-16
0.015,0.0001366646250689627,-9.1193018747754842e-07,8.3753946759150999e-05,1.0416057184336603e-05,3.3960994590729042e-07,1.0829226690755783e-10,2.3678782493425839e-15
0.0175,7.8388531848688553e-05,6.4162338386037723e-05,7.4209978930672954e-05,3.0684005911384791e-05,2.5251725747098592e-06,1.8977016036646639e-09,2.1409336378107684e-14
0.02,3.5865789882808361e-05,0.00016282334174550075,1.2539503634843639e-05,4.7782184810719121e-05,9.5988227603727952e-06,1.839927657348555e-08,4.7717258392149697e-14
0.0225,7.5894335810086561e-06,9.1614551481732426e-05,2.0569702299341006e-06,3.5427464104683922e-05,2.1726042041419338e-05,1.4056402355146558e-07,1.1470321195180805e-13
0.025,-6.3302348846052854e-06,2.8404279730771473e-05,6.5360554056602882e-05,4.0896653365471236e-06,2.8445027378820392e-05,7.5430898743765304e-07,4.9085018674133642e-13
0.0275,-7.757167852168285e-06,4.5119842239797717e-06,8.2117841589440376e-05,5.9955899605037227e-06,1.7530146924965599e-05,2.7540958251003387e-06,4.2578855151368607e-12
0.03,-1.9429078284408947e-06,-6.7767560629499925e-07,3.7705598530772097e-05,4.4099870182009903e-05,8.3973985126353357e-07,6.7862816399505138e-06,4.6910775931066889e-11
0.0325,4.9821831463844979e-06,8.3887652052313695e-07,8.0597926726543914e-06,5.7852619509043173e-05,6.2051125384458651e-06,1.1021051778149802e-05,4.5987069252336797e-10
0.035,8.9422201558743913e-06,3.7917269360774204e-06,7.8776339554062448e-07,3.2877904992418844e-05,3.0440258260709957e-05,1.0835915440224051e-05,3.5457862791231952e-09
0.0375,8.476739264948138e-06,5.7180690348236104e-06,1.5041259888270438e-06,8.4578505201464419e-06,3.9917141442832433e-05,4.7138611076069215e-06,2.0926858605355145e-08
0.04,4.9693900976170993e-06,5.5539195531415777e-06,3.3190520679526563e-06,6.4861641214717393e-07,2.514209143042317e-05,-1.6717233030893892e-07,9.4421813374769364e-08
0.0425,9.7895246538274212e-07,3.7400301999031126e-06,4.2400415480114904e-06,1.2705533738970925e-06,7.5148049792027212e-06,4.543956812633521e-06,3.2691257437733822e-07
0.045,-1.8962987874244418e-06,1.4937910995463159e-06,3.8312414542437622e-06,2.9388824324027808e-06,5.1229969899739307e-07,1.5194548415722388e-05,8.6945268322569054e-07
0.0475,-3.5641308004738563e-06,-1.2946131491182234e-07,2.4816231122036747e-06,3.4962531858126042e-06,8.1051481586891453e-07,1.9771301927029684e-05,1.7654319058386453e-06
0.05,-4.5295698500025262e-06,-7.8119324743504925e-07,1.0228401411575174e-06,2.9316064640093137e-06,2.3718872802962884e-06,1.4178492980348601e-05,2.6819067630602374e-06
0.0525,-4.9119850003428403e-06,-7.7713891242460518e-07,1.167668474253701e-07,1.7828444845522245e-06,2.8677623559440739e-06,5.4569056884368772e-06,2.8976272187432425e-06
0.055,-4.4253155241958685e-06,-5.8964943964300094e-07,-1.2596201316279126e-07,6.899905501939322e-07,2.3275191079703136e-06,6.2533150201034248e-07,1.9467410871583655e-06
0.0575,-3.0207043931657795e-06,-4.1017035031637636e-07,-3.3530628471252324e-08,7.3924731240502577e-08,1.3602253557593332e-06,1.8135915064410918e-07,4.7313249506730227e-07
0.06,-1.2145375105446207e-06,-1.750317041836191e-07,3.8481094912539308e-08,-5.0506437398340808e-08,5.101202383851061e-07,1.2525469894238669e-06,4.8266915715818333e-08
0.0625,2.2032968600544665e-07,1.606790493594195e-07,-2.9536813306213318e-09,4.5278485729622709e-08,5.9923403689574214e-08,1.822460610795239e-06,1.6137998516912429e-06
0.065,7.7302665166487815e-07,4.9452973816915351e-07,-4.1651792693639325e-08,9.9620073327581669e-08,-1.8302994228196986e-08,1.5662674327248149e-06,4.2063970544971658e-06
0.0675,4.3786303037579947e-07,6.6977465526927007e-07,2.1592850592409723e-08,5.2671481082909259e-08,5.7487368143952623e-08,9.2961971375483976e-07,5.7285506640043396e-06
0.07,-4.2476250520404635e-07,6.1564978475036769e-07,1.5382748178314524e-07,-1.2923447663176662e-09,9.422033013421892e-08,3.622699139840144e-07,5.0252861203399588e-06
0.0725,-1.3834683328169151e-06,3.9108248885449007e-07,2.5222559710017381e-07,1.9786418400006469e-08,5.2578387732578914e-08,6.1918191366866675e-08,2.8568648304641413e-06
0.075,-2.1389968524746059e-06,1.2231981536340293e-07,2.5406667735805466e-07,9.8244401514272959e-08,5.0879585465208418e-09,-4.1701869955106827e-09,8.6604842572580989e-07
0.0775,-2.5630120343325325e-06,-8.5197818493590802e-08,1.7559716123465553e-07,1.6054759274421209e-07,1.3809327903699074e-08,2.6934340982749738e-08,2.1431481560025921e-08
0.08,-2.651071924994028e-06,-1.8942397793799337e-07,7.466600451447683e-08,1.5945653566339499e-07,6.6935052130573822e-08,4.4453047645823758e-08,1.4924658479879716e-07
0.0825,-2.4756508942644325e-06,-2.0141893067520032e-07,-2.0277861520160523e-09,1.0523116370336939e-07,1.0990879520127077e-07,2.4286474941562806e-08,5.5259585641419913e-07
0.085,-2.1598098023023118e-06,-1.5749339523192434e-07,-4.1287782444278861e-08,3.9785775551242061e-08,1.0667671957881156e-07,1.4779742758411469e-09,7.350281962196573e-07
0.0875,-1.8503346513215796e-06,-9.9326522127649202e-08,-5.3473309941071823e-08,-2.9058630666427745e-09,6.5452692711591378e-08,6.4295367524041118e-09,6.2143289787407246e-07
0.09,-1.6797397879679372e-06,-6.4102551767088351e-08,-5.3911704154977183e-08,-1.4727181126226282e-08,1.9995294938246212e-08,3.1448985812827875e-08,3.7504374790612354e-07
0.0925,-1.7289237965758905e-06,-7.71326899609869e-08,-5.2931373198402528e-08,-6.1719209258311186e-09,-2.2571859111444047e-09,4.7343173929138982e-08,1.6134990341159366e-07
