Physical Time (s),etp_right Monitor (kg-m/s^3): right_cv1,etp_right Monitor (kg-m/s^3): right_cv2,etp_right Monitor (kg-m/s^3): right_cv3,etp_right Monitor (kg-m/s^3): right_cv4,etp_right Monitor (kg-m/s^3): right_cv5,etp_right Monitor (kg-m/s^3): right_cv6,etp_right Monitor (kg-m/s^3): right_cv7
0.0025,0.00037100047991639993,2.3090523327904229e-07,-4.3012041738643456e-11,-2.5774743246667213e-12,-2.6085655419084508e-13,-1.1661121408328441e-14,-4.6181080708107952e-16
0.005,0.0010700738653151975,1.9151463494716247e-05,1.0456066706179953e-08,-3.8270966404256997e-11,-3.5016074682832032e-12,-9.5163171135881719e-14,-2.4773951237210739e-15
0.0075,4.437844496100769e-05,0.00010024315157942796,9.4277162307217512e-07,1.7326101369610568e-09,-3.3330144102331627e-11,-6.9456087848866667e-13,-1.1044107264055865e-14
0.01,0.00015024627054713207,0.00021273026306284517,1.145790479194245e-05,1.1109120581947116e-07,3.4766519645712332e-10,-4.4121904083021746e-12,-4.3011120206682546e-14
0.0125,0.0002284934234693777,0.00014978339192315432,4.4288773275676612e-05,1.7306636633375187e-06,2.0856573367290697e-08,-2.2150438071336324e-11,-1.5204610929878384e-13
0.015,0.00014512131086317326,1.3861714002302472e-06,8.4786229394843925e-05,1.048797331454377e-05,3.3501717061061165e-07,-2.8251771292920324e-11,-5.0082487033117297e-13
0.0175,8.4237021725448805e-05,6.6341854662291182e-05,7.5409519292633711e-05,3.0959166052598957e-05,2.5299895571071899e-06,1.3202327208099395e-09,-1.5634469883579889e-12
0.02,4.0187381531668522e-05,0.00016529335752784463,1.3184927997600489e-05,4.8282242458611086e-05,9.661406160434698e-06,1.6624492663118657e-08,-3.1361665080451291e-12
0.0225,1.0841237792345642e-05,9.272477818697344e-05,2.3025503730484224e-06,3.5883191395972837e-05,2.1908272188913397e-05,1.3663963121603165e-07,-5.8235768032557965e-12
0.025,-3.6255793047291573e-06,2.8738324681192768e-05,6.5919815371064398e-05,4.2470533904926734e-06,2.871509435114424e-05,7.5000151289187974e-07,-1.24293794552145e-11
0.0275,-5.0756286152607907e-06,4.6066994090697457e-06,8.2845770392521244e-05,6.0872267752908162e-06,1.7723837484977336e-05,2.7604094381086053e-06,-3.1200018970236482e-11
0.03,9.8474317030714153e-07,-6.327203004313863e-07,3.8122501152604833e-05,4.4511738512777334e-05,8.7688708922696352e-07,6.8238862604715633e-06,-6.163526372876705e-11
0.0325,8.1867400760037397e-06,8.9224654312533056e-07,8.2020668968108621e-06,5.8446389089103394e-05,6.2778855736813429e-06,1.1097795675379278e-05,1.3923286023678222e-10
0.035,1.2406393351325417e-05,3.8734756377112094e-06,8.2067643828162205e-07,3.3279153191637372e-05,3.075663721291398e-05,1.091718793465897e-05,2.7022920546066172e-09
0.0375,1.2234909013125697e-05,5.8387261202360643e-06,1.5126381784382764e-06,8.6062092629801507e-06,4.0365141483934551e-05,4.7470650922631552e-06,1.9037040849543301e-08
0.04,9.0756293157948241e-06,5.711082241426629e-06,3.3313671199920516e-06,6.7587659521765366e-07,2.5467558042387031e-05,-1.6932579819452665e-07,9.0970944429727511e-08
0.0425,5.4529706911898148e-06,3.9172170546555059e-06,4.2606041226887486e-06,1.2719839744648804e-06,7.6470311677014253e-06,4.6032779297796001e-06,3.2214055611943726e-07
0.045,2.9197997291593525e-06,1.6704994192301133e-06,3.8541033110218906e-06,2.9445360262792057e-06,5.3673971498203914e-07,1.5381099110301211e-05,8.6533506614817649e-07
0.0475,1.5452349942267479e-06,3.2223047252996627e-08,2.4988961338644947e-06,3.5069844288265507e-06,8.0896773756261333e-07,2.0024336360732991e-05,1.765394216526102e-06
0.05,8.3167916254314847e-07,-6.4044512200704534e-07,1.031234826272948e-06,2.9412364376626718e-06,2.3737367850608201e-06,1.4380522230794763e-05,2.687706943138705e-06
0.0525,6.8835551204900512e-07,-6.5697507956768512e-07,1.1891455121290373e-07,1.7868260556782294e-06,2.8734375058526139e-06,5.5558238808092363e-06,2.9054127466157782e-06
0.055,1.4338219465342704e-06,-4.8599497395067544e-07,-1.2516102332615514e-07,6.8838038475010182e-07,2.3314111708204551e-06,6.5004520958048471e-07,1.9487474121167894e-06
0.0575,3.1398410864474555e-06,-3.1612713663732501e-07,-3.129768485469332e-08,7.0428627900242153e-08,1.3594724456648408e-06,1.7954440713772716e-07,4.6784751190626101e-07
