Physical Time (s),ev_bot Monitor (kg-m/s^3): bot_cv1,ev_bot Monitor (kg-m/s^3): bot_cv2,ev_bot Monitor (kg-m/s^3): bot_cv3,ev_bot Monitor (kg-m/s^3): bot_cv4,ev_bot Monitor (kg-m/s^3): bot_cv5,ev_bot Monitor (kg-m/s^3): bot_cv6,ev_bot Monitor (kg-m/s^3): bot_cv7
0.0025,2.1271237246127681e-17,2.0866824889312645e-17,2.070070689836689e-17,2.070038491565474e-17,2.0700384739424289e-17,2.0700384739162354e-17,2.0700384739162351e-17
0.005,3.7734422427941705e-14,3.1908902867230805e-14,2.9785722061984934e-14,2.9782083712042638e-14,2.9782082820729855e-14,2.9782082820347535e-14,2.9782082820347535e-14
0.0075,5.0056394193457614e-12,3.3696835620481969e-12,2.4806050348292598e-12,2.4762918627044513e-12,2.4762900848731549e-12,2.4762900844036216e-12,2.4762900844036216e-12
0.01,1.0752520405702741e-10,6.9732008388593991e-11,3.732570731017391e-11,3.683122348161864e-11,3.6830622559812123e-11,3.6830622339850593e-11,3.6830622339850587e-11
0.0125,7.9638226269832854e-10,5.7009443929516258e-10,2.7482566192371819e-10,2.6292320118062739e-10,2.6287725376102954e-10,2.6287721703863168e-10,2.6287721703863163e-10
0.015,2.9016896807940876e-09,2.3256483267601746e-09,1.1973096267709256e-09,1.0953996726671353e-09,1.0942650626708555e-09,1.0942627028787824e-09,1.0942627028787394e-09
0.0175,5.6854221106181873e-09,5.051276338696699e-09,2.9669509799499686e-09,2.5590687291335687e-09,2.5472454639496786e-09,2.5471792827296075e-09,2.5471792827172933e-09
0.02,5.3797102365172558e-09,5.1377014152230062e-09,3.3385870823057572e-09,2.4960330174285245e-09,2.4349667189360027e-09,2.4340930290932933e-09,2.4340930277627245e-09
0.0225,1.7634125248502971e-09,1.7411004937644245e-09,1.1160801014435176e-09,2.3533077061005518e-10,6.484435485389366e-11,5.8613035593617319e-11,5.8612972379606781e-11
0.025,7.4660651251903779e-11,7.4583071168734646e-11,1.6248092400045908e-11,-4.0719259280216829e-10,-6.66866775048866e-10,-6.9210307377668411e-10,-6.9210476110143899e-10
0.0275,-1.626869499276388e-10,-1.6246138499920675e-10,-1.6157667015332088e-10,-2.3305760502841479e-10,-4.3945189653566213e-10,-4.9952746726292122e-10,-4.9955298205094567e-10
0.03,-4.4679744393640211e-10,-4.4601481071370256e-10,-4.2536805600131306e-10,-4.2413621654852909e-10,-4.9898380910807418e-10,-5.8470432816689829e-10,-5.8492991510685312e-10
0.0325,-2.6628967554637029e-10,-2.6543697599762447e-10,-2.2786379394437229e-10,-1.9323821942894943e-10,-2.0209637869362108e-10,-2.7706709563126639e-10,-2.7828187914516529e-10
0.035,-5.1420788602988983e-11,-5.1036577726971398e-11,-2.7413589959923781e-11,4.1212549217837514e-11,5.0129985809344831e-11,6.235104641705943e-12,2.1364510350344901e-12
0.0375,-2.4115952844451966e-12,-2.4012970549111981e-12,3.3632919672656083e-12,5.5111298266943731e-11,9.0446868721291952e-11,7.085752513858005e-11,6.2080007041879241e-11
0.04,-1.013166219790178e-13,-3.0342422969838734e-13,-7.2509340955845622e-14,1.7435890228754956e-11,6.3096602907764157e-11,6.396217222233624e-11,5.197136912614486e-11
0.0425,1.4750243321808649e-12,-4.5656562286492046e-13,-2.0788580569645429e-12,1.1869170209911595e-13,2.7134504094512497e-11,4.6494881417298414e-11,3.5724549594860995e-11
0.045,7.0270569698376502e-12,2.5223926550226023e-12,-4.9750752206903178e-12,-5.3048780085048307e-12,2.2568513264825601e-12,2.8798233826359779e-11,2.1380856715571231e-11
0.0475,1.4936795468526964e-11,9.6072173350897052e-12,-3.5097123417315565e-12,-5.9538669046375774e-12,-5.1646094989364992e-12,1.7980572003625438e-11,1.3164069688872577e-11
0.05,1.9185185481294393e-11,1.511391408437096e-11,1.9293081877066354e-12,-3.1727457323885805e-12,-3.4507393550097147e-12,1.1959316556582679e-11,1.0518047278521826e-11
0.0525,1.6182977049249425e-11,1.3882849972068114e-11,4.9303722876438251e-12,-6.9888644197428014e-13,-1.8723540583831404e-12,5.4810761369359078e-12,8.5756191969962024e-12
0.055,9.3991867126782475e-12,8.3062218061979754e-12,3.8341416960193721e-12,-1.3756493175390273e-13,-2.0486024243441231e-12,-8.200261301106125e-14,5.8681990073669366e-12
0.0575,3.9860222534783301e-12,3.469324652428708e-12,1.6797684244997851e-12,-2.2454605304576467e-13,-1.9823878822100911e-12,-2.2173077960244988e-12,3.8948111431653506e-12
0.06,1.4432107577028045e-12,1.1452186481196794e-12,4.6569928251227955e-13,-1.5487664218996879e-13,-1.1904161540265344e-12,-1.9950582295992373e-12,3.0404209610775436e-12
0.0625,6.8766048016360751e-13,4.4368353918399847e-13,9.9257881053938996e-14,-3.6572868566580832e-14,-4.2849139477586539e-13,-1.2759804630840715e-12,2.632706782195219e-12
0.065,7.2035675822579816e-13,4.3622079992871493e-13,1.1669954787622997e-13,9.160156219963037e-14,6.3722315123471952e-15,-6.3660333988522825e-13,2.3611088486239543e-12
0.0675,1.3162311429987205e-12,9.0017086445133046e-13,4.1065896143005005e-13,3.9640585517343236e-13,3.8904014917146453e-13,4.3504514245193922e-14,2.2228649001108851e-12
0.07,2.5550212905031528e-12,1.8974794914467548e-12,9.9824073951164955e-13,9.6576804010565802e-13,9.6573154765757541e-13,8.4335421175081725e-13,2.1829178976527855e-12
0.0725,4.211808870193582e-12,3.2078674990679398e-12,1.6221114927955142e-12,1.5262453812496456e-12,1.5263978233200826e-12,1.5025556491367542e-12,2.1035583542110463e-12
0.075,5.5569028100764762e-12,4.1499501065516034e-12,1.6994385846499408e-12,1.4606215325117697e-12,1.4599704437287453e-12,1.4600997112876374e-12,1.6204699295111866e-12
0.0775,5.8718398661665937e-12,4.0719901260008833e-12,7.9421433709275268e-13,3.3046968547800963e-13,3.2248160629097853e-13,3.2745337332899875e-13,3.3483149496223677e-13
0.08,5.0745552796453165e-12,2.9274890461751406e-12,-9.7089946154693519e-13,-1.6907117144928929e-12,-1.7241976000421277e-12,-1.7154561236864104e-12,-1.7270261500272375e-12
0.0825,3.6890747962441344e-12,1.222114116142686e-12,-3.0901954841387178e-12,-4.0347547940392924e-12,-4.1230136511539387e-12,-4.1158495351654627e-12,-4.1173051036878082e-12
0.085,2.3274382594863809e-12,-4.8474484709104266e-13,-5.1431045690730223e-12,-6.2608675124040478e-12,-6.4319350351290129e-12,-6.4372684119089185e-12,-6.4298619436547154e-12
0.0875,1.3214438245498529e-12,-1.9097319253010522e-12,-7.0109798513613272e-12,-8.2785686191148017e-12,-8.5485884538682212e-12,-8.5851408083259759e-12,-8.5759528581920794e-12
0.09,7.3048121552903173e-13,-3.0020222192630378e-12,-8.7459465687252897e-12,-1.0185258995868487e-11,-1.0558731903158075e-11,-1.0662689114441368e-11,-1.0656515778296403e-11
0.0925,5.1831093062288418e-13,-3.7408972351902415e-12,-1.0315644617002146e-11,-1.1977013575807635e-11,-1.2452065180013429e-11,-1.2675964658351604e-11,-1.267440019101937e-11
0.095,6.8188825654486297e-13,-4.0026539349912476e-12,-1.1442197429679845e-11,-1.3363897394059721e-11,-1.3932846221765591e-11,-1.4320191156657577e-11,-1.4336771609325637e-11
0.0975,1.287014550750007e-12,-3.5583101079234925e-12,-1.1615961368502286e-11,-1.3771863213149122e-11,-1.4414068866462542e-11,-1.4963930755575315e-11,-1.503963928536456e-11
0.1,2.4533553179257835e-12,-2.1606831481035235e-12,-1.0280719657311071e-11,-1.2541052219717954e-11,-1.3213047138035458e-11,-1.3863620127505943e-11,-1.4058574047213762e-11
0.1025,4.3247634626484634e-12,3.4894867290438526e-13,-7.1022749206699072e-12,-9.2445328583751678e-12,-9.8789918615359678e-12,-1.052556192477073e-11,-1.0884949151275892e-11
0.105,7.0366079372258868e-12,3.9790725924563243e-12,-2.1552733969441871e-12,-3.9412231238181292e-12,-4.4643021105304635e-12,-5.0022340003780927e-12,-5.518318355437812e-12
0.1075,1.0674136232912736e-11,8.5954650368733245e-12,4.1004017502547934e-12,2.8197228794063625e-12,2.4571082702884269e-12,2.0892796617068202e-12,1.4908698829649415e-12
0.11,1.5206885312568447e-11,1.3958690672901081e-11,1.1021965113905095e-11,1.0245989565744979e-11,1.0044396906867964e-11,9.8459364266620638e-12,9.2795775057042933e-12
0.1125,2.0392287406199117e-11,1.9719479297669852e-11,1.7979069654920238e-11,1.758614087020444e-11,1.7502517763792525e-11,1.7424909173365204e-11,1.6990641784780574e-11
0.115,2.5678725481908332e-11,2.5335830219746811e-11,2.4356496372868651e-11,2.4188594302930289e-11,2.4166019849412188e-11,2.4148101341280046e-11,2.3885363619426521e-11
0.1175,3.0197853318376019e-11,3.0011847055734009e-11,2.9437591098103636e-11,2.9372253407090812e-11,2.9369401473658063e-11,2.936824652213314e-11,2.9249039832497752e-11
0.12,3.2947122511542565e-11,3.2816895629305427e-11,3.2411646106647415e-11,3.2382620878589095e-11,3.2382546941257141e-11,3.238257441026932e-11,3.2345693734746053e-11
