Physical Time (s),ev_right Monitor (kg-m/s^3): right_cv1,ev_right Monitor (kg-m/s^3): right_cv2,ev_right Monitor (kg-m/s^3): right_cv3,ev_right Monitor (kg-m/s^3): right_cv4,ev_right Monitor (kg-m/s^3): right_cv5,ev_right Monitor (kg-m/s^3): right_cv6,ev_right Monitor (kg-m/s^3): right_cv7
0.0025,1.2843090994034577e-06,3.1377697198726494e-10,1.3039721007864997e-14,2.780769245538467e-17,4.7205078673737383e-19,1.4531366322411382e-21,3.5719090537574126e-24
0.005,8.990650574399574e-06,3.3700948800568189e-08,6.1794012421706935e-12,6.1909896957072604e-15,4.2981918743522254e-17,6.553046347665608e-20,9.409183811001857e-23
0.0075,1.2125355067460294e-05,3.0205900549606435e-07,6.1197941740901172e-10,6.8785260440493611e-13,3.1355471920311921e-15,2.3102257947157711e-18,1.5243604092577552e-21
0.01,6.0846294275556386e-06,1.1130793806372978e-06,1.1087062278858984e-08,3.1062189940267935e-11,1.0589484245869605e-13,6.2438860070645643e-17,1.8710600468692573e-20
0.0125,2.1710026073656915e-06,2.1075743220528368e-06,6.7640175740843486e-08,6.4360504115545142e-10,2.1619854088511802e-12,1.1795243771485785e-15,1.9148043632316524e-19
0.015,1.1721277254123931e-06,2.1385522216271029e-06,2.1221179229937409e-07,5.893283565604345e-09,4.504678139703634e-11,1.2588678649024024e-14,1.6891457478062307e-18
0.0175,1.2958439154527507e-06,1.2128940279996335e-06,3.8889477283139501e-07,2.691825448396075e-08,5.8711106041428516e-10,5.1237350824021195e-14,1.3067545328300926e-17
0.02,1.4513043810094606e-06,3.5257552051832381e-07,4.0885080554807994e-07,6.9820056862203523e-08,3.6352204408524949e-09,2.5370386626137299e-13,1.6004382491413534e-17
0.0225,1.4048618979214594e-06,4.9955412891685955e-08,2.2886411738681369e-07,1.1005539523611728e-07,1.281239392102088e-08,7.63066093733198e-12,1.526177688519176e-17
0.025,1.2918362965034779e-06,5.0400094485359892e-09,3.9502731324025595e-08,1.0182110764488235e-07,2.8257253616475179e-08,7.9077482726815823e-11,2.5482120021409295e-16
0.0275,1.2351861948658296e-06,7.6348910221074294e-09,1.7615442625891932e-08,4.5291793027494554e-08,3.9451558460239243e-08,4.5177260611937566e-10,2.0195394849133395e-15
0.03,1.2706723711051098e-06,9.8740443674696042e-09,5.6213851774942554e-08,4.0544684139508261e-09,3.2488025745765345e-08,1.6473460246103856e-09,1.2588127342373076e-14
0.0325,1.4080903610635126e-06,1.1950420869702804e-08,5.2375519527664218e-08,1.4221818059009283e-08,1.204057972666665e-08,4.037513898973497e-09,7.9563802227807304e-14
0.035,1.6422542730145727e-06,2.3710910524630275e-08,2.6560253926452482e-08,3.3841161279464234e-08,1.3962986337699271e-09,6.7101803274145189e-09,5.0906618026651102e-13
0.0375,1.9345718740826716e-06,5.1218906239463632e-08,7.4807665234808842e-09,2.95167199709946e-08,9.008154893577429e-09,7.3188571899914687e-09,2.9762129076191521e-12
0.04,2.2241885241501329e-06,8.6935434621905371e-08,6.3917002771920932e-10,1.3868783796972387e-08,1.7582817987509289e-08,4.7279034997916978e-09,1.4529351719539203e-11
