Physical Time (s),massspec_vol Monitor (N): cv1,massspec_vol Monitor (N): cv2,massspec_vol Monitor (N): cv3,massspec_vol Monitor (N): cv4,massspec_vol Monitor (N): cv5,massspec_vol Monitor (N): cv6,massspec_vol Monitor (N): cv7
0.0025,6.146315513652941e-12,6.1470471704914433e-12,6.1469890531512274e-12,6.148150121002053e-12,6.148472827009363e-12,6.0968899663255587e-12,5.5180000451675169e-12
0.005,1.8280184868098362e-11,1.8282798058629712e-11,1.8282786698715334e-11,1.8282883066058221e-11,1.8284034565006014e-11,1.8271224803169644e-11,1.8347229996549555e-11
0.0075,2.3083574189073701e-11,2.309076878797353e-11,2.3090450662317186e-11,2.309032576102434e-11,2.3089429178136603e-11,2.3082523695817286e-11,2.3057600621943367e-11
0.01,2.4322120351096429e-11,2.4337944068352156e-11,2.4338960826846852e-11,2.4338831664154572e-11,2.4338090685305853e-11,2.4339065205532772e-11,2.4483384256621383e-11
0.0125,2.4601687921643226e-11,2.4623259619105438e-11,2.4622844454261829e-11,2.4620059036736942e-11,2.4621072756920495e-11,2.4619070021656025e-11,2.4571741835137569e-11
0.015,2.4562976797375992e-11,2.4588750772002882e-11,2.4590482010094689e-11,2.4588135109601627e-11,2.4587742788956384e-11,2.4585362260121614e-11,2.4578046270603268e-11
0.0175,2.4408542534542838e-11,2.4442652176722958e-11,2.444381187088718e-11,2.4441655791465727e-11,2.443981016885936e-11,2.4438301721044225e-11,2.4452669721795027e-11
0.02,2.4244312981847884e-11,2.428466797648875e-11,2.4284196896767092e-11,2.4285577314168496e-11,2.4287115058730166e-11,2.4286616207409082e-11,2.4285373743360458e-11
0.0225,2.406464289981531e-11,2.4113210360858543e-11,2.4109893247431258e-11,2.4109409064494235e-11,2.4111002190139456e-11,2.4112205210631111e-11,2.411547141668158e-11
0.025,2.3887964430362843e-11,2.39451188750938e-11,2.3945146597658699e-11,2.3947953256921161e-11,2.3947462292771819e-11,2.3948302451582548e-11,2.3951621261398571e-11
0.0275,2.3710373687979099e-11,2.377832543143445e-11,2.3776570656274395e-11,2.377418772030792e-11,2.3771922283320676e-11,2.3770547989416779e-11,2.3771150900640704e-11
0.03,2.3543600764234224e-11,2.3623661008360817e-11,2.3625026500369561e-11,2.3624337406855493e-11,2.3626326565379961e-11,2.3625224975231401e-11,2.3622774303680198e-11
0.0325,2.337072928850522e-11,2.346719782887912e-11,2.3468973028718017e-11,2.3467332399960672e-11,2.3468637927599918e-11,2.3475573968117994e-11,2.3472012175574344e-11
0.035,2.3201889218095949e-11,2.3316159174926485e-11,2.3316179441008401e-11,2.3313557817332332e-11,2.3313696765469067e-11,2.3308324664975765e-11,2.330333060432765e-11
0.0375,2.3052186267923693e-11,2.3190704590433604e-11,2.3193799620944438e-11,2.319185661071539e-11,2.3189580937509481e-11,2.3190729599109802e-11,2.3182573635985902e-11
0.04,2.2889832997421179e-11,2.3052254388905036e-11,2.3051965380298475e-11,2.3051728107660497e-11,2.3052538849119028e-11,2.3057291709438037e-11,2.3059182186004694e-11
0.0425,2.2744841824431853e-11,2.2942073072590319e-11,2.294449535810888e-11,2.2948543679221687e-11,2.2946327474929088e-11,2.2946116030432779e-11,2.2940429780038619e-11
0.045,2.260105925974782e-11,2.2838981276126452e-11,2.2841257221212405e-11,2.2843024748667633e-11,2.2845007663616836e-11,2.2846792411707437e-11,2.2845743892876065e-11
0.0475,2.2443689740723946e-11,2.2729978649389306e-11,2.2728854811657737e-11,2.2729619460544728e-11,2.2730006996362754e-11,2.2732707626263945e-11,2.2733148940260697e-11
