Physical Time (s),phi_alt_flux_bot Monitor (kg-m/s^3): bot_cv1,phi_alt_flux_bot Monitor (kg-m/s^3): bot_cv2,phi_alt_flux_bot Monitor (kg-m/s^3): bot_cv3,phi_alt_flux_bot Monitor (kg-m/s^3): bot_cv4,phi_alt_flux_bot Monitor (kg-m/s^3): bot_cv5,phi_alt_flux_bot Monitor (kg-m/s^3): bot_cv6,phi_alt_flux_bot Monitor (kg-m/s^3): bot_cv7
0.0025,3.7415401617288904e-14,4.0567747578196168e-14,4.2790230767797445e-14,4.2854768603098597e-14,4.2856167352070233e-14,4.2856217619106886e-14,4.2856218072485619e-14
0.005,1.5321803780829812e-12,1.5649404878277956e-12,1.7625407707372848e-12,1.772650714603514e-12,1.7728131245906231e-12,1.7728161654639351e-12,1.7728161691902262e-12
0.0075,1.7145299646341008e-11,1.0116076624371003e-11,1.0268384647618182e-11,1.0664490837355284e-11,1.0675845277390703e-11,1.0676028502439828e-11,1.0676028503331706e-11
0.01,1.072628438809429e-10,4.4844665354805135e-11,5.9952868744513e-12,8.2967801517897448e-12,8.5526254029961603e-12,8.5588317009798148e-12,8.5588312495272207e-12
0.0125,3.9609090302756547e-10,2.219756310597499e-10,-4.8543867237619816e-12,-1.64017715129314e-11,-1.4498155380213261e-11,-1.439247030313545e-11,-1.4392474683793579e-11
0.015,7.7168596365315637e-10,5.3809737484059384e-10,9.5355948691323985e-12,-9.4229817554668168e-11,-9.1022630290511149e-11,-9.0108757405089306e-11,-9.0108710181635891e-11
0.0175,7.9165320179292467e-10,6.6386618700316526e-10,-2.7624472740871709e-11,-3.3093593336456848e-10,-3.5209955770020242e-10,-3.4820133838649309e-10,-3.4819955193766858e-10
0.02,9.3582502008836833e-10,8.0723236403617846e-10,-2.0421895576538975e-11,-4.4939625769893719e-10,-5.067510851134164e-10,-4.9722567758477492e-10,-4.9721211986234341e-10
0.0225,1.5689826731044105e-09,1.4909692001598529e-09,6.4059436542610592e-10,9.9393430929434387e-11,2.3883589093998992e-11,4.1559966498250487e-11,4.1625683346312617e-11
0.025,5.6402808947044273e-10,5.5290015718570368e-10,1.2870509322767701e-10,-5.1083916803962402e-10,-6.0464162494764691e-10,-5.7155259670510983e-10,-5.712931326222743e-10
0.0275,-1.3713331708487189e-09,-1.3583793809200287e-09,-1.280986548465428e-09,-1.689522277722572e-09,-1.8752985176413871e-09,-1.8180538451077066e-09,-1.8172736898443589e-09
0.03,-1.9270893631606106e-09,-1.9098085146193912e-09,-1.5684566902669845e-09,-1.504969215464028e-09,-1.7455765774709707e-09,-1.6897874448081345e-09,-1.6880704230151035e-09
0.0325,-1.5577442561463711e-09,-1.5427390466545674e-09,-1.1461364547998661e-09,-7.3991907727760933e-10,-8.2942897306891448e-10,-8.3169558379440443e-10,-8.2858396133090425e-10
0.035,-9.0015751530600235e-10,-8.8997969343826754e-10,-5.6636836860405119e-10,-4.3614410103515778e-11,1.1316106696751871e-10,5.5101281176369077e-11,5.9421230809969762e-11
0.0375,-3.152707394392532e-10,-3.1246433868461183e-10,-1.2512996106247161e-10,3.4531028145280474e-10,6.5930206826027726e-10,6.1834073637731954e-10,6.189945207120828e-10
0.04,4.9093058520091752e-11,4.1791131411276998e-11,7.3855942069833677e-11,3.8479329533701527e-10,7.2875484580649599e-10,7.6825381822630284e-10,7.5270427366771356e-10
0.0425,2.889376936517333e-10,2.7168017511538372e-10,1.6224704662817737e-10,2.8036913396287527e-10,5.5802285399914786e-10,6.982868380120948e-10,6.5845926223339451e-10
0.045,4.8652010690403168e-10,4.6249192593169278e-10,2.5080223815154131e-10,2.0335204270762034e-10,3.629408038554958e-10,5.7558238965752064e-10,5.2719264611685783e-10
0.0475,6.358173963874635e-10,6.0978333399322514e-10,3.4758829003638495e-10,1.8805958741938793e-10,2.3201470321836988e-10,4.5314094681048042e-10,4.2421950550630472e-10
0.05,7.0281627981053452e-10,6.7813234250928847e-10,4.1168718989954961e-10,1.9383351171909179e-10,1.553997847825878e-10,3.3393926769415985e-10,3.3528341177695218e-10
0.0525,6.6473253465550477e-10,6.4584949649864501e-10,4.1404709369506211e-10,1.8730150191530256e-10,1.0238948021307568e-10,2.0739182721738565e-10,2.3945244237976564e-10
0.055,5.4980029663232935e-10,5.3694461084574624e-10,3.5694689703215603e-10,1.5603353409519439e-10,5.3043711949748392e-11,8.6892473453677362e-11,1.3790454273674445e-10
