Physical Time (s),phi_alt_flux_left Monitor (kg-m/s^3)
0.0025,-6.6023961420138424e-09
0.005,-4.1566885267145666e-08
0.0075,-8.7971847913665075e-08
0.01,-1.2834038704429593e-07
0.0125,-1.5317086184448908e-07
0.015,-5.7493802933658803e-08
0.0175,-3.9251881207351063e-08
0.02,-4.4055986658003933e-07
0.0225,-9.2811427961825282e-07
0.025,-1.1021792170299633e-06
0.0275,-1.0322263990502799e-06
0.03,-9.493833795560474e-07
0.0325,-9.1428713521968657e-07
0.035,-8.9982618504599512e-07
0.0375,-8.8163641636559162e-07
0.04,-8.6500996473873165e-07
0.0425,-8.5320372180534684e-07
0.045,-8.4358500139849678e-07
0.0475,-8.3269547589937957e-07
0.05,-8.2782387079250501e-07
0.0525,-8.1927476898123874e-07
0.055,-8.0870443274750114e-07
0.0575,-7.9752155815781944e-07
0.06,-7.8725926041073611e-07
0.0625,-7.7845392697018803e-07
0.065,-7.6346092633618982e-07
0.0675,-7.4773259686132285e-07
0.07,-7.3563503534073142e-07
0.0725,-7.2601987052011771e-07
0.075,-7.2069660621838226e-07
0.0775,-7.1847254857007957e-07
0.08,-7.1458274691078223e-07
0.0825,-7.0648650500332788e-07
0.085,-6.9611025738074505e-07
0.0875,-6.7970432139710126e-07
0.09,-6.6215529613479114e-07
0.0925,-6.4422602154008034e-07
0.095,-6.1507412667408639e-07
0.0975,-5.9468964824956453e-07
0.1,-5.8267344352994242e-07
0.1025,-5.7564669255935008e-07
0.105,-5.7318885694944515e-07
0.1075,-5.7081866009043181e-07
0.11,-5.6785863199236269e-07
0.1125,-5.6442837112033781e-07
0.115,-5.6019089302310806e-07
0.1175,-5.5458540746480791e-07
0.12,-5.4747716126051917e-07
0.1225,-5.3968253686296168e-07
0.125,-5.3201437375148286e-07
0.1275,-5.2315760004803932e-07
0.13,-5.1615819810113109e-07
0.1325,-5.1061444883884058e-07
0.135,-5.0634135958405963e-07
0.1375,-5.0306704993145472e-07
0.14,-5.0049058698331744e-07
0.1425,-4.9814543264995834e-07
0.145,-4.9555731062793306e-07
0.1475,-4.9241258665040278e-07
0.15,-4.8853689505585988e-07
0.1525,-4.8409973467416034e-07
0.155,-4.7909487975500679e-07
0.1575,-4.73598510496172e-07
0.16,-4.6763403306656306e-07
0.1625,-4.6157576555735686e-07
0.165,-4.5564370548275395e-07
0.1675,-4.4994993110719175e-07
0.17,-4.4457781293455149e-07
0.1725,-4.395402909246034e-07
0.175,-4.3481573244593013e-07
0.1775,-4.3033891091469028e-07
0.18,-4.2604561912888773e-07
0.1825,-4.2191376443282054e-07
0.185,-4.1797732274159509e-07
0.1875,-4.1418620853754827e-07
0.19,-4.1044469476641886e-07
0.1925,-4.0656957113358525e-07
0.195,-4.027576461630535e-07
0.1975,-3.988536245844293e-07
0.2,-3.9480908685581604e-07
0.2025,-3.9061906037865392e-07
0.205,-3.8643237622812698e-07
0.2075,-3.8182783687497218e-07
0.21,-3.7753579251374551e-07
0.2125,-3.7324116483861928e-07
0.215,-3.6911875450104555e-07
0.2175,-3.6505645126232537e-07
0.22,-3.6126947314119579e-07
0.2225,-3.5776623329950132e-07
0.225,-3.5446225532946023e-07
0.2275,-3.5131170430301225e-07
0.23,-3.482710178760827e-07
0.2325,-3.4529520292850541e-07
0.235,-3.4235675875698963e-07
0.2375,-3.3940852018113384e-07
0.24,-3.3640448816759875e-07
0.2425,-3.3335134595832377e-07
0.245,-3.3025803442123198e-07
0.2475,-3.2713579172878178e-07
0.25,-3.2402648658669449e-07
0.2525,-3.2098878110563712e-07
0.255,-3.1792904493861051e-07
0.2575,-3.1489536907626142e-07
0.26,-3.1190336635391521e-07
0.2625,-3.0897278301282437e-07
0.265,-3.0609966312607542e-07
0.2675,-3.0326336792065209e-07
0.27,-3.0046314734627185e-07
0.2725,-2.9773211374827658e-07
0.275,-2.9502546234981716e-07
0.2775,-2.9236304858092235e-07
0.28,-2.8972843589236655e-07
0.2825,-2.8711527454110593e-07
0.285,-2.8450693286961658e-07
0.2875,-2.819139030934526e-07
0.29,-2.79344127709844e-07
0.2925,-2.7681777231326034e-07
0.295,-2.7433788946758069e-07
0.2975,-2.718778162082153e-07
0.3,-2.6943952532043408e-07
0.3025,-2.6700469847404447e-07
0.305,-2.6458425954343405e-07
0.3075,-2.621918606281164e-07
0.31,-2.5981421897311967e-07
0.3125,-2.5746008601659229e-07
0.315,-2.5513159043800924e-07
0.3175,-2.5284748683551153e-07
0.32,-2.5062411420487514e-07
0.3225,-2.4846535490247245e-07
0.325,-2.4637074798164253e-07
0.3275,-2.4433977542785858e-07
0.33,-2.4235386846400046e-07
0.3325,-2.4041827084496682e-07
0.335,-2.3850366937514649e-07
0.3375,-2.3659806812322291e-07
0.34,-2.3470253653820526e-07
0.3425,-2.3281168160295822e-07
0.345,-2.3093279501074087e-07
0.3475,-2.2908487305495325e-07
0.35,-2.2724989955160962e-07
0.3525,-2.2543659474755969e-07
0.355,-2.2364359428853195e-07
0.3575,-2.2187817584297182e-07
0.36,-2.2014421498724964e-07
0.3625,-2.1844656868730984e-07
0.365,-2.1678158793902472e-07
0.3675,-2.1514957985705184e-07
0.37,-2.1355892657165918e-07
0.3725,-2.119971969001294e-07
0.375,-2.1047075613592972e-07
0.3775,-2.0898416125030423e-07
0.38,-2.0752617854527011e-07
0.3825,-2.060855080220413e-07
0.385,-2.0465951193873867e-07
0.3875,-2.0325642678607986e-07
0.39,-2.0186265312177369e-07
0.3925,-2.0048269311367596e-07
0.395,-1.9911825078446226e-07
0.3975,-1.9775981128233704e-07
0.4,-1.9641459613397795e-07
0.4025,-1.9508003118322178e-07
0.405,-1.9371420968581579e-07
0.4075,-1.9241478438015194e-07
0.41,-1.9115602516891293e-07
0.4125,-1.8992202486852123e-07
0.415,-1.8869962832300984e-07
0.4175,-1.8739815994372582e-07
0.42,-1.8604230113122298e-07
0.4225,-1.8471117230602467e-07
0.425,-1.8339514310848663e-07
0.4275,-1.8208207037780162e-07
0.43,-1.8076658234699116e-07
0.4325,-1.7945513019634685e-07
0.435,-1.7815566143757366e-07
0.4375,-1.7687414646593723e-07
0.44,-1.7560612534886221e-07
0.4425,-1.743595355794282e-07
0.445,-1.7304957415920203e-07
0.4475,-1.7172743739361799e-07
0.45,-1.7042386161551178e-07
0.4525,-1.6915165204571263e-07
0.455,-1.6790438061419817e-07
0.4575,-1.6668207300612903e-07
0.46,-1.65519578331858e-07
0.4625,-1.6438961712641572e-07
0.465,-1.6326384442106634e-07
0.4675,-1.6215172625536031e-07
0.47,-1.6104342059046551e-07
0.4725,-1.5994272217876468e-07
0.475,-1.5884199333094886e-07
0.4775,-1.5775734909114532e-07
0.48,-1.5668525690998563e-07
0.4825,-1.5563135423790703e-07
0.485,-1.5463341579766528e-07
0.4875,-1.5351707635360197e-07
0.49,-1.5261240396423305e-07
0.4925,-1.5168857810757012e-07
0.495,-1.5075770012188331e-07
0.4975,-1.4981420227966959e-07
0.5,-1.4887517131177451e-07
0.5025,-1.479467525485735e-07
0.505,-1.4701298630237567e-07
0.5075,-1.4610203473367258e-07
0.51,-1.4518618031138755e-07
0.5125,-1.4426719882622901e-07
0.515,-1.4335498489090142e-07
0.5175,-1.4247078218413904e-07
0.52,-1.4158553690334734e-07
0.5225,-1.4070052319045684e-07
0.525,-1.3990682320008205e-07
0.5275,-1.3902981199318255e-07
0.53,-1.3811975885701599e-07
0.5325,-1.3718603450684404e-07
0.535,-1.3624772573491268e-07
0.5375,-1.3531029074047668e-07
0.54,-1.3438734723376843e-07
0.5425,-1.3347069123002255e-07
0.545,-1.3255341415199345e-07
0.5475,-1.3163220427316338e-07
0.55,-1.3070844939919522e-07
0.5525,-1.2974051509967292e-07
0.555,-1.2874558282701277e-07
0.5575,-1.2772262799379245e-07
0.56,-1.2668475636374418e-07
0.5625,-1.2562790033761857e-07
0.565,-1.2456463878893108e-07
0.5675,-1.2350396258274934e-07
0.57,-1.2244713857749188e-07
0.5725,-1.214061507094143e-07
0.575,-1.2037436612200972e-07
0.5775,-1.1935392046372277e-07
0.58,-1.1834426282940492e-07
0.5825,-1.1735157095136931e-07
0.585,-1.163762855657036e-07
0.5875,-1.1542464268026978e-07
0.59,-1.1449361825567481e-07
0.5925,-1.1358110954681243e-07
0.595,-1.1268771309383108e-07
0.5975,-1.1182115960289063e-07
0.6,-1.1096033495009133e-07
0.6025,-1.1010748075140784e-07
0.605,-1.092685443506926e-07
0.6075,-1.08437061999245e-07
0.61,-1.076113271593198e-07
0.6125,-1.0678871423174303e-07
0.615,-1.0597366670461856e-07
0.6175,-1.0516635202966864e-07
0.62,-1.0436210909606268e-07
0.6225,-1.0356699917797856e-07
0.625,-1.0278094774992739e-07
0.6275,-1.0199938858384486e-07
0.63,-1.0121614897797988e-07
0.6325,-1.0043138425161115e-07
0.635,-9.9650824557181707e-08
0.6375,-9.8860039444430864e-08
0.64,-9.8067381202826466e-08
0.6425,-9.726272858106236e-08
0.645,-9.6450904999232e-08
0.6475,-9.5629492556617034e-08
0.65,-9.4794704299367048e-08
0.6525,-9.3950933181460994e-08
0.655,-9.3100960019336037e-08
0.6575,-9.2248045309060906e-08
0.66,-9.1389165618387099e-08
0.6625,-9.0524933799250065e-08
0.665,-8.9663957259419647e-08
0.6675,-8.8808608088017767e-08
0.67,-8.7958904691915059e-08
0.6725,-8.711654778902413e-08
0.675,-8.6278287106503324e-08
0.6775,-8.5443782761079919e-08
0.68,-8.4612335471103156e-08
0.6825,-8.3783911651225028e-08
0.685,-8.295760649743342e-08
0.6875,-8.2133683805240409e-08
0.69,-8.1309211776534952e-08
0.6925,-8.0483581675788174e-08
0.695,-7.9653501456625294e-08
0.6975,-7.8819043458375251e-08
0.7,-7.7982720949606765e-08
0.7025,-7.7138729558360383e-08
0.705,-7.6289267712397158e-08
0.7075,-7.5428525868457353e-08
0.71,-7.4562672235031161e-08
0.7125,-7.3696659425618315e-08
0.715,-7.2820180674947355e-08
0.7175,-7.1943905946583934e-08
0.72,-7.1062884554511676e-08
0.7225,-7.0179942308365215e-08
0.725,-6.9297321205167885e-08
0.7275,-6.8415226683592798e-08
0.73,-6.7536107077511304e-08
0.7325,-6.6657657309866424e-08
0.735,-6.5779812146531515e-08
0.7375,-6.490526699488228e-08
0.74,-6.4033118164136436e-08
0.7425,-6.315755586315335e-08
0.745,-6.2284396271513471e-08
0.7475,-6.140693051526065e-08
0.75,-6.0533649895963104e-08
0.7525,-5.965536694253957e-08
0.755,-5.8773934039604408e-08
0.7575,-5.789183494332444e-08
0.76,-5.7003479768089438e-08
0.7625,-5.6108569279562465e-08
0.765,-5.5203391272998961e-08
0.7675,-5.429116940868368e-08
0.77,-5.3330434385496713e-08
0.7725,-5.2392467246523166e-08
0.775,-5.1457701930264877e-08
0.7775,-5.052022575174378e-08
0.78,-4.9578262042949474e-08
0.7825,-4.8623207945016621e-08
0.785,-4.766769263660057e-08
0.7875,-4.6707330148272683e-08
0.79,-4.5745849529689208e-08
0.7925,-4.4788162886186565e-08
0.795,-4.3826349419399847e-08
0.7975,-4.2871572072305073e-08
0.8,-4.1916158836432641e-08
0.8025,-4.0970798386684806e-08
0.805,-4.0036012040351848e-08
0.8075,-3.9107857151468264e-08
0.81,-3.8196809897080527e-08
0.8125,-3.7301475667331096e-08
0.815,-3.6416931630707604e-08
0.8175,-3.5547433093288036e-08
0.82,-3.4696631746234671e-08
0.8225,-3.3859672918753306e-08
0.825,-3.304547423023785e-08
0.8275,-3.2252387720271089e-08
0.83,-3.1472036705363091e-08
0.8325,-3.072480772803671e-08
0.835,-2.9998946371421306e-08
0.8375,-2.9298537194039351e-08
0.84,-2.8616078907523945e-08
0.8425,-2.7953525528257839e-08
0.845,-2.7316057911990143e-08
0.8475,-2.6698243241811535e-08
0.85,-2.6102200461089742e-08
0.8525,-2.552529643672413e-08
0.855,-2.4965053901589227e-08
0.8575,-2.4430102547253211e-08
0.86,-2.391544612862983e-08
0.8625,-2.3418810781161814e-08
0.865,-2.294209280142832e-08
0.8675,-2.249389251559838e-08
0.87,-2.2065006595116628e-08
0.8725,-2.1662783263756316e-08
0.875,-2.1288503821917974e-08
0.8775,-2.093407446340181e-08
0.88,-2.06090719294007e-08
0.8825,-2.0302837010314913e-08
0.885,-2.0036384038020111e-08
0.8875,-1.9804710371067358e-08
0.89,-1.9600238963939432e-08
0.8925,-1.9430914431027316e-08
0.895,-1.9289890399258182e-08
0.8975,-1.9183009726817221e-08
0.9,-1.9104738155483847e-08
0.9025,-1.9061087652589373e-08
0.905,-1.9042348156091223e-08
0.9075,-1.9045121186515045e-08
0.91,-1.9075282155664288e-08
0.9125,-1.9134489222243514e-08
0.915,-1.9228431912520009e-08
0.9175,-1.9342057268976295e-08
0.92,-1.9474894894715267e-08
0.9225,-1.9631327305322575e-08
0.925,-1.9811201153528751e-08
0.9275,-2.0009629089448965e-08
0.93,-2.022769397542037e-08
0.9325,-2.0465463262590395e-08
0.935,-2.0720685606860752e-08
0.9375,-2.0986844851321698e-08
0.94,-2.1271352953018096e-08
0.9425,-2.1575870094146219e-08
0.945,-2.1897109408107878e-08
0.9475,-2.2230942321804907e-08
0.95,-2.257348474107141e-08
0.9525,-2.2940201620927124e-08
0.955,-2.3322478763072536e-08
0.9575,-2.3714917445624226e-08
0.96,-2.4123701979961119e-08
0.9625,-2.4549535626422388e-08
0.965,-2.4994732614650587e-08
0.9675,-2.5454410275019226e-08
0.97,-2.59274799730865e-08
0.9725,-2.6419684753306634e-08
0.975,-2.6928334232833305e-08
0.9775,-2.7458897424615861e-08
0.98,-2.8002926831378589e-08
0.9825,-2.8568716454698183e-08
0.985,-2.9152573305490081e-08
0.9875,-2.9746576708050857e-08
0.99,-3.0360078938259858e-08
0.9925,-3.0994421089070899e-08
0.995,-3.1640551904747116e-08
0.9975,-3.2301573191069636e-08
1.0,-3.2980191575469419e-08
1.0025,-3.3670560451950903e-08
1.005,-3.4371024016121067e-08
1.0075,-3.508583659315531e-08
1.01,-3.5805192542636521e-08
1.0125,-3.6537181308214974e-08
1.015,-3.7273246941211773e-08
1.0175,-3.8018898320745912e-08
1.02,-3.8766567478193572e-08
1.0225,-3.9514849095720508e-08
1.025,-4.0268146232017201e-08
1.0275,-4.1019368563927011e-08
1.03,-4.1773531554808989e-08
1.0325,-4.2523175529694187e-08
1.035,-4.3266877946610541e-08
1.0375,-4.4005665165050464e-08
1.04,-4.4732266578303829e-08
