Physical Time (s),phi_alt_flux_right Monitor (kg-m/s^3): right_cv1,phi_alt_flux_right Monitor (kg-m/s^3): right_cv2,phi_alt_flux_right Monitor (kg-m/s^3): right_cv3,phi_alt_flux_right Monitor (kg-m/s^3): right_cv4,phi_alt_flux_right Monitor (kg-m/s^3): right_cv5,phi_alt_flux_right Monitor (kg-m/s^3): right_cv6,phi_alt_flux_right Monitor (kg-m/s^3): right_cv7
0.0025,9.5025988910644564e-06,-4.4709963157831149e-08,-1.9315775241482067e-09,-1.6207688488478708e-10,-3.2529115723318266e-11,-7.6532216752278205e-12,-5.8581723305449959e-12
0.005,1.2943960568334307e-05,1.9595234305013046e-07,-1.4186126307604971e-08,-1.2255681939757476e-09,-1.844704943569359e-10,-2.5473119122851689e-11,-2.1171038155834873e-11
0.0075,4.6493402472823064e-05,8.3863533485220775e-07,-2.4418532687710465e-08,-6.8960341828754475e-09,-1.053334649653252e-09,-8.1697139366906736e-11,-5.8347803589382177e-11
0.01,8.733459934547535e-05,1.3915519332519101e-06,6.8470543493525138e-08,-1.9755005752628967e-08,-4.5232876631019123e-09,-2.3492277604921968e-10,-1.3526402812358542e-10
0.0125,9.9876067577274984e-05,1.8786951825903612e-06,2.5821731294802107e-07,-1.8866484560845694e-08,-1.2979589597176066e-08,-6.5062575561383478e-10,-2.6930920668517841e-10
0.015,0.00010407043916245323,3.7800554888899779e-06,3.966772640188621e-07,2.9920092409249576e-08,-2.2080370728763205e-08,-1.7499819164136775e-09,-4.921407806886633e-10
0.0175,0.00010762993795510071,5.7656613047588178e-06,4.5624633821919458e-07,1.1748581408148245e-07,-1.1391972947993606e-08,-4.2416627623187236e-09,-7.890855321663655e-10
0.02,0.0001134001522906082,6.1298214447950908e-06,7.0812182422336578e-07,1.4041198641366202e-07,7.7091489759892605e-09,-5.92539990130669e-09,-9.4626905908611931e-10
0.0225,0.00012096931868141475,6.5115720923603715e-06,1.1869523293029036e-06,1.5934542703228981e-07,2.3484344979172235e-08,-7.8679935194635442e-09,-1.1218497182157791e-09
0.025,0.00012921548808539278,6.7212779454051531e-06,1.4839471995069356e-06,3.1484260012758417e-07,2.1599437272088652e-08,-8.733448072840734e-09,-1.3717009846819725e-09
0.0275,0.0001378970084763154,6.8168394012096328e-06,1.4500690180424384e-06,5.6784439122210038e-07,4.2646849682493349e-08,-5.6259589103480811e-09,-1.7161077692439302e-09
0.03,0.00014759783932893862,6.9515933028933302e-06,1.509250750354515e-06,6.8002486601273815e-07,1.497463954220042e-07,1.1879226396232547e-09,-2.1506088868845848e-09
0.0325,0.00015899229455163636,7.1401102418609224e-06,1.5820751368987495e-06,6.4727246675730357e-07,2.938050358824854e-07,6.1008397558690728e-09,-2.6778940200902126e-09
0.035,0.00017226329389631497,7.3662629923354535e-06,1.5972195919556037e-06,6.7425439686301032e-07,3.5143752816376848e-07,1.3422124091181278e-08,-3.2615493069912056e-09
0.0375,0.00018703183623278483,7.620663583424385e-06,1.5964417673988366e-06,7.4619627947500348e-07,3.3101444923260852e-07,3.5749399342604971e-08,-3.7380029266376876e-09
0.04,0.00020269192346656341,7.9016222686076078e-06,1.6039409010718746e-06,7.7681033419568168e-07,3.4375016260255345e-07,8.1431735197655697e-08,-3.942635594096224e-09
0.0425,0.00021870268137755419,8.2117331361064445e-06,1.6209649937933596e-06,7.7304271221162206e-07,3.8967868931567281e-07,1.2363582467733218e-07,-3.0879335953610826e-09
0.045,0.00023459512458255848,8.5496643042036011e-06,1.6429855955663056e-06,7.646568399971312e-07,4.1163753931501178e-07,1.2969442462369259e-07,-1.4469456260422983e-09
