Physical Time (s),phi_vol Monitor (kg-m/s^3): cv1,phi_vol Monitor (kg-m/s^3): cv2,phi_vol Monitor (kg-m/s^3): cv3,phi_vol Monitor (kg-m/s^3): cv4,phi_vol Monitor (kg-m/s^3): cv5,phi_vol Monitor (kg-m/s^3): cv6,phi_vol Monitor (kg-m/s^3): cv7
0.0025,0.00054917927120693214,0.00054938476219528257,0.00054938488169640326,0.00054938488170023136,0.00054938488170023971,0.00054938488170023982,0.00054938488170023982
0.005,0.00031284699614648673,0.0003142410552123445,0.00031426239869711411,0.00031426240560139518,0.00031426240560796832,0.000314262405607999,0.00031426240560799906
0.0075,0.00012161335045569073,0.0001228037008797618,0.00012290053432805395,0.00012290124363709134,0.00012290124504823327,0.00012290124505302778,0.00012290124505302897
0.01,7.1366201533917099e-05,7.2592335577354315e-05,7.279590173655867e-05,7.2804694321806432e-05,7.2804768199841429e-05,7.2804768583047876e-05,7.2804768583093887e-05
0.0125,5.8955162105375449e-05,5.9860006196094018e-05,6.0111093174628353e-05,6.0143205727020648e-05,6.0144306483409458e-05,6.0144319502045059e-05,6.0144319503599053e-05
0.015,5.6245925422684631e-05,5.6908028993617692e-05,5.7167176488884444e-05,5.7226364548805582e-05,5.7232479976819429e-05,5.7232673579603766e-05,5.7232673620641543e-05
0.0175,5.2910387259459621e-05,5.3353692248868216e-05,5.3631166000339331e-05,5.369391999640141e-05,5.3709865491264286e-05,5.3711230481234407e-05,5.371123125559211e-05
0.02,4.8057108530864503e-05,4.8356516504833026e-05,4.8599748769800821e-05,4.8647215196550301e-05,4.8669525567077202e-05,4.8674494211903723e-05,4.8674503193527755e-05
0.0225,4.3673571771543096e-05,4.3922178410173751e-05,4.40662442539195e-05,4.4124863675553025e-05,4.4142476100940178e-05,4.4152968510085865e-05,4.4153037972561716e-05
0.025,4.0563057490077529e-05,4.0796269102631163e-05,4.0878008989205218e-05,4.0959771922784867e-05,4.0975550632376006e-05,4.0989002212076053e-05,4.0989361255343304e-05
0.0275,3.8576001273705037e-05,3.8809862896157198e-05,3.8891529955676657e-05,3.8954577603261864e-05,3.8988368505946501e-05,3.9000235282298574e-05,3.9001463725977751e-05
0.03,3.7396519061420194e-05,3.7638979191481121e-05,3.770849713749351e-05,3.7745598812462593e-05,3.7794454263158669e-05,3.7808148817063132e-05,3.7810942555958046e-05
0.0325,3.6874320592692807e-05,3.7128014096738677e-05,3.7178652949042357e-05,3.7209794955899308e-05,3.7246105962670782e-05,3.7271077497222665e-05,3.727530616354078e-05
0.035,3.6944627502071792e-05,3.7212243954910982e-05,3.7254169452073419e-05,3.7280205633509368e-05,3.7299012779656859e-05,3.733497569592443e-05,3.7339396053176043e-05
0.0375,3.749209132450323e-05,3.7778882891364764e-05,3.7819218037527776e-05,3.783479087254965e-05,3.7850817240527758e-05,3.7886924808774655e-05,3.7891304001977048e-05
0.04,3.8257034882718855e-05,3.8567139606282635e-05,3.8607851839340803e-05,3.8615274784348882e-05,3.8631909160100526e-05,3.8661046493234502e-05,3.8668135416940414e-05
0.0425,3.8923410869814862e-05,3.9257438060133842e-05,3.9297738450793745e-05,3.9301393096415826e-05,3.931352669165035e-05,3.9335257295922112e-05,3.9347941254952189e-05
0.045,3.9282409377506071e-05,3.9638429072434147e-05,3.9676870044559805e-05,3.9679112875650549e-05,3.9685211499101859e-05,3.9701927393222531e-05,3.9718698249180963e-05
0.0475,3.9312611811023195e-05,3.9688231817632334e-05,3.9723674282245746e-05,3.972532181568144e-05,3.9727737794546121e-05,3.9742022974233918e-05,3.9758547772414512e-05
0.05,3.9129936866311103e-05,3.952414862776752e-05,3.9556047204000615e-05,3.9557399289608526e-05,3.9558353215467464e-05,3.9570766650147577e-05,3.9585249084928893e-05
0.0525,3.8889840352953477e-05,3.9303870598701616e-05,3.9332447369109404e-05,3.933364427238384e-05,3.9334172000381094e-05,3.9343294160336429e-05,3.9357164953241742e-05
