Physical Time (s),xth_bot Monitor (kg-m/s^3): bot_cv1,xth_bot Monitor (kg-m/s^3): bot_cv2,xth_bot Monitor (kg-m/s^3): bot_cv3,xth_bot Monitor (kg-m/s^3): bot_cv4,xth_bot Monitor (kg-m/s^3): bot_cv5,xth_bot Monitor (kg-m/s^3): bot_cv6,xth_bot Monitor (kg-m/s^3): bot_cv7
0.0025,3.20736415047333e-19,1.8260120610279441e-20,9.1275503897570854e-20,8.9356767215724703e-20,9.067027363889206e-20,9.0641645476665181e-20,9.0666777206621369e-20
0.005,3.9879719120860502e-18,3.5017943087564574e-18,3.0550034693335663e-18,3.1334557169449084e-18,3.1181540642678869e-18,3.1181273456989052e-18,3.1181557954807799e-18
0.0075,2.3252746191341441e-18,5.895097568349279e-17,7.08876256208323e-17,7.0785883365087513e-17,7.0786356703367844e-17,7.0769927973952984e-17,7.0769928719378012e-17
0.01,3.2705292740625483e-19,1.0514930504373792e-16,9.9103724285210699e-17,9.0541772048917861e-17,9.2502210178496822e-17,9.266794747982525e-17,9.2668893646041124e-17
0.0125,7.4261756451748067e-16,1.0950682443422805e-15,1.0526878204368557e-15,1.0099753647759096e-15,1.0258059286558711e-15,1.0254401861269313e-15,1.0254386457281695e-15
0.015,-5.9551314044109248e-17,1.1006455671244296e-16,9.9647302395073063e-16,8.6727322669909122e-16,8.6000940042386744e-16,8.5946724703835578e-16,8.5944678930253877e-16
0.0175,6.7269175584695841e-16,7.1569901448794373e-16,3.2822516474584558e-16,1.5894408836409573e-16,5.2775326153889373e-17,4.5251820890508111e-17,4.530490849332036e-17
0.02,7.1738873607509883e-16,6.6069794557488815e-16,6.325390911087643e-18,-6.7815646919979765e-16,-7.1420911397449461e-16,-7.6748447914119749e-16,-7.677985474298066e-16
0.0225,2.9267804355169088e-16,2.5476565245471356e-16,3.0312761760688384e-16,3.2265481540017217e-16,3.3135166659241271e-16,3.6630491116987832e-16,3.6595900849247475e-16
0.025,2.8864291771386454e-16,2.8754263527814659e-16,2.1768462640780275e-16,5.117117745502532e-16,1.2019238217133826e-16,-3.6662120735718157e-17,-2.9296929187538559e-17
0.0275,3.9417008374903556e-16,3.9892620364898537e-16,3.9034140394258308e-16,1.1031559369879606e-16,-4.2355756878677583e-16,-4.9149522562208375e-16,-4.8921375069126681e-16
0.03,-1.1351916981663336e-15,-1.1196326727707496e-15,-1.0617169088929889e-15,-1.0857508992696668e-15,-9.6478931966739077e-16,-8.8113956359710321e-16,-8.5633092574523097e-16
0.0325,-7.0677158826767294e-16,-7.2153092777263796e-16,-9.7603942807523982e-16,-1.0182785220493051e-15,-1.006839123694618e-15,-9.7857836470412837e-16,-1.00034598883682e-15
0.035,1.9475952833756702e-16,2.0929579175305013e-16,4.4519934421969206e-16,6.0419655347708279e-16,6.4341514488287545e-16,4.1571728851238151e-16,4.4291763543673143e-16
0.0375,-1.2815390793946747e-16,-1.3280204839104596e-16,-9.4315572487401552e-17,-2.3892072655470276e-16,-7.2154406683821489e-17,1.4867928011855393e-18,3.9924786093503337e-17
0.04,2.8192041892367676e-18,-4.8270028119857814e-18,8.8983388351159198e-18,1.4419009025280708e-16,1.1850802828305936e-16,3.5608771286998476e-17,-8.3990161237045393e-17
0.0425,-1.9384999564397774e-16,-1.856588814235601e-16,-1.623000153280068e-16,-1.6568125568660423e-16,-2.5660013930457838e-16,3.234782541317721e-17,8.7443977540282636e-17
0.045,1.8251477104106645e-16,1.6125093443554518e-16,1.1799629749536494e-16,1.2921637537611978e-16,1.1496075874075976e-16,7.0563675093703596e-18,1.6053323584110926e-16
0.0475,6.0563877065176599e-17,7.9955504291689341e-17,2.7932291148055302e-16,2.7485903893274009e-16,3.1760815106811908e-16,4.525150490868801e-16,4.662814651726281e-16
0.05,-2.6978006631081073e-16,-2.3052687469320996e-16,-2.8148907211149402e-16,-3.3081107382650067e-16,-3.6154688331113962e-16,-2.6599949568100594e-16,-1.1273004245190611e-16
0.0525,2.551120336763477e-16,2.2980356182451922e-16,1.8886287920099316e-16,2.9625222975329531e-16,1.9033769304557075e-16,2.9421261968905891e-16,6.8795931767264794e-17
0.055,6.4176892762079309e-17,2.4814422334402616e-17,5.9165712810525102e-17,5.8311722773401603e-17,7.8991711903467984e-17,1.8010236330062756e-16,2.6584957893393741e-16
0.0575,-1.3610348921787143e-16,-1.4013503125862198e-16,-1.3975667437940703e-16,-1.8963869767313973e-16,-1.3948781760820235e-16,-1.8785972413942785e-16,-2.6319006929622857e-18
0.06,-2.0974166934767301e-17,-4.4341506380982862e-17,-2.7906665612152552e-17,-2.9127808589019329e-17,-2.8620315513949427e-17,-6.3086678006467572e-17,-2.5112000072909417e-16
