Physical Time (s),Etau_left Monitor (kg-m/s^3)
5.063e-05,-3.3454242234388094e-12
0.00010127,-1.344707218456208e-11
0.00015191,-4.6678556741527075e-11
0.00020254,-1.5027043122842271e-10
0.00025318,-4.5539877135228396e-10
0.00030381,-1.3037658955510915e-09
0.00035444,-3.5557641985018624e-09
0.00040508,-9.4140903173413599e-09
0.00045571,-2.4861130243048794e-08
0.00050635,-6.7349481419466095e-08
0.00055698,-1.5807377211216671e-07
0.00060762,-3.2481844684308444e-07
0.00065825,-6.2624151988518753e-07
0.00070889,-1.1445631057561126e-06
0.00075952,-1.9714899222137676e-06
0.00081016,-3.1501232552279746e-06
0.0008608,-4.5763216400045116e-06
0.00091143,-5.9043481769163548e-06
0.00096207,-6.5400578125713688e-06
0.0010127,-5.9138085763330498e-06
0.00106333,-3.9287078590714667e-06
0.00111397,-8.9787385067027985e-07
0.0011646,8.2622834982683582e-07
0.00121524,9.5321021942587318e-07
0.00126588,-2.0713174308269794e-07
0.00131651,-1.3780776605078645e-06
0.00136714,-1.226893877953444e-06
0.00141778,5.391867959864854e-07
0.00146842,2.9484504358500777e-06
0.00151905,4.5058187997876892e-06
0.00156968,4.3561990656145675e-06
0.00162032,3.0276966071144209e-06
0.00167096,1.2485481633692266e-06
0.00172159,-2.7816686864123902e-07
0.00177222,-1.2270406233310244e-06
0.00182286,-1.5856843216158858e-06
0.00187349,-1.4770521150031506e-06
0.00192413,-1.0326962332580161e-06
0.00197476,-5.7829600596670361e-07
0.0020254,-3.274847759847951e-07
0.00207603,-2.004531397428366e-07
0.00212667,-1.564025128714942e-07
0.00217731,-1.4132579557525004e-07
0.00222794,-1.2052307857384284e-07
0.00227858,-9.1021074262978619e-08
0.00232921,-9.5272311648653871e-08
0.00237984,-1.7895638000316468e-07
0.00243048,-3.0465874182243306e-07
0.00248111,-4.6112545747583022e-07
0.00253175,-6.3360306808375639e-07
0.00258238,-7.9088667098671869e-07
0.00263302,-9.0947275187756698e-07
0.00268366,-9.7799185991346278e-07
0.00273429,-9.9544022698901372e-07
0.00278492,-9.6285761163584455e-07
0.00283556,-9.0493801257238256e-07
0.00288619,-8.2338252714652067e-07
0.00293683,-7.5662504197783271e-07
0.00298746,-7.114545507432682e-07
0.0030381,-6.8760636614666397e-07
0.00308874,-6.7882214059182702e-07
0.00313937,-6.7900824709063193e-07
0.00319001,-6.8306244523100389e-07
