Physical Time (s),Etau_top Monitor (kg-m/s^3): top_cv1,Etau_top Monitor (kg-m/s^3): top_cv2,Etau_top Monitor (kg-m/s^3): top_cv3,Etau_top Monitor (kg-m/s^3): top_cv4,Etau_top Monitor (kg-m/s^3): top_cv5,Etau_top Monitor (kg-m/s^3): top_cv6,Etau_top Monitor (kg-m/s^3): top_cv7
5.063e-05,-1.6217223677131104e-12,-1.5872941395354396e-12,-1.532273994839806e-12,-1.518990833688293e-12,-1.5168242187820419e-12,-1.516222152028532e-12,-1.516146536763801e-12
0.00010127,-6.5095041609958969e-12,-6.3658340353401943e-12,-6.1588932828715174e-12,-6.1137919029609409e-12,-6.1069178059480198e-12,-6.1052159158145581e-12,-6.1050201412687886e-12
0.00015191,-2.2787450940019736e-11,-2.2293487183732674e-11,-2.165326513144063e-11,-2.1528712796179953e-11,-2.1511163472172027e-11,-2.1507246108930454e-11,-2.1506835481316427e-11
0.00020254,-7.368260772188994e-11,-7.2108774653280365e-11,-7.026097881199476e-11,-6.9942337028493171e-11,-6.9901381974285651e-11,-6.9893089174989008e-11,-6.9892301799506413e-11
0.00025318,-2.2168503466351337e-10,-2.1684323117282156e-10,-2.1167826167907978e-10,-2.1089753367286134e-10,-2.108066751877336e-10,-2.1078993438523159e-10,-2.1078845419634587e-10
0.00030381,-6.2347063773913059e-10,-6.0899501732890291e-10,-5.9481714815982179e-10,-5.9294472063780739e-10,-5.9274900170818601e-10,-5.9271686146694078e-10,-5.9271425453481735e-10
0.00035444,-1.649281468144411e-09,-1.6073713428459916e-09,-1.5690701738863958e-09,-1.5646315912802393e-09,-1.5642186903897939e-09,-1.5641594173081094e-09,-1.5641551896368878e-09
0.00040508,-4.1794800775464839e-09,-4.0637991921595633e-09,-3.9627499366162245e-09,-3.9523140697809693e-09,-3.9514561210274597e-09,-3.9513490973884946e-09,-3.9513426071627167e-09
0.00045571,-1.0378239934896279e-08,-1.0079320434459939e-08,-9.8220794682754752e-09,-9.7977190059217952e-09,-9.7959528328370821e-09,-9.7957618438236027e-09,-9.795752285442681e-09
0.00050635,-2.5762491368720771e-08,-2.505815657799362e-08,-2.4437940018844512e-08,-2.4381478156772605e-08,-2.4377839691278074e-08,-2.4377497290392984e-08,-2.4377483510837188e-08
0.00055698,-5.9193048609235556e-08,-5.7748480267614477e-08,-5.6373008531979672e-08,-5.6243971897729952e-08,-5.6236437077482377e-08,-5.623581376212185e-08,-5.6235793674259063e-08
0.00060762,-1.1622755739231271e-07,-1.1392024908543133e-07,-1.1125409795881547e-07,-1.1096732412626273e-07,-1.109516229670966e-07,-1.1095047555232256e-07,-1.1095044627042862e-07
0.00065825,-2.1016809340916967e-07,-2.0823917896136638e-07,-2.0421796184962606e-07,-2.0360970329748865e-07,-2.0357692437500911e-07,-2.0357479185632339e-07,-2.0357475002740598e-07
0.00070889,-3.5539450493244869e-07,-3.5257701929014419e-07,-3.4762753849497049e-07,-3.4642673083368615e-07,-3.4635874715330078e-07,-3.4635473743277804e-07,-3.4635467814996539e-07
0.00075952,-5.6408174124774811e-07,-5.6116531235722109e-07,-5.5487857205011572e-07,-5.5275758392341213e-07,-5.5261893551302073e-07,-5.5261131219101998e-07,-5.5261122845038338e-07
0.00081016,-8.3242034861603306e-07,-8.3201282122248079e-07,-8.2475319816794311e-07,-8.2165836115943696e-07,-8.2138356287159401e-07,-8.2136896036304916e-07,-8.2136884252491768e-07
0.0008608,-1.1291388290328967e-06,-1.1361531975461103e-06,-1.1300747940992604e-06,-1.1261155795927898e-06,-1.1255936824872041e-06,-1.1255656938458742e-06,-1.1255655289917548e-06
0.00091143,-1.3895461673409452e-06,-1.4101431890226034e-06,-1.4098281314090442e-06,-1.4047776819258978e-06,-1.4038440603794068e-06,-1.4037908155737073e-06,-1.4037905871757825e-06
0.00096207,-1.5288839950000298e-06,-1.567279617166333e-06,-1.5769633580053894e-06,-1.5708868138409976e-06,-1.5693508000323228e-06,-1.5692511104731137e-06,-1.569250802021785e-06
0.0010127,-1.4643302122045921e-06,-1.5180521677871798e-06,-1.5362029686511074e-06,-1.5295730744579171e-06,-1.5273405180022861e-06,-1.5271583709158693e-06,-1.5271579719887395e-06
0.00106333,-1.1479346334303878e-06,-1.206499222076929e-06,-1.2193493901251205e-06,-1.2128094690986285e-06,-1.2100776310338361e-06,-1.2097558887223441e-06,-1.2097554123956712e-06
0.00111397,-7.1402772177424427e-07,-7.6576973274367718e-07,-7.4410630849225914e-07,-7.3831072901079284e-07,-7.3506107876599414e-07,-7.3451759395101216e-07,-7.34517117505651e-07
0.0011646,-4.1022738257625152e-07,-4.5084978344616645e-07,-3.5878533962602689e-07,-3.5272196114678495e-07,-3.4892933756577006e-07,-3.4806315328677164e-07,-3.4806290987046974e-07
0.00121524,-2.3242505238942802e-07,-2.7480694542189482e-07,-9.3635676376206264e-08,-8.2677936672579974e-08,-7.8420208966745275e-08,-7.7141585889276552e-08,-7.7142144853832104e-08
0.00126588,-1.0571598732994876e-07,-1.6616450454917337e-07,6.7862667206264844e-08,9.3885414138412916e-08,9.8496810318065885e-08,1.0019411962157449e-07,1.001915156654946e-07
0.00131651,-2.4966052321254573e-09,-6.5024360162858941e-08,1.3641370654771065e-07,1.9530197648854134e-07,2.0033826563128742e-07,2.0225570102004115e-07,2.0224847295541313e-07
0.00136714,6.3003005786025098e-08,7.9594125204708601e-09,9.1551710894186773e-08,1.9911339588428802e-07,2.0484885451452784e-07,2.068108497503566e-07,2.0679419156771883e-07
0.00141778,1.584954611541611e-07,1.3027966786168054e-07,6.6779737408141282e-08,2.1383347056524429e-07,2.210422318053576e-07,2.2292470617364571e-07,2.2288992927097549e-07
0.00146842,2.5106469404920913e-07,2.7446863845122052e-07,9.474747680443042e-08,2.5336481031440938e-07,2.6389196959634927e-07,2.6550303386898474e-07,2.6543508405109248e-07
0.00151905,2.1463472691276678e-07,2.6328277886627063e-07,6.9336169554462246e-08,2.0473244231077501e-07,2.2270285115375829e-07,2.2375102103051616e-07,2.2362483588780014e-07
0.00156968,9.2707654520104793e-08,1.3286323462827924e-07,1.984123473690453e-09,8.3227994537323093e-08,1.1598927938904087e-07,1.1607002684300754e-07,1.1584525845912852e-07
0.00162032,-6.7255348657138981e-08,-4.3086886463948206e-08,-9.2527350299988541e-08,-7.7658924362548137e-08,-2.72643147377903e-08,-2.8639916748792567e-08,-2.902612377025593e-08
0.00167096,-2.2206927997167634e-07,-2.0697602639211601e-07,-1.8931715124145923e-07,-2.2999873865879403e-07,-1.6678140272728019e-07,-1.7015616651891478e-07,-1.7079856117702935e-07
0.00172159,-3.3752721776656799e-07,-3.1162285375431037e-07,-2.6039686823056697e-07,-3.2531721962607845e-07,-2.5750958997444219e-07,-2.6333204743261634e-07,-2.6436881732168498e-07
0.00177222,-4.0360608905013329e-07,-3.5461104336174479e-07,-2.9780491449501375e-07,-3.5138401802297956e-07,-2.8818383509996277e-07,-2.9565219039162932e-07,-2.9727845033876211e-07
0.00182286,-4.1566648047600139e-07,-3.4128358163002535e-07,-2.802376571340688e-07,-3.0943757408656956e-07,-2.5965806218018651e-07,-2.6561297290228945e-07,-2.6809510467415098e-07
0.00187349,-3.7083358380100874e-07,-2.7662620919578878e-07,-2.0490794935237788e-07,-2.0689993761875369e-07,-1.7496773145871595e-07,-1.7693340891186502e-07,-1.8062283895096152e-07
0.00192413,-3.1931298359582403e-07,-2.3836964414664381e-07,-1.2185105725805398e-07,-9.8695867227693103e-08,-8.3583498422414545e-08,-8.1273647997105183e-08,-8.6617695474746172e-08
0.00197476,-2.7410113994708686e-07,-2.2677032369225135e-07,-6.5762815673719255e-08,-2.1424277917972333e-08,-1.8636004455601377e-08,-1.2693914342516096e-08,-2.0239081412668972e-08
0.0020254,-2.3623402616392712e-07,-2.212121800398318e-07,-3.9780048599499974e-08,2.0592401111295407e-08,1.8231882591864318e-08,2.7617374849266211e-08,1.7234213875199313e-08
0.00207603,-2.0455657052688967e-07,-2.1153162439106291e-07,-3.4549855321322801e-08,3.7573524606326807e-08,3.6615462934657965e-08,5.0814070744500095e-08,3.6898461263243429e-08
0.00212667,-1.8182535162587228e-07,-1.9793792799680074e-07,-4.5153244044094648e-08,3.6804725500307249e-08,4.0560401912190493e-08,5.9835451237828496e-08,4.1708023041898348e-08
0.00217731,-1.7466387733486353e-07,-1.8787865216270441e-07,-7.0435170594534176e-08,2.0367911344737588e-08,3.0617455339361492e-08,5.4999090764017403e-08,3.2109293327586549e-08
0.00222794,-1.8332373587225555e-07,-1.8809565701688596e-07,-1.056021869376746e-07,-1.0635225310089605e-08,7.2503445471061634e-09,3.6159241309221475e-08,8.2299510300867716e-09
0.00227858,-2.025442345053359e-07,-1.9983823189857724e-07,-1.4364409292002427e-07,-5.2551286797245526e-08,-2.6119010047338799e-08,5.7237399140979042e-09,-2.7084319669273321e-08
0.00232921,-2.2593714074257584e-07,-2.1986461000830093e-07,-1.7945782516596924e-07,-9.9031952928283995e-08,-6.5018907949020864e-08,-3.1179079423221163e-08,-6.8095888571412946e-08
0.00237984,-2.5553511629012741e-07,-2.5025699937083487e-07,-2.1705003892156037e-07,-1.5102401067867718e-07,-1.1401376826705846e-07,-7.7360097374419751e-08,-1.1660657555690673e-07
0.00243048,-2.9099197018028444e-07,-2.8797588863935839e-07,-2.5638090861433207e-07,-2.0540942850659794e-07,-1.7056473992416522e-07,-1.3057726540066712e-07,-1.6969297821386495e-07
0.00248111,-3.3019161457643932e-07,-3.2810892311304761e-07,-2.9516639922474582e-07,-2.5729209144245498e-07,-2.2823372593042552e-07,-1.8596440766083007e-07,-2.2246177575658484e-07
0.00253175,-3.6876611354349749e-07,-3.6640353955333817e-07,-3.3101732615637488e-07,-3.0211998210994805e-07,-2.8123796834463815e-07,-2.3932627147094702e-07,-2.7086039371231593e-07
0.00258238,-4.0207888715573447e-07,-3.9926876034271393e-07,-3.6125773671939264e-07,-3.3679188202858888e-07,-3.249416262880358e-07,-2.8701184459211562e-07,-3.1155759215718562e-07
0.00263302,-4.2665954544096967e-07,-4.2430295504951599e-07,-3.8363733922622518e-07,-3.6026138328247968e-07,-3.565016885213856e-07,-3.2590974528827529e-07,-3.4194112244103946e-07
0.00268366,-4.4110967031509052e-07,-4.4075269963774886e-07,-3.9714931485787542e-07,-3.7255875651588328e-07,-3.7468265969598768e-07,-3.5417581006222194e-07,-3.6082330848723517e-07
0.00273429,-4.4661698673610211e-07,-4.4972651981002774e-07,-4.028792098393636e-07,-3.7588170621248959e-07,-3.8113742733499742e-07,-3.726671123894933e-07,-3.6979627788532808e-07
0.00278492,-4.4538985121737675e-07,-4.5269824008923121e-07,-4.0268745181170694e-07,-3.7268102401327495e-07,-3.7843630938455677e-07,-3.8297843244292299e-07,-3.7110116977728686e-07
0.00283556,-4.4054233065564176e-07,-4.5192234306193591e-07,-3.9930410699012402e-07,-3.6603050076619865e-07,-3.7013706541632114e-07,-3.8782278231596057e-07,-3.6767744865064669e-07
0.00288619,-4.3478875808792132e-07,-4.4943093833105842e-07,-3.9509601213358442e-07,-3.5850687970505356e-07,-3.5964411372139986e-07,-3.90095124731987e-07,-3.6217248608936593e-07
0.00293683,-4.299876819965385e-07,-4.4674672072552137e-07,-3.9166569472266163e-07,-3.5186446766484069e-07,-3.4946666947437435e-07,-3.9183606980500092e-07,-3.5646160780771517e-07
0.00298746,-4.2707505940920168e-07,-4.4481099210735721e-07,-3.8980567852537792e-07,-3.4702736420195227e-07,-3.4100520962363658e-07,-3.9366352570336379e-07,-3.5162596003217771e-07
0.0030381,-4.2632890444948944e-07,-4.4413436946844026e-07,-3.8971477184057036e-07,-3.443200241002314e-07,-3.3480256793321019e-07,-3.9531277143582545e-07,-3.4815685421242441e-07
0.00308874,-4.2764482207039697e-07,-4.4491526963878442e-07,-3.9123400876297485e-07,-3.4354489866322203e-07,-3.2995575688559066e-07,-3.9533921158556911e-07,-3.4471874547401211e-07
0.00313937,-4.3071852466178581e-07,-4.4715249507636492e-07,-3.9399050677793828e-07,-3.4432617910157039e-07,-3.2614848222568234e-07,-3.9326002898261292e-07,-3.4184491945932828e-07
