Physical Time (s),aphi_alt_flux_bot Monitor (kg-m/s^3): bot_cv1,aphi_alt_flux_bot Monitor (kg-m/s^3): bot_cv2,aphi_alt_flux_bot Monitor (kg-m/s^3): bot_cv3,aphi_alt_flux_bot Monitor (kg-m/s^3): bot_cv4,aphi_alt_flux_bot Monitor (kg-m/s^3): bot_cv5,aphi_alt_flux_bot Monitor (kg-m/s^3): bot_cv6,aphi_alt_flux_bot Monitor (kg-m/s^3): bot_cv7
5.063e-05,3.5375874073987342e-16,3.552120819526763e-16,3.5609971885230664e-16,3.5617784701045298e-16,3.5618730956418592e-16,3.5618830628277656e-16,3.5618835249146953e-16
0.00010127,5.2606000946254239e-15,5.276997899238843e-15,5.2865058821705681e-15,5.287207662994287e-15,5.2872800809782713e-15,5.2872881706422191e-15,5.2872885286046899e-15
0.00015191,5.675101363220669e-14,5.6894753331908941e-14,5.6973081774701688e-14,5.6977890455436956e-14,5.6978309414296995e-14,5.6978355267902755e-14,5.6978356866224147e-14
0.00020254,5.1141555831372204e-13,5.1262638119654985e-13,5.1323578211172745e-13,5.1326562210944773e-13,5.1326772115666946e-13,5.132679317122204e-13,5.1326793665268202e-13
0.00025318,3.967724472248505e-12,3.9768548906911719e-12,3.9812996391683851e-12,3.9814745347700033e-12,3.9814844814785564e-12,3.9814853721497844e-12,3.981485385710963e-12
0.00030381,2.5792473044590087e-11,2.5854108925711585e-11,2.5884251885928453e-11,2.5885216173145855e-11,2.5885259392489624e-11,2.5885262780515166e-11,2.5885262805731159e-11
0.00035444,1.4098859140501649e-10,1.4137229150871841e-10,1.415655147173905e-10,1.4157079906252566e-10,1.4157098261458203e-10,1.415709951149021e-10,1.4157099513086671e-10
0.00040508,6.5523553890247855e-10,6.5723329732394957e-10,6.5834446703793848e-10,6.5837207049682504e-10,6.583728080450347e-10,6.5837285094610711e-10,6.5837285086697395e-10
0.00045571,2.6019227416355092e-09,2.6109026251209274e-09,2.6166897829783877e-09,2.6168301279416854e-09,2.6168329659234419e-09,2.6168331034004598e-09,2.6168331028520374e-09
0.00050635,8.8445130794332222e-09,8.8786166353437069e-09,8.9054765631428228e-09,8.9061628810427552e-09,8.9061737282559996e-09,8.9061741492512946e-09,8.9061741469078886e-09
0.00055698,2.5827177239553782e-08,2.5933270961796642e-08,2.6042692567521109e-08,2.6045880978162322e-08,2.6045922474777583e-08,2.6045923738109668e-08,2.6045923729513282e-08
0.00060762,6.5106816866259268e-08,6.5354787988337617e-08,6.5739304117342447e-08,6.5753149775461209e-08,6.575330906181071e-08,6.5753312861131745e-08,6.5753312832688537e-08
0.00065825,1.4151955653116138e-07,1.4181891915016224e-07,1.4295117879712214e-07,1.4300630463526626e-07,1.4300691186653239e-07,1.4300692339911956e-07,1.4300692331261555e-07
0.00070889,2.6203045377297678e-07,2.6129262208771319e-07,2.6397200803865078e-07,2.6417008300784532e-07,2.6417235012884082e-07,2.6417238549881377e-07,2.6417238525269389e-07
0.00075952,3.9659797049869111e-07,3.9037654394857995e-07,3.9486511393175556e-07,3.9549761493288332e-07,3.9550578410375029e-07,3.9550589385095117e-07,3.9550589318304446e-07
0.00081016,4.3411713838363575e-07,4.1035641746421604e-07,4.1273877604387428e-07,4.1450534831381849e-07,4.1453325353474878e-07,4.1453359500687495e-07,4.1453359326550248e-07
0.0008608,1.6869727083205652e-07,1.0420615876770049e-07,8.8039656129679959e-08,9.2276267913194361e-08,9.2365261538431674e-08,9.236631598410134e-08,9.2366311601438019e-08
0.00091143,-5.3978599369729818e-07,-6.7461371359394919e-07,-7.4890874184705178e-07,-7.4046028233884946e-07,-7.40198638372915e-07,-7.4019544154370283e-07,-7.4019545221372266e-07
0.00096207,-1.5149313594666205e-06,-1.735272629708018e-06,-1.9327818000222871e-06,-1.9197279125700481e-06,-1.9190272835121557e-06,-1.9190178696851536e-06,-1.9190178948616024e-06
0.0010127,-2.3189893632854109e-06,-2.6067511744355535e-06,-2.9977211944534732e-06,-2.9854168506894066e-06,-2.9837291762267226e-06,-2.9837025330669504e-06,-2.9837025906008041e-06
0.00106333,-2.5039802770960489e-06,-2.8047826219724453e-06,-3.4272917646885603e-06,-3.4333162779241484e-06,-3.4297112190821907e-06,-3.4296395358073081e-06,-3.4296396626105547e-06
0.00111397,-1.3212122034484754e-06,-1.6001749090744251e-06,-2.4236826683922809e-06,-2.481620792278405e-06,-2.4749076950825331e-06,-2.47472606541579e-06,-2.4747263347366423e-06
0.0011646,1.8716896015823294e-07,-1.2369872912349335e-08,-9.9195441006590276e-07,-1.1466029970819533e-06,-1.1360765858060657e-06,-1.1356478391520877e-06,-1.1356483877476053e-06
0.00121524,8.0567569564675783e-07,6.7708280377418454e-07,-3.6789460458350683e-07,-6.6066541934267661e-07,-6.4781900697085887e-07,-6.4688404413867543e-07,-6.4688511220058258e-07
0.00126588,6.6028384919255771e-08,-1.1897287960941011e-08,-1.0049618952364292e-06,-1.4695645885997232e-06,-1.4606910519787952e-06,-1.4588267551018153e-06,-1.4588287267347362e-06
0.00131651,-1.4157496244759343e-06,-1.4642299430663559e-06,-2.275179735644521e-06,-2.8978343262223841e-06,-2.9063068804292064e-06,-2.9029448122452699e-06,-2.9029482442709886e-06
0.00136714,-2.6749839970878615e-06,-2.7191432896917787e-06,-3.2563812076034368e-06,-3.9639896258618463e-06,-4.0102568498524836e-06,-4.0048637916022286e-06,-4.0048693424426894e-06
0.00141778,-3.561829041986359e-06,-3.6043987239246981e-06,-3.8669614644021699e-06,-4.5653017715367071e-06,-4.6726359088153024e-06,-4.6651505575731448e-06,-4.6651587278609731e-06
0.00146842,-3.4873407751358775e-06,-3.4855646879337179e-06,-3.5752463198657664e-06,-4.1721383195693332e-06,-4.3594998507053714e-06,-4.3511315822516782e-06,-4.3511412869902389e-06
0.00151905,-2.5116833889751241e-06,-2.4503770368773461e-06,-2.471112870572639e-06,-2.9085212608858701e-06,-3.1799017452754421e-06,-3.1738963677263158e-06,-3.1739040121311219e-06
0.00156968,-1.2632809385273084e-06,-1.2677079225055136e-06,-1.2246513404979118e-06,-1.5008837872259594e-06,-1.8384112807222022e-06,-1.8404760124699191e-06,-1.8404734397291487e-06
0.00162032,-2.0410069316983975e-07,-4.4703242900939632e-07,-3.464454716837644e-07,-5.0652543472513017e-07,-8.75008887579416e-07,-8.9282500650290752e-07,-8.9279629436435318e-07
0.00167096,5.1713479826131857e-07,-5.1228956342760922e-08,1.2696082954495365e-08,-8.5534932010859409e-08,-4.4112618837590774e-07,-4.8264920337808757e-07,-4.8256701600728654e-07
0.00172159,9.4432725529986627e-07,9.9992910721693146e-08,-4.1621977687264729e-08,-1.0929204870093489e-07,-4.1238918154495288e-07,-4.8309268416779767e-07,-4.8291431752089563e-07
0.00177222,1.1926221178501427e-06,2.2374102378644396e-07,-2.7823640685458464e-07,-3.167759994679776e-07,-5.4464402715391773e-07,-6.4631137666195163e-07,-6.4594860043341971e-07
0.00182286,1.2357838811280633e-06,2.9964789557027451e-07,-6.0802205217881257e-07,-6.2168229631653225e-07,-7.6795720089182538e-07,-8.9363505344137098e-07,-8.9306203578833854e-07
0.00187349,1.2642120006191008e-06,4.7614400762938937e-07,-7.7225299289441242e-07,-7.8621603454925038e-07,-8.5991151435796e-07,-9.9719753150644312e-07,-9.9641553340983628e-07
