Physical Time (s),aphi_alt_flux_left Monitor (kg-m/s^3)
5.063e-05,-4.7411200643420174e-08
0.00010127,-1.5047486498865295e-07
0.00015191,-4.4070196178231078e-07
0.00020254,-1.2404512050984487e-06
0.00025318,-3.3670391192199311e-06
0.00030381,-8.6104793188315133e-06
0.00035444,-2.0658443700702838e-05
0.00040508,-4.6446819780468168e-05
0.00045571,-9.7266446120081971e-05
0.00050635,-0.00018861751487972775
0.00055698,-0.000336918426411918
0.00060762,-0.00055237533018230936
0.00065825,-0.00082753966480051538
0.00070889,-0.0011255755328218341
0.00075952,-0.0013698867559139266
0.00081016,-0.0014485324301987297
0.0008608,-0.0012747087363555139
0.00091143,-0.00084752240122784291
0.00096207,-0.0001557739976930658
0.0010127,0.00080524238187366362
0.00106333,0.0032025932918102462
0.00111397,0.0035777999989397985
0.0011646,0.001865409810404902
0.00121524,-0.001478858974549532
0.00126588,-0.0051739367378613975
0.00131651,-0.0078594756597721079
0.00136714,-0.0092429774165459604
0.00141778,-0.009811882008013811
0.00146842,-0.012485552162235868
0.00151905,-0.012735186289762952
0.00156968,-0.011634835244482932
0.00162032,-0.010271449864454503
0.00167096,-0.0091986987785881887
0.00172159,-0.0082396542480767353
0.00177222,-0.0073839342090291863
0.00182286,-0.0067174319476251011
0.00187349,-0.006322407889365611
0.00192413,-0.0053113368773990404
0.00197476,-0.0049867185727379172
0.0020254,-0.0052089165316822738
0.00207603,-0.0057083338507054812
0.00212667,-0.006177289735322309
0.00217731,-0.0065508133765482613
0.00222794,-0.0068253511191072582
0.00227858,-0.0069944826834340773
0.00232921,-0.0074719710912334973
0.00237984,-0.00774928048430692
0.00243048,-0.0076821797978455699
0.00248111,-0.0075003527675832939
0.00253175,-0.0073316214151221597
0.00258238,-0.0072082936695931641
0.00263302,-0.0071363855201777614
0.00268366,-0.0070969878768144933
0.00273429,-0.0070833182727630846
0.00278492,-0.0070572387751626133
0.00283556,-0.0071047558324274247
0.00288619,-0.0071503282824233972
0.00293683,-0.0071803878348259938
0.00298746,-0.0071981399535029859
0.0030381,-0.0071939896868645596
0.00308874,-0.0071657320371105986
0.00313937,-0.0071289759074651352
0.00319001,-0.0070857967879909313
0.00324064,-0.0070653317201523711
0.00329127,-0.0069942166749792411
0.00334191,-0.0069271380532111241
0.00339254,-0.0068736118882022808
0.00344318,-0.006831090816756728
0.00349381,-0.0067924159562592458
0.00354445,-0.0067651070472461786
0.00359509,-0.0067375286113767708
0.00364572,-0.00672577198246387
0.00369636,-0.0067156655712253379
0.00374699,-0.0066953683686519711
0.00379762,-0.0066661219794652143
0.00384826,-0.0066633823799518233
0.00389889,-0.0066018775752154082
0.00394953,-0.006566248227832118
0.00400016,-0.0065294108358961694
0.0040508,-0.0064885333465669551
0.00410143,-0.0064480844037374503
0.00415207,-0.0064106695358381108
0.00420271,-0.006377108082578074
0.00425334,-0.0063491145614364246
0.00430397,-0.006315108284821248
0.00435461,-0.0063010675998642161
0.00440524,-0.0062874304466649725
0.00445588,-0.0062771204821196547
0.00450651,-0.0062670996741560851
0.00455715,-0.0062502060588584974
0.00460778,-0.0062337004335596335
0.00465842,-0.0062223616167422042
0.00470906,-0.0061899200249746905
0.00475969,-0.0061458137164997172
0.00481032,-0.0060934892984582413
0.00486096,-0.0060356222221074046
0.00491159,-0.0059776561541494645
0.00496223,-0.0059235396488873512
0.00501287,-0.0058729365770510064
0.0050635,-0.0058253957012387603
0.00511413,-0.0057776491694953701
0.00516477,-0.0057393239031547838
0.00521541,-0.0057084083123465261
0.00526604,-0.0056830840960299918
0.00531667,-0.0056593004566331487
0.00536731,-0.0056408962408656229
0.00541794,-0.0056253284530041244
0.00546858,-0.0056110920321715326
0.00551922,-0.0055949779397156396
0.00556985,-0.0055737712015381359
0.00562048,-0.0055461566242262289
0.00567112,-0.0055118909885641413
0.00572176,-0.0054722938923718453
0.00577239,-0.0054297232009575076
0.00582302,-0.0053885396675294253
0.00587366,-0.0053528195845870914
0.00592429,-0.0053213679400344396
0.00597493,-0.0052921360885396299
0.00602557,-0.0052688102827979297
0.0060762,-0.0052505636403097
0.00612683,-0.0052353950182098671
0.00617747,-0.0052244805769791798
0.00622811,-0.0052232250902880424
0.00627874,-0.0052143602999899993
0.00632937,-0.0052045252998450184
0.00638001,-0.0051950228681294595
0.00643064,-0.0051759934961586726
0.00648128,-0.005168902433860474
0.00653192,-0.0051520626133185667
0.00658255,-0.0051352910674987628
0.00663318,-0.0051180492012401387
0.00668382,-0.0050998557522413078
0.00673445,-0.0050796415715154124
0.00678509,-0.0050473942034649569
0.00683572,-0.0050270363544161287
0.00688636,-0.0050070038412063532
0.00693699,-0.0049890349816549559
0.00698763,-0.0049740715376624684
0.00703827,-0.0049597212339795756
0.0070889,-0.0049445970764736887
0.00713953,-0.0049267836821207302
0.00719017,-0.0048889738624939526
0.0072408,-0.0048608711869726571
0.00729144,-0.0048370776661128354
0.00734207,-0.0048162885191604891
0.00739271,-0.0047994468305461177
0.00744334,-0.0047906115094777978
0.00749398,-0.0047870381635617349
0.00754462,-0.0047884065850997051
0.00759525,-0.0047941261871880204
0.00764588,-0.00480325353644566
0.00769652,-0.0048146719929762164
0.00774715,-0.0048238932528021691
0.00779779,-0.0048249102420689013
0.00784842,-0.0048221775804627581
0.00789906,-0.0048152832495608113
0.00794969,-0.0048058475056691778
0.00800033,-0.0048441465691179825
0.00805097,-0.0048153843409436793
0.0081016,-0.0048161993904261543
0.00815223,-0.0048100299600255638
0.00820287,-0.0047902989119489219
0.0082535,-0.004759416602233257
0.00830414,-0.00471926702702958
0.00835478,-0.0046724248926132096
0.00840541,-0.0046202490140507257
0.00845605,-0.0045654416088583959
0.00850668,-0.0045160850495431157
0.00855731,-0.0044715199210022885
0.00860795,-0.0044322964178133912
0.00865858,-0.0043976828565114199
0.00870922,-0.0043043804799289438
0.00875986,-0.00424333694373729
0.00881049,-0.0042034102605203955
0.00886112,-0.0041760995863657918
0.00891176,-0.0041578498045160665
0.00896239,-0.0041466260057253426
0.00901303,-0.0041406895944774312
0.00906367,-0.0041385210942972957
0.0091143,-0.0041388684911059185
0.00916493,-0.0041383553754138665
0.00921557,-0.0041361710590536657
0.0092662,-0.004132665681763098
0.00931684,-0.0041686974160100466
0.00936748,-0.0041803065008584059
0.00941811,-0.0041832067100082901
0.00946875,-0.0041719410185952462
0.00951938,-0.0041561443977372698
0.00957001,-0.0041398488516035644
0.00962065,-0.0041245159838624052
0.00967128,-0.0041105786898630071
0.00972192,-0.0040978723627494457
0.00977256,-0.0040944240214268179
0.00982319,-0.0040860815355263135
0.00987382,-0.0040781655925844051
0.00992446,-0.0040722376374429277
0.00997509,-0.0040672234390306998
0.01002573,-0.0040632288170252698
0.01007637,-0.0040609388508608887
0.010127,-0.0040601597794905422
0.01017763,-0.0040605504109670421
0.01022827,-0.0040614671601351335
0.0102789,-0.0040623628164393986
0.01032954,-0.0040628056875112884
0.01038018,-0.0040624520228649567
0.01043081,-0.0040609462391805549
0.01048144,-0.0040581000356689255
0.01053208,-0.0040538577673643146
0.01058271,-0.0040482303629384942
0.01063335,-0.0040412865586829582
0.01068399,-0.0040331210518911881
0.01073462,-0.004023849009706976
0.01078526,-0.0040133456646290382
0.01083589,-0.0040022991295784053
0.01088652,-0.0039900990108067786
0.01093716,-0.0039773001579228601
0.01098779,-0.0039637495989166601
0.01103843,-0.0039494637668692533
0.01108907,-0.0039344737765709672
0.0111397,-0.003918794865577723
0.01119033,-0.0039023997693921971
0.01124097,-0.0038849394054121145
0.0112916,-0.0038664807765865466
0.01134224,-0.0038473925565046712
0.01139288,-0.0038278383397060247
0.01144351,-0.0038079689396828412
0.01149414,-0.0037879356242796411
0.01154478,-0.0037675940919035212
0.01159541,-0.0037472028148402199
0.01164605,-0.0037270069976795927
0.01169669,-0.0037070668648125343
0.01174732,-0.0036874440751667468
0.01179796,-0.0036681959761132856
0.01184859,-0.0036494068531041784
0.01189922,-0.0036313154776919029
0.01194986,-0.0036138582986808918
0.01200049,-0.0035970767877207296
0.01205113,-0.0035809866379343607
0.01210177,-0.0035688560629713218
0.0121524,-0.0035550216889865911
0.01220303,-0.0035408582803333694
0.01225367,-0.0035269005762525686
0.0123043,-0.003513273656261323
0.01235494,-0.00350005159767118
0.01240558,-0.0034872443956085524
0.01245621,-0.0034748709997967273
0.01250684,-0.0034629532869737247
0.01255748,-0.0034515118851774973
0.01260811,-0.0034406090718655993
0.01265875,-0.0034302817050752849
0.01270939,-0.0034206001633066661
0.01276002,-0.0034118748995974105
0.01281065,-0.0034039731563651815
0.01286129,-0.0033967540638302398
0.01291192,-0.0033901451172953698
0.01296256,-0.0033840264028758547
