Physical Time (s),aphi_alt_flux_right Monitor (kg-m/s^3): right_cv1,aphi_alt_flux_right Monitor (kg-m/s^3): right_cv2,aphi_alt_flux_right Monitor (kg-m/s^3): right_cv3,aphi_alt_flux_right Monitor (kg-m/s^3): right_cv4,aphi_alt_flux_right Monitor (kg-m/s^3): right_cv5,aphi_alt_flux_right Monitor (kg-m/s^3): right_cv6,aphi_alt_flux_right Monitor (kg-m/s^3): right_cv7
5.063e-05,-0.00052348966741334099,-1.2599804052767309e-06,-1.6729103058798106e-08,-2.1024302958308971e-09,-9.3906050895657831e-10,-7.0498719967498213e-10,-6.6760903036615559e-10
0.00010127,-0.00027131982127467751,-4.3491055684741651e-06,-4.5745924389410494e-08,-5.4705511047570502e-09,-2.4358087545580622e-09,-1.8828437411591846e-09,-1.8198966970873971e-09
0.00015191,0.0043063022879632519,-1.3803294248465544e-05,-1.0838629559123565e-07,-1.2355331531702288e-08,-5.6416312934114221e-09,-4.5253691031654376e-09,-4.4372077632116695e-09
0.00020254,0.014381609517341933,-4.1077771685259042e-05,-2.5170765700459366e-07,-2.5790269415110927e-08,-1.1848876423532259e-08,-9.6098806265532517e-09,-9.4442938732775211e-09
0.00025318,0.023257199304679628,-0.00010440500432619632,-5.8487505608335677e-07,-5.2446999479756724e-08,-2.3579487526996413e-08,-1.9129574094672594e-08,-1.8844525004437432e-08
0.00030381,0.025473143224850021,-0.00020041476759434884,-1.3678472363810563e-06,-1.0172783664074618e-07,-4.2911042202668607e-08,-3.4380652190366873e-08,-3.3916126421998158e-08
0.00035444,0.026167431558073859,-0.00023179840846390145,-3.1590788846036499e-06,-1.9455085838197882e-07,-7.6782685553890503e-08,-6.1019424897378708e-08,-6.0290454359931959e-08
0.00040508,0.033348289501354676,5.2676760890667451e-05,-7.1255547653335338e-06,-3.6297066692836781e-07,-1.3201216164698908e-07,-1.0380959840570251e-07,-1.0266169006300923e-07
0.00045571,0.04522177262816663,0.00094421020587764698,-1.5504588189734599e-05,-6.6555398177794795e-07,-2.1863768168941725e-07,-1.6988429983090103e-07,-1.6803876939739101e-07
0.00050635,0.054525387949858027,0.0024274249998471982,-3.2131484402243429e-05,-1.2199799980746567e-06,-3.5169319576394584e-07,-2.661752028500778e-07,-2.6322629444270596e-07
0.00055698,0.058953838340987393,0.0039873897252646791,-6.2316474734042609e-05,-2.2417339024440668e-06,-5.5542962810807454e-07,-4.0224577750508916e-07,-3.9753997519611773e-07
0.00060762,0.060523993730554726,0.0049879608620147535,-0.00011176106645629361,-4.1161589327105871e-06,-8.7035187529394244e-07,-5.9389342104289851e-07,-5.8635957762857724e-07
0.00065825,0.061265386035031524,0.005605507204395563,-0.0001815271888087123,-7.509989407366758e-06,-1.3606399279675891e-06,-8.6119620055745323e-07,-8.4924968291484235e-07
0.00070889,0.062193613363285737,0.0066440784575850266,-0.00025669546250887319,-1.3477339479568568e-05,-2.128506577726161e-06,-1.2290022547256427e-06,-1.2099552484855921e-06
0.00075952,0.063702869006360505,0.0089495884897116892,-0.00030044151833249496,-2.3584634553645648e-05,-3.3465247142693143e-06,-1.7357514745363842e-06,-1.7051983972647742e-06
0.00081016,0.06592850150092118,0.011908300722541121,-0.00024505838512879413,-3.9758727780752053e-05,-5.2713410165200185e-06,-2.4196886153045996e-06,-2.3704615145404824e-06
0.0008608,0.068889102728249926,0.014005421081062184,-2.1318737753192082e-05,-6.382335046362225e-05,-8.2751244828713642e-06,-3.32064687625807e-06,-3.2408909638720514e-06
0.00091143,0.072559498899615577,0.014441258330375125,0.00039743196946464697,-9.6558901648687102e-05,-1.2873865270607407e-05,-4.4727177285008145e-06,-4.3430003458092278e-06
0.00096207,0.076886811245372721,0.0139064627353498,0.00095245090418316245,-0.0001370622081526081,-1.973553256328957e-05,-5.9059508900535395e-06,-5.6946229383954082e-06
0.0010127,0.081794233569834326,0.013267041382257181,0.0015183573632057623,-0.00018032074054981985,-2.9603968556502072e-05,-7.6339371172757699e-06,-7.2897460879594434e-06
