Physical Time (s),aphi_alt_flux_top Monitor (kg-m/s^3): top_cv1,aphi_alt_flux_top Monitor (kg-m/s^3): top_cv2,aphi_alt_flux_top Monitor (kg-m/s^3): top_cv3,aphi_alt_flux_top Monitor (kg-m/s^3): top_cv4,aphi_alt_flux_top Monitor (kg-m/s^3): top_cv5,aphi_alt_flux_top Monitor (kg-m/s^3): top_cv6,aphi_alt_flux_top Monitor (kg-m/s^3): top_cv7
5.063e-05,7.1893439636606888e-16,7.2044116826727078e-16,7.240797016433067e-16,7.2445516867122999e-16,7.2447331804284054e-16,7.2447600394014577e-16,7.2447629606835745e-16
0.00010127,9.118512325255058e-15,9.1389982755564916e-15,9.1783906980193055e-15,9.1818390060225857e-15,9.1819919422635224e-15,9.1820120056784014e-15,9.1820140029792519e-15
0.00015191,9.1382709336437749e-14,9.1555651182780647e-14,9.1846355128363713e-14,9.1868301983995104e-14,9.1869191483206011e-14,9.1869300961061204e-14,9.1869311072351869e-14
0.00020254,7.7863385812106274e-13,7.7994231364377564e-13,7.8186221165332281e-13,7.8198531862058885e-13,7.8198967163841786e-13,7.8199016168275795e-13,7.8199020294118001e-13
0.00025318,5.6816116080499527e-12,5.690930663463187e-12,5.7029414011189883e-12,5.7035845725614894e-12,5.7036040397776478e-12,5.7036060108674564e-12,5.7036061655023457e-12
0.00030381,3.5402004002483269e-11,3.5462461359281044e-11,3.5534239389208224e-11,3.5537512384148447e-11,3.5537592271393177e-11,3.5537599113911828e-11,3.5537599602964303e-11
0.00035444,1.848244821987066e-10,1.8518813678622115e-10,1.8559006743516795e-10,1.8560582841555017e-10,1.8560614042386765e-10,1.8560616285110512e-10,1.8560616425827585e-10
0.00040508,8.2669420130523875e-10,8.2863149633229515e-10,8.3073877163828711e-10,8.3081237790783969e-10,8.3081354624646577e-10,8.3081361549846526e-10,8.3081361917320283e-10
0.00045571,3.1932712269196154e-09,3.2024287746916065e-09,3.2127201261358047e-09,3.2130535226067763e-09,3.2130577625157131e-09,3.2130579666031401e-09,3.2130579754583526e-09
0.00050635,1.0592593343271524e-08,1.0630248908936163e-08,1.0676511857247347e-08,1.0677989514456334e-08,1.0678004775787601e-08,1.0678005359056179e-08,1.0678005379054834e-08
0.00055698,3.0402003266310488e-08,3.0533072465115257e-08,3.0720236974655787e-08,3.0726549206618189e-08,3.0726603798015756e-08,3.0726605447666545e-08,3.0726605491731959e-08
