Physical Time (s),ea_bot Monitor (kg-m/s^3): bot_cv1,ea_bot Monitor (kg-m/s^3): bot_cv2,ea_bot Monitor (kg-m/s^3): bot_cv3,ea_bot Monitor (kg-m/s^3): bot_cv4,ea_bot Monitor (kg-m/s^3): bot_cv5,ea_bot Monitor (kg-m/s^3): bot_cv6,ea_bot Monitor (kg-m/s^3): bot_cv7
5.063e-05,2.9297762570535111e-23,2.9297303071581696e-23,2.929696204608182e-23,2.9296939046226844e-23,2.9296937903077984e-23,2.9296937877664748e-23,2.9296937877661222e-23
0.00010127,2.1676577253751611e-21,2.1676287863889289e-21,2.1676114137385117e-21,2.1676102859996375e-21,2.1676102534435722e-21,2.167610252808106e-21,2.167610252808013e-21
0.00015191,9.8008220206632275e-20,9.8006844518005392e-20,9.8006119729366501e-20,9.8006085726516017e-20,9.8006085156410107e-20,9.8006085147833712e-20,9.8006085147832713e-20
0.00020254,3.4255945002961715e-18,3.4255400116197618e-18,3.425512809116056e-18,3.4255119617802907e-18,3.4255119531212565e-18,3.4255119530237999e-18,3.4255119530237925e-18
0.00025318,9.4949664503952645e-17,9.4947785074566953e-17,9.4946879986743897e-17,9.4946861189216534e-17,9.4946861069615545e-17,9.494686106857966e-17,9.4946861068579611e-17
0.00030381,2.0746893357892304e-15,2.0746318545851665e-15,2.0746051265982804e-15,2.0746047407180423e-15,2.0746047391859142e-15,2.0746047391755017e-15,2.0746047391755017e-15
0.00035444,3.6067858349285759e-14,3.6066307619750477e-14,3.6065609211341554e-14,3.6065601684610577e-14,3.6065601666066849e-14,3.6065601665969731e-14,3.6065601665969731e-14
0.00040508,5.0586779775903755e-13,5.0583161061417643e-13,5.0581576003808415e-13,5.0581561980543516e-13,5.0581561959003741e-13,5.0581561958920952e-13,5.0581561958920952e-13
0.00045571,5.7642221540591254e-12,5.7635076460595242e-12,5.7632014221695022e-12,5.7631989456832931e-12,5.7631989432294303e-12,5.7631989432229162e-12,5.7631989432229162e-12
0.00050635,5.348589628674151e-11,5.3474122611181639e-11,5.3469166924170358e-11,5.3469126352635467e-11,5.3469126324741683e-11,5.3469126324692279e-11,5.3469126324692279e-11
0.00055698,4.0455406432624808e-10,4.0439378432690514e-10,4.043275079268374e-10,4.0432690640633324e-10,4.0432690608977355e-10,4.0432690608939367e-10,4.0432690608939367e-10
0.00060762,2.4943942320388428e-09,2.4926053856597565e-09,2.4918809118737221e-09,2.4918730318202242e-09,2.4918730282731629e-09,2.4918730282701619e-09,2.4918730282701619e-09
0.00065825,1.2546962445216534e-08,1.253066480738018e-08,1.2524234801232007e-08,1.2524145425285747e-08,1.2524145386809062e-08,1.2524145386784839e-08,1.2524145386784839e-08
0.00070889,5.1588318031705e-08,5.1467007120738861e-08,5.1420724993753346e-08,5.1419859546142318e-08,5.1419859150801601e-08,5.1419859150603607e-08,5.1419859150603607e-08
0.00075952,1.7382355136209147e-07,1.7308396791586287e-07,1.7281341201135404e-07,1.7280632520858431e-07,1.7280632144140207e-07,1.7280632143978267e-07,1.7280632143978267e-07
0.00081016,4.8131954699260225e-07,4.7761598816115052e-07,4.7632809475642604e-07,4.7627931974533414e-07,4.7627928708867808e-07,4.7627928707563404e-07,4.7627928707563404e-07
0.0008608,1.0985067133180516e-06,1.0832326676367518e-06,1.078224162645663e-06,1.0779429764009372e-06,1.0779427229109203e-06,1.0779427228092549e-06,1.0779427228092551e-06
0.00091143,2.0738373772249431e-06,2.0218479201523232e-06,2.0058702280250058e-06,2.0045137295847193e-06,2.0045119876120647e-06,2.0045119868576574e-06,2.0045119868576578e-06
0.00096207,3.2477331906203836e-06,3.1015389100237705e-06,3.0595250013693119e-06,3.0540482305582406e-06,3.0540377158760828e-06,3.0540377106241783e-06,3.0540377106241816e-06
