Physical Time (s),ea_left Monitor (kg-m/s^3)
5.063e-05,-2.1492588354865335e-14
0.00010127,-3.4256061462495586e-13
0.00015191,-4.100096118519689e-12
0.00020254,-4.2318379579061523e-11
0.00025318,-3.8597314834607959e-10
0.00030381,-3.1089715069612459e-09
0.00035444,-2.209675142679635e-08
0.00040508,-1.3904456118419714e-07
0.00045571,-7.730597350984138e-07
0.00050635,-3.7836623381479782e-06
0.00055698,-1.6224700589607336e-05
0.00060762,-6.0701201633072706e-05
0.00065825,-0.00019758334727281612
0.00070889,-0.00055910841097000152
0.00075952,-0.0013756219475638512
0.00081016,-0.002943650624383756
0.0008608,-0.0054766238401233736
0.00091143,-0.00883980283328753
0.00096207,-0.0122890236109527
0.0010127,-0.014526545764547216
0.00106333,-0.014209334741381027
0.00111397,-0.011090636581184244
0.0011646,-0.0061177875084921958
0.00121524,-0.001626642908878431
0.00126588,-8.74378965407392e-05
0.00131651,-0.0023401888963157317
0.00136714,-0.0067391974314193444
0.00141778,-0.010299755171081403
0.00146842,-0.010984592827585956
0.00151905,-0.008851175181390801
0.00156968,-0.0052883215871192876
0.00162032,-0.0020803453172450323
0.00167096,-0.00034032845896549071
0.00172159,-0.00015085243548162741
0.00177222,-0.00092957900825739904
0.00182286,-0.0019457221935712179
0.00187349,-0.0026548762137381726
0.00192413,-0.0028405841534436221
0.00197476,-0.0025281095425968643
0.0020254,-0.0019084656034696306
0.00207603,-0.0012192446576864747
0.00212667,-0.00065131657835803668
0.00217731,-0.00028779325641600551
0.00222794,-0.00010948263528870786
0.00227858,-4.6164712724473231e-05
0.00232921,-3.1310524741850873e-05
0.00237984,-3.1312021434181234e-05
0.00243048,-4.7136027207046082e-05
0.00248111,-9.5060471976954889e-05
0.00253175,-0.00018709100064719892
0.00258238,-0.00031764187926854346
0.00263302,-0.000464410802763538
0.00268366,-0.00059836833644067377
0.00273429,-0.0006948512728201441
0.00278492,-0.00073985244078550894
0.00283556,-0.00073696308054355261
0.00288619,-0.00069463106246004346
0.00293683,-0.00062757419457801136
0.00298746,-0.00055115340237732826
0.0030381,-0.00047826875913741364
0.00308874,-0.00041677543201258118
0.00313937,-0.00036986343484227694
0.00319001,-0.00033742901158526799
0.00324064,-0.00031793357042042146
0.00329127,-0.00030743032812514991
0.00334191,-0.00030303515479840256
0.00339254,-0.00030173781293203452
0.00344318,-0.00030063835317858251
0.00349381,-0.00029726985013718874
0.00354445,-0.00029014375285371489
0.00359509,-0.00027933975806390622
0.00364572,-0.0002655954317606539
0.00369636,-0.00025053080234160001
0.00374699,-0.00023620530909577837
0.00379762,-0.00022446383974036752
0.00384826,-0.00021685535463415766
0.00389889,-0.00021335894105106577
0.00394953,-0.00021430681029297323
0.00400016,-0.00021931446236368753
0.0040508,-0.00022746110038036511
0.00410143,-0.00023734532388668518
0.00415207,-0.00024720917491148929
0.00420271,-0.00025530702619169142
0.00425334,-0.00026025938749986742
0.00430397,-0.00026131301485408562
0.00435461,-0.0002584332735338957
0.00440524,-0.00025253701270046064
0.00445588,-0.0002447519188342348
0.00450651,-0.00023662901383729446
0.00455715,-0.00022992547070044668
0.00460778,-0.00022635673830203058
0.00465842,-0.00022696960076999407
0.00470906,-0.00023296620919529819
0.00475969,-0.00024520948580111313
0.00481032,-0.00026418757103112222
0.00486096,-0.00028991832019745596
0.00491159,-0.0003218256472920427
0.00496223,-0.00035863280176573887
0.00501287,-0.00039844209477961226
0.0050635,-0.00043902470502397138
0.00511413,-0.00047817888697526076
0.00516477,-0.00051413652686155232
0.00521541,-0.00054591557236950044
0.00526604,-0.00057351986250462955
0.00531667,-0.00059793824341174921
0.00536731,-0.00062095588298518363
