Physical Time (s),ea_right Monitor (kg-m/s^3): right_cv1,ea_right Monitor (kg-m/s^3): right_cv2,ea_right Monitor (kg-m/s^3): right_cv3,ea_right Monitor (kg-m/s^3): right_cv4,ea_right Monitor (kg-m/s^3): right_cv5,ea_right Monitor (kg-m/s^3): right_cv6,ea_right Monitor (kg-m/s^3): right_cv7
5.063e-05,3.6428412333975595e-05,4.0375400852824822e-11,5.0027884515895757e-16,3.5930926532484763e-18,6.5954819511491068e-20,2.0018020356345156e-22,1.3240920413642305e-24
0.00010127,0.00094009100522140989,1.1246928107211051e-09,6.0947419436924123e-15,3.5294756646796502e-17,6.5066570203350024e-19,1.8136192169595646e-21,9.3520365493280919e-24
0.00015191,0.008268121964276955,2.5908469772589872e-08,5.4035436734814704e-14,2.3300731427129704e-16,4.1019425342085238e-18,1.0476359426077311e-20,4.0944178256933089e-23
0.00020254,0.033303648437270593,4.5871289347172649e-07,4.4227094854044913e-13,1.3590291437255365e-15,2.1646221571837214e-17,4.9910019324717561e-20,1.48103556545036e-22
0.00025318,0.077062985453880364,5.7936676609106859e-06,3.5444983370911534e-12,7.3552294625008329e-15,1.0253430932927493e-16,2.1423158391417827e-19,5.0037170895551438e-22
0.00030381,0.11654589478300956,5.0749930743791661e-05,2.8768306741043386e-11,3.8047180926294923e-14,4.5397327750524727e-16,8.4268088133532965e-19,1.5345306120237654e-21
0.00035444,0.12190566396963255,0.00031008526510521516,2.3552252267975265e-10,1.9189444620475787e-13,1.9102940250161797e-15,3.03296056768877e-18,4.2983302555153304e-21
0.00040508,0.089104774429058092,0.001354931385650678,1.8934373018399268e-09,9.5474926150395915e-13,7.71714757742805e-15,1.0180560275602187e-17,1.1382124231485626e-20
0.00045571,0.044923774091276514,0.0043629711550974412,1.4393695570775724e-08,4.7507058437469202e-12,3.0206607619426359e-14,3.2467847557343408e-17,2.8683162740613324e-20
0.00050635,0.015663293838963324,0.01064736230204014,1.0009511170990676e-07,2.3951698797402786e-11,1.1714263677827787e-13,1.003624792584434e-16,6.9362488213690511e-20
