Physical Time (s),ea_top Monitor (kg-m/s^3): top_cv1,ea_top Monitor (kg-m/s^3): top_cv2,ea_top Monitor (kg-m/s^3): top_cv3,ea_top Monitor (kg-m/s^3): top_cv4,ea_top Monitor (kg-m/s^3): top_cv5,ea_top Monitor (kg-m/s^3): top_cv6,ea_top Monitor (kg-m/s^3): top_cv7
5.063e-05,7.5113273908624336e-23,7.5110173630181189e-23,7.5107122767208553e-23,7.5106726334115283e-23,7.5106717901010335e-23,7.5106717850903513e-23,7.5106717850786763e-23
0.00010127,4.5791127345769675e-21,4.5789100215331312e-21,4.5787900402973066e-21,4.5787740258103032e-21,4.578773740291851e-21,4.578773738750542e-21,4.5787737387482385e-21
0.00015191,1.8518775469855784e-19,1.8518011961396469e-19,1.8517715149372773e-19,1.8517679195708158e-19,1.8517678701177446e-19,1.8517678698712005e-19,1.8517678698709436e-19
0.00020254,5.9473824361530308e-18,5.947161470781621e-18,5.947094392538501e-18,5.9470878096059024e-18,5.9470877430446503e-18,5.947087742745917e-18,5.9470877427456859e-18
0.00025318,1.5311048554114551e-16,1.5310501659051787e-16,1.5310353004287754e-16,1.5310342205287311e-16,1.5310342127457983e-16,1.531034212715478e-16,1.5310342127154595e-16
0.00030381,3.1518809279897277e-15,3.1517585366653106e-15,3.1517256035356904e-15,3.1517239365293977e-15,3.151723928145145e-15,3.1517239281183359e-15,3.1517239281183233e-15
0.00035444,5.1518365446761979e-14,5.1515804409116439e-14,5.1515081980152354e-14,5.1515057299234819e-14,5.1515057214561802e-14,5.1515057214348658e-14,5.1515057214348589e-14
0.00040508,6.7875240674158842e-13,6.7870275414897599e-13,6.7868765353717795e-13,6.7868729866755841e-13,6.7868729785378253e-13,6.786872978521943e-13,6.786872978521939e-13
0.00045571,7.283175811935503e-12,7.2823064800465941e-12,7.2820209968003279e-12,7.2820160363264478e-12,7.2820160287451065e-12,7.2820160287337732e-12,7.2820160287337715e-12
0.00050635,6.384591225494006e-11,6.3832588666859047e-11,6.382793727752621e-11,6.3827870201912938e-11,6.3827870131347337e-11,6.382787013126732e-11,6.3827870131267307e-11
0.00055698,4.5880122481542797e-10,4.5862727800953314e-10,4.5856405898455071e-10,4.5856320056233124e-10,4.5856319989759964e-10,4.5856319989702889e-10,4.5856319989702884e-10
0.00060762,2.7086721581410063e-09,2.706776628014535e-09,2.7060739370064893e-09,2.7060638618262716e-09,2.7060638554893902e-09,2.7060638554852402e-09,2.7060638554852398e-09
0.00065825,1.3157848163958567e-08,1.3140776033647343e-08,1.3134446172907286e-08,1.3134340784625286e-08,1.3134340724487256e-08,1.3134340724456301e-08,1.3134340724456299e-08
0.00070889,5.2682513944722418e-08,5.2556291571283986e-08,5.2510206561135728e-08,5.2509244306162933e-08,5.2509243751986856e-08,5.2509243751750448e-08,5.2509243751750441e-08
0.00075952,1.7414172069891258e-07,1.7337611697787098e-07,1.7310458394677855e-07,1.7309702972221044e-07,1.7309702488301436e-07,1.7309702488118178e-07,1.7309702488118178e-07
0.00081016,4.7603509572398899e-07,4.722177006885831e-07,4.7091883472941855e-07,4.7086837002740273e-07,4.7086833085437488e-07,4.7086833084017226e-07,4.708683308401722e-07
0.0008608,1.0783189573981855e-06,1.0626357299240936e-06,1.0575710446951557e-06,1.0572860907725785e-06,1.0572858025391405e-06,1.057285802431371e-06,1.0572858024313708e-06
0.00091143,2.0284016875967358e-06,1.9752075996918894e-06,1.9590334948934249e-06,1.9576781396611028e-06,1.9576762398230969e-06,1.9576762390382454e-06,1.9576762390382442e-06
0.00096207,3.1727793474580043e-06,3.0237182568944796e-06,2.9811977271422103e-06,2.975776143818418e-06,2.9757650405356232e-06,2.9757650351427935e-06,2.9757650351427872e-06
0.0010127,4.1204456313181596e-06,3.7762429221250839e-06,3.6836365495269778e-06,3.6654111564779988e-06,3.6653540410387383e-06,3.6653540065714075e-06,3.665354006571377e-06
0.00106333,4.4412906675834095e-06,3.7912505383994408e-06,3.6226688794390916e-06,3.5712120363572635e-06,3.5709548868270445e-06,3.5709546843870887e-06,3.5709546843869396e-06
0.00111397,3.9090889221397043e-06,2.9161859163635379e-06,2.6558309922066437e-06,2.5338947697395694e-06,2.5328854105421406e-06,2.5328843284493635e-06,2.5328843284486495e-06
0.0011646,2.6899260223481644e-06,1.4981570826329876e-06,1.1498889775740583e-06,9.0782336531689161e-07,9.0437869796912765e-07,9.0437347219918455e-07,9.0437347219586725e-07
0.00121524,1.2581925368348925e-06,2.0949608769721872e-07,-2.0342502772164039e-07,-6.0496404942946228e-07,-6.1516533901232444e-07,-6.1518801697874402e-07,-6.151880169934032e-07
0.00126588,1.3009829885725383e-07,-3.9438680767211893e-07,-8.2618771372138919e-07,-1.3806865096293004e-06,-1.4068607781210481e-06,-1.4069488477878125e-06,-1.4069488478483375e-06
0.00131651,-4.1595255356237271e-07,-2.5089961534583655e-07,-6.1464641449324574e-07,-1.2496867269112171e-06,-1.3077772053227808e-06,-1.3080823342986332e-06,-1.3080823345246413e-06
0.00136714,-4.6692789389306214e-07,2.0210420563014185e-07,4.4483654408594935e-08,-5.5774624847947234e-07,-6.6903695855106914e-07,-6.6997778701504546e-07,-6.6997778776136768e-07
0.00141778,-3.188761274625516e-07,4.5826859699937704e-07,6.4841968714429329e-07,1.7223704881478275e-07,-1.1438449716976213e-08,-1.4016129588329235e-08,-1.4016131624396223e-08
0.00146842,-2.0041731322475893e-07,3.6324831430136193e-07,9.4417876304198153e-07,6.2158809229063258e-07,3.6117675816911865e-07,3.5490873293347276e-07,3.5490872925202141e-07
0.00151905,-1.3519307943955539e-07,1.3224486960452549e-07,9.7723139040119979e-07,7.8263595598954583e-07,4.6664979055942168e-07,4.5313450198331759e-07,4.5313450438869777e-07
0.00156968,-4.4107647585948114e-08,2.3324247612873277e-08,8.850194525827729e-07,7.8836558330732921e-07,4.6163063068322672e-07,4.3580716174770214e-07,4.3580722466260521e-07
0.00162032,1.0525035118432659e-07,9.80339779558829e-08,7.4999118323844688e-07,7.4164247755366505e-07,4.5473895651288817e-07,4.1104468092305949e-07,4.1104505531612956e-07
0.00167096,2.6844708058799984e-07,2.5147878180750255e-07,6.0921325054997703e-07,6.8017457559249781e-07,4.6598393368074272e-07,4.0054255074213035e-07,4.0054416778477262e-07
0.00172159,3.946310996123675e-07,3.8091329260143947e-07,5.042504605535057e-07,6.2008811908964827e-07,4.8207362118609423e-07,3.9532358716711839e-07,3.95329385448717e-07
0.00177222,4.7266434270159117e-07,4.6085056719352008e-07,4.6481474816446977e-07,5.720208692256341e-07,4.9118158076414701e-07,3.8932706076576049e-07,3.8934509606716312e-07
0.00182286,5.1305896840120555e-07,5.0121411864345433e-07,4.7158149352533392e-07,5.2890899672784964e-07,4.7970553273921306e-07,3.7351974789377827e-07,3.7356932416330871e-07
0.00187349,5.2092597934811801e-07,5.0337719250235383e-07,4.7259371037317681e-07,4.728463462963865e-07,4.3396173134221993e-07,3.3513196636504981e-07,3.3525344693223493e-07
0.00192413,4.8743505270734289e-07,4.5751380586081747e-07,4.2600721691434443e-07,3.9051741092313616e-07,3.468430308325313e-07,2.6369243238647173e-07,2.639588640048716e-07
0.00197476,4.0927620602231924e-07,3.6655953447545036e-07,3.2977885819837079e-07,2.8602223560176098e-07,2.2780697381139444e-07,1.6276087080450354e-07,1.632843500291311e-07
0.0020254,3.0035961529282374e-07,2.5175249854507054e-07,2.108908037670804e-07,1.7497161803986352e-07,9.8960180137157635e-08,4.8806881542395443e-08,4.9727274241647932e-08
0.00207603,1.8701274290158896e-07,1.3942312465500062e-07,9.9547649823254757e-08,7.3346343291792898e-08,-1.5768363407975172e-08,-5.7686608589775594e-08,-5.6244122982301478e-08
0.00212667,9.373242496810393e-08,4.7776939931919759e-08,1.314737719280378e-08,-8.5227449802772442e-09,-9.9891358309394288e-08,-1.4104746408272086e-07,-1.3904475183175201e-07
0.00217731,3.3782828870167505e-08,-1.6037357919590548e-08,-4.4490267656591253e-08,-6.6007263692704409e-08,-1.4745165477138468e-07,-1.9390367654062558e-07,-1.9146589222866555e-07
0.00222794,8.0099259969473063e-09,-5.1621808692570357e-08,-7.6163451505319223e-08,-9.8116471161009758e-08,-1.6135411394647349e-07,-2.1622548458586614e-07,-2.1366727097473691e-07
0.00227858,9.2740271558222385e-09,-6.1745738477679537e-08,-8.6162929149151248e-08,-1.0660428894710051e-07,-1.495141354304665e-07,-2.1247160676415458e-07,-2.1021738162391199e-07
0.00232921,2.9552105509935052e-08,-4.9586915121118249e-08,-7.7194818357342169e-08,-9.3998363435450492e-08,-1.1953271010850328e-07,-1.8753727463687455e-07,-1.8595683617303275e-07
0.00237984,6.2670313100974972e-08,-1.9188680882782599e-08,-5.1423450807603816e-08,-6.3679769907409807e-08,-7.7140322563259392e-08,-1.4608716920333567e-07,-1.4530768856336053e-07
0.00243048,1.048153153990467e-07,2.4665482525471015e-08,-1.1390297294397488e-08,-1.9479550298904165e-08,-2.6023119455957011e-08,-9.2296242531728849e-08,-9.2109663535522754e-08
0.00248111,1.53305539193093e-07,7.6736150446613402e-08,3.9228838316768069e-08,3.423284321643131e-08,3.0991753388004162e-08,-3.0350110693288651e-08,-3.0315675679974125e-08
0.00253175,2.0549126758471763e-07,1.3190813652626918e-07,9.5677234162921168e-08,9.262475541638424e-08,9.0718060975736531e-08,3.5197837360124607e-08,3.5495784664034562e-08
0.00258238,2.5803586301272585e-07,1.8531571062410208e-07,1.5235302291356835e-07,1.5038690357150687e-07,1.4899901836982788e-07,9.9363736024423094e-08,1.0005046091285935e-07
0.00263302,3.067358910653824e-07,2.3222487752817473e-07,2.0320726528314888e-07,2.0185047215181683e-07,2.0073575606501155e-07,1.5680906315953932e-07,1.5759592005886128e-07
0.00268366,3.4696745841404276e-07,2.6814282185991868e-07,2.4243334314179611e-07,2.4148835168759496e-07,2.4057398401200906e-07,2.022533712673543e-07,2.025050837495158e-07
0.00273429,3.7469892510427071e-07,2.8939143253612842e-07,2.6542437787794213e-07,2.6478693554785633e-07,2.6400420436447763e-07,2.3130962152992845e-07,2.3022953202302189e-07
0.00278492,3.88046564031725e-07,2.9429383970894384e-07,2.7007405890116056e-07,2.6956805281764951e-07,2.6879911792924819e-07,2.4179601679123646e-07,2.3861616956837136e-07
0.00283556,3.8742015859793729e-07,2.8326306009256656e-07,2.567688003396496e-07,2.5608620164714206e-07,2.5518562791356084e-07,2.3389243934112104e-07,2.2800092304579655e-07
0.00288619,3.7565224656062564e-07,2.5897754219766174e-07,2.2840626856601781e-07,2.2717234896524625e-07,2.259861196062155e-07,2.1031518807386737e-07,2.013225940075609e-07
0.00293683,3.5728714887222966e-07,2.2580649272081211e-07,1.8967539153046693e-07,1.8758288701455587e-07,1.8595435257486642e-07,1.7564724017800351e-07,1.634375331683125e-07
0.00298746,3.372627179410112e-07,1.8882369184264218e-07,1.459814989579577e-07,1.4290572886240857e-07,1.4067795787954142e-07,1.3520839702520091e-07,1.2000295741928821e-07
0.0030381,3.1975580099453459e-07,1.5275470901484565e-07,1.0236346206231485e-07,9.8396438900864131e-08,9.5423524178398574e-08,9.3917245327450201e-08,7.632634932722369e-08
0.00308874,3.0755702614522178e-07,1.2123005620198194e-07,6.2761640613882768e-08,5.8160411556355818e-08,5.4331396362596957e-08,5.5575247932414116e-08,3.6574940544440527e-08
0.00313937,3.0192263070916574e-07,9.6376758081422801e-08,2.9623478136803484e-08,2.4712960184788173e-08,1.9981759856052104e-08,2.2566882158548175e-08,3.3506333885000557e-09
0.00319001,3.0277509219224037e-07,7.8776459752426396e-08,3.8508667562419104e-09,-1.0692197221993983e-09,-6.662455027258492e-09,-4.0830151477506394e-09,-2.2357070674770969e-08
0.00324064,3.0904706899543946e-07,6.7695391224856662e-08,-1.5005894488568771e-08,-1.9718121113306721e-08,-2.604553358552967e-08,-2.4481616183397381e-08,-4.0956344405703751e-08
