Physical Time (s),enth_flux_enthalpy_left Monitor (kg-m/s^3)
5.063e-05,-0.00014606452316406616
0.00010127,-0.00055738805906081843
0.00015191,-0.0017505223073143489
0.00020254,-0.0051098051182155062
0.00025318,-0.014036474644913493
0.00030381,-0.036171270774287029
0.00035444,-0.087833200821950633
0.00040508,-0.20261512075510019
0.00045571,-0.44361500385891039
0.00050635,-0.9193430805243995
0.00055698,-1.7949721109957242
0.00060762,-3.2871465310023735
0.00065825,-5.6273372814456319
0.00070889,-8.9913789877386119
0.00075952,-13.395254373757449
0.00081016,-18.585142653593067
0.0008608,-23.980516209861943
0.00091143,-28.705127621176892
0.00096207,-31.707808098793013
0.0010127,-31.985929933404286
0.00106333,-28.865687921798152
0.00111397,-22.385262288177067
0.0011646,-12.933626050349051
0.00121524,-1.5965441388573012
0.00126588,10.078429597254843
0.00131651,20.347180756493962
0.00136714,27.707567863300877
0.00141778,31.329429169728449
0.00146842,31.196134669960031
0.00151905,28.234028303350819
0.00156968,23.279149712811805
0.00162032,17.347747547262564
0.00167096,11.375377826220472
0.00172159,6.0760714167080021
0.00177222,1.8429383716660332
0.00182286,-1.1699546512326302
0.00187349,-2.9739452609064907
0.00192413,-3.6715492822621041
0.00197476,-3.5484947393466166
0.0020254,-2.7821643781986194
0.00207603,-1.6196791258848591
0.00212667,-0.31037875391939085
0.00217731,0.91376318578776283
0.00222794,1.8873364004347541
0.00227858,2.5247294989826421
0.00232921,2.8103183161532663
0.00237984,2.794559783238598
0.00243048,2.5612149096951446
0.00248111,2.1469993722199252
0.00253175,1.6129808320479071
0.00258238,1.0086438210177904
0.00263302,0.37073182133315541
0.00268366,-0.28514276502140101
0.00273429,-0.95094095695804004
0.00278492,-1.6232262549037324
0.00283556,-2.2814447185934004
0.00288619,-2.9116740278375604
0.00293683,-3.4783359219066279
0.00298746,-3.9493933563267065
0.0030381,-4.2939888216014035
0.00308874,-4.4866367387100059
0.00313937,-4.5100444525603933
0.00319001,-4.3635835972639505
0.00324064,-4.0780988382908268
0.00329127,-3.6695326003976274
0.00334191,-3.1712827927247487
0.00339254,-2.6300259969777473
0.00344318,-2.0916013643946232
0.00349381,-1.5988880466497242
0.00354445,-1.1848517295409406
0.00359509,-0.87190449398948155
0.00364572,-0.67009806840319719
0.00369636,-0.57791265859582608
0.00374699,-0.58621969887787961
0.00379762,-0.67831528793260898
0.00384826,-0.83209505539246154
0.00389889,-1.0216936832785382
0.00394953,-1.2179447139180932
0.00400016,-1.3986503944664417
0.0040508,-1.5438807961278731
0.00410143,-1.6382470934159299
0.00415207,-1.6729754064363709
0.00420271,-1.6462820115827159
0.00425334,-1.5650504747687219
0.00430397,-1.4435300904887969
0.00435461,-1.3008742341942043
0.00440524,-1.15914006131892
0.00445588,-1.03880519797625
0.00450651,-0.95852979232307034
0.00455715,-0.93263107327107342
0.00460778,-0.96918182293928545
0.00465842,-1.0671773703253129
0.00470906,-1.2193100267970776
0.00475969,-1.411872008128646
0.00481032,-1.625563677478699
0.00486096,-1.8374307990633965
0.00491159,-2.0230842239649887
0.00496223,-2.1600324001325468
0.00501287,-2.2302281868084268
0.0050635,-2.2224086217553936
0.00511413,-2.1327949861022999
0.00516477,-1.964796265213012
0.00521541,-1.7269745107279313
0.00526604,-1.432653209516997
0.00531667,-1.0987011379864333
0.00536731,-0.74333976920395373
0.00541794,-0.38460793376971425
0.00546858,-0.03877890623813212
0.00551922,0.28117387692652474
0.00556985,0.56600600207680396
0.00562048,0.81054809222084767
0.00567112,1.0132224878824534
0.00572176,1.1750728886347652
0.00577239,1.2986980966648707
0.00582302,1.387410848450024
0.00587366,1.4441878872134308
0.00592429,1.4711290361392506
0.00597493,1.4691181991895403
0.00602557,1.4370747191325588
0.0060762,1.3733796751935974
0.00612683,1.2752643845352039
0.00617747,1.1400963293499049
0.00622811,0.96542840454561041
0.00627874,0.74963532078509432
0.00632937,0.49102208297746419
0.00638001,0.18989219498709564
0.00643064,-0.15185968670706546
0.00648128,-0.53088540440180709
0.00653192,-0.94192484573313551
0.00658255,-1.3777126795870009
0.00663318,-1.8296456657078868
0.00668382,-2.288063894407828
0.00673445,-2.7420030847048413
0.00678509,-3.1795011396394699
0.00683572,-3.5876382222196463
0.00688636,-3.9529174327752239
0.00693699,-4.2617322494588619
0.00698763,-4.50045772962706
0.00703827,-4.6569034889287311
0.0070889,-4.7202904708613316
0.00713953,-4.6818640169086843
0.00719017,-4.5357734866062014
0.0072408,-4.2809217498478827
0.00729144,-3.9188491595251156
0.00734207,-3.4550162018726227
0.00739271,-2.8984748868708343
0.00744334,-2.261898495806717
0.00749398,-1.5612335583642003
0.00754462,-0.81561291030974781
0.00759525,-0.047108315246402216
0.00764588,0.72038244370688598
0.00769652,1.4620256087601571
0.00774715,2.1534169112602717
0.00779779,2.7711363623430909
0.00784842,3.2934323836346926
0.00789906,3.7026819350919289
0.00794969,3.9854472933411982
0.00800033,4.1329882412718675
0.00805097,4.1415462728677408
0.0081016,4.015910985613405
0.00815223,3.7647150069593209
0.00820287,3.3999451127243061
0.0082535,2.9387695907911997
0.00830414,2.4019117135551662
0.00835478,1.81242245790407
0.00840541,1.1942204725685701
0.00845605,0.5709702149515905
0.00850668,-0.035397589843953282
0.00855731,-0.60441860540150882
0.00860795,-1.118552269958544
0.00865858,-1.5645453347970089
0.00870922,-1.934583183363483
0.00875986,-2.2243611951711801
0.00881049,-2.4328368683226258
0.00886112,-2.5629141118647896
0.00891176,-2.6209251359201073
0.00896239,-2.6158962457549384
0.00901303,-2.5586800528638909
0.00906367,-2.4609570086889345
0.0091143,-2.3343036410100435
0.00916493,-2.1893768367573792
0.00921557,-2.0357056341543527
0.0092662,-1.8811839748543429
0.00931684,-1.7320345263485044
0.00936748,-1.5926486041952141
0.00941811,-1.466259287031169
0.00946875,-1.3527791961199287
0.00951938,-1.253679420236208
0.00957001,-1.1687539690548192
0.00962065,-1.0971215089398476
0.00967128,-1.0374354261512371
0.00972192,-0.98820861780044333
0.00977256,-0.94805964891250416
0.00982319,-0.915435187909176
0.00987382,-0.88903143084536329
0.00992446,-0.86821308113319151
0.00997509,-0.85229296563137502
0.01002573,-0.84054094399144086
0.01007637,-0.83219429066592832
0.010127,-0.82651154934556492
0.01017763,-0.82278859402919191
0.01022827,-0.82032936203366169
0.0102789,-0.81845249482078786
0.01032954,-0.81645835965951918
0.01038018,-0.81365733081554392
0.01043081,-0.80939164543781772
0.01048144,-0.80294498100010592
0.01053208,-0.79375855234763504
0.01058271,-0.78135624101509404
0.01063335,-0.76539055213967755
0.01068399,-0.74568799897678617
0.01073462,-0.72226559218373809
0.01078526,-0.69540900890289903
0.01083589,-0.66547759290918562
0.01088652,-0.63308022918342188
0.01093716,-0.59906840245858695
0.01098779,-0.56430029167431428
0.01103843,-0.529785810569948
0.01108907,-0.49658714568259765
0.0111397,-0.4657840386079522
0.01119033,-0.43842837261501189
0.01124097,-0.4155152061641203
0.0112916,-0.39795584525946037
0.01134224,-0.38652267144630414
0.01139288,-0.38184605959689444
0.01144351,-0.3843960270549891
0.01149414,-0.39447149916884883
0.01154478,-0.41219646731562898
0.01159541,-0.43755360681544886
0.01164605,-0.47035292020163
0.01169669,-0.51025204550036896
0.01174732,-0.55677654979932256
0.01179796,-0.60933873132386729
0.01184859,-0.66726307463561607
0.01189922,-0.72980359139319262
0.01194986,-0.79615704912624286
0.01200049,-0.86540135265273521
0.01205113,-0.93660042574529412
0.01210177,-1.0087955795393624
0.0121524,-1.0809852664537365
0.01220303,-1.1521442080706943
0.01225367,-1.221209895402124
0.0123043,-1.2870908194429045
0.01235494,-1.3486713631017602
0.01240558,-1.4048210194238868
0.01245621,-1.4544200927688651
0.01250684,-1.4963759276019539
0.01255748,-1.5296506390471643
0.01260811,-1.5532891441138228
0.01265875,-1.566443553926774
0.01270939,-1.5683933095195046
0.01276002,-1.5585655165638541
0.01281065,-1.5365499491706918
0.01286129,-1.5021199353420038
0.01291192,-1.4552466338343752
0.01296256,-1.3961121487756509
0.01301319,-1.3251120103256908
0.01306383,-1.2428572960741717
0.01311447,-1.15015195156816
0.0131651,-1.0480685372082137
0.01321573,-0.93786102574097174
0.01326637,-0.82096447463815414
0.013317,-0.69899459918822637
0.01336764,-0.57369573561213527
0.01341828,-0.446905153447272
0.01346891,-0.32052319379796285
0.01351954,-0.19645379186779302
0.01357018,-0.076569337721431041
0.01362081,0.037313768874501524
0.01367145,0.14347387015975047
0.01372209,0.24030093150185178
0.01377272,0.3262990332677555
0.01382335,0.4001089523949577
0.01387399,0.46053002675676313
0.01392462,0.50652543630982394
0.01397526,0.53724368973726766
0.0140259,0.55202903523662483
0.01407653,0.55043553762793629
0.01412716,0.53224704561069591
0.0141778,0.497493017426689
0.01422843,0.44646250409189736
0.01427907,0.37972316276866658
0.0143297,0.29812751414394273
0.01438034,0.20281986659350884
0.01443098,0.095232578787164207
0.01448161,-0.022922009901986201
0.01453224,-0.14969873117328017
0.01458288,-0.28295613296406563
0.01463351,-0.42040176568575705
0.01468415,-0.55967839297988131
0.01473479,-0.69841473253050279
0.01478542,-0.83428380197821639
0.01483605,-0.96504861465891045
0.01488669,-1.0885895183820455
0.01493732,-1.2029446912818464
0.01498796,-1.3063286390083242
0.0150386,-1.3971647702640322
0.01508923,-1.4741096162727436
0.01513986,-1.5360851267945588
0.0151905,-1.5823164049259404
0.01524113,-1.6123637297148128
0.01529177,-1.6261326952255779
0.0153424,-1.6238790248707295
0.01539304,-1.6062070093954226
0.01544368,-1.5740544101467686
0.01549431,-1.5286568325796743
0.01554494,-1.471522792961665
0.01559558,-1.4043741384604138
0.01564621,-1.3291059931847133
0.01569685,-1.2477334228878163
0.01574748,-1.1623582182788545
0.01579812,-1.075092822008858
0.01584875,-0.98807770615759494
0.01589939,-0.90328836794983036
0.01595002,-0.822580288670822
0.01600066,-0.7475744596821523
0.0160513,-0.67964147688735799
0.01610193,-0.61988072393315741
0.01615257,-0.56910549813490074
0.0162032,-0.52783933205560152
0.01625384,-0.49632362375901268
0.01630447,-0.47453136517077094
0.0163551,-0.46218747962401407
0.01640574,-0.45879559642222306
0.01645637,-0.46366754253736731
0.01650701,-0.47595242349468408
0.01655764,-0.49466604263312641
0.01660828,-0.51873396370750391
0.01665891,-0.5470211100737199
0.01670955,-0.5783588222877809
0.01676019,-0.61158697094593162
0.01681082,-0.64557608992680882
0.01686146,-0.67925842893383437
0.01691209,-0.7116519630690844
0.01696272,-0.74188011639440499
0.01701336,-0.76918875279093479
0.01706399,-0.79295941627983191
0.01711463,-0.81271605267070313
0.01716526,-0.82813088218104602
0.0172159,-0.83902066614896542
0.01726653,-0.84534253517177382
0.01731717,-0.84718562568085998
0.01736781,-0.84475990205207241
0.01741844,-0.83838297046446497
0.01746908,-0.82846835515186157
0.01751971,-0.81550966166978278
0.01757035,-0.80006467481562571
0.01762098,-0.78273811446148911
0.01767161,-0.76416161498772239
0.01772225,-0.74497499937488987
0.01777288,-0.72580373286248667
0.01782352,-0.70724130836397792
0.01787415,-0.68983110349302434
0.01792479,-0.6740504717881507
0.01797542,-0.66031986104617868
0.01802606,-0.64897202237744978
0.0180767,-0.64028398079774163
0.01812733,-0.63443285103754576
0.01817797,-0.63149505001003226
0.0182286,-0.6314516640595399
0.01827924,-0.63419550737388053
0.01832987,-0.6395388078860702
0.0183805,-0.64722039559537192
0.01843114,-0.65692278500400092
0.01848177,-0.66828165016167229
0.01853241,-0.68089716922406307
0.01858304,-0.69434601496968662
0.01863368,-0.70818790013760025
0.01868431,-0.72197718287204471
0.01873495,-0.73527302133806505
0.01878559,-0.74765190543994375
0.01883622,-0.75864762863682955
0.01888686,-0.76796520198775942
0.01893749,-0.77523985895675951
0.01898812,-0.78016548726070334
0.01903876,-0.78248832912885358
0.01908939,-0.78201055675380582
0.01914003,-0.77859363109557411
0.01919066,-0.77215887005024109
0.0192413,-0.76268677838363097
0.01929193,-0.75021862841132958
0.01934257,-0.73485643384481492
0.01939321,-0.7167626525100419
0.01944384,-0.69616083009717045
0.01949448,-0.67332954909140463
0.01954511,-0.64859600378649385
0.01959575,-0.62233322738004693
0.01964638,-0.59495202224449928
0.01969701,-0.56689441522053152
0.01974765,-0.53862598598284406
0.01979828,-0.51062845212469476
0.01984892,-0.48340370338230526
0.01989955,-0.45744914574610535
0.01995019,-0.43324247313299469
0.02000082,-0.41124649655446288
0.02005146,-0.39190943700913161
0.0201021,-0.37564681383280385
0.02015273,-0.36283761817291005
0.02020337,-0.35381963064948679
0.020254,-0.34888660819483391
0.02030463,-0.34828521566095605
0.02035527,-0.35221232960573073
0.0204059,-0.36080792638594905
0.02045654,-0.37415519220169657
0.02050717,-0.39227252938111468
0.02055781,-0.41511707831197509
0.02060844,-0.44258327049919044
0.02065908,-0.4745051347779537
0.02070972,-0.51065610923816362
0.02076035,-0.5507529682871265
0.02081099,-0.59445974071006824
0.02086162,-0.64139027520873149
0.02091226,-0.6911143141259688
0.02096289,-0.74315879467755774
0.02101352,-0.79698610889766197
0.02106416,-0.85204199563634808
0.02111479,-0.90777681875164862
0.02116543,-0.963619103150814
0.02121606,-1.0189857527688837
0.0212667,-1.0732960530746936
0.02131733,-1.125983403142893
0.02136797,-1.1764947352176538
0.02141861,-1.2243021682001483
0.02146924,-1.268907033123897
0.02151988,-1.3098452733371153
0.02157051,-1.3467009391678133
0.02162114,-1.3791043875009672
0.02167178,-1.4067395227255848
0.02172241,-1.4293481511017501
0.02177305,-1.4467314623243719
0.02182368,-1.4587736630920047
0.02187432,-1.4654183806034788
0.02192495,-1.4666779673909589
0.02197559,-1.4626299216359637
0.02202622,-1.4534147130690598
0.02207686,-1.4392337507186175
0.0221275,-1.4203436949829533
0.02217813,-1.3970527456690092
0.02222877,-1.3697134838722893
0.0222794,-1.338716285689904
0.02233003,-1.3044918859629817
0.02238067,-1.2674930513912408
0.0224313,-1.228198748282632
0.02248194,-1.1870931356359311
0.02253257,-1.1446776942661638
0.02258321,-1.101451151838061
0.02263384,-1.05790682423203
0.02268448,-1.0145271122094059
0.02273512,-0.97176413768408321
0.02278575,-0.93005429623686398
0.02283639,-0.88983502024533268
0.02288702,-0.85142564021224643
