Physical Time (s),enth_flux_enthalpy_right Monitor (kg-m/s^3): right_cv1,enth_flux_enthalpy_right Monitor (kg-m/s^3): right_cv2,enth_flux_enthalpy_right Monitor (kg-m/s^3): right_cv3,enth_flux_enthalpy_right Monitor (kg-m/s^3): right_cv4,enth_flux_enthalpy_right Monitor (kg-m/s^3): right_cv5,enth_flux_enthalpy_right Monitor (kg-m/s^3): right_cv6,enth_flux_enthalpy_right Monitor (kg-m/s^3): right_cv7
5.063e-05,-0.30909631766351986,-0.00087871246410224191,-2.2101883175033886e-05,-1.0634658877560784e-05,-9.3071306069907385e-06,-9.0089699375960632e-06,-8.9752397401116836e-06
0.00010127,-2.0691525460758706,-0.0044506735079317631,-6.7643861067423936e-05,-3.1335375249502767e-05,-2.7682129585949532e-05,-2.6950267523265389e-05,-2.6876301986836929e-05
0.00015191,-6.3678184498295352,-0.019343702132159218,-0.00017471894864761628,-7.7879218475967614e-05,-6.9510709170522602e-05,-6.7960908178868283e-05,-6.7814413571805191e-05
0.00020254,-12.702405151688676,-0.077105637049682763,-0.00043416527500962431,-0.00017871159795052635,-0.00015991619399102143,-0.00015670339440164874,-0.00015642099120810062
0.00025318,-19.048609868998536,-0.26882763343968985,-0.0010466620607828484,-0.00037728542981987261,-0.00033613884257363769,-0.00032961459670659233,-0.00032906844281299045
0.00030381,-23.292968048531264,-0.79923428548357722,-0.002489749500040439,-0.00071778703979684117,-0.00062880679589047287,-0.00061585058625807532,-0.00061486875318010397
0.00035444,-24.019410839357363,-2.0077609199462758,-0.0060578420660562463,-0.0013242931188063049,-0.0011342318116355759,-0.0011092084154615441,-0.0011075351496060313
0.00040508,-20.817044149112249,-4.2862007708751904,-0.014977081775856341,-0.0023825128786476467,-0.0019813163649705853,-0.0019340872252464533,-0.0019312608390290615
0.00045571,-14.670346441826828,-7.8652191742141015,-0.036992463464778635,-0.0041764365684629143,-0.0033262263027395,-0.0032383569638400082,-0.00323366255446721
0.00050635,-7.5601997305771222,-12.581291964314065,-0.08972741638361964,-0.0072087661320194302,-0.0053789195155932662,-0.0052141697991523088,-0.0052064373721344322
0.00055698,-1.0955114874097625,-17.751129938937801,-0.20984666477342229,-0.012453605112946665,-0.0084750626927213406,-0.0081601244510683887,-0.0081472580911102748
0.00060762,4.060459709351055,-22.243547866693742,-0.46526117471499784,-0.021815095296192067,-0.013162837264655334,-0.012556560096508977,-0.012535210734238734
0.00065825,7.8051431813539933,-24.765999042616489,-0.96685111847330685,-0.038945461757894095,-0.020294861274224005,-0.019118862933310089,-0.019083682312397959
0.00070889,10.2244855420905,-24.271455918008357,-1.871426838435545,-0.07059142739780766,-0.031110520066870793,-0.028812060363442631,-0.028753497280003461
0.00075952,11.454609670030377,-20.342600739057165,-3.3607982444807476,-0.12907109882120452,-0.04766934879811606,-0.043159370340364586,-0.043061145141954492
0.00081016,11.666597097464685,-13.489529244854843,-5.587893982454962,-0.23507633072380801,-0.072879797059901746,-0.064051725152443714,-0.063885772137726476
0.0008608,11.040764891466724,-5.0652453867024532,-8.5943127087419331,-0.42139897988176978,-0.11106678464690617,-0.093957162575867018,-0.093674688954425933
0.00091143,9.7462888380317469,3.2686471516068725,-12.226998699953439,-0.73650133666800999,-0.16863277276529282,-0.13598488039561282,-0.13550018909911299
0.00096207,7.9413756007647214,10.185175402895316,-16.082122312702626,-1.2462707783806155,-0.2551303109886694,-0.19411460342383441,-0.1932784631441746
0.0010127,5.7835443970707399,15.001027777573778,-19.514044559805125,-2.0302755840381539,-0.38430409553143852,-0.27311221000485786,-0.27166346650391848
0.00106333,3.4388744566137417,17.612338407977738,-21.727685019972203,-3.1697475994196296,-0.57485467198686258,-0.37810900326576397,-0.37559717851456459
0.00111397,1.0748650971793432,18.235237012521537,-21.957388879310002,-4.7273476129845342,-0.85215024889513824,-0.5152217687705325,-0.51087894931702116
0.0011646,-1.1495617635131707,17.201454757203365,-19.687853294741764,-6.7206743724766103,-1.2478124205177461,-0.69055439078160363,-0.68309239830755697
0.00121524,-3.1033734319124444,14.854002059849291,-14.834251966416605,-9.0925735938356631,-1.7990302136253904,-0.91025025093039202,-0.89754563474971549
0.00126588,-4.6929760178840825,11.525188499130557,-7.8657551747591059,-11.68593377005946,-2.5441264172047204,-1.1791549945245621,-1.1577914264066853
0.00131651,-5.8679068513828598,7.5581096107686161,0.20765063660055505,-14.238166518742416,-3.5173915704520242,-1.5007721205170519,-1.4654064989243789
0.00136714,-6.6191855965064157,3.3125090926381331,8.055265283853549,-16.398726166133805,-4.7390440117768318,-1.8759359132804123,-1.8183529171544359
0.00141778,-6.97179516122132,-0.84220585296062378,14.381111100655213,-17.78264758123747,-6.2061676349958255,-2.3019231423375497,-2.2099658375462985
0.00146842,-6.9813604700360887,-4.5601346098070383,18.275240968485324,-18.032706567653641,-7.8829526127321099,-2.7721833955205204,-2.6283618776450508
0.00151905,-6.7234582529343356,-7.5539763764722299,19.404527421802207,-16.891628966708332,-9.6927857283833916,-3.2758958546853467,-3.055862184569599
