Physical Time (s),enth_flux_enthalpy_top Monitor (kg-m/s^3): top_cv1,enth_flux_enthalpy_top Monitor (kg-m/s^3): top_cv2,enth_flux_enthalpy_top Monitor (kg-m/s^3): top_cv3,enth_flux_enthalpy_top Monitor (kg-m/s^3): top_cv4,enth_flux_enthalpy_top Monitor (kg-m/s^3): top_cv5,enth_flux_enthalpy_top Monitor (kg-m/s^3): top_cv6,enth_flux_enthalpy_top Monitor (kg-m/s^3): top_cv7
5.063e-05,1.5539968066379988e-12,1.556592294855944e-12,1.5612355726961768e-12,1.562104822796184e-12,1.5622211060451333e-12,1.5622512465904785e-12,1.5622549624169327e-12
0.00010127,2.3640479241301006e-11,2.3676930468126813e-11,2.3733239841872559e-11,2.3742156342470194e-11,2.3743258350002904e-11,2.3743512692679925e-11,2.3743541471962906e-11
0.00015191,2.6516095809768237e-10,2.6550152832758835e-10,2.6596141314350776e-10,2.6602341634181867e-10,2.6603046935033605e-10,2.6603194297571677e-10,2.6603209521092784e-10
0.00020254,2.5367182386539843e-09,2.5394991035212255e-09,2.5428015646961995e-09,2.5431717424611728e-09,2.5432095939577672e-09,2.5432167794162222e-09,2.5432174525372155e-09
0.00025318,2.0888596667215542e-08,2.0909846362580739e-08,2.0931868887217993e-08,2.0933833305968954e-08,2.0934010176993494e-08,2.0934040674248672e-08,2.0934043335923186e-08
0.00030381,1.4852772201165294e-07,1.4868136755083663e-07,1.4882071403252424e-07,1.4883011860420215e-07,1.488308368269462e-07,1.4883094628179487e-07,1.4883095504011173e-07
0.00035444,9.0521518733631312e-07,9.063080692462824e-07,9.0718561646476983e-07,9.0722943511118167e-07,9.0723219557515673e-07,9.0723255940406004e-07,9.0723258498525169e-07
0.00040508,4.8102091721969182e-06,4.8176458359949653e-06,4.8230933868039825e-06,4.823294699618348e-06,4.8233048531663731e-06,4.8233059999859831e-06,4.823306068461813e-06
0.00045571,2.2398324624838666e-05,2.2445421949388488e-05,2.247814288020998e-05,2.2479059603428332e-05,2.247909536461535e-05,2.2479098797615847e-05,2.2479098966469144e-05
0.00050635,9.1305554485252724e-05,9.1576068883778962e-05,9.1761705420126139e-05,9.176589380302576e-05,9.1766016363427976e-05,9.1766026303276413e-05,9.1766026695226747e-05
0.00055698,0.00032619757747949355,0.00032757882127344576,0.00032854842333777457,0.0003285676135790826,0.00032856803003778682,0.00032856805848301661,0.00032856805937726092
0.00060762,0.0010199229959178175,0.0010260948966404461,0.0010306520383019941,0.0010307387298922606,0.0010307401556894861,0.0010307402367610225,0.0010307402387669453
0.00065825,0.0027876570512708012,0.0028116062937101269,0.0028305940571767057,0.0028309712349221575,0.0028309761761761369,0.0028309764075523948,0.002830976411915626
0.00070889,0.0066555402928518284,0.0067357180765795846,0.0068053251617967141,0.0068068707255662803,0.006806887950706361,0.0068068886141337773,0.0068068886234537353
0.00075952,0.013860491253611199,0.014091664970852274,0.014315288425263844,0.014321149649400278,0.014321209627658565,0.014321211547849063,0.014321211567572698
0.00081016,0.025115264940382423,0.025688505709996604,0.026316837944108697,0.026337128026219649,0.026337333607929045,0.026337339187917013,0.026337339229116977
0.0008608,0.039434606125300226,0.040654234610741684,0.042196941270046473,0.042260451757249483,0.042261134625371718,0.042261150782661662,0.042261150867244933
0.00091143,0.053273088192350028,0.05549066106945727,0.058799799033561861,0.058978613205287085,0.058980782071765041,0.058980828325542148,0.05898082849526274
0.00096207,0.061102188571169738,0.064519995030835484,0.070716188669874183,0.071167718647743849,0.071174234529582756,0.071174364606995652,0.071174364934594933
0.0010127,0.057980788884216768,0.062375659687524183,0.072479670453915929,0.073500351811583486,0.073518696765041927,0.073519053905152357,0.073519054502756753
0.00106333,0.043335651961058257,0.047902176330830069,0.06217113362511837,0.064233386218483027,0.064281400042520156,0.064282350635828725,0.064282351629195253
0.00111397,0.02229296682693593,0.025881333286184551,0.043169708176459667,0.046890165516336894,0.047006334532192481,0.047008774286775766,0.047008775662043825
0.0011646,0.0036845925233339087,0.0054662315831945172,0.023169784022209445,0.029153058391841541,0.029411807127999269,0.029417810369239211,0.029417811405336759
0.00121524,-0.0049124521758451304,-0.0048534319486803722,0.010065414974617781,0.018625520674347671,0.019154549818486698,0.019168640489165233,0.019168638100476684
0.00126588,-0.0017806931504466066,-0.0023586200524162697,0.0074657517158033164,0.018322543458261949,0.019313010693729923,0.019344397475462304,0.019344381956292622
0.00131651,0.008338256535423548,0.0084928956281883905,0.013072413026094886,0.025215666788683883,0.026910578543140946,0.026976632974882845,0.026976577600137018
0.00136714,0.017900038143500659,0.019420729757717883,0.020793386058203266,0.032680968969777555,0.035327443072590253,0.035458251098574832,0.035458091973933271
0.00141778,0.021347798021145638,0.023702144782987444,0.024746328433485662,0.034813047878331241,0.038578639513395574,0.03882164425590099,0.038821240128587259
0.00146842,0.018228119387935497,0.020286152063241535,0.022919949287345739,0.030175798459993138,0.03504994548138142,0.035472306187914068,0.03547136808577768
0.00151905,0.011430382120069631,0.01254270712903845,0.016781340383181811,0.021150598196834455,0.026876442499185145,0.027561863738792713,0.027559843034625837
0.00156968,0.0047894257128342776,0.0053995798580127614,0.0098662009673946369,0.012066816342356164,0.018153011261826595,0.019190010999032933,0.019185936778827305
