Physical Time (s),enth_flux_viscous_bot Monitor (kg-m/s^3): bot_cv1,enth_flux_viscous_bot Monitor (kg-m/s^3): bot_cv2,enth_flux_viscous_bot Monitor (kg-m/s^3): bot_cv3,enth_flux_viscous_bot Monitor (kg-m/s^3): bot_cv4,enth_flux_viscous_bot Monitor (kg-m/s^3): bot_cv5,enth_flux_viscous_bot Monitor (kg-m/s^3): bot_cv6,enth_flux_viscous_bot Monitor (kg-m/s^3): bot_cv7
5.063e-05,1.0598425267188628e-12,1.0263614074167628e-12,9.9293773828502703e-13,9.8630316268084636e-13,9.8491106469752858e-13,9.8469598379360314e-13,9.8468387663656817e-13
0.00010127,4.5813147523534847e-12,4.4481408264467415e-12,4.3223552377823366e-12,4.2999353378245691e-12,4.2957489161003241e-12,4.2950753305739885e-12,4.2950401058843233e-12
0.00015191,1.6888299485632629e-11,1.6424967592356038e-11,1.6014378491321773e-11,1.5950214328511192e-11,1.5939827241598579e-11,1.5938199417668161e-11,1.593813418539036e-11
0.00020254,5.7006020482148078e-11,5.5472747956570013e-11,5.4188789224702329e-11,5.4014844698828956e-11,5.3990431334246627e-11,5.3986878589846339e-11,5.3986783911649024e-11
0.00025318,1.7820080020906523e-10,1.7333727436482598e-10,1.6944220600906218e-10,1.6898511664499344e-10,1.6892903681209236e-10,1.689215397941579e-10,1.6892140945193962e-10
0.00030381,5.1720506553113231e-10,5.0239154369494041e-10,4.9088825327244015e-10,4.8971044062234087e-10,4.8958355600398509e-10,4.8956792513145632e-10,4.8956779060547499e-10
0.00035444,1.407620582611078e-09,1.3644083919437767e-09,1.3313792002644726e-09,1.3283764508093009e-09,1.3280942633128704e-09,1.3280622981286542e-09,1.3280622513797068e-09
0.00040508,3.656978595602508e-09,3.537705024348725e-09,3.446299966759637e-09,3.4387087176682673e-09,3.438092741616513e-09,3.4380294280023176e-09,3.4380295713192922e-09
0.00045571,9.2797342285999027e-09,8.972873025433393e-09,8.7319207262607705e-09,8.7128960349181821e-09,8.7115648722726072e-09,8.7114428538314881e-09,8.7114434537491259e-09
0.00050635,2.3508552890777516e-08,2.2789722645299555e-08,2.219520608129549e-08,2.2148293079650219e-08,2.2145417304060292e-08,2.2145185566561284e-08,2.2145187198097145e-08
0.00055698,5.5815177544230435e-08,5.4349221596887012e-08,5.3011838497000969e-08,5.2899199808104779e-08,5.2892955587523848e-08,5.2892514440564487e-08,5.2892518396202461e-08
0.00060762,1.1130965841510456e-07,1.0897873564590175e-07,1.0636415913050685e-07,1.0610403704935703e-07,1.0609045074817609e-07,1.0608960225879173e-07,1.0608961112041846e-07
0.00065825,2.0411684852345125e-07,2.0216259250141424e-07,1.9819830271556708e-07,1.9763004094638085e-07,1.976006286499432e-07,1.9759897820556629e-07,1.9759899679181951e-07
0.00070889,3.4909775487957069e-07,3.4625376158887462e-07,3.4133629708767127e-07,3.4018897489470853e-07,3.4012615069473269e-07,3.4012291069067106e-07,3.4012294776156558e-07
0.00075952,5.5945603952041459e-07,5.5650353288284432e-07,5.5023553463261924e-07,5.4817461951133562e-07,5.4804343669282107e-07,5.4803704027728988e-07,5.4803711155888497e-07
0.00081016,8.321883625282129e-07,8.3171180219878312e-07,8.2445781799798235e-07,8.2141412082989521e-07,8.2114925222164079e-07,8.2113662226642017e-07,8.2113675572423867e-07
