Physical Time (s),enth_flux_viscous_right Monitor (kg-m/s^3): right_cv1,enth_flux_viscous_right Monitor (kg-m/s^3): right_cv2,enth_flux_viscous_right Monitor (kg-m/s^3): right_cv3,enth_flux_viscous_right Monitor (kg-m/s^3): right_cv4,enth_flux_viscous_right Monitor (kg-m/s^3): right_cv5,enth_flux_viscous_right Monitor (kg-m/s^3): right_cv6,enth_flux_viscous_right Monitor (kg-m/s^3): right_cv7
5.063e-05,6.6965670162646459e-08,-7.7211397993012679e-11,-4.5997205781502247e-13,-3.9221525160573627e-14,-5.8344514217251344e-15,-3.2083449399788446e-16,-2.5055232136141321e-17
0.00010127,1.741978548493555e-06,-3.9631700380245948e-10,-1.637432938795245e-12,-1.2605230986845799e-13,-1.8381882424290405e-14,-9.6316208177697198e-16,-6.7117489136903465e-17
0.00015191,1.4087481426877934e-05,-1.5912847900929697e-09,-4.9418417371187926e-12,-3.3117295880057525e-13,-4.605632070463212e-14,-2.2940582272097552e-15,-1.4008784429673503e-16
0.00020254,4.9340370902721824e-05,-2.8437067336510818e-09,-1.4267473775186239e-11,-8.112664699234682e-13,-1.0552416764655661e-13,-4.9770459318151483e-15,-2.6406828249969055e-16
0.00025318,9.5363456313974726e-05,-1.6230001848803636e-09,-4.0606422502131769e-11,-1.903603065225106e-12,-2.2961306020116892e-13,-1.0284189312455806e-14,-4.8234350298395732e-16
0.00030381,0.00011221308559882652,3.9372120224831994e-08,-1.1572526839555594e-10,-4.3570411202858917e-12,-4.8399827896141811e-13,-2.0431721631818714e-14,-8.4482724210450682e-16
0.00035444,8.0234470554096194e-05,3.0780427259257491e-07,-3.2927749335286868e-10,-9.8341484475067326e-12,-9.9506412109077064e-13,-3.8910611849914213e-14,-1.4198334961627887e-15
0.00040508,3.4600933680475756e-05,1.3284023987606274e-06,-9.1923592262414038e-10,-2.2020387677310203e-11,-2.0016086147515885e-12,-7.1524958693401653e-14,-2.3273102727014986e-15
0.00045571,1.3850166098964921e-05,3.8630272078679041e-06,-2.437746633612171e-09,-4.9272051342496895e-11,-3.9572697788040696e-12,-1.280242971618812e-13,-3.7207313788197463e-15
0.00050635,1.3456586205088162e-05,8.0227213403264433e-06,-5.815776680426348e-09,-1.1078589741148784e-10,-7.7769262685257655e-12,-2.2512893662898138e-13,-5.8211134646056325e-15
0.00055698,1.6062408778824172e-05,1.2006521706988248e-05,-1.0985179999495357e-08,-2.4957130048949917e-10,-1.5349214006139243e-11,-3.9321907724544446e-13,-9.0366554034129858e-15
0.00060762,1.6292287917663519e-05,1.2268477744184045e-05,-1.3142841974696247e-08,-5.5918337256222829e-10,-3.0516669438312432e-11,-6.8455475183923737e-13,-1.3796803477108935e-14
0.00065825,1.5332510021873393e-05,6.3807923601889072e-06,-1.7587530556809381e-08,-1.2330831133876699e-09,-6.1140675817785641e-11,-1.1881647986609984e-12,-2.0727286849967835e-14
0.00070889,1.4717777653262572e-05,-3.6947690235010904e-06,-1.1497181857209641e-08,-2.6394084490685276e-09,-1.2315142478431464e-10,-2.0624770916541279e-12,-3.0951035148629498e-14
0.00075952,1.5271153564564642e-05,-9.4745974426300762e-06,3.8823096794651941e-08,-5.384487912082109e-09,-2.4834095112139887e-10,-3.5923036719876353e-12,-4.6176944279081829e-14
