Physical Time (s),ep_right Monitor (kg-m/s^3): right_cv1,ep_right Monitor (kg-m/s^3): right_cv2,ep_right Monitor (kg-m/s^3): right_cv3,ep_right Monitor (kg-m/s^3): right_cv4,ep_right Monitor (kg-m/s^3): right_cv5,ep_right Monitor (kg-m/s^3): right_cv6,ep_right Monitor (kg-m/s^3): right_cv7
5.063e-05,0.00064415517549450336,1.2437758912504395e-09,4.2167321348620708e-14,4.4174487039771593e-16,1.2192915349024483e-17,7.5695705657716816e-20,4.919654486664043e-22
0.00010127,0.021705691567947254,3.4331868044577051e-08,4.5495497848958737e-13,3.7725454882680245e-15,9.3244213015205125e-17,5.0170175105581589e-19,2.6041142273189291e-21
0.00015191,0.19468651589644007,7.2800887634355018e-07,3.5295143201965138e-12,2.1889842908918144e-14,4.9492275651122159e-16,2.412669085298061e-18,9.7707374598003671e-21
0.00020254,0.76798234078410821,1.2198401329617694e-05,2.614560766540676e-11,1.1678421522855245e-13,2.3437230973179569e-15,1.0173459916230913e-17,3.1442591965822852e-20
0.00025318,1.702805631502381,0.00014900552532234808,1.9110779594859612e-10,5.855011614854918e-13,1.0280723269359498e-14,4.0563108422638077e-17,9.9951857817291903e-20
0.00030381,2.3788575120684743,0.0012819660417733101,1.4257171522521903e-09,2.8327829999966364e-12,4.2373394584159441e-14,1.4225667784509982e-16,2.8235092797629049e-19
0.00035444,2.1288003189534299,0.0077479346001986622,1.0807115683490594e-08,1.3381987826949908e-11,1.6590571367711713e-13,4.5269823068989196e-16,7.3357077681081271e-19
0.00040508,1.1150223615703889,0.033603530849744032,8.1032442738761274e-08,6.2216503951082029e-11,6.2593086401304262e-13,1.3837238637498026e-15,1.8496307616059498e-18
0.00045571,0.16519607369619663,0.10753204761372408,5.7989728734249402e-07,2.9037660938836485e-10,2.2961002000614824e-12,4.0628078148480629e-15,4.4228098142884509e-18
0.00050635,-0.24574291218705102,0.26082777284706815,3.8382128611000599e-06,1.3878969906201528e-09,8.4602108968517906e-12,1.1703578648147248e-14,1.0113689747516694e-17
0.00055698,-0.23978316578324699,0.48833504065642441,2.2833938588683909e-05,6.7387531952523265e-09,3.1948609506204261e-11,3.3990369745749258e-14,2.3279424450800083e-17
0.00060762,-0.08317381287519339,0.70919345681706059,0.00011922790130018038,3.262965171426672e-08,1.2246767365937812e-10,9.8169225020649205e-14,5.1241481974049055e-17
0.00065825,0.063806778042866635,0.78917925418569279,0.00053837492377032032,1.5484440478693661e-07,4.7709610801241328e-10,2.8117686160353127e-13,1.0995338975137492e-16
0.00070889,0.14753256841867157,0.64757064781323015,0.0020862972618706163,7.0719738961136354e-07,1.884079896701276e-09,8.1587833260040436e-13,2.381046437721177e-16
0.00075952,0.17175713315225802,0.35724136753776142,0.0069089068389357553,3.0581920506431474e-06,7.4780306593811478e-09,2.3985757028659401e-12,5.1795668035819654e-16
0.00081016,0.16212772498597333,0.10673573882859906,0.019520730927522198,1.23407246686054e-05,2.9457497056798595e-08,7.1523623297848741e-12,1.1365641876904844e-15
0.0008608,0.14478601064912169,0.03418578017214223,0.047056487794755963,4.5933623473107501e-05,1.1347580995091387e-07,2.1631376842718309e-11,2.5169610172804845e-15
