Physical Time (s),etp_right Monitor (kg-m/s^3): right_cv1,etp_right Monitor (kg-m/s^3): right_cv2,etp_right Monitor (kg-m/s^3): right_cv3,etp_right Monitor (kg-m/s^3): right_cv4,etp_right Monitor (kg-m/s^3): right_cv5,etp_right Monitor (kg-m/s^3): right_cv6,etp_right Monitor (kg-m/s^3): right_cv7
5.063e-05,0.00068482489774741992,1.2112361490631705e-09,-4.1723228149160978e-13,-3.8775398076219528e-14,-5.8221579258650817e-15,-3.2075835518800144e-16,-2.5054737412091953e-17
0.00010127,0.022772808817700507,3.5163978192028414e-08,-1.1756547488343061e-12,-1.2223735146219595e-13,-1.8287731677733516e-14,-9.6265680984457698e-16,-6.7114866082283913e-17
0.00015191,0.20432523602834593,7.5440866390956654e-07,-1.3528235722871652e-12,-3.0900744007571951e-13,-4.5556023041588974e-14,-2.2916265641861625e-15,-1.4007799197731412e-16
0.00020254,0.80828553160952665,1.2687834061729819e-05,1.2359822734579878e-11,-6.9289624000120531e-13,-1.0315313976216576e-13,-4.9667873348371303e-15,-2.6403654957943506e-16
0.00025318,1.8011247635273271,0.0001552008790767157,1.543307759183974e-10,-1.3096140056394599e-12,-2.1920606571084734e-13,-1.0243274787746937e-14,-4.8224258808657197e-16
0.00030381,2.5396995315720639,0.0013362571086425784,1.3408560749015898e-09,-1.4807555262905575e-12,-4.4107657247876553e-13,-2.0288135573226701e-14,-8.4454197683714962e-16
0.00035444,2.3195049998477231,0.008080288278352752,1.0728867476510495e-08,3.7655042279291779e-12,-8.2688977231839606e-13,-3.8453325546919983e-14,-1.4190918438823539e-15
0.00040508,1.2878096337763556,0.035061627437149329,8.2118580925467451e-08,4.1271007369945126e-11,-1.3666418751680798e-12,-7.0126402348060859e-14,-2.3254394499164122e-15
0.00045571,0.29315943271594169,0.11225979391908789,5.9261664859017242e-07,2.4641697277659665e-10,-1.6262206884229089e-12,-1.2391568772656572e-13,-3.71625567818203e-15
0.00050635,-0.15972958293105075,0.27249431266560398,3.9373027444166218e-06,1.3037427613231947e-09,8.1751840412040486e-13,-2.1328757163120266e-13,-5.8108733720294045e-15
0.00055698,-0.1805769911695593,0.51075045198780999,2.3470194089214299e-05,6.6238523790782667e-09,1.7121365059027894e-11,-3.5881652946337419e-13,-9.0130795326302171e-15
0.00060762,-0.038249341016143662,0.74317696780768505,0.000122700623823523,3.274735557455375e-08,9.4013728035674129e-11,-5.8515418970917786e-13,-1.3744885114243178e-14
0.00065825,0.1011496600973474,0.82994116522198158,0.0005545334604941624,1.5693490826245221e-07,4.2424239262046819e-10,-9.0331907343301438e-13,-2.0615828794864138e-14
0.00070889,0.18028950745833786,0.68595815873260446,0.0021505076165428414,7.2021900918437359e-07,1.7946117218270487e-09,-1.2356252887770592e-12,-3.07096152536568e-14
0.00075952,0.20165215699301783,0.3853478698261934,0.0071263991833185854,3.1225040096085985e-06,7.3670502391040984e-09,-1.1605657101821263e-12,-4.565168259357262e-14
0.00081016,0.19095214043973155,0.12329007867621118,0.020148546063409944,1.2619496304555766e-05,2.9514666040738628e-08,9.6375640653727893e-13,-6.7817406858389712e-14
0.0008608,0.17472243779957278,0.044237164100720851,0.048602686126441363,4.7020683716911687e-05,1.1468523806743109e-07,1.0867835906200043e-11,-1.0058100425293189e-13
0.00091143,0.16996339956408235,0.131998885857949,0.10008378107473284,0.00016040525687418335,4.2885638275480154e-07,4.770039607925022e-11,-1.4875998609835771e-13
