Physical Time (s),ev_bot Monitor (kg-m/s^3): bot_cv1,ev_bot Monitor (kg-m/s^3): bot_cv2,ev_bot Monitor (kg-m/s^3): bot_cv3,ev_bot Monitor (kg-m/s^3): bot_cv4,ev_bot Monitor (kg-m/s^3): bot_cv5,ev_bot Monitor (kg-m/s^3): bot_cv6,ev_bot Monitor (kg-m/s^3): bot_cv7
5.063e-05,8.0197525501127961e-23,8.018281783872866e-23,8.0175221755773705e-23,8.0175152360762809e-23,8.0175151711487345e-23,8.0175151708208256e-23,8.0175151708208174e-23
0.00010127,6.3897651959596991e-21,6.3888397699703882e-21,6.3884172677555335e-21,6.3884144021610951e-21,6.3884143839366949e-21,6.388414383851152e-21,6.388414383851149e-21
0.00015191,3.1853505496637918e-19,3.1849599162607678e-19,3.1848039802880819e-19,3.1848032529548851e-19,3.1848032500059638e-19,3.18480324999483e-19,3.1848032499948295e-19
0.00020254,1.225184322847105e-17,1.2250422810372896e-17,1.2249913670604166e-17,1.2249912095791106e-17,1.2249912091711585e-17,1.2249912091699933e-17,1.2249912091699933e-17
0.00025318,3.7158259596852111e-16,3.7153703089813107e-16,3.715218759698808e-16,3.7152184488114182e-16,3.71521844828772e-16,3.7152184482865727e-16,3.7152184482865727e-16
0.00030381,8.8411211418996514e-15,8.8398226225553639e-15,8.8394090253094165e-15,8.8394084463815432e-15,8.839408445742334e-15,8.8394084457412375e-15,8.8394084457412375e-15
0.00035444,1.6607306324288669e-13,1.6604032676445226e-13,1.6603005407071652e-13,1.6603004362914088e-13,1.6603004362170239e-13,1.6603004362169254e-13,1.6603004362169254e-13
0.00040508,2.4888816220600817e-12,2.4881707471232063e-12,2.4879443294954573e-12,2.4879441465107878e-12,2.4879441464279901e-12,2.4879441464279098e-12,2.4879441464279098e-12
0.00045571,2.9900514770916473e-11,2.9887505396306542e-11,2.9883183494354606e-11,2.9883180399575209e-11,2.9883180398670416e-11,2.9883180398669815e-11,2.9883180398669815e-11
0.00050635,2.8846836000707376e-10,2.882710867250905e-10,2.8820126228045374e-10,2.8820121297731219e-10,2.8820121296740773e-10,2.8820121296740339e-10,2.8820121296740339e-10
0.00055698,2.2379944696059856e-09,2.2355484165175305e-09,2.2346099594380493e-09,2.2346092395292494e-09,2.234609239420143e-09,2.2346092394201107e-09,2.2346092394201107e-09
0.00060762,1.397011073845261e-08,1.3945574945154373e-08,1.3935219260685569e-08,1.3935209864802333e-08,1.3935209863606688e-08,1.393520986360644e-08,1.393520986360644e-08
0.00065825,7.0253756468294543e-08,7.0056003414829171e-08,6.9962938053977786e-08,6.9962830866736741e-08,6.9962830853969851e-08,6.9962830853967892e-08,6.9962830853967892e-08
0.00070889,2.8524041270248084e-07,2.8396188098769786e-07,2.8328243320198222e-07,2.8328138182746962e-07,2.8328138169760666e-07,2.8328138169759083e-07,2.8328138169759083e-07
0.00075952,9.3687457999330779e-07,9.3024485591554667e-07,9.2621405564925687e-07,9.2620529054858189e-07,9.2620528931701186e-07,9.2620528931688333e-07,9.2620528931688333e-07
0.00081016,2.4916553105005601e-06,2.4640825627574261e-06,2.4446273816097578e-06,2.4445657523086242e-06,2.4445657416361327e-06,2.4445657416350989e-06,2.4445657416350989e-06
0.0008608,5.3635301311308485e-06,5.2716155757292656e-06,5.1950849121113365e-06,5.1947211198656639e-06,5.1947210367563378e-06,5.1947210367482673e-06,5.1947210367482673e-06
0.00091143,9.3061527958433406e-06,9.0611148930883024e-06,8.8153093051252841e-06,8.8135095761117774e-06,8.8135090014844109e-06,8.8135090014242342e-06,8.8135090014242342e-06
0.00096207,1.2907619988268942e-05,1.2387612477368822e-05,1.1742335589915768e-05,1.1734875728699978e-05,1.17348722305135e-05,1.173487223009136e-05,1.173487223009136e-05
0.0010127,1.4061566188668369e-05,1.3193291462884746e-05,1.1809275175799016e-05,1.1783361194029964e-05,1.1783342560327813e-05,1.1783342557577602e-05,1.1783342557577602e-05
0.00106333,1.1728451164871499e-05,1.061109714951971e-05,8.1943792142987172e-06,8.1189046757287994e-06,8.1188182350953974e-06,8.1188182186426023e-06,8.118818218642604e-06
0.00111397,7.1307783786524048e-06,6.0563930271712095e-06,2.6422837984824928e-06,2.4578827983999938e-06,2.4575345678929738e-06,2.4575344783528579e-06,2.4575344783528609e-06
0.0011646,2.9372968484295268e-06,2.210696461231066e-06,-1.667847913034808e-06,-2.0454508534484261e-06,-2.0466671415180775e-06,-2.046667581712936e-06,-2.0466675817129216e-06
0.00121524,8.1082298868616613e-07,5.0756380973834478e-07,-2.986215175197559e-06,-3.6336651054703997e-06,-3.6373450270634896e-06,-3.6373469717541055e-06,-3.6373469717540322e-06
0.00126588,2.0284197915697968e-07,1.4662182379075245e-07,-2.3051676521761697e-06,-3.232878897393587e-06,-3.2425183264933409e-06,-3.2425260152067018e-06,-3.2425260152063515e-06
0.00131651,-3.1676318904803181e-07,-3.167598412979099e-07,-1.6337437850956224e-06,-2.7423591406151515e-06,-2.764211650749848e-06,-2.7642387778630852e-06,-2.7642387778614949e-06
0.00136714,-1.1532429878013656e-06,-1.1322718969407252e-06,-1.6624807084210682e-06,-2.7636568240307951e-06,-2.8065208478660874e-06,-2.8066061016287309e-06,-2.8066061016218886e-06
0.00141778,-1.6090318200829516e-06,-1.5366733602078926e-06,-1.6655173151920668e-06,-2.5735724286771772e-06,-2.6463067033671217e-06,-2.6465451602986904e-06,-2.6465451602707798e-06
