Physical Time (s),ev_left Monitor (kg-m/s^3)
5.063e-05,-6.3623978262512815e-15
0.00010127,-8.7249216079082608e-14
0.00015191,-9.1213732363550869e-13
0.00020254,-8.3990650571845706e-12
0.00025318,-6.8930251236501662e-11
0.00030381,-4.9913980096998873e-10
0.00035444,-3.1853944559413613e-09
0.00040508,-1.8045296025588431e-08
0.00045571,-9.0607520481244779e-08
0.00050635,-4.0173891444117513e-07
0.00055698,-1.5628426985819914e-06
0.00060762,-5.3016422393173822e-06
0.00065825,-1.5606019008667801e-05
0.00070889,-3.9780012658140177e-05
0.00075952,-8.7961996976535975e-05
0.00081016,-0.00016976276647701018
0.0008608,-0.0002899039370775733
0.00091143,-0.00044949810868215724
0.00096207,-0.00065938764488486078
0.0010127,-0.00096007621917178372
0.00106333,-0.0014180327914136803
0.00111397,-0.0020724982364947863
0.0011646,-0.0028498592750739885
0.00121524,-0.0035138588751023356
0.00126588,-0.0037414740181905171
0.00131651,-0.0033298306629340572
0.00136714,-0.0023879521285726721
0.00141778,-0.0013013603942272031
0.00146842,-0.00048699046747639611
0.00151905,-0.00013472301166670341
0.00156968,-0.00017169417204472684
0.00162032,-0.00037601371955134561
0.00167096,-0.00053622286903254801
0.00172159,-0.00055104169063878385
0.00177222,-0.00043290667785739277
0.00182286,-0.00025765346948193531
0.00187349,-0.0001071437022419893
0.00192413,-3.2004419762281568e-05
0.00197476,-4.0003022013607215e-05
0.0020254,-0.00010659386497607402
0.00207603,-0.00019213387650194257
0.00212667,-0.00026052312977972188
0.00217731,-0.00029178190638942583
0.00222794,-0.00028490189278710081
0.00227858,-0.00025228457845463844
0.00232921,-0.00021083245906964942
0.00237984,-0.00017351457133948076
0.00243048,-0.00014668917506549054
0.00248111,-0.00013097759250067109
0.00253175,-0.00012402595985695379
0.00258238,-0.00012323453474868132
0.00263302,-0.00012725108758412874
0.00268366,-0.00013598022883493636
0.00273429,-0.00014971301490003714
0.00278492,-0.0001681391838272876
0.00283556,-0.00018990493502932232
0.00288619,-0.00021287777537922821
0.00293683,-0.00023462768094208337
0.00298746,-0.00025308485333384639
0.0030381,-0.00026708543997441353
0.00308874,-0.00027653943389798304
0.00313937,-0.0002822232688035872
0.00319001,-0.00028539756766037628
0.00324064,-0.00028743741873691264
0.00329127,-0.00028948777490344529
0.00334191,-0.00029232786666744158
0.00339254,-0.00029639276010412578
0.00344318,-0.00030179347437554434
0.00349381,-0.00030834560549356963
0.00354445,-0.00031562018950371477
0.00359509,-0.00032304651356016337
0.00364572,-0.00032999125084515418
0.00369636,-0.0003358629749024889
0.00374699,-0.00034023286544740243
0.00379762,-0.00034292800336983799
0.00384826,-0.00034406564946596447
0.00389889,-0.00034398861001172303
0.00394953,-0.00034315813422586744
0.00400016,-0.00034212484553229188
0.0040508,-0.00034142832878423807
0.00410143,-0.00034152543578407427
0.00415207,-0.000342746683019863
0.00420271,-0.00034527332704630827
0.00425334,-0.00034914278739706285
0.00430397,-0.00035426762383401522
0.00435461,-0.00036045963687178159
0.00440524,-0.00036747989661536115
0.00445588,-0.00037506939672451745
0.00450651,-0.00038298043405955826
0.00455715,-0.00039102720784070472
0.00460778,-0.00039913321314832064
0.00465842,-0.00040730513549773879
0.00470906,-0.00041565211858856418
0.00475969,-0.00042436813308799202
0.00481032,-0.00043369381835563193
0.00486096,-0.0004438664870465414
0.00491159,-0.00045506602479846727
0.00496223,-0.00046736929069185392
0.00501287,-0.00048070734232870258
0.0050635,-0.00049484489756570333
0.00511413,-0.00050937636377157598
0.00516477,-0.00052374016379515254
0.00521541,-0.0005372544431755037
0.00526604,-0.00054917534070034863
0.00531667,-0.00055877269674674778
0.00536731,-0.00056541153089506991
0.00541794,-0.00056862560579999232
0.00546858,-0.00056816323218461377
0.00551922,-0.00056400088070270038
0.00556985,-0.00055632710339721062
0.00562048,-0.00054549891880075385
0.00567112,-0.00053198172182797169
0.00572176,-0.00051628684617828491
0.00577239,-0.00049891988039962019
0.00582302,-0.00048034626020655675
0.00587366,-0.0004609739735118145
0.00592429,-0.00044115148496971096
0.00597493,-0.00042118382829685986
0.00602557,-0.0004013536283497711
0.0060762,-0.00038194165707707158
0.00612683,-0.0003632449396863914
0.00617747,-0.00034558718183163141
0.00622811,-0.00032932803101049933
0.00627874,-0.0003148339431879161
0.00632937,-0.0003024841667205942
0.00638001,-0.00029265444445783094
0.00643064,-0.00028570680749469475
0.00648128,-0.00028198802352117237
0.00653192,-0.00028183455460517072
0.00658255,-0.00028558339825014858
0.00663318,-0.00029358422438598641
0.00668382,-0.00030621002720682296
0.00673445,-0.00032385994590357543
0.00678509,-0.00034695056564152754
0.00683572,-0.00037589491149992913
0.00688636,-0.00041106311672226979
0.00693699,-0.00045272128539655503
0.00698763,-0.00050095756919362735
0.00703827,-0.00055560133937480817
0.0070889,-0.00061614082962853812
0.00713953,-0.00068164349477366302
0.00719017,-0.00075069556411546052
0.0072408,-0.00082142167312505582
0.00729144,-0.00089149515183833961
