Physical Time (s),ev_right Monitor (kg-m/s^3): right_cv1,ev_right Monitor (kg-m/s^3): right_cv2,ev_right Monitor (kg-m/s^3): right_cv3,ev_right Monitor (kg-m/s^3): right_cv4,ev_right Monitor (kg-m/s^3): right_cv5,ev_right Monitor (kg-m/s^3): right_cv6,ev_right Monitor (kg-m/s^3): right_cv7
5.063e-05,4.1743442487783449e-06,4.2962549529187525e-12,7.2176129632954746e-17,7.8912130313607834e-19,3.4625691516322553e-20,2.429240217341509e-22,1.4345086528246873e-24
0.00010127,0.00012528426598335004,1.037343405327145e-10,7.2846952765876562e-16,7.1181613472084702e-18,2.5586783964700402e-19,1.7565621221096991e-21,9.5883556946759047e-24
0.00015191,0.0013565106862020409,2.0826025835197062e-09,5.4684079002983871e-15,4.2668501666302315e-17,1.2729639977091157e-18,8.5175788691454133e-21,4.0637782872057692e-23
0.00020254,0.0069502020172453119,3.3563545374051774e-08,3.9417895818907271e-14,2.2698554998500847e-16,5.6585655010767366e-18,3.5227042463005994e-20,1.4222473306304719e-22
0.00025318,0.0211607831147523,4.0330909364176443e-07,2.8490413484184454e-13,1.1326686376536939e-15,2.3736911632800005e-17,1.3718470231543974e-19,4.6266785903347729e-22
0.00030381,0.044183911634980963,3.5017640052527757e-06,2.0958843039121336e-12,5.4554130724018987e-15,9.4338620987845421e-17,4.8669986557896849e-19,1.3798087688646305e-21
0.00035444,0.068718782454106925,2.1960608776281908e-05,1.5506763693015865e-11,2.5770402281245255e-14,3.5834107024139447e-16,1.5551117366560152e-18,3.7831733684174431e-21
0.00040508,0.083647896843228611,0.00010183679935584761,1.1193680749040039e-10,1.2014183466933305e-13,1.3187279930380864e-15,4.6519213153968617e-18,9.8098992486671426e-21
0.00045571,0.083025734762369602,0.00036091212305847597,7.6341231051476164e-10,5.6170888698178861e-13,4.742282700252365e-15,1.3333772910056948e-17,2.4207660686722204e-20
0.00050635,0.070336578830831956,0.0010111547951553682,4.8105482870805596e-09,2.6799693171272148e-12,1.7091139016099827e-14,3.7423870373024212e-17,5.7040340497499199e-20
0.00055698,0.053245622734512409,0.0023042960891167608,2.7427609516968428e-08,1.3016653187267748e-11,6.3093067701068672e-14,1.0514884868712534e-16,1.3125643939047084e-19
0.00060762,0.0374271128552537,0.0043635719435739084,1.3899423473453798e-07,6.3218875794435653e-11,2.3731513280968692e-13,2.9612654146440053e-16,2.9484363258304428e-19
0.00065825,0.025258598439871896,0.0069652170452395535,6.1896495193879578e-07,3.0123666035505859e-10,9.0760500590003853e-13,8.3217256595825695e-16,6.4686655979652866e-19
0.00070889,0.017045810025097096,0.0094552974832524603,2.4103526911208668e-06,1.3819605833912897e-09,3.5247991994951363e-12,2.3564996081524921e-15,1.4062032886785838e-18
0.00075952,0.012236173718806344,0.010973760157090024,8.2005300544212918e-06,6.0000580975516458e-09,1.3819183054833467e-11,6.77356310323441e-15,3.0528348652364039e-18
0.00081016,0.010091711976755388,0.010939765230677152,2.4427362657980505e-05,2.427893258650387e-08,5.4116784812338092e-11,1.9810023885997071e-14,6.655502323520666e-18
0.0008608,0.0099567834182260877,0.0094398371353841028,6.3947452606615709e-05,9.0383002786922715e-08,2.0875839657945735e-10,5.89133922801089e-14,1.4625057026602194e-17
0.00091143,0.011305288205121299,0.0071486774193847483,0.000147817201825047,3.0660493856414223e-07,7.8295661445136964e-10,1.7797451447715329e-13,3.2343482925748632e-17
0.00096207,0.013701671395706655,0.0048498197258902889,0.00030326333314232337,9.413731813811227e-07,2.8223857529558572e-09,5.4451570789937273e-13,7.1656840971911238e-17
0.0010127,0.016751617628556495,0.0030173406891156728,0.00055489776657696071,2.6021779624538535e-06,9.6831642003119654e-09,1.680567185313867e-12,1.5935820546953198e-16
0.00106333,0.020075703765930902,0.0017521046939876065,0.00090908350429973824,6.4463361638178285e-06,3.1343659890736816e-08,5.202307205047975e-12,3.5671979082160311e-16
0.00111397,0.023311246385749121,0.00095640981982961248,0.0013365685036813191,1.4253744585498859e-05,9.5022358776029064e-08,1.6046852896267911e-11,8.0554049310525174e-16
0.0011646,0.026137968368340165,0.00050161878286369066,0.001763836674484473,2.8041717833895337e-05,2.6821162880058512e-07,4.89884839701525e-11,1.8368273241791674e-15
0.00121524,0.02831880160568211,0.00029638138849267788,0.0020828505095170048,4.898555667291905e-05,7.0144966055233685e-07,1.4707625095512862e-10,4.2306505739949834e-15
0.00126588,0.029736534901657962,0.00028019187288426026,0.0021846183105904901,7.6025462263486188e-05,1.6921411245348837e-06,4.3161876053670555e-10,9.8319368476698587e-15
0.00131651,0.030411005974675744,0.00040247424096793419,0.0020095595211640383,0.00010558122088680751,3.7496753134100787e-06,1.2307117031026444e-09,2.304895862817982e-14
0.00136714,0.030481338238495664,0.00061616905802389294,0.0015902220372248383,0.00013428910636231967,7.5966256004216623e-06,3.395145502260386e-09,5.4395276621279238e-14
0.00141778,0.030160927984594396,0.00088468303840673985,0.0010506705711784492,0.00016538258538127185,1.3994810385157832e-05,9.0240308540631238e-09,1.2892549370827959e-13
0.00146842,0.029682071892653362,0.0011859945356077688,0.00055037787283111544,0.00021512668269837011,2.3292240358210426e-05,2.3024637225515497e-08,3.0621172621631139e-13
0.00151905,0.029251895325531897,0.0015042574818340841,0.00020601807294994719,0.00031164562958291633,3.472110792444413e-05,5.621957382260626e-08,7.2744669301300126e-13
0.00156968,0.029029539280181253,0.0018163559328632103,4.6560140182707369e-05,0.00047992913142285055,4.5804098729866443e-05,1.3100268869764424e-07,1.7249005695863315e-12
0.00162032,0.029121722662388914,0.0020864847096157394,2.6269588170715876e-05,0.00071608654616518003,5.2603446563310206e-05,2.9055533177670648e-07,4.0760200709175045e-12
0.00167096,0.029588051273296709,0.0022747389374580627,7.1232372945475864e-05,0.00096735774351702959,5.1662642783045019e-05,6.1195002008776351e-07,9.5667866773043777e-12
0.00172159,0.030447318560781315,0.0023548500864244187,0.00012138059204678213,0.0011406404648790849,4.3855428921085985e-05,1.2209531044434209e-06,2.2249259635465911e-11
0.00177222,0.031683073178464964,0.0023275282878793741,0.0001475335627094328,0.001147134276460546,3.875429869855784e-05,2.3020185881091845e-06,5.1144993067124354e-11
