Physical Time (s),ev_top Monitor (kg-m/s^3): top_cv1,ev_top Monitor (kg-m/s^3): top_cv2,ev_top Monitor (kg-m/s^3): top_cv3,ev_top Monitor (kg-m/s^3): top_cv4,ev_top Monitor (kg-m/s^3): top_cv5,ev_top Monitor (kg-m/s^3): top_cv6,ev_top Monitor (kg-m/s^3): top_cv7
5.063e-05,2.5512446769790437e-22,2.5510693534363829e-22,2.5507771965819186e-22,2.5507715806766446e-22,2.5507715533347344e-22,2.5507715531485525e-22,2.5507715531482516e-22
0.00010127,1.6485053370631761e-20,1.6483790944466832e-20,1.6482168766429597e-20,1.6482145662483931e-20,1.6482145569991768e-20,1.6482145569534327e-20,1.6482145569533806e-20
0.00015191,7.1386131449714142e-19,7.1381034003128168e-19,7.1375975856174941e-19,7.1375924110300886e-19,7.1375923949265313e-19,7.1375923948661408e-19,7.1375923948660908e-19
0.00020254,2.4494138350668098e-17,2.449250076847096e-17,2.4491211940211987e-17,2.4491202694509141e-17,2.4491202673184527e-17,2.4491202673123082e-17,2.4491202673123045e-17
0.00025318,6.7281256855804383e-16,6.7276522856555491e-16,6.7273519283914564e-16,6.7273504700096202e-16,6.7273504675770522e-16,6.7273504675716929e-16,6.72735046757169e-16
0.00030381,1.4738720286915062e-14,1.4737459803005818e-14,1.4736795418995753e-14,1.4736793254422465e-14,1.4736793251859513e-14,1.473679325185542e-14,1.473679325185542e-14
0.00035444,2.5549048681844486e-13,2.5545974256384977e-13,2.55445748699352e-13,2.5544571753785995e-13,2.5544571751234468e-13,2.5544571751231626e-13,2.5544571751231626e-13
0.00040508,3.5467619070846545e-12,3.5460998866411078e-12,3.5458261008987707e-12,3.5458256624272582e-12,3.5458256621842016e-12,3.5458256621840133e-12,3.5458256621840133e-12
0.00045571,3.9696247530375763e-11,3.9684051974156375e-11,3.9679220396793403e-11,3.967921437317572e-11,3.9679214370922615e-11,3.9679214370921407e-11,3.9679214370921407e-11
0.00050635,3.5912825198658425e-10,3.5894095511539254e-10,3.5886644744805251e-10,3.5886636700159734e-10,3.588663669806936e-10,3.588663669806857e-10,3.588663669806857e-10
0.00055698,2.6344414760171616e-09,2.6320873085242589e-09,2.6311110995541571e-09,2.631110075545864e-09,2.6311100753493337e-09,2.63111007534928e-09,2.63111007534928e-09
0.00060762,1.569371903143788e-08,1.5669819796338796e-08,1.5659190595985665e-08,1.5659178551612977e-08,1.5659178549737127e-08,1.5659178549736753e-08,1.5659178549736753e-08
0.00065825,7.5995568228581551e-08,7.5800719805177957e-08,7.5705837178782206e-08,7.5705710058902496e-08,7.570571004101406e-08,7.5705710041011373e-08,7.5705710041011373e-08
0.00070889,2.9949482066326952e-07,2.9822391425630406e-07,2.9753358639593573e-07,2.9753240898699407e-07,2.9753240882072923e-07,2.9753240882070927e-07,2.9753240882070927e-07
0.00075952,9.6113739253090215e-07,9.5450680480537506e-07,9.5041990620094315e-07,9.5041049227622971e-07,9.5041049080781932e-07,9.5041049080766834e-07,9.5041049080766834e-07
0.00081016,2.5106294481122546e-06,2.4829352277339286e-06,2.463241812898126e-06,2.4631775830920594e-06,2.4631775710494384e-06,2.4631775710482835e-06,2.4631775710482835e-06
0.0008608,5.328651300110356e-06,5.2360406071472007e-06,5.1587040641170834e-06,5.1583329415541037e-06,5.1583328516568894e-06,5.1583328516481675e-06,5.1583328516481675e-06
0.00091143,9.1418276634742177e-06,8.8942916947350402e-06,8.6464006195347808e-06,8.6445920370915677e-06,8.6445914352966781e-06,8.6445914352330524e-06,8.6445914352330524e-06
0.00096207,1.2559702913017202e-05,1.2033282271535383e-05,1.1384134589761046e-05,1.1376715650747311e-05,1.1376712075758673e-05,1.1376712075318836e-05,1.1376712075318836e-05
