Physical Time (s),massspec_vol Monitor (N): cv1,massspec_vol Monitor (N): cv2,massspec_vol Monitor (N): cv3,massspec_vol Monitor (N): cv4,massspec_vol Monitor (N): cv5,massspec_vol Monitor (N): cv6,massspec_vol Monitor (N): cv7
5.063e-05,2.6488886293615458e-08,2.6488886338740354e-08,2.6488886747890854e-08,2.6488884766843907e-08,2.6488866983205005e-08,2.6488890733035476e-08,2.6488759742547091e-08
0.00010127,3.5338588741822367e-08,3.533859026071887e-08,3.5338589334407179e-08,3.5338591112866599e-08,3.5338585584989818e-08,3.5338553094805132e-08,3.5338549372118708e-08
0.00015191,4.123044386151431e-08,4.1230472290549226e-08,4.1230472200356324e-08,4.1230472463510879e-08,4.1230477051866364e-08,4.1230490585141461e-08,4.1230514117762201e-08
0.00020254,4.7088876968975204e-08,4.7089235951389006e-08,4.7089236690734029e-08,4.7089236536477305e-08,4.7089238748459801e-08,4.7089226117959454e-08,4.7089302595279955e-08
0.00025318,5.3172688722476814e-08,5.317390628669413e-08,5.3173906266665857e-08,5.3173905455815702e-08,5.3173908179799281e-08,5.3173909043299382e-08,5.317381258908919e-08
0.00030381,5.958143126653972e-08,5.9583312459616891e-08,5.9583313335418233e-08,5.9583313004053889e-08,5.9583313552641527e-08,5.9583300558469794e-08,5.9583288801088461e-08
0.00035444,6.5982999728669092e-08,6.5985085323684597e-08,6.5985085298140651e-08,6.598508596099351e-08,6.5985084986963245e-08,6.5985090698521086e-08,6.5985043360283799e-08
0.00040508,7.1924742550052642e-08,7.1927518887023748e-08,7.1927518944275234e-08,7.1927517847555317e-08,7.1927519281477012e-08,7.192751255256468e-08,7.1927539731711651e-08
0.00045571,7.7086616670765011e-08,7.7091483044087486e-08,7.709148358153729e-08,7.7091483372154318e-08,7.7091485225257809e-08,7.7091484788527026e-08,7.709146209665266e-08
0.00050635,8.1366052668794443e-08,8.137380980532304e-08,8.1373817713513379e-08,8.1373818553662927e-08,8.1373821683381811e-08,8.137382070777011e-08,8.1373861882059331e-08
0.00055698,8.4859237253569204e-08,8.4869310260618952e-08,8.4869333148118184e-08,8.4869333349240625e-08,8.4869335202751763e-08,8.4869334036124444e-08,8.486931622348992e-08
0.00060762,8.7785839783144999e-08,8.7797308974049635e-08,8.7797353294481763e-08,8.7797354082249972e-08,8.7797353766851828e-08,8.7797350286791831e-08,8.7797368670033621e-08
0.00065825,9.0403783810281287e-08,9.0416152441380983e-08,9.0416221833029151e-08,9.0416222831723758e-08,9.0416221844347219e-08,9.041622647281033e-08,9.0416223095864101e-08
0.00070889,9.2939996701186919e-08,9.2953211331281385e-08,9.2953303931665011e-08,9.2953306142402726e-08,9.2953307082607008e-08,9.295330854621869e-08,9.2953300864622673e-08
0.00075952,9.554693495614081e-08,9.5561192922683656e-08,9.5561336074886996e-08,9.5561335996245731e-08,9.5561334532929796e-08,9.5561333716037987e-08,9.5561317043999222e-08
0.00081016,9.8289091782967557e-08,9.8304689647791967e-08,9.8304939756832617e-08,9.8304941152834896e-08,9.8304942908506993e-08,9.8304944714458144e-08,9.8304925233559288e-08
