Physical Time (s),phi_alt_flux_bot Monitor (kg-m/s^3): bot_cv1,phi_alt_flux_bot Monitor (kg-m/s^3): bot_cv2,phi_alt_flux_bot Monitor (kg-m/s^3): bot_cv3,phi_alt_flux_bot Monitor (kg-m/s^3): bot_cv4,phi_alt_flux_bot Monitor (kg-m/s^3): bot_cv5,phi_alt_flux_bot Monitor (kg-m/s^3): bot_cv6,phi_alt_flux_bot Monitor (kg-m/s^3): bot_cv7
5.063e-05,3.5375874073991601e-16,3.552120819527189e-16,3.5609971885234919e-16,3.5617784701049553e-16,3.5618730956422847e-16,3.5618830628281911e-16,3.5618835249151208e-16
0.00010127,5.2606000946276146e-15,5.2769978992410329e-15,5.286505882172758e-15,5.2872076629964769e-15,5.2872800809804612e-15,5.2872881706444089e-15,5.2872885286068798e-15
0.00015191,5.6751013632276116e-14,5.6894753331978348e-14,5.6973081774771095e-14,5.6977890455506363e-14,5.697830941436639e-14,5.6978355267972149e-14,5.6978356866293554e-14
0.00020254,5.1141555831539175e-13,5.1262638119821916e-13,5.1323578211339665e-13,5.1326562211111694e-13,5.1326772115833866e-13,5.132679317138895e-13,5.1326793665435122e-13
0.00025318,3.9677244722806099e-12,3.9768548907232696e-12,3.981299639200482e-12,3.9814745348020993e-12,3.9814844815106524e-12,3.9814853721818805e-12,3.9814853857430591e-12
0.00030381,2.5792473045059438e-11,2.5854108926180838e-11,2.5884251886397684e-11,2.5885216173615082e-11,2.5885259392958855e-11,2.5885262780984394e-11,2.588526280620039e-11
0.00035444,1.4098859141025678e-10,1.4137229151395746e-10,1.4156551472262916e-10,1.4157079906776433e-10,1.415709826198207e-10,1.4157099512014077e-10,1.4157099513610538e-10
0.00040508,6.5523553894805848e-10,6.5723329736951729e-10,6.5834446708350166e-10,6.5837207054238821e-10,6.5837280809059788e-10,6.5837285099167029e-10,6.5837285091253702e-10
0.00045571,2.6019227419478059e-09,2.6109026254331322e-09,2.6166897832905462e-09,2.616830128253844e-09,2.6168329662356004e-09,2.6168331037126183e-09,2.6168331031641959e-09
0.00050635,8.8445130811333795e-09,8.878616637043338e-09,8.9054765648420652e-09,8.9061628827419927e-09,8.9061737299552387e-09,8.9061741509505337e-09,8.9061741486071277e-09
0.00055698,2.582717724703578e-08,2.5933270969276442e-08,2.6042692574998219e-08,2.6045880985639402e-08,2.6045922482254664e-08,2.6045923745586748e-08,2.6045923736990363e-08
0.00060762,6.5106816893499927e-08,6.5354788015572294e-08,6.5739304144562182e-08,6.5753149802680705e-08,6.5753309089030193e-08,6.5753312888351241e-08,6.575331285990802e-08
0.00065825,1.4151955661422657e-07,1.4181891923321621e-07,1.4295117888011094e-07,1.4300630471825328e-07,1.4300691194951941e-07,1.4300692348210658e-07,1.4300692339560257e-07
0.00070889,2.6203045398375632e-07,2.6129262229841115e-07,2.6397200824912116e-07,2.6417008321830517e-07,2.6417235033930061e-07,2.6417238570927356e-07,2.6417238546315368e-07
0.00075952,3.9659797093032698e-07,3.9037654437924512e-07,3.948651143616989e-07,3.9549761536277446e-07,3.9550578453364122e-07,3.9550589428084209e-07,3.9550589361293538e-07
0.00081016,4.3411713906667629e-07,4.1035641814041133e-07,4.1273877671726992e-07,4.1450534898700719e-07,4.1453325420793657e-07,4.1453359568006275e-07,4.1453359393869028e-07
0.0008608,1.6869727167935345e-07,1.0420615958422875e-07,8.8039656932866987e-08,9.2276268715743308e-08,9.2365262340975923e-08,9.2366316786645589e-08,9.2366312403982254e-08
0.00091143,-5.397859925203026e-07,-6.7461371251069337e-07,-7.4890874082004837e-07,-7.4046028131330601e-07,-7.4019863734739283e-07,-7.4019544051818077e-07,-7.401954511882006e-07
0.00096207,-1.5149313574037091e-06,-1.7352726278389551e-06,-1.9327817983326851e-06,-1.9197279108828004e-06,-1.919027281824991e-06,-1.9190178679979889e-06,-1.9190178931744377e-06
0.0010127,-2.3189893593341937e-06,-2.6067511707829751e-06,-2.9977211912214288e-06,-2.9854168474605785e-06,-2.9837291729981651e-06,-2.9837025298383941e-06,-2.9837025873722478e-06
0.00106333,-2.5039802700076122e-06,-2.8047826152821949e-06,-3.4272917587468702e-06,-3.4333162719918858e-06,-3.4297112131506544e-06,-3.4296395298757769e-06,-3.4296396566790236e-06
