Physical Time (s),phi_alt_flux_left Monitor (kg-m/s^3)
5.063e-05,-4.7411200643424773e-08
0.00010127,-1.5047486498869861e-07
0.00015191,-4.4070196178269999e-07
0.00020254,-1.2404512051015228e-06
0.00025318,-3.3670391192425469e-06
0.00030381,-8.610479318979988e-06
0.00035444,-2.0658443701566626e-05
0.00040508,-4.6446819784920701e-05
0.00045571,-9.726644614018457e-05
0.00050635,-0.00018861751495834002
0.00055698,-0.00033691842667570173
0.00060762,-0.00055237533093679134
0.00065825,-0.00082753966662983463
0.00070889,-0.0011255755365623993
0.00075952,-0.0013698867622859801
0.00081016,-0.0014485324389860925
0.0008608,-0.0012747087456362301
0.00091143,-0.00084752240898326324
0.00096207,-0.00015577400360384012
0.0010127,0.00080524237459165117
0.00106333,0.0032025932626110554
0.00111397,0.0035777999484630754
0.0011646,0.0018654097858794359
0.00121524,-0.0014788589840986489
0.00126588,-0.0051739368321877185
0.00131651,-0.0078594758950554008
0.00136714,-0.0092429777543902841
0.00141778,-0.0098118823649845123
0.00146842,-0.012485552800983693
0.00151905,-0.012735186990817549
0.00156968,-0.011634835867946447
0.00162032,-0.010271450390195971
0.00167096,-0.0091986992337811293
0.00172159,-0.0082396546336790492
0.00177222,-0.0073839345304949483
0.00182286,-0.0067174322204647287
0.00187349,-0.0063224081357137613
0.00192413,-0.0053113370643285661
0.00197476,-0.0049867187414562187
0.0020254,-0.0052089167064361241
0.00207603,-0.0057083340438960836
0.00212667,-0.0061772899460733168
0.00217731,-0.0065508136031463193
0.00222794,-0.0068253513588236525
0.00227858,-0.0069944829313851641
0.00232921,-0.0074719713711927632
0.00237984,-0.0077492807834771233
0.00243048,-0.0076821800914260666
0.00248111,-0.0075003530503797234
0.00253175,-0.0073316216893461322
0.00258238,-0.0072082939377650342
0.00263302,-0.0071363857852265828
0.00268366,-0.0070969881407006215
0.00273429,-0.007083318537167059
0.00278492,-0.0070572390406833316
0.00283556,-0.0071047561058426804
0.00288619,-0.0071503285610510269
0.00293683,-0.0071803881164175225
0.00298746,-0.0071981402361985837
0.0030381,-0.0071939899688022108
0.00308874,-0.0071657323166624534
0.00313937,-0.0071289761836176926
0.00319001,-0.0070857970597561302
0.00324064,-0.0070653319906987533
0.00329127,-0.0069942169397395216
0.00334191,-0.0069271383116762172
0.00339254,-0.0068736121413231765
0.00344318,-0.0068310910657016412
0.00349381,-0.0067924162017347278
0.00354445,-0.0067651072899027106
0.00359509,-0.006737528851727308
0.00364572,-0.0067257722215959765
0.00369636,-0.0067156658095603658
0.00374699,-0.0066953686059743134
0.00379762,-0.0066661222154377059
0.00384826,-0.0066633826165304211
0.00389889,-0.0066018778085852733
0.00394953,-0.006566248458911717
0.00400016,-0.0065294110647247522
0.0040508,-0.0064885335730044003
0.00410143,-0.0064480846277268728
0.00415207,-0.0064106697574731475
0.00420271,-0.0063771083020091766
0.00425334,-0.0063491147789027282
0.00430397,-0.0063151084998227473
0.00435461,-0.0063010678137345203
0.00440524,-0.0062874306590747966
0.00445588,-0.0062771206932700149
0.00450651,-0.0062670998841896867
0.00455715,-0.0062502062675240146
0.00460778,-0.0062337006414526722
0.00465842,-0.0062223618242210543
0.00470906,-0.006189920230678294
0.00475969,-0.0061458139198397859
