Physical Time (s),phi_alt_flux_right Monitor (kg-m/s^3): right_cv1,phi_alt_flux_right Monitor (kg-m/s^3): right_cv2,phi_alt_flux_right Monitor (kg-m/s^3): right_cv3,phi_alt_flux_right Monitor (kg-m/s^3): right_cv4,phi_alt_flux_right Monitor (kg-m/s^3): right_cv5,phi_alt_flux_right Monitor (kg-m/s^3): right_cv6,phi_alt_flux_right Monitor (kg-m/s^3): right_cv7
5.063e-05,-0.00052348966442794596,-1.2599804052688544e-06,-1.6729103058797355e-08,-2.1024302958308896e-09,-9.3906050895657789e-10,-7.0498719967498213e-10,-6.6760903036615569e-10
0.00010127,-0.00027131981419010364,-4.3491055683802342e-06,-4.5745924389404929e-08,-5.4705511047570047e-09,-2.4358087545580598e-09,-1.8828437411591842e-09,-1.8198966970873975e-09
0.00015191,0.0043063026701157421,-1.3803294247505727e-05,-1.0838629559120483e-07,-1.2355331531702066e-08,-5.6416312934114106e-09,-4.5253691031654368e-09,-4.4372077632116704e-09
0.00020254,0.014381612549659922,-4.1077771676756871e-05,-2.5170765700442876e-07,-2.579026941510997e-08,-1.1848876423532206e-08,-9.6098806265532501e-09,-9.4442938732775211e-09
0.00025318,0.023257206011095842,-0.00010440500427291534,-5.8487505608246918e-07,-5.2446999479752767e-08,-2.3579487526996208e-08,-1.9129574094672591e-08,-1.8844525004437432e-08
0.00030381,0.025473150080585125,-0.00020041476741557574,-1.3678472363761884e-06,-1.0172783664073067e-07,-4.2911042202667879e-08,-3.4380652190366847e-08,-3.3916126421998165e-08
0.00035444,0.026167438110964916,-0.00023179840824880899,-3.159078884577876e-06,-1.9455085838192053e-07,-7.6782685553888108e-08,-6.1019424897378628e-08,-6.0290454359931959e-08
0.00040508,0.033348300774289054,5.2676761531063593e-05,-7.1255547652040665e-06,-3.629706669281569e-07,-1.3201216164698169e-07,-1.0380959840570231e-07,-1.0266169006300923e-07
0.00045571,0.045221793875152044,0.0009442102147790201,-1.5504588189133392e-05,-6.655539817772087e-07,-2.186376816893961e-07,-1.6988429983090048e-07,-1.6803876939739096e-07
0.00050635,0.054525417185119766,0.0024274250406338647,-3.2131484399715063e-05,-1.2199799980720444e-06,-3.5169319576388591e-07,-2.6617520285007637e-07,-2.6322629444270596e-07
0.00055698,0.058953870475422492,0.0039873898157973134,-6.2316474724723485e-05,-2.2417339024347943e-06,-5.5542962810790376e-07,-4.0224577750508572e-07,-3.9753997519611773e-07
0.00060762,0.060524026911254553,0.0049879609829135262,-0.00011176106642690468,-4.1161589326780687e-06,-8.7035187529345444e-07,-5.9389342104289026e-07,-5.8635957762857724e-07
0.00065825,0.061265421145300238,0.0056055073392260422,-0.00018152718873255984,-7.5099894072555214e-06,-1.3606399279661917e-06,-8.611962005574347e-07,-8.4924968291484224e-07
0.00070889,0.062193652234233822,0.0066440786422739175,-0.00025669546235812139,-1.3477339479205119e-05,-2.1285065777221609e-06,-1.2290022547256001e-06,-1.2099552484855918e-06
