Physical Time (s),phi_alt_flux_top Monitor (kg-m/s^3): top_cv1,phi_alt_flux_top Monitor (kg-m/s^3): top_cv2,phi_alt_flux_top Monitor (kg-m/s^3): top_cv3,phi_alt_flux_top Monitor (kg-m/s^3): top_cv4,phi_alt_flux_top Monitor (kg-m/s^3): top_cv5,phi_alt_flux_top Monitor (kg-m/s^3): top_cv6,phi_alt_flux_top Monitor (kg-m/s^3): top_cv7
5.063e-05,7.1893439636619017e-16,7.2044116826739207e-16,7.2407970164342789e-16,7.2445516867135128e-16,7.2447331804296183e-16,7.2447600394026706e-16,7.2447629606847873e-16
0.00010127,9.1185123252599521e-15,9.1389982755613841e-15,9.1783906980241964e-15,9.1818390060274766e-15,9.1819919422684133e-15,9.1820120056832923e-15,9.1820140029841428e-15
0.00015191,9.1382709336578381e-14,9.1555651182921266e-14,9.1846355128504281e-14,9.1868301984135673e-14,9.1869191483346579e-14,9.1869300961201773e-14,9.1869311072492438e-14
0.00020254,7.7863385812421849e-13,7.7994231364693098e-13,7.8186221165647745e-13,7.8198531862374349e-13,7.8198967164157249e-13,7.8199016168591259e-13,7.8199020294433465e-13
0.00025318,5.6816116081059021e-12,5.6909306635191292e-12,5.7029414011749207e-12,5.703584572617421e-12,5.7036040398335795e-12,5.703606010923388e-12,5.7036061655582773e-12
0.00030381,3.5402004003263675e-11,3.5462461360061366e-11,3.553423938998841e-11,3.5537512384928627e-11,3.5537592272173357e-11,3.5537599114692008e-11,3.5537599603744483e-11
0.00035444,1.8482448220696256e-10,1.8518813679447595e-10,1.8559006744342117e-10,1.8560582842380339e-10,1.8560614043212087e-10,1.8560616285935834e-10,1.8560616426652907e-10
0.00040508,8.266942013745325e-10,8.28631496401577e-10,8.3073877170755252e-10,8.308123779771049e-10,8.3081354631573098e-10,8.3081361556773047e-10,8.3081361924246804e-10
0.00045571,3.1932712273897377e-09,3.2024287751616266e-09,3.2127201266056697e-09,3.2130535230766397e-09,3.2130577629855765e-09,3.2130579670730035e-09,3.213057975928216e-09
0.00050635,1.059259334583071e-08,1.0630248911494641e-08,1.0676511859804531e-08,1.0677989517013503e-08,1.067800477834477e-08,1.0678005361613348e-08,1.0678005381612003e-08
0.00055698,3.0402003277752441e-08,3.0533072476553418e-08,3.0720236986084697e-08,3.0726549218046993e-08,3.072660380944456e-08,3.0726605459095349e-08,3.0726605503160756e-08
0.00060762,7.5833407605433471e-08,7.620420771406526e-08,7.6870896059123648e-08,7.6896357272785201e-08,7.689655414583365e-08,7.6896558800263813e-08,7.6896558895119565e-08
0.00065825,1.6420318131592235e-07,1.6502318487268374e-07,1.6706828971765784e-07,1.6716337951625726e-07,1.6716409323832195e-07,1.6716410642274728e-07,1.6716410661928753e-07
0.00070889,3.0451061577636486e-07,3.0550810335880701e-07,3.1076403701303747e-07,3.1108668591029382e-07,3.1108923870817402e-07,3.1108927642101691e-07,3.1108927681876511e-07
0.00075952,4.6666485444656948e-07,4.6515150188184341e-07,4.7587287167406678e-07,4.7685101417923091e-07,4.7685990035968688e-07,4.7686000997839921e-07,4.7686001077268244e-07
0.00081016,5.3410656118144227e-07,5.2096342787621542e-07,5.3602765757681841e-07,5.3863316158462969e-07,5.3866279675616109e-07,5.3866311927978691e-07,5.3866312084044734e-07
0.0008608,2.9247612634851802e-07,2.4800191349889558e-07,2.5271739005676879e-07,2.5866016634468056e-07,2.5875292161961484e-07,2.5875387248979021e-07,2.5875387549443276e-07
0.00091143,-4.1420527134956991e-07,-5.1671351976432958e-07,-5.6600967055154232e-07,-5.5486036409213027e-07,-5.5459170035821152e-07,-5.5458892327029743e-07,-5.5458891763628944e-07
0.00096207,-1.432628829212516e-06,-1.6093954577026544e-06,-1.7943981139510907e-06,-1.77874996711479e-06,-1.7780382775847636e-06,-1.7780303251873384e-06,-1.7780303150516209e-06
0.0010127,-2.3196167807898007e-06,-2.559592602204481e-06,-2.982640256997297e-06,-2.9719319292301096e-06,-2.9702278709462303e-06,-2.9702058477027401e-06,-2.9702058304643771e-06
0.00106333,-2.5777681436683766e-06,-2.8372732132908907e-06,-3.5802242457236073e-06,-3.6011293641255488e-06,-3.5974903949120003e-06,-3.5974321254929402e-06,-3.5974320985521577e-06
