Physical Time (s),theta_vol Monitor (kg-m/s^3): cv1,theta_vol Monitor (kg-m/s^3): cv2,theta_vol Monitor (kg-m/s^3): cv3,theta_vol Monitor (kg-m/s^3): cv4,theta_vol Monitor (kg-m/s^3): cv5,theta_vol Monitor (kg-m/s^3): cv6,theta_vol Monitor (kg-m/s^3): cv7
5.063e-05,0,0,0,0,0,0,0
0.00010127,0,0,0,0,0,0,0
0.00015191,0,0,0,0,0,0,0
0.00020254,0,0,0,0,0,0,0
0.00025318,0,0,0,0,0,0,0
0.00030381,0,0,0,0,0,0,0
0.00035444,0,0,0,0,0,0,0
0.00040508,0,0,0,0,0,0,0
0.00045571,0,0,0,0,0,0,0
0.00050635,0,0,0,0,0,0,0
0.00055698,0,0,0,0,0,0,0
0.00060762,0,0,0,0,0,0,0
0.00065825,0,0,0,0,0,0,0
0.00070889,0,0,0,0,0,0,0
0.00075952,0,0,0,0,0,0,0
0.00081016,0,0,0,0,0,0,0
0.0008608,0,0,0,0,0,0,0
0.00091143,0,0,0,0,0,0,0
0.00096207,0,0,0,0,0,0,0
0.0010127,0,0,0,0,0,0,0
0.00106333,0,0,0,0,0,0,0
0.00111397,0,0,0,0,0,0,0
0.0011646,0,0,0,0,0,0,0
0.00121524,0,0,0,0,0,0,0
0.00126588,0,0,0,0,0,0,0
0.00131651,0,0,0,0,0,0,0
0.00136714,0,0,0,0,0,0,0
0.00141778,0,0,0,0,0,0,0
0.00146842,0,0,0,0,0,0,0
0.00151905,0,0,0,0,0,0,0
0.00156968,0,0,0,0,0,0,0
0.00162032,0,0,0,0,0,0,0
0.00167096,0,0,0,0,0,0,0
0.00172159,0,0,0,0,0,0,0
0.00177222,0,0,0,0,0,0,0
0.00182286,0,0,0,0,0,0,0
0.00187349,0,0,0,0,0,0,0
0.00192413,0,0,0,0,0,0,0
0.00197476,0,0,0,0,0,0,0
0.0020254,0,0,0,0,0,0,0
0.00207603,0,0,0,0,0,0,0
0.00212667,0,0,0,0,0,0,0
0.00217731,0,0,0,0,0,0,0
0.00222794,0,0,0,0,0,0,0
0.00227858,0,0,0,0,0,0,0
0.00232921,0,0,0,0,0,0,0
0.00237984,0,0,0,0,0,0,0
0.00243048,0,0,0,0,0,0,0
0.00248111,0,0,0,0,0,0,0
0.00253175,0,0,0,0,0,0,0
0.00258238,0,0,0,0,0,0,0
0.00263302,0,0,0,0,0,0,0
0.00268366,0,0,0,0,0,0,0
0.00273429,0,0,0,0,0,0,0
0.00278492,0,0,0,0,0,0,0
0.00283556,0,0,0,0,0,0,0
0.00288619,0,0,0,0,0,0,0
0.00293683,0,0,0,0,0,0,0
0.00298746,0,0,0,0,0,0,0
0.0030381,0,0,0,0,0,0,0
0.00308874,0,0,0,0,0,0,0
0.00313937,0,0,0,0,0,0,0
0.00319001,0,0,0,0,0,0,0
0.00324064,0,0,0,0,0,0,0
0.00329127,0,0,0,0,0,0,0
0.00334191,0,0,0,0,0,0,0
0.00339254,0,0,0,0,0,0,0
0.00344318,0,0,0,0,0,0,0
0.00349381,0,0,0,0,0,0,0
0.00354445,0,0,0,0,0,0,0
0.00359509,0,0,0,0,0,0,0
0.00364572,0,0,0,0,0,0,0
0.00369636,0,0,0,0,0,0,0
0.00374699,0,0,0,0,0,0,0
0.00379762,0,0,0,0,0,0,0
0.00384826,0,0,0,0,0,0,0
0.00389889,0,0,0,0,0,0,0
0.00394953,0,0,0,0,0,0,0
0.00400016,0,0,0,0,0,0,0
0.0040508,0,0,0,0,0,0,0
0.00410143,0,0,0,0,0,0,0
0.00415207,0,0,0,0,0,0,0
0.00420271,0,0,0,0,0,0,0
0.00425334,0,0,0,0,0,0,0
0.00430397,0,0,0,0,0,0,0
0.00435461,0,0,0,0,0,0,0
0.00440524,0,0,0,0,0,0,0
0.00445588,0,0,0,0,0,0,0
0.00450651,0,0,0,0,0,0,0
0.00455715,0,0,0,0,0,0,0
0.00460778,0,0,0,0,0,0,0
0.00465842,0,0,0,0,0,0,0
0.00470906,0,0,0,0,0,0,0
0.00475969,0,0,0,0,0,0,0
0.00481032,0,0,0,0,0,0,0
0.00486096,0,0,0,0,0,0,0
0.00491159,0,0,0,0,0,0,0
0.00496223,0,0,0,0,0,0,0
0.00501287,0,0,0,0,0,0,0
0.0050635,0,0,0,0,0,0,0
0.00511413,0,0,0,0,0,0,0
0.00516477,0,0,0,0,0,0,0
0.00521541,0,0,0,0,0,0,0
0.00526604,0,0,0,0,0,0,0
0.00531667,0,0,0,0,0,0,0
0.00536731,0,0,0,0,0,0,0
0.00541794,0,0,0,0,0,0,0
0.00546858,0,0,0,0,0,0,0
0.00551922,0,0,0,0,0,0,0
0.00556985,0,0,0,0,0,0,0
0.00562048,0,0,0,0,0,0,0
0.00567112,0,0,0,0,0,0,0
0.00572176,0,0,0,0,0,0,0
0.00577239,0,0,0,0,0,0,0
0.00582302,0,0,0,0,0,0,0
0.00587366,0,0,0,0,0,0,0
0.00592429,0,0,0,0,0,0,0
0.00597493,0,0,0,0,0,0,0
0.00602557,0,0,0,0,0,0,0
0.0060762,0,0,0,0,0,0,0
0.00612683,0,0,0,0,0,0,0
0.00617747,0,0,0,0,0,0,0
0.00622811,0,0,0,0,0,0,0
0.00627874,0,0,0,0,0,0,0
0.00632937,0,0,0,0,0,0,0
0.00638001,0,0,0,0,0,0,0
0.00643064,0,0,0,0,0,0,0
0.00648128,0,0,0,0,0,0,0
0.00653192,0,0,0,0,0,0,0
0.00658255,0,0,0,0,0,0,0
0.00663318,0,0,0,0,0,0,0
0.00668382,0,0,0,0,0,0,0
0.00673445,0,0,0,0,0,0,0
0.00678509,0,0,0,0,0,0,0
0.00683572,0,0,0,0,0,0,0
0.00688636,0,0,0,0,0,0,0
0.00693699,0,0,0,0,0,0,0
0.00698763,0,0,0,0,0,0,0
0.00703827,0,0,0,0,0,0,0
0.0070889,0,0,0,0,0,0,0
0.00713953,0,0,0,0,0,0,0
0.00719017,0,0,0,0,0,0,0
0.0072408,0,0,0,0,0,0,0
0.00729144,0,0,0,0,0,0,0
0.00734207,0,0,0,0,0,0,0
0.00739271,0,0,0,0,0,0,0
0.00744334,0,0,0,0,0,0,0
0.00749398,0,0,0,0,0,0,0
0.00754462,0,0,0,0,0,0,0
0.00759525,0,0,0,0,0,0,0
0.00764588,0,0,0,0,0,0,0
0.00769652,0,0,0,0,0,0,0
0.00774715,0,0,0,0,0,0,0
0.00779779,0,0,0,0,0,0,0
0.00784842,0,0,0,0,0,0,0
0.00789906,0,0,0,0,0,0,0
0.00794969,0,0,0,0,0,0,0
0.00800033,0,0,0,0,0,0,0
0.00805097,0,0,0,0,0,0,0
0.0081016,0,0,0,0,0,0,0
0.00815223,0,0,0,0,0,0,0
0.00820287,0,0,0,0,0,0,0
0.0082535,0,0,0,0,0,0,0
0.00830414,0,0,0,0,0,0,0
0.00835478,0,0,0,0,0,0,0
0.00840541,0,0,0,0,0,0,0
0.00845605,0,0,0,0,0,0,0
0.00850668,0,0,0,0,0,0,0
0.00855731,0,0,0,0,0,0,0
0.00860795,0,0,0,0,0,0,0
0.00865858,0,0,0,0,0,0,0
0.00870922,0,0,0,0,0,0,0
0.00875986,0,0,0,0,0,0,0
0.00881049,0,0,0,0,0,0,0
0.00886112,0,0,0,0,0,0,0
0.00891176,0,0,0,0,0,0,0
0.00896239,0,0,0,0,0,0,0
0.00901303,0,0,0,0,0,0,0
0.00906367,0,0,0,0,0,0,0
0.0091143,0,0,0,0,0,0,0
0.00916493,0,0,0,0,0,0,0
0.00921557,0,0,0,0,0,0,0
0.0092662,0,0,0,0,0,0,0
0.00931684,0,0,0,0,0,0,0
0.00936748,0,0,0,0,0,0,0
0.00941811,0,0,0,0,0,0,0
0.00946875,0,0,0,0,0,0,0
0.00951938,0,0,0,0,0,0,0
0.00957001,0,0,0,0,0,0,0
0.00962065,0,0,0,0,0,0,0
0.00967128,0,0,0,0,0,0,0
0.00972192,0,0,0,0,0,0,0
0.00977256,0,0,0,0,0,0,0
0.00982319,0,0,0,0,0,0,0
0.00987382,0,0,0,0,0,0,0
0.00992446,0,0,0,0,0,0,0
0.00997509,0,0,0,0,0,0,0
0.01002573,0,0,0,0,0,0,0
0.01007637,0,0,0,0,0,0,0
0.010127,0,0,0,0,0,0,0
0.01017763,0,0,0,0,0,0,0
0.01022827,0,0,0,0,0,0,0
0.0102789,0,0,0,0,0,0,0
0.01032954,0,0,0,0,0,0,0
0.01038018,0,0,0,0,0,0,0
0.01043081,0,0,0,0,0,0,0
0.01048144,0,0,0,0,0,0,0
0.01053208,0,0,0,0,0,0,0
0.01058271,0,0,0,0,0,0,0
0.01063335,0,0,0,0,0,0,0
0.01068399,0,0,0,0,0,0,0
0.01073462,0,0,0,0,0,0,0
0.01078526,0,0,0,0,0,0,0
0.01083589,0,0,0,0,0,0,0
0.01088652,0,0,0,0,0,0,0
0.01093716,0,0,0,0,0,0,0
0.01098779,0,0,0,0,0,0,0
0.01103843,0,0,0,0,0,0,0
0.01108907,0,0,0,0,0,0,0
0.0111397,0,0,0,0,0,0,0
0.01119033,0,0,0,0,0,0,0
0.01124097,0,0,0,0,0,0,0
0.0112916,0,0,0,0,0,0,0
0.01134224,0,0,0,0,0,0,0
0.01139288,0,0,0,0,0,0,0
0.01144351,0,0,0,0,0,0,0
0.01149414,0,0,0,0,0,0,0
0.01154478,0,0,0,0,0,0,0
0.01159541,0,0,0,0,0,0,0
0.01164605,0,0,0,0,0,0,0
0.01169669,0,0,0,0,0,0,0
0.01174732,0,0,0,0,0,0,0
0.01179796,0,0,0,0,0,0,0
0.01184859,0,0,0,0,0,0,0
0.01189922,0,0,0,0,0,0,0
0.01194986,0,0,0,0,0,0,0
0.01200049,0,0,0,0,0,0,0
0.01205113,0,0,0,0,0,0,0
0.01210177,0,0,0,0,0,0,0
0.0121524,0,0,0,0,0,0,0
0.01220303,0,0,0,0,0,0,0
0.01225367,0,0,0,0,0,0,0
0.0123043,0,0,0,0,0,0,0
0.01235494,0,0,0,0,0,0,0
0.01240558,0,0,0,0,0,0,0
0.01245621,0,0,0,0,0,0,0
0.01250684,0,0,0,0,0,0,0
0.01255748,0,0,0,0,0,0,0
0.01260811,0,0,0,0,0,0,0
0.01265875,0,0,0,0,0,0,0
0.01270939,0,0,0,0,0,0,0
0.01276002,0,0,0,0,0,0,0
0.01281065,0,0,0,0,0,0,0
0.01286129,0,0,0,0,0,0,0
0.01291192,0,0,0,0,0,0,0
0.01296256,0,0,0,0,0,0,0
0.01301319,0,0,0,0,0,0,0
0.01306383,0,0,0,0,0,0,0
0.01311447,0,0,0,0,0,0,0
0.0131651,0,0,0,0,0,0,0
0.01321573,0,0,0,0,0,0,0
0.01326637,0,0,0,0,0,0,0
0.013317,0,0,0,0,0,0,0
0.01336764,0,0,0,0,0,0,0
0.01341828,0,0,0,0,0,0,0
0.01346891,0,0,0,0,0,0,0
0.01351954,0,0,0,0,0,0,0
0.01357018,0,0,0,0,0,0,0
0.01362081,0,0,0,0,0,0,0
0.01367145,0,0,0,0,0,0,0
0.01372209,0,0,0,0,0,0,0
0.01377272,0,0,0,0,0,0,0
