Physical Time (s),xth_bot Monitor (kg-m/s^3): bot_cv1,xth_bot Monitor (kg-m/s^3): bot_cv2,xth_bot Monitor (kg-m/s^3): bot_cv3,xth_bot Monitor (kg-m/s^3): bot_cv4,xth_bot Monitor (kg-m/s^3): bot_cv5,xth_bot Monitor (kg-m/s^3): bot_cv6,xth_bot Monitor (kg-m/s^3): bot_cv7
5.063e-05,1.1617575988109933e-20,1.2637156195972416e-20,1.1911969589582949e-20,1.1920278129214402e-20,1.1953817631608933e-20,1.1947319721999478e-20,1.1947471820305242e-20
0.00010127,-1.9269551609943112e-19,-1.9034644493707751e-19,-1.9103396400371036e-19,-1.9149892977829817e-19,-1.9143144338360087e-19,-1.914239884435933e-19,-1.9142391673870957e-19
0.00015191,-3.4871817514802644e-19,-3.5185435316327518e-19,-3.4973360584871712e-19,-3.4981583175407482e-19,-3.5015827029579145e-19,-3.5016396772769298e-19,-3.5016279978128848e-19
0.00020254,6.5215879195157007e-19,6.5375983182762615e-19,6.5331777043735778e-19,6.546367671205355e-19,6.5486446868384714e-19,6.5489196487374888e-19,6.5489046814152214e-19
0.00025318,2.1618168098540942e-19,2.5963327367261971e-19,2.3303902288949049e-19,2.388235270194344e-19,2.3938773171732616e-19,2.3938922257204391e-19,2.3938881048617203e-19
0.00030381,-2.9336518169635608e-18,-2.829151164555782e-18,-2.7360035476216202e-18,-2.7504501180640749e-18,-2.7479878194455669e-18,-2.7481513589362888e-18,-2.7481463028138122e-18
0.00035444,4.9819505185709569e-19,7.3504674428400598e-19,5.326848379193692e-19,5.1720729295545177e-19,5.1538745931330907e-19,5.1608301448221117e-19,5.160780425790614e-19
0.00040508,1.644246475339376e-16,1.6351000162149986e-16,1.6260213339610914e-16,1.6250686982095917e-16,1.6249993855666263e-16,1.6249967201214849e-16,1.6249968424665229e-16
0.00045571,-3.4264742657521759e-17,-3.2421329681955429e-17,-2.9210860728719571e-17,-2.940083812751562e-17,-2.937367842397988e-17,-2.9373812010308573e-17,-2.9373820535569803e-17
0.00050635,-4.2784911551273769e-17,-4.7486591563974319e-17,-4.5836976026678117e-17,-4.6613260686141687e-17,-4.6633861750597603e-17,-4.6631279205011448e-17,-4.6631282971803412e-17
0.00055698,-2.9145845707844993e-16,-2.8649060824978388e-16,-2.6406875257380065e-16,-2.6554903907881529e-16,-2.6565920746263975e-16,-2.6565374959739601e-16,-2.6565381221771386e-16
0.00060762,-1.2287008587606037e-15,-1.2550561043203329e-15,-1.224171259324845e-15,-1.2284687166606302e-15,-1.2284934544875486e-15,-1.2284930127268387e-15,-1.2284929781038995e-15
0.00065825,1.162542084073654e-15,1.2050022588547523e-15,1.2236238061922825e-15,1.2242692155869987e-15,1.2230586819212682e-15,1.2230690459833192e-15,1.2230689973052978e-15
