Physical Time (s),xth_left Monitor (kg-m/s^3)
5.063e-05,4.2022096409353525e-12
0.00010127,6.0712508812100287e-13
0.00015191,-9.4570200825634278e-14
0.00020254,7.8758671715556585e-13
0.00025318,1.4160396059233805e-12
0.00030381,1.3445477384801259e-12
0.00035444,1.8272724607254023e-12
0.00040508,4.4962893225397581e-12
0.00045571,-6.5950989366633614e-13
0.00050635,3.1096656337072924e-13
0.00055698,-6.1850969316498013e-12
0.00060762,-1.6998383141532715e-12
0.00065825,-1.0366187127632068e-12
0.00070889,-7.4175946139329748e-12
0.00075952,-1.1115572411606872e-11
0.00081016,-5.7872741557141679e-12
0.0008608,3.7152564626471534e-13
0.00091143,-3.9837252411082484e-12
0.00096207,-2.0800658371514341e-13
0.0010127,-3.1621899119276732e-12
0.00106333,-1.3466508327410956e-11
0.00111397,-2.5445381825890475e-11
0.0011646,-8.8161503382847144e-12
0.00121524,-7.0204532346445062e-13
0.00126588,-4.9059222605058223e-11
0.00131651,-1.1515164714928127e-10
0.00136714,-1.6310195480086357e-10
0.00141778,-1.7492999711130651e-10
0.00146842,-3.190319323573066e-10
0.00151905,-3.4736245936277824e-10
0.00156968,-3.112760613601074e-10
0.00162032,-2.6096956668724445e-10
0.00167096,-2.2514195184212395e-10
0.00172159,-1.9585492218874828e-10
0.00177222,-1.6086628079071173e-10
0.00182286,-1.3502812070396676e-10
0.00187349,-1.2643386126715431e-10
0.00192413,-9.19649676149753e-11
0.00197476,-8.3547934898016581e-11
0.0020254,-8.794046713496319e-11
0.00207603,-9.5487472695517317e-11
0.00212667,-1.0456225800351665e-10
0.00217731,-1.1246484803731063e-10
0.00222794,-1.2117292026967622e-10
0.00227858,-1.2598322506797482e-10
0.00232921,-1.3586580112963271e-10
0.00237984,-1.520810115065955e-10
0.00243048,-1.4986094125724899e-10
0.00248111,-1.4232068604081596e-10
0.00253175,-1.3887559566685526e-10
0.00258238,-1.3632039852781103e-10
0.00263302,-1.3518045228364687e-10
0.00268366,-1.3330417327697739e-10
0.00273429,-1.3372291126879018e-10
0.00278492,-1.2842826719183978e-10
0.00283556,-1.349492940059016e-10
0.00288619,-1.3843670117781872e-10
0.00293683,-1.430249704890466e-10
0.00298746,-1.4124677035219566e-10
0.0030381,-1.3787888257817793e-10
0.00308874,-1.425979302271717e-10
0.00313937,-1.382943045455206e-10
0.00319001,-1.3859141194541078e-10
0.00324064,-1.3737445751941999e-10
0.00329127,-1.275205601987319e-10
0.00334191,-1.2882526207474099e-10
0.00339254,-1.2785205875782505e-10
0.00344318,-1.2789367916818052e-10
0.00349381,-1.1823165824987048e-10
0.00354445,-1.2097554669657167e-10
0.00359509,-1.1748281920693272e-10
0.00364572,-1.178019328590061e-10
0.00369636,-1.2350146987442907e-10
0.00374699,-1.1938370010985398e-10
0.00379762,-1.1636221757385742e-10
0.00384826,-1.174371888964462e-10
0.00389889,-1.1920357943037175e-10
0.00394953,-1.2031332503149681e-10
0.00400016,-1.1617879017850353e-10
0.0040508,-1.1561299235797708e-10
0.00410143,-1.1453828569398381e-10
0.00415207,-1.1002292507759721e-10
0.00420271,-1.0824425076320882e-10
0.00425334,-1.0740274301144751e-10
0.00430397,-1.053185868952018e-10
0.00435461,-1.0327948458764131e-10
0.00440524,-1.0816848166526693e-10
0.00445588,-1.0767902116420239e-10
0.00450651,-1.0163279228223591e-10
0.00455715,-1.0093723051691047e-10
0.00460778,-1.0346179483829301e-10
0.00465842,-1.0075858283647501e-10
0.00470906,-1.0474036823435902e-10
0.00475969,-1.0359679422973446e-10
0.00481032,-1.0587309553131883e-10
0.00486096,-9.7899719087564892e-11
0.00491159,-9.6264745246079529e-11
0.00496223,-9.472786277512664e-11
0.00501287,-9.2637539272529539e-11
0.0050635,-8.329651389681235e-11
0.00511413,-8.6512829266989401e-11
0.00516477,-8.8964393941518821e-11
0.00521541,-8.9302773010017774e-11
0.00526604,-8.9733083765770827e-11
0.00531667,-8.6781845667943028e-11
0.00536731,-8.4870490097458741e-11
0.00541794,-8.404639631564956e-11
0.00546858,-8.3389678433869069e-11
0.00551922,-8.4685457866824861e-11
0.00556985,-8.5382121672727868e-11
0.00562048,-7.9980055500132427e-11
0.00567112,-8.4381330843874425e-11
0.00572176,-7.8142877582650954e-11
0.00577239,-8.1236796931569055e-11
0.00582302,-8.0295392635978188e-11
0.00587366,-7.4008959686998661e-11
0.00592429,-7.8224526464798645e-11
0.00597493,-7.4296467965927934e-11
0.00602557,-7.0083589867518504e-11
0.0060762,-7.2683567595626896e-11
0.00612683,-7.4439303543347824e-11
0.00617747,-7.8107830601881445e-11
0.00622811,-7.3345795680715832e-11
0.00627874,-7.2875816869125855e-11
0.00632937,-7.1882942928685232e-11
0.00638001,-7.1860312198894089e-11
0.00643064,-7.7133046851910402e-11
0.00648128,-6.9081273833612756e-11
0.00653192,-7.1369440845054442e-11
0.00658255,-7.4688616713846495e-11
0.00663318,-7.209551067744719e-11
0.00668382,-7.1444489882138377e-11
0.00673445,-6.785712951225269e-11
0.00678509,-6.9114584592903809e-11
0.00683572,-7.2316123550205033e-11
0.00688636,-7.2563095204454467e-11
0.00693699,-7.0747468290743258e-11
0.00698763,-7.2007412959879729e-11
0.00703827,-7.1003452308049598e-11
0.0070889,-6.7115223166278307e-11
0.00713953,-6.9158409053387752e-11
0.00719017,-7.365639213038833e-11
0.0072408,-7.0430145180110975e-11
0.00729144,-6.5761355352422821e-11
0.00734207,-7.1719776683343519e-11
0.00739271,-6.6070164418568695e-11
0.00744334,-6.4636364887759615e-11
0.00749398,-6.6516951635235107e-11
0.00754462,-6.2361262236391711e-11
0.00759525,-7.0644375773527171e-11
0.00764588,-6.3809559345508735e-11
0.00769652,-6.3658783048508164e-11
0.00774715,-6.3395489963528214e-11
0.00779779,-6.4235090293527572e-11
0.00784842,-6.8158547942158881e-11
0.00789906,-6.8622516068621181e-11
0.00794969,-6.9577517864233071e-11
0.00800033,-6.2226521819561119e-11
0.00805097,-6.296339887975804e-11
0.0081016,-6.0583114842695872e-11
0.00815223,-6.0778696555915099e-11
0.00820287,-6.2138424311895442e-11
0.0082535,-6.6875800035293869e-11
0.00830414,-6.0326686803113663e-11
0.00835478,-5.8058998884194806e-11
0.00840541,-5.8597380882193483e-11
0.00845605,-6.0382485903166544e-11
0.00850668,-5.3929662677121623e-11
0.00855731,-5.4783262717058678e-11
0.00860795,-5.4359780446125138e-11
0.00865858,-5.2081483740584521e-11
0.00870922,-5.1605347382191589e-11
0.00875986,-4.8820008936861315e-11
0.00881049,-4.9175464531551636e-11
0.00886112,-4.9876179969527705e-11
0.00891176,-5.0758081450267131e-11
0.00896239,-5.1083275219193107e-11
0.00901303,-4.9932679820688063e-11
0.00906367,-4.9326969711295724e-11
0.0091143,-5.1623091531044175e-11
0.00916493,-4.8981095263609304e-11
0.00921557,-4.7830475098809077e-11
0.0092662,-4.9463539263649956e-11
0.00931684,-4.6805688423263437e-11
0.00936748,-4.6249359183791267e-11
0.00941811,-4.8413400694138694e-11
0.00946875,-4.9606472216481557e-11
0.00951938,-5.4052974877650735e-11
0.00957001,-4.6900919640377893e-11
0.00962065,-4.668411257868321e-11
0.00967128,-4.4084604878367473e-11
0.00972192,-4.7861636301107525e-11
0.00977256,-4.5603019822653241e-11
0.00982319,-4.9901497395730412e-11
0.00987382,-4.4470346734642692e-11
0.00992446,-4.3870408984740763e-11
0.00997509,-4.6145883671336533e-11
0.01002573,-4.6938502857297053e-11
0.01007637,-4.2886504625370998e-11
0.010127,-4.3724451155470285e-11
0.01017763,-4.1303572496355901e-11
0.01022827,-4.8529225102791497e-11
0.0102789,-4.756320141913519e-11
0.01032954,-4.4191294637959857e-11
0.01038018,-4.3687479764790811e-11
0.01043081,-4.7869873329161115e-11
0.01048144,-4.3133081655640839e-11
0.01053208,-4.5476851579937632e-11
0.01058271,-4.8101110738449447e-11
0.01063335,-4.5900270876091949e-11
0.01068399,-4.5111333598993781e-11
0.01073462,-4.581223388594241e-11
0.01078526,-4.6530998033527092e-11
0.01083589,-4.8634311861240309e-11
0.01088652,-4.6147441173304833e-11
0.01093716,-4.1153113101725304e-11
0.01098779,-4.4503663487065835e-11
0.01103843,-4.2140215569450983e-11
0.01108907,-3.9885780333586662e-11
0.0111397,-4.0766321880329159e-11
0.01119033,-4.6062295859815867e-11
0.01124097,-4.1593781173015727e-11
0.0112916,-4.2525976636301705e-11
0.01134224,-4.371731608916238e-11
0.01139288,-4.0995473793738765e-11
0.01144351,-4.1964665721625511e-11
0.01149414,-4.3935600358203454e-11
0.01154478,-4.182889820281139e-11
0.01159541,-4.0741357174609285e-11
0.01164605,-3.4475581194263058e-11
0.01169669,-3.9081794332630887e-11
0.01174732,-3.731836454141923e-11
0.01179796,-3.5971012669596763e-11
0.01184859,-3.5928427705413166e-11
0.01189922,-3.6837597088209844e-11
0.01194986,-3.9575345316275805e-11
0.01200049,-3.7165301733131819e-11
0.01205113,-3.4776204862574638e-11
0.01210177,-3.5332216516897832e-11
0.0121524,-3.7067150516867874e-11
0.01220303,-3.7126607616446837e-11
0.01225367,-3.6958419958726298e-11
0.0123043,-3.1322852088382536e-11
0.01235494,-3.4381876207292553e-11
0.01240558,-3.3165707440401999e-11
0.01245621,-3.5165190513302214e-11
0.01250684,-2.9183507749408999e-11
0.01255748,-3.269555272820648e-11
0.01260811,-3.2037577250212684e-11
0.01265875,-3.4184441328815961e-11
0.01270939,-3.1011189376188888e-11
0.01276002,-3.0978313156001722e-11
0.01281065,-3.4692166330318204e-11
0.01286129,-3.3596068050206423e-11
0.01291192,-3.4972538678099041e-11
0.01296256,-2.9071867271274717e-11
0.01301319,-3.1483534420346319e-11
0.01306383,-3.1098613418145081e-11
0.01311447,-2.9793762325965883e-11
0.0131651,-2.8910327355415313e-11
0.01321573,-3.3603794952988656e-11
0.01326637,-2.849941049513203e-11
0.013317,-3.0761017346981217e-11
0.01336764,-3.1765894956958173e-11
0.01341828,-2.8453503530289573e-11
0.01346891,-3.2178640673827456e-11
0.01351954,-2.7729875243131895e-11
0.01357018,-2.7062934117021841e-11
0.01362081,-2.8768704242073058e-11
0.01367145,-2.6513276152258911e-11
0.01372209,-2.6641489660958489e-11
0.01377272,-3.0735518495507004e-11
0.01382335,-2.8506468856433141e-11
0.01387399,-2.7225973888725246e-11
0.01392462,-3.0660227023312653e-11
0.01397526,-3.0062687242521366e-11
0.0140259,-3.1103882664307477e-11
0.01407653,-2.8050293366219712e-11
0.01412716,-2.6646177283947274e-11
0.0141778,-2.6131448142580864e-11
0.01422843,-2.6244508565430632e-11
0.01427907,-2.8755658624491164e-11
0.0143297,-2.3444892427492442e-11
0.01438034,-2.4307226405368764e-11
0.01443098,-2.9709785681402998e-11
0.01448161,-2.818651906335424e-11
0.01453224,-2.7033766262274181e-11
0.01458288,-2.6777206562360807e-11
0.01463351,-2.1923647602298427e-11
0.01468415,-2.2787093554239931e-11
0.01473479,-2.2706473585876057e-11
0.01478542,-2.3986932389497542e-11
0.01483605,-2.1582404418986913e-11
0.01488669,-2.639660912584104e-11
0.01493732,-2.5151082597377304e-11
0.01498796,-2.1269106085511142e-11
0.0150386,-2.1498104510809782e-11
0.01508923,-2.7758032913765237e-11
0.01513986,-2.2401302872092239e-11
0.0151905,-1.9957674976240946e-11
0.01524113,-2.4329247666025889e-11
0.01529177,-1.8325094981994306e-11
0.0153424,-2.1936181090568318e-11
0.01539304,-2.5234890922214406e-11
0.01544368,-1.940918850176429e-11
0.01549431,-2.2316152738232407e-11
0.01554494,-2.641276440754481e-11
0.01559558,-2.0295243041785401e-11
0.01564621,-1.9199340768281743e-11
0.01569685,-1.7826071097306588e-11
0.01574748,-1.8690493034463607e-11
0.01579812,-1.6915113789138865e-11
0.01584875,-2.0838054656965952e-11
0.01589939,-2.1311262713808621e-11
0.01595002,-1.5914026462091974e-11
0.01600066,-2.1810656772980796e-11
0.0160513,-2.0153449153042072e-11
0.01610193,-1.7008902372860315e-11
0.01615257,-2.0509403049038104e-11
0.0162032,-1.4901315302972236e-11
0.01625384,-2.03511424878428e-11
0.01630447,-1.8767185325707921e-11
0.0163551,-1.9434911465343355e-11
0.01640574,-1.6476319217211566e-11
0.01645637,-1.4703117821369121e-11
0.01650701,-1.3861787621046182e-11
0.01655764,-1.6461394960041152e-11
0.01660828,-1.4802924936216893e-11
0.01665891,-1.6341890649235229e-11
0.01670955,-1.6394202423254254e-11
0.01676019,-1.234908356025931e-11
0.01681082,-1.6931992787460052e-11
0.01686146,-1.8475734241714987e-11
0.01691209,-1.5097962807699683e-11
0.01696272,-1.2682222722564229e-11
0.01701336,-1.4396323361243031e-11
0.01706399,-1.2148210208462913e-11
0.01711463,-1.3269093168211077e-11
0.01716526,-1.3584055990054674e-11
0.0172159,-1.3995233661347016e-11
0.01726653,-1.6219344923786189e-11
0.01731717,-1.3459741066178818e-11
0.01736781,-1.5196657338250637e-11
0.01741844,-1.2313713522907874e-11
0.01746908,-1.0575435365575173e-11
0.01751971,-1.3471073079295044e-11
0.01757035,-1.1911778003682417e-11
0.01762098,-1.416452512462139e-11
0.01767161,-8.3691094597593909e-12
0.01772225,-1.1375650407098475e-11
0.01777288,-1.2609294900363248e-11
0.01782352,-1.3557664761348993e-11
0.01787415,-1.4700733031845786e-11
0.01792479,-1.1328071244525511e-11
0.01797542,-1.816237822043388e-11
0.01802606,-6.5804779128846703e-12
0.0180767,-1.4242314793445372e-11
0.01812733,-1.1149452476900618e-11
0.01817797,-8.3699681563229463e-12
0.0182286,-1.4120078188041856e-11
0.01827924,-1.365920651438999e-11
0.01832987,-2.9491694241550331e-12
0.0183805,-1.2385845109624617e-11
0.01843114,-1.4456150837774672e-11
0.01848177,-1.1880785640468907e-11
0.01853241,-1.0482417298035373e-11
0.01858304,-1.2764380348035648e-11
0.01863368,-1.51437813278524e-11
0.01868431,-1.6391304440833433e-11
0.01873495,-1.4516278401541689e-11
0.01878559,-1.5358369377287738e-11
0.01883622,-8.0127504983252626e-12
0.01888686,-1.6567963678850447e-11
0.01893749,-1.2386910147395346e-11
0.01898812,-1.0410637443389118e-11
0.01903876,-1.2891622073609251e-11
0.01908939,-1.3852898372955222e-11
0.01914003,-1.1566369947169416e-11
0.01919066,-1.3236314736437595e-11
0.0192413,-1.1626759939287287e-11
0.01929193,-1.5542822599204013e-11
0.01934257,-1.776011686161496e-11
0.01939321,-1.3836259960267708e-11
0.01944384,-1.4148894522992404e-11
0.01949448,-1.3587053066922573e-11
0.01954511,-1.666324998298892e-11
0.01959575,-1.4492999803532621e-11
