Physical Time (s),xth_right Monitor (kg-m/s^3): right_cv1,xth_right Monitor (kg-m/s^3): right_cv2,xth_right Monitor (kg-m/s^3): right_cv3,xth_right Monitor (kg-m/s^3): right_cv4,xth_right Monitor (kg-m/s^3): right_cv5,xth_right Monitor (kg-m/s^3): right_cv6,xth_right Monitor (kg-m/s^3): right_cv7
5.063e-05,2.2724743926799448e-12,-1.5779812938640605e-13,-1.9380269641001533e-12,-2.8231061483915827e-12,-1.7382340422955827e-12,-1.3398416523598635e-12,-6.6498396520075694e-12
0.00010127,4.1488613364925551e-12,-7.6797092624387803e-13,-4.329356568922715e-13,4.850773235471703e-13,-2.3030680933890994e-12,-3.2900501602305034e-12,1.7579131993148931e-12
0.00015191,1.8899260943609837e-10,-1.74529065514997e-12,2.0204735147405162e-12,-2.8884865670247356e-13,1.7601906610440078e-12,-2.6426924751672364e-13,3.9507188910218137e-12
0.00020254,1.5146520431522663e-09,7.4032190563410255e-13,1.3597178158687542e-12,1.8811976122428554e-12,3.0137403098977987e-12,5.8157861962907109e-13,5.8687654659463528e-12
0.00025318,3.3531992631157002e-09,-1.883774724216267e-12,-3.7876495169265455e-13,-2.746629450548083e-13,-7.5913860318119409e-13,-1.0011488873946086e-12,-6.1122304018122892e-12
0.00030381,3.4261971343391234e-09,-1.765540703681778e-12,-2.0915733937156416e-12,-2.3089041734275014e-12,2.1745888809166247e-12,-4.4893385382009858e-12,1.3097077770524239e-12
0.00035444,3.2736963527614077e-09,-5.1706103254337848e-13,-7.1566101551605579e-14,-2.092961083615087e-13,-5.6743934798323156e-13,1.2473857876420824e-12,-2.9996559405131539e-12
0.00040508,5.6376539835391599e-09,1.0502499301680012e-12,-6.6803340126683859e-13,-6.0461709017176464e-13,-1.2258883205150109e-12,-2.0888984398561763e-12,1.0478682836237661e-12
0.00045571,1.0625593222362306e-08,2.607929220429717e-12,-2.2661753724526441e-13,-3.7847636616864915e-13,-1.0169483171252305e-12,-7.1942863551452431e-13,-2.0497086337568686e-12
0.00050635,1.4618265225294079e-08,2.2044914764231032e-11,5.552523970410809e-13,5.5681443610147383e-13,-2.3033844319673499e-12,-4.1918157505154799e-12,2.8935942034653241e-12
0.00055698,1.6066275627677786e-08,4.5763749358712564e-11,1.9488448708803336e-12,-1.5003656203621178e-12,-1.8718869280086549e-12,-8.5656708938074233e-13,-3.7958657650162948e-12
0.00060762,1.6587313133472231e-08,5.7250024273419553e-11,2.5244766522444543e-12,7.975715152084804e-13,6.0774994233569521e-13,-6.2179948296052665e-13,2.5419276706582317e-12
0.00065825,1.7556298280088713e-08,6.5800985980020572e-11,-8.1048925333031405e-13,7.5324738745788089e-13,1.042621402233068e-12,7.493772381701302e-13,-2.4845084004517123e-13
0.00070889,1.9436403896091632e-08,9.3836169417882741e-11,1.3185656260600314e-12,1.7103905046558731e-12,-5.180283847506918e-13,-1.2136498920855134e-12,7.1841868262146246e-13
0.00075952,2.2256802163416811e-08,1.8268170870897988e-10,-1.5902310599856361e-12,-1.1708330124786524e-13,2.2768581903319443e-12,6.3838042970081067e-13,-4.6050648099000176e-12
0.00081016,2.5896497675872479e-08,3.3238338349279336e-10,-2.738864263168107e-12,-8.7551443873887403e-14,2.1050624412432864e-12,-8.9035064007866337e-13,-1.7677853979686991e-12
0.0008608,3.0203066584128668e-08,4.4435652836169291e-10,1.2318649281386633e-12,7.3290647798782074e-13,1.299823464908842e-12,1.0671949300839537e-12,3.4837003955832716e-14
0.00091143,3.5062186478588411e-08,4.5561533213532803e-10,2.0930696467869642e-12,4.372658264702441e-13,-9.0724917994826402e-13,-1.2070363765814201e-13,6.559438641113824e-13
0.00096207,4.04357409543821e-08,4.0330947621005337e-10,5.0477632136482468e-12,1.3696933973271714e-12,4.6761932577392536e-12,-2.9296753795468966e-12,3.7253971782319147e-13
0.0010127,4.6429689276905761e-08,3.7191672333237337e-10,2.8591202606738334e-12,-5.4457920721565969e-13,-1.9186183266405976e-12,-1.0067324756875889e-12,-1.1007850670471259e-12
0.00106333,5.3290763174417336e-08,3.9332707831951966e-10,7.9365072152524258e-12,-1.4868932963968031e-12,8.7671231735063581e-13,8.025396976792251e-13,-6.0694840384393945e-13
0.00111397,6.1437385157683299e-08,4.5676702182249807e-10,7.4120667433839987e-12,2.2896386492600429e-13,1.1125525972038497e-12,-2.7800893133731141e-13,5.3455069830846536e-14
0.0011646,7.1405417694524652e-08,5.373479061086318e-10,2.8264129762823565e-12,-3.924575722403895e-13,-2.512885239140791e-12,-2.3147379173162489e-12,2.390652720036476e-13
0.00121524,8.3805649438987054e-08,6.2118162941385376e-10,1.6283216475714284e-11,6.7501310656101137e-14,9.4942954309212006e-13,1.1763898470506083e-12,3.0326282175414426e-13
0.00126588,9.9274267437632061e-08,6.8522726169746449e-10,2.7949375369326009e-11,1.4741265081344593e-12,1.0255931809950106e-13,-3.5240364888977434e-12,1.4560430873766876e-12
0.00131651,1.1849353411622665e-07,7.3044095391862671e-10,2.9880973268711261e-11,-3.7439294939338628e-12,-2.8934687760524883e-12,2.8822953470661128e-13,1.2200730197530048e-12
0.00136714,1.4222607392421194e-07,7.6580426626523412e-10,3.1515067761702075e-11,-3.6115438535677548e-12,7.6789027187337828e-14,1.5331615075192294e-12,1.5499447574575887e-12
0.00141778,1.7132815149232684e-07,7.8488518399554675e-10,3.2004635431128047e-11,7.0278721845091189e-13,2.1928587254425637e-13,2.7734617029748977e-12,-2.2973311702679604e-12
0.00146842,2.0677957788249475e-07,8.0731450192759828e-10,2.3668115255869926e-11,-4.3578602574847849e-12,1.2240978176953895e-12,-7.421608962342997e-13,-1.9107282233000454e-12
0.00151905,2.4968322070152082e-07,8.2886272428679155e-10,1.7903673021560674e-11,1.1188380000689203e-12,3.8945852690685709e-12,1.7247186390778577e-12,-4.1252926994256103e-13
0.00156968,3.0129104563828501e-07,8.505030030812381e-10,2.114754018511075e-11,6.2656130986414e-12,-1.9870662498229032e-12,-1.8763297215373377e-12,5.6672629538102426e-12
0.00162032,3.6298346782768149e-07,8.7418944013130752e-10,3.344586415355425e-11,3.8946298618124391e-12,3.9079602016582128e-13,-1.9315027868990472e-12,8.5857806113500402e-13
0.00167096,4.3624432034901489e-07,9.0316824185890729e-10,4.3032627332982115e-11,7.6290959502307967e-12,6.2249944531056349e-12,-3.1935112048746917e-12,2.4192289328957598e-12
0.00172159,5.225355632259954e-07,9.3607527104015456e-10,5.4309088488650899e-11,6.1563400471501067e-12,-3.9459906261761214e-13,1.4153541402453472e-12,-3.487682940332548e-12
0.00177222,6.2319533633047185e-07,9.6843811331798985e-10,7.3924518077190762e-11,6.2739808493922262e-12,-3.1854428263180253e-12,1.0126036223231026e-12,3.1568104773523991e-12
0.00182286,7.3928783470030723e-07,9.9830003692526991e-10,7.2963009672364427e-11,1.1919193259085591e-11,2.3749608452771621e-14,-3.9401038930400902e-12,-3.6280947617372862e-12
0.00187349,8.7142747680611042e-07,1.0260165261159207e-09,7.8183520216327283e-11,5.6111445739098047e-12,2.2956693988789083e-12,3.5812692126308643e-12,6.9159261447327524e-12
0.00192413,1.0196742906043841e-06,1.0678893522090104e-09,7.9550347498253288e-11,4.074836194037974e-12,1.7098237479363005e-13,2.2234372817497931e-12,-6.3963523231886995e-12
0.00197476,1.183506057929498e-06,1.1007777920647634e-09,8.4330262277280432e-11,3.3820933617476943e-12,-6.1240385922975811e-13,-8.5283354994815086e-12,-1.4434408068252841e-12
0.0020254,1.3617624842380056e-06,1.1460860833753093e-09,7.7932307349752271e-11,3.950952236849777e-12,-1.0971430118168367e-12,2.0074416547610629e-12,1.2432666199047044e-12
0.00207603,1.5527670537374436e-06,1.1825820529387375e-09,7.9596888829779293e-11,7.3202320142498454e-12,8.8243816377548744e-13,1.4548837186896351e-12,-4.4838502689681908e-13
0.00212667,1.7544984673164377e-06,1.2259569565990863e-09,7.2007309205553926e-11,2.0017043611807233e-11,3.2396015133966069e-12,-2.8953169657506268e-12,-2.2305840516736431e-12
0.00217731,1.9647735263539426e-06,1.2737033573943589e-09,7.400374322491581e-11,2.0369939968254189e-11,6.5468385747619343e-12,-2.2332655119493676e-13,-1.1109804130276504e-13
0.00222794,2.1814418736931636e-06,1.3239146107478952e-09,6.7515548497314315e-11,2.2074496901837258e-11,2.1859602725095553e-12,-1.4471501554115023e-13,-1.396268032770555e-12
0.00227858,2.4024946780406667e-06,1.3749414104364706e-09,6.8760337098389642e-11,2.7053066880656558e-11,5.031869411735844e-12,-3.3226072362322186e-12,8.5845475077365859e-13
0.00232921,2.6261056050662982e-06,1.4347345103113724e-09,6.9442639361763524e-11,2.4947697037134099e-11,6.0022024893074727e-13,2.4693112389180974e-12,-4.1249280750542227e-13
0.00237984,2.8506704615500026e-06,1.5006776622855955e-09,6.5608018161907137e-11,2.5426059901348311e-11,3.1287006781293028e-13,3.3510323647273739e-12,-1.2988914916132493e-12
0.00243048,3.073278504736949e-06,1.5757419559408939e-09,7.1810890067534766e-11,2.1187742701400022e-11,1.0688554856178727e-12,-5.6652162972534876e-12,-3.7101730948085724e-12
0.00248111,3.2916288350584919e-06,1.6545596529297441e-09,7.3758928169341708e-11,2.4034442322590389e-11,-3.1529655570760736e-12,-2.9662461056686663e-12,-3.5486949855328801e-13
0.00253175,3.4991151643555984e-06,1.7377137933744257e-09,8.1222211633177312e-11,2.0565169654602977e-11,8.9916478229896958e-12,5.0801158851021969e-12,1.4233494433777165e-12
0.00258238,3.6887458564773935e-06,1.8287516556490075e-09,8.3635910098012333e-11,2.0821461599061954e-11,7.0215983471683376e-12,-2.2451730641531463e-12,-3.3469567792953537e-13
0.00263302,3.8550583282901818e-06,1.9152914253899875e-09,8.0178163248700221e-11,2.0821027111598084e-11,6.1667098634642099e-12,1.4598510101999363e-13,-2.8929535257704147e-12
0.00268366,3.9915538699666114e-06,2.0081173698640181e-09,8.6465235568920759e-11,2.1312593394614708e-11,9.9078296159237797e-12,-2.9238337278055957e-12,-1.6446069315695933e-12
0.00273429,4.0884098922123829e-06,2.0962251467823766e-09,8.3850512531472964e-11,2.309870492646741e-11,7.9281707219504243e-12,2.6344790307203774e-12,-2.6823818632363955e-12
0.00278492,4.1345831135086799e-06,2.1873248974968863e-09,8.7487573360260629e-11,2.5008961345030534e-11,8.9129932814899426e-12,3.9473243647890417e-12,-1.7393347436357299e-12
0.00283556,4.1272588081124232e-06,2.2791720973884729e-09,8.5606323892262633e-11,2.0487807647165664e-11,1.3668064180096468e-11,-3.4373022546327535e-12,-2.5671616385841021e-12
0.00288619,4.0721585130682102e-06,2.3776020509010788e-09,9.004347492288587e-11,1.8248673703072257e-11,1.2310747431791017e-11,-1.9771532566448523e-12,-2.8153208939025277e-12
0.00293683,3.9791937574087765e-06,2.4726405277800573e-09,8.6511814211921974e-11,2.2437370616989052e-11,8.8462112424762843e-12,4.1561349289896775e-13,-2.4599018826980006e-13
0.00298746,3.8586784234608615e-06,2.5797111211789557e-09,9.696472361443352e-11,1.9574426637706052e-11,6.2664980614883699e-12,1.5901818825305003e-12,2.1389790037138524e-12
0.0030381,3.7196154816569203e-06,2.6868895353371155e-09,9.4864219764365029e-11,2.4179459137656291e-11,7.8279457158850766e-12,7.8307367787271892e-13,1.2068504755299791e-12
0.00308874,3.5690238002765609e-06,2.8072189022216622e-09,8.9836877008347813e-11,2.9447224952690129e-11,9.2649946542392376e-12,-4.6047550569705491e-14,-1.4019857253122624e-12
0.00313937,3.4118205548031608e-06,2.9444235602106223e-09,9.7158087978546384e-11,2.1696920842637583e-11,1.0897047575680332e-11,3.5286751641444026e-13,-2.188080396211094e-13
0.00319001,3.2515813835507686e-06,3.0834379695855065e-09,9.4866614358595295e-11,2.3983437048504822e-11,7.971945249897261e-12,1.3959220308476365e-12,3.6744258614399518e-13
0.00324064,3.0907319352285276e-06,3.2398643048767725e-09,1.0412319109706507e-10,2.2462403026054189e-11,5.0241831416646152e-12,-1.4459255827367911e-12,1.3626576300253145e-12
0.00329127,2.9307903178078258e-06,3.40755650516321e-09,1.0476430822922796e-10,2.2809969141871503e-11,6.3562496962353842e-12,8.2698308786304196e-13,1.5819844660706718e-12
0.00334191,2.7733574768885891e-06,3.5902492274060408e-09,1.0621013641681086e-10,2.8042113758270373e-11,1.059693005349197e-11,-1.7646165835926822e-12,-1.132992646815088e-12
0.00339254,2.6190403142138976e-06,3.7759673751442315e-09,1.0482500215935282e-10,2.1402099024438213e-11,7.294900748958271e-12,1.3645989550068912e-12,1.1979803285874095e-12
0.00344318,2.4689075349453068e-06,3.9714384449427704e-09,1.0262509012718763e-10,2.7427729383943313e-11,1.2237663714011607e-11,-9.6713905411430237e-14,5.2111884239807043e-12
0.00349381,2.3233963380196695e-06,4.1862917653413381e-09,1.0568369340076245e-10,2.7722561597521238e-11,7.2013815683369425e-12,1.5469617067778391e-12,-2.5663019725795896e-12
0.00354445,2.1833717006561113e-06,4.4143802466861386e-09,1.0576610230365929e-10,2.747542229611574e-11,9.1383603899702934e-12,5.3224926692000626e-12,1.2725104716723948e-12
0.00359509,2.0497804949187758e-06,4.6438549662786954e-09,1.0566815835964233e-10,3.1674748746279486e-11,7.2529133504579244e-12,2.6263736505609819e-12,2.0832969234618747e-12
0.00364572,1.922850981167537e-06,4.902512553199673e-09,1.0471554161293448e-10,2.8097984993663663e-11,5.6211964666731321e-12,2.2399185614075739e-12,1.5370942516507644e-12
0.00369636,1.8025291279299369e-06,5.1812928213178912e-09,1.0959626534849359e-10,2.4669795815460829e-11,9.0334440834693378e-12,1.0168474049634702e-12,-1.0607495842629834e-12
0.00374699,1.6882033237218754e-06,5.471978374171923e-09,1.1578452544449818e-10,2.5386337678252764e-11,8.8362396926942917e-12,-4.5678864572527275e-12,-7.4206857082241628e-12
0.00379762,1.5791864165954465e-06,5.7884705649546435e-09,1.1232904134807207e-10,2.4847884684973198e-11,9.7789247844724891e-12,-2.3952967241121866e-12,-2.0832703655182763e-12
0.00384826,1.4748886250311505e-06,6.1104341781753781e-09,1.1461275329908895e-10,2.7593853110332513e-11,7.8132167297765397e-12,-2.1077734689851315e-12,4.4922876051015971e-12
0.00389889,1.3747827521767593e-06,6.4573583800658328e-09,1.2371660566075762e-10,2.3416216962240745e-11,1.0837625858519675e-11,2.6182682647837198e-12,-5.0452474785707146e-13
0.00394953,1.2783962687700086e-06,6.8098433603089038e-09,1.1850504286470068e-10,2.8182924677717084e-11,7.3968258091411953e-12,2.4533169135162246e-12,1.788299417767465e-12
0.00400016,1.1853974549928431e-06,7.1673053477107755e-09,1.175988240855058e-10,2.8513656117939697e-11,1.0574956863842317e-11,2.0891640374097794e-12,-1.2776799983848289e-12
0.0040508,1.0957176118128261e-06,7.539036863666319e-09,1.2165183006844371e-10,2.7493995680883594e-11,6.2105355651200984e-12,6.8483260286269934e-13,-1.8200450678254915e-12
0.00410143,1.0093817355437076e-06,7.9290068861975269e-09,1.3259784224510082e-10,2.7292394352584327e-11,4.9672307203518072e-12,-1.7661980105167835e-13,2.3946079643485098e-13
0.00415207,9.2658025502109324e-07,8.3507584184681527e-09,1.2599419855647255e-10,2.6516582725573521e-11,1.1954088699114467e-11,1.5436440366140992e-12,1.1718242323093784e-12
0.00420271,8.4783199167260691e-07,8.8242077146293593e-09,1.2987081714746667e-10,2.4651894677661411e-11,8.1777872503115095e-12,9.5603105613029945e-13,-1.7217673967514476e-12
0.00425334,7.735906523900706e-07,9.3816333373266159e-09,1.3916436998031077e-10,3.2846369573584426e-11,1.4300486287583597e-11,2.4010945656733137e-12,7.4374515727832199e-13
0.00430397,7.0411507505303391e-07,1.003292979495788e-08,1.335833157430642e-10,2.5319949224021363e-11,1.1207293155663892e-11,-3.2043538163273396e-13,-9.8765726572030751e-14
0.00435461,6.394676803130953e-07,1.0826683973184932e-08,1.4012027090591225e-10,3.0873488925220711e-11,1.612040392367868e-11,5.6787063127541844e-12,4.4279825745754e-13
0.00440524,5.7959658110985193e-07,1.1768726568069528e-08,1.4591616851984751e-10,2.8430727072361293e-11,8.6468179650296057e-12,2.7103913376455269e-12,8.4181330269427479e-13
0.00445588,5.2425209742855355e-07,1.2883504482074381e-08,1.5071696179056013e-10,2.7317995216525287e-11,9.4181104048833783e-12,3.4463385213902036e-12,1.2948410075638717e-12
0.00450651,4.7312829244013706e-07,1.4179990030458347e-08,1.5283935145470088e-10,3.0520551810424954e-11,9.7874487557586892e-12,2.648628183135869e-12,-3.5268363593279419e-13
0.00455715,4.2584620317768709e-07,1.5684936176770936e-08,1.5727403076665398e-10,3.7160855499749891e-11,1.4248670205816358e-11,4.4926414071664676e-12,1.2676617880841954e-12
0.00460778,3.8206036482205603e-07,1.7407750361669657e-08,1.5710296666299927e-10,2.836874682984178e-11,7.0007111239136423e-12,6.7098644005632118e-12,1.6844036016828663e-12
0.00465842,3.4156566529718316e-07,1.9380093261441052e-08,1.5540000268269764e-10,3.5786699865030783e-11,1.1476407855360043e-11,6.3357140699615357e-13,-7.410105230645466e-13
0.00470906,3.0421771883746559e-07,2.1626610193073465e-08,1.6643486865957824e-10,2.9849225527196375e-11,8.3427941420134575e-12,3.9193509203650328e-13,-2.3238733164817645e-12
0.00475969,2.6991197544683225e-07,2.4215299379769788e-08,1.5621645016262633e-10,3.5354034228018716e-11,9.2953124067363017e-12,1.9736052777613654e-12,-1.9858655343008682e-12
0.00481032,2.3848715061257417e-07,2.7210592466687745e-08,1.6135894090503512e-10,3.7928993059122255e-11,1.0166485972426788e-11,-7.459859498861815e-14,-1.1919825669334952e-12
0.00486096,2.0972264567527371e-07,3.0723114960674236e-08,1.6715240404824896e-10,3.4695063089075636e-11,1.3632154673066035e-11,5.2306709702660305e-12,2.6578243208789052e-12
0.00491159,1.8332594396114905e-07,3.4869910418746611e-08,1.6710618069379851e-10,3.9438462778893e-11,6.6758391868377328e-12,-7.0749453661401145e-13,-8.2222513021956281e-13
0.00496223,1.5902650000061574e-07,3.9773525341615879e-08,1.667425227920918e-10,3.1423314995418803e-11,1.370341958682143e-11,3.7409645634583708e-12,9.2206278674097253e-13
0.00501287,1.3666230875654533e-07,4.5593186700457366e-08,1.7472443890563728e-10,3.1626155631043716e-11,1.0052868136411112e-11,2.0538053905074703e-12,2.0171346189198357e-12
0.0050635,1.1640239866313822e-07,5.2518211563906803e-08,1.7829668582175634e-10,3.5730664757892395e-11,7.8933693130010266e-12,1.8924450116437857e-12,9.8972044633200955e-13
0.00511413,9.8669613607609776e-08,6.0748735521791951e-08,1.8254907400833881e-10,3.5130285516776101e-11,1.1623036955280517e-11,2.6083546683607137e-12,-2.1993870519132646e-12
0.00516477,8.399617958264868e-08,7.0527057094545899e-08,1.8844605177333266e-10,3.3310857011202523e-11,1.2652002148338232e-11,9.9248525478035171e-13,3.2922282340598917e-12
0.00521541,7.2546024321960004e-08,8.2144820332522299e-08,1.9321301545806027e-10,3.9134280509418198e-11,8.2456376629205235e-12,4.0931095807044878e-13,6.7384190213262519e-12
0.00526604,6.3868960123986831e-08,9.5943362077961485e-08,2.0512290274725531e-10,3.7341109773527007e-11,1.0978608496064999e-11,1.5074754737807854e-12,-5.9053398215139219e-13
0.00531667,5.6904241896853717e-08,1.1234531405895481e-07,2.0832096688116838e-10,2.8786656053252932e-11,1.0119110438836408e-11,5.0173615379340194e-12,1.7633268145497989e-12
0.00536731,5.0460314034804118e-08,1.3183211894634543e-07,2.0981128389214854e-10,3.5942379228867108e-11,1.0396689916149903e-11,-1.4972862709770271e-12,2.9846959408538023e-12
0.00541794,4.3738843651526545e-08,1.5499584476646342e-07,2.1223789623603333e-10,3.6404413823598442e-11,1.3997344955571141e-11,5.8302341396462185e-12,-1.5210445564817913e-13
0.00546858,3.6731884466847454e-08,1.8249008622232064e-07,2.151828770401964e-10,3.6139138881995853e-11,1.1137790115569039e-11,8.2018482878417662e-13,-3.4975245677391209e-14
0.00551922,3.0004818701261937e-08,2.1502997965761991e-07,2.145741679989153e-10,3.82245332869154e-11,1.1605418120111719e-11,6.8051821829112494e-12,-1.9756278579711968e-12
0.00556985,2.449630505843114e-08,2.5339920253367962e-07,2.1965326278963708e-10,3.8900376315112328e-11,1.0667872809677755e-11,1.7539261959071328e-12,-2.5730840262335003e-13
0.00562048,2.1004750862079913e-08,2.9841146347397062e-07,2.2331289400491485e-10,4.4307794276746082e-11,1.41857592514801e-11,-1.1166839261200509e-12,-3.2573612240235598e-13
0.00567112,1.9806814241359557e-08,3.5088491216782e-07,2.2819385945753759e-10,3.8170020637564851e-11,7.7888189632848677e-12,4.156028294588745e-12,-4.7781195593002517e-13
0.00572176,2.0578237885613627e-08,4.1160931872049854e-07,2.3228484732985084e-10,3.9884614910206078e-11,1.8620045517501507e-11,5.3291979660715247e-12,4.4932250234889335e-12
0.00577239,2.2760305115363768e-08,4.813022957298522e-07,2.3763642366888753e-10,3.8914168547581584e-11,1.2517560872917208e-11,6.2445478752531093e-12,-1.1307128023315511e-12
0.00582302,2.6131305981450308e-08,5.6057629530549573e-07,2.4333266545231462e-10,4.0752332955866739e-11,1.6884477978585972e-11,1.0489518572781107e-12,3.5892624173179494e-13
0.00587366,3.1138873103787967e-08,6.4988129310387051e-07,2.5700206039712059e-10,3.6257363059807429e-11,8.4724045190251116e-12,3.3390151478732957e-13,2.9236477181990853e-12
0.00592429,3.8885107645733905e-08,7.4945807804230829e-07,2.5727177487565198e-10,3.716819688848844e-11,1.3185300783887444e-11,1.6034386648579766e-12,3.4507002825675624e-12
0.00597493,5.0308323929682045e-08,8.5930813891954781e-07,2.6391112899527178e-10,4.5197150773015785e-11,1.5995883921657642e-11,6.4564499692370896e-12,7.2386534364060512e-13
0.00602557,6.5728936376205844e-08,9.7915853963562341e-07,2.7055217668794148e-10,4.1871456586266366e-11,1.5370621177408138e-11,8.889199086345681e-13,8.5914285995075249e-13
0.0060762,8.4100771980219412e-08,1.1084378198337918e-06,2.7866024487785102e-10,4.1233336324297415e-11,1.5171952375121742e-11,5.374669670232122e-13,-5.7987605748604482e-13
0.00612683,1.0326784315888624e-07,1.2462926135965211e-06,2.8827402860978442e-10,4.1574609861642117e-11,1.1567852340908214e-11,-1.0842932680132786e-12,4.0059300268801634e-12
0.00617747,1.205402883252903e-07,1.3914622201856922e-06,2.9132551494515544e-10,4.2147002900273018e-11,1.2338211001646992e-11,-2.6871107138434232e-12,1.1334840050508307e-12
0.00622811,1.3299440581067622e-07,1.5423521827305689e-06,3.081465355962553e-10,4.5413912327006324e-11,1.6409595338170705e-11,-1.8589842795953961e-12,-4.8824255941499821e-14
0.00627874,1.3904524675922814e-07,1.69700103076492e-06,3.1289938789649221e-10,4.2818654692846835e-11,1.5606749963291669e-11,2.9696497852402571e-12,3.3294616103500768e-12
0.00632937,1.3837571254259619e-07,1.8539694075800683e-06,3.1856675681370706e-10,3.8897898706998137e-11,1.1183797526559854e-11,-1.9739124941655771e-14,-7.5922310905948345e-13
0.00638001,1.3179241206527337e-07,2.0105531987714252e-06,3.3338316653004774e-10,4.3000271875822802e-11,9.1090215196230881e-12,4.0235243249726666e-12,-3.6332445366145134e-12
0.00643064,1.2157945608790952e-07,2.1624785236200016e-06,3.3726477435370027e-10,5.0366473131681405e-11,1.3894303458722399e-11,-1.2713514448289695e-12,1.260396463167984e-12
0.00648128,1.0998520362591936e-07,2.3078563854935594e-06,3.4720627337654476e-10,4.2194210704167649e-11,7.5613149875015763e-12,4.5861811053298417e-12,3.0387448166461842e-12
0.00653192,9.9550290047346e-08,2.4467200907250374e-06,3.6056654488107174e-10,4.7343492316744738e-11,1.4527327608201647e-11,-7.9431360674566267e-13,2.5465960749290101e-12
0.00658255,9.2594050707800105e-08,2.5784987447148798e-06,3.6268082223051037e-10,4.6577538519124571e-11,1.2662435011916517e-11,-1.6949404546533271e-12,2.8005403991989135e-13
0.00663318,9.0581726396213355e-08,2.7011522452913522e-06,3.7432917268051606e-10,4.5979817602313285e-11,1.5977316102423411e-11,-8.2490683165958381e-13,4.2547392792548277e-12
0.00668382,9.3850021706739734e-08,2.8087871660422834e-06,3.8324678562854854e-10,4.7826976784405594e-11,1.579944445249174e-11,5.9806453193718438e-12,-6.9730299476862221e-13
0.00673445,1.0176019865328333e-07,2.893948373814581e-06,3.8812710813066884e-10,5.0849172455141596e-11,2.0018079055068963e-11,2.9272684397819516e-12,-2.233578757485375e-12
