Physical Time (s),xth_top Monitor (kg-m/s^3): top_cv1,xth_top Monitor (kg-m/s^3): top_cv2,xth_top Monitor (kg-m/s^3): top_cv3,xth_top Monitor (kg-m/s^3): top_cv4,xth_top Monitor (kg-m/s^3): top_cv5,xth_top Monitor (kg-m/s^3): top_cv6,xth_top Monitor (kg-m/s^3): top_cv7
5.063e-05,1.2493166391205679e-19,1.2431680664382278e-19,1.2498481390188998e-19,1.2486531813601215e-19,1.2490047535230282e-19,1.2489298538783352e-19,1.2489332829670252e-19
0.00010127,7.7662783868362123e-20,7.299226318024888e-20,7.4146510965718596e-20,7.3519333819418779e-20,7.3699235562207824e-20,7.3700786289151133e-20,7.369984903883926e-20
0.00015191,-2.878314307586193e-19,-2.8232513317860084e-19,-2.8155771927852187e-19,-2.8178162964636462e-19,-2.8204467998457677e-19,-2.8211892951893723e-19,-2.821221776871507e-19
0.00020254,2.1122911617461344e-19,2.0820675222122988e-19,1.8765163646899934e-19,1.845205722811012e-19,1.8362450105968824e-19,1.8379272235812404e-19,1.8379037560727871e-19
0.00025318,-8.7934702699197268e-19,-8.5788270878443005e-19,-8.297881725427067e-19,-8.1666950203060358e-19,-8.1783165214195348e-19,-8.1792337623760186e-19,-8.1789362436247099e-19
0.00030381,2.4808557353493619e-17,2.4667710774191514e-17,2.4741391936049358e-17,2.4721061671685117e-17,2.4723940347757559e-17,2.4723908249878878e-17,2.4723963225319373e-17
0.00035444,2.3286110328557559e-17,2.292739287550488e-17,2.2880840682737249e-17,2.2894413199163656e-17,2.2892249983615873e-17,2.2891733637107835e-17,2.2891679157207155e-17
0.00040508,-4.9566658504542029e-17,-5.0008734465609998e-17,-5.016082339814435e-17,-4.9937359316634245e-17,-4.9959772476124317e-17,-4.9958286936494964e-17,-4.9958107723540086e-17
0.00045571,-1.6535777531733384e-16,-1.6099999890630019e-16,-1.6181034469330776e-16,-1.6217270993436057e-16,-1.6215224023349945e-16,-1.6215269486466602e-16,-1.6215274581943741e-16
0.00050635,7.1384401940847368e-16,7.1125630584124987e-16,7.0503756500102952e-16,7.0597802245599561e-16,7.0607092343981623e-16,7.0607051858048884e-16,7.060706388031102e-16
0.00055698,2.2193081061830774e-16,2.2073152998944e-16,2.3150332807292543e-16,2.3207956492711142e-16,2.3217596642121476e-16,2.3217648618528772e-16,2.3217614208426672e-16
0.00060762,-1.4646542340544649e-15,-1.5042886602610953e-15,-1.4898932327139861e-15,-1.492321983272738e-15,-1.492366530661112e-15,-1.4923527718524607e-15,-1.4923533663399917e-15
0.00065825,-3.2645821042839043e-16,-2.8265499275091906e-16,-3.8307442628280337e-16,-3.887788669583315e-16,-3.8966194893399441e-16,-3.896845984420975e-16,-3.8968557524359057e-16
0.00070889,-4.5428474240882106e-15,-4.5870773121276542e-15,-4.6091319939768699e-15,-4.6021680449728955e-15,-4.6022100946992794e-15,-4.602209117527936e-15,-4.6022090436988959e-15
0.00075952,5.9292799280788531e-15,5.6996758335387585e-15,5.0570071616143757e-15,5.0514985486876435e-15,5.0519863092646327e-15,5.0521890606351158e-15,5.0521920720147115e-15
0.00081016,6.2040405185242207e-15,5.3325329316903248e-15,7.003293039331119e-15,7.1058277728781584e-15,7.108174690204698e-15,7.1079520476310888e-15,7.1079514527357069e-15
0.0008608,-6.902658879286246e-15,-7.1598747631597587e-15,-5.1043141693719243e-15,-4.875626391210222e-15,-4.881566144972113e-15,-4.8828002222132443e-15,-4.8828039213578683e-15
0.00091143,-4.9668366638167393e-15,-2.6585199108292514e-15,-1.2196484367368921e-15,-1.2608727877723239e-15,-1.2544422140706731e-15,-1.2547058535606158e-15,-1.2547073264938913e-15
0.00096207,-8.5322807860464983e-16,1.5778149464563991e-15,2.1024080347176447e-15,2.037750455656557e-15,2.0677386619250638e-15,2.0677499328343344e-15,2.0677550903983412e-15
0.0010127,4.8710254250359987e-15,4.3159096926463747e-15,8.9937062371200328e-16,7.5548699261925578e-16,6.5318422264719259e-16,6.5561686468240792e-16,6.5561108952063153e-16
0.00106333,8.2949350824503849e-15,9.1689413171195785e-15,8.1498937438158974e-15,9.7972087376505726e-15,9.8675074058376612e-15,9.8674423105748095e-15,9.8674354037266461e-15
0.00111397,1.2974089703173942e-14,1.2314180223585602e-14,2.127606608645363e-14,1.8854677952521457e-14,1.8788048299604764e-14,1.8771448755880278e-14,1.8771481743048105e-14
0.0011646,-2.5294295322796809e-15,-1.6856588768035513e-15,3.9988976756082622e-15,1.8574458422535932e-15,1.6382266509181258e-15,1.6018965031020475e-15,1.6019149689731805e-15
0.00121524,7.7574289502046358e-16,2.2263813691351847e-15,-9.4946348687094892e-16,-4.2169733204012152e-16,-3.5436247617845811e-16,-3.322008448394106e-16,-3.321300089492589e-16
