Physical Time (s),Etau_left Monitor (W)
0.0025,-1.0800965349409603e-12
0.005,-2.7790235672582774e-11
0.0075,-1.9991195115921426e-10
0.01,-7.0953011697067212e-10
0.0125,-1.5423817613023475e-09
0.015,-2.2367444991554544e-09
0.0175,-2.032932483686779e-09
0.02,-9.7185882595102509e-10
0.0225,6.3643845308148536e-11
0.025,9.9086259984716766e-10
0.0275,1.8752632199434182e-09
0.03,2.0606397221153391e-09
0.0325,1.5403531267740883e-09
0.035,8.6029053464387387e-10
0.0375,3.0861227283894452e-10
0.04,-1.0539031987766189e-10
0.0425,-4.3155000603545843e-10
0.045,-6.6795184548510462e-10
0.0475,-7.4856118465420806e-10
0.05,-6.2155611988641399e-10
0.0525,-3.5509694207408535e-10
0.055,-1.1796771459401543e-10
0.0575,-3.66934672762929e-11
0.06,-1.1160462855130726e-10
0.0625,-2.6634889546233974e-10
0.065,-4.2023380405813493e-10
0.0675,-5.1849287025932784e-10
0.07,-5.3799004543557451e-10
0.0725,-4.8415117705727882e-10
0.075,-3.7951799043511777e-10
0.0775,-2.502325582310329e-10
0.08,-1.1803003756455585e-10
0.0825,2.1195152682339093e-12
0.085,1.0094680311926817e-10
0.0875,1.7286928462332657e-10
0.09,2.1426002831545916e-10
0.0925,2.2265978901215266e-10
0.095,1.9724672708348372e-10
0.0975,1.4031548358794514e-10
0.1,5.8024046960260544e-11
0.1025,-4.0109800189514702e-11
0.105,-1.428211365639761e-10
0.1075,-2.3893499384923573e-10
0.11,-3.1885913493064974e-10
0.1125,-3.7571128113308291e-10
0.115,-4.0572799174346222e-10
0.1175,-4.0832078529845604e-10
0.12,-3.8595063252591456e-10
0.1225,-3.433302788154663e-10
0.125,-2.8642042515151613e-10
0.1275,-2.211107289487869e-10
0.13,-1.5279034229528177e-10
0.1325,-8.6479530658841314e-11
0.135,-2.6781865961631287e-11
0.1375,2.2557606626937611e-11
0.14,5.9079475447644872e-11
0.1425,8.1524304309972244e-11
0.145,8.9527635301744771e-11
0.1475,8.3448226562472325e-11
0.15,6.433202446837076e-11
0.1525,3.3864845574041798e-11
0.155,-5.7970173859840707e-12
0.1575,-5.2329319397545539e-11
0.16,-1.0375239247823018e-10
0.1625,-1.5891653010731909e-10
0.165,-2.1769042384076278e-10
0.1675,-2.8057757672315414e-10
0.17,-3.4774518008862801e-10
0.1725,-4.1770992012752034e-10
0.175,-4.8636587540498098e-10
0.1775,-5.469361693058146e-10
0.18,-5.9095703269322666e-10
0.1825,-6.1011273686324807e-10
0.185,-5.9824672694763467e-10
0.1875,-5.5289981620054867e-10
0.19,-4.7630074459428849e-10
0.1925,-3.7500643637000457e-10
0.195,-2.5860788673850363e-10
0.1975,-1.3827353244825052e-10
0.2,-2.5785628637165641e-11
0.2025,6.8258798808615988e-11
0.205,1.366275233315353e-10
0.2075,1.7648742523530299e-10
0.21,1.8876253030685953e-10
0.2125,1.7691331518268681e-10
0.215,1.4602398399903704e-10
0.2175,1.0190301754461479e-10
0.22,5.0114024065784639e-11
0.2225,-4.9390749897282056e-12
0.225,-6.065938618373745e-11
0.2275,-1.1632606907539674e-10
0.23,-1.7260148548262388e-10
0.2325,-2.3054584349918197e-10
0.235,-2.9077890653165341e-10
0.2375,-3.5281580355396117e-10
0.24,-4.1465549917511585e-10
0.2425,-4.7271201553065755e-10
0.245,-5.2226160263474841e-10
0.2475,-5.5825394847755178e-10
0.25,-5.7622130813595371e-10
0.2525,-5.7312521140994541e-10
0.255,-5.4800005496890112e-10
0.2575,-5.022801416266195e-10
0.26,-4.3964104503786377e-10
0.2625,-3.655958975300192e-10
0.265,-2.8672945463620473e-10
0.2675,-2.0984136520621995e-10
0.27,-1.4108509441875212e-10
0.2725,-8.5178021103255352e-11
0.275,-4.4906110878608357e-11
0.2775,-2.1069695523022104e-11
0.28,-1.2778442985317201e-11
0.2825,-1.7942367510043218e-11
0.285,-3.3790771619578047e-11
0.2875,-5.7394002532143872e-11
0.29,-8.6054954542471307e-11
0.2925,-1.1760768586149263e-10
0.295,-1.5048846301344539e-10
0.2975,-1.8363935241620501e-10
0.3,-2.163210352629172e-10
0.3025,-2.4789340711768435e-10
0.305,-2.776188226001756e-10
0.3075,-3.0453761451292451e-10
0.31,-3.274619829607146e-10
0.3125,-3.4508762382427542e-10
0.315,-3.561877390680445e-10
0.3175,-3.5983102748525919e-10
0.32,-3.55583037208737e-10
0.3225,-3.4367324847702542e-10
0.325,-3.2502940680835961e-10
0.3275,-3.012679303405708e-10
0.33,-2.7454963408092508e-10
0.3325,-2.4733972443553992e-10
0.335,-2.2212483477247669e-10
0.3375,-2.0113276696733299e-10
0.34,-1.8613839225951361e-10
0.3425,-1.7828236925876259e-10
0.345,-1.7799940944407927e-10
0.3475,-1.8503421539020205e-10
0.35,-1.9853380580201326e-10
0.3525,-2.172258794035105e-10
0.355,-2.3951991229213927e-10
0.3575,-2.6366777018483317e-10
0.36,-2.879044480947464e-10
0.3625,-3.1054011176942305e-10
0.365,-3.3005433934290883e-10
0.3675,-3.4515775843800804e-10
0.37,-3.5484362036592204e-10
0.3725,-3.5844234673385282e-10
0.375,-3.5563260399133179e-10
0.3775,-3.464556619730045e-10
0.38,-3.3129519294334164e-10
0.3825,-3.1086675915181533e-10
0.385,-2.8618387145598079e-10
0.3875,-2.5850444886869621e-10
0.39,-2.2925680832248568e-10
0.3925,-1.999485979379462e-10
0.395,-1.7211421815944323e-10
0.3975,-1.4724683323050255e-10
0.4,-1.2672971145042671e-10
0.4025,-1.1179629029720312e-10
0.405,-1.0346890253411651e-10
0.4075,-1.025080536991696e-10
0.41,-1.0935923238109536e-10
0.4125,-1.2409076638968745e-10
0.415,-1.4633716659991172e-10
0.4175,-1.7526540411596422e-10
0.42,-2.0960588983953586e-10
0.4225,-2.4768795200102059e-10
0.425,-2.8750195696637335e-10
0.4275,-3.2683718975594209e-10
0.43,-3.6345106472125317e-10
0.4325,-3.9524695228291645e-10
0.435,-4.2042949433967339e-10
0.4375,-4.3763314319321743e-10
0.44,-4.4604841033314221e-10
0.4425,-4.4545049302169115e-10
0.445,-4.3616508579030819e-10
0.4475,-4.1899347297796525e-10
0.45,-3.9507799146099053e-10
0.4525,-3.6584931670593028e-10
0.455,-3.329118657628096e-10
0.4575,-2.9792988747213419e-10
0.46,-2.6250078543591845e-10
0.4625,-2.2816009257974943e-10
0.465,-1.962020156863485e-10
0.4675,-1.6771394629509017e-10
0.47,-1.4359231178850993e-10
0.4725,-1.2454443607893833e-10
0.475,-1.1110384506144791e-10
