Physical Time (s),anabla_vol Monitor (W): cv1,anabla_vol Monitor (W): cv2,anabla_vol Monitor (W): cv3,anabla_vol Monitor (W): cv4,anabla_vol Monitor (W): cv5,anabla_vol Monitor (W): cv6,anabla_vol Monitor (W): cv7
0.0025,5.9157373031191952e-09,1.6637958490824523e-15,1.1130668433902032e-18,1.8562989157826257e-23,7.7549057898530618e-25,4.3606784775145824e-26,5.3944978658154307e-28
0.005,1.3010345134469762e-09,6.2761757041040932e-15,8.4568546975922207e-17,1.1123875376665624e-20,3.4032724771026372e-24,2.4544208629076123e-25,1.6320606019467095e-26
0.0075,9.1945304400403689e-10,6.9626036496714167e-15,1.1430725893415755e-15,1.5695096095746837e-18,5.3130032635288948e-22,4.6084836572250717e-24,5.0650484386398402e-26
0.01,7.3176391311477197e-10,9.5729431333287334e-15,3.2313859787196671e-15,4.5635302250904297e-17,8.2235511535191145e-20,8.8951297384709594e-23,4.9738697647697176e-25
0.0125,6.1612940047573756e-10,1.1858716803318684e-14,4.4368864670094852e-15,3.9234734553535596e-16,3.1565021241497836e-18,7.5662010889256803e-21,4.7044851562511247e-24
0.015,5.408365878793923e-10,1.5483902373833615e-14,3.2762919203719174e-15,1.4094900489479453e-15,4.2679285631697001e-17,3.3730797908891805e-19,2.4354368700323613e-23
0.0175,4.9042568492639089e-10,1.8782661609353237e-14,2.3874898942042824e-15,2.4031169361643122e-15,2.4992468920865248e-16,5.797559681808888e-18,1.5277282909370522e-22
0.02,4.5606368546439858e-10,2.0391411306470805e-14,4.9878514458288109e-15,1.8912534675114719e-15,7.3822398156867364e-16,4.5868323157314855e-17,9.1518443961177752e-21
0.0225,4.3288003816561142e-10,2.421270180638406e-14,8.1348748621292416e-15,9.3114524667444703e-16,1.1469238840306546e-15,1.985301141411993e-16,2.0179194164066685e-19
0.025,4.1731032179059137e-10,3.1625916738994789e-14,6.4328280308853256e-15,3.02809760462512e-15,8.4263967839807819e-16,5.0748971726624616e-16,2.0868298510212703e-18
0.0275,4.0701753002236548e-10,4.0095476659916265e-14,3.3245669691892999e-15,6.4227803048922287e-15,4.3768370133860823e-16,7.847963010561841e-16,1.2941941139860119e-17
0.03,4.0050144364598877e-10,5.0902861032723085e-14,2.5783534566079765e-15,6.3944506703510244e-15,1.7308330870464519e-15,7.4815731267059443e-16,5.3006053931946693e-17
0.0325,3.9663185146799017e-10,6.6972422190679681e-14,3.5710688780544419e-15,3.2004898009099981e-15,4.2988827274664033e-15,6.4313873077020313e-16,1.4856058915702561e-16
0.035,3.9453717938368728e-10,9.1593222277649824e-14,3.2259168182590707e-15,1.747588947099166e-15,4.9466785332924076e-15,1.3086728626848685e-15,2.8850077140035473e-16
0.0375,3.9350361939132135e-10,1.2775131914277603e-13,1.810245347234033e-15,2.6980922382754061e-15,2.7880534825061383e-15,2.9180877943103759e-15,3.882890180629923e-16
0.04,3.9291264542693241e-10,1.790805128037585e-13,6.8061719530638837e-16,3.1929043309479105e-15,1.1141646825499095e-15,4.087278399890506e-15,3.8029305319240674e-16
0.0425,3.922192253935903e-10,2.4993616437789744e-13,2.9203858806984976e-16,2.0862979202207371e-15,1.6859426963748377e-15,3.8419715930174499e-15,4.0743015195011466e-16
0.045,3.909506571157056e-10,3.4486484923255106e-13,2.9856900861100919e-16,7.9701833447530661e-16,2.443934100249009e-15,2.9865157793717735e-15,7.5995460460055704e-16
0.0475,3.8871274529662559e-10,4.6777132570781457e-13,4.0023204260785984e-16,2.6554560008603884e-16,1.8781795266648974e-15,2.4290629348509912e-15,1.4436476606823617e-15
0.05,3.8517379259414077e-10,6.2102625715436952e-13,4.5886324003211121e-16,2.6924010432505662e-16,7.8429902298511053e-16,2.222931031085771e-15,1.9299559133075031e-15
0.0525,3.8012911581247034e-10,8.0486707373505961e-13,4.1440858651145564e-16,3.8905893233732712e-16,2.4438677944960923e-16,2.0571683847196331e-15,1.8280682638096768e-15
0.055,3.7353504845563075e-10,1.0172659410473687e-12,2.8175994581196938e-16,4.3299458010336348e-16,2.592636582974823e-16,1.7575891380949494e-15,1.4336014907020018e-15
0.0575,3.655103780325156e-10,1.2543761707010086e-12,1.5350311811328249e-16,3.590065225271821e-16,3.9654961934447722e-16,1.2875785005679708e-15,1.2755312592774655e-15
0.06,3.5629796743041983e-10,1.5115445190794978e-12,1.3526498241485301e-16,2.0779166283513909e-16,4.1927450735759649e-16,8.1570914225865269e-16,1.4792292884875672e-15
0.0625,3.462270647537777e-10,1.7846587114318593e-12,2.5114099889739407e-16,8.2457452798636611e-17,3.0948828977283309e-16,5.736410510910958e-16,1.7472470023717386e-15
0.065,3.35679313625299e-10,2.0714216624032056e-12,4.2103937952499943e-16,8.7659916318227785e-17,1.5008276561087555e-16,5.0200991895828153e-16,1.7238002460960846e-15
0.0675,3.2494122640890902e-10,2.3721091080776917e-12,5.3534340137631341e-16,2.3832846664921085e-16,5.5101484779258577e-17,3.9399658558744156e-16,1.2269940385408816e-15
0.07,3.1416602670647028e-10,2.6892346626482468e-12,5.3643951880960799e-16,4.3946049667001968e-16,1.1400439874187855e-16,2.1808096205583326e-16,5.2547563977430601e-16
0.0725,3.0340813107258875e-10,3.0263679251668229e-12,4.4222893492202197e-16,5.6391380813606203e-16,3.2625025190853865e-16,1.3376400626225118e-16,2.8577672809096482e-16
0.075,2.9265886415081448e-10,3.3864835925906104e-12,3.1396824361488486e-16,5.4751944949081511e-16,5.8067816920520857e-16,2.6612484596294647e-16,8.7793474593421107e-16
0.0775,2.8187279101266428e-10,3.7703898326724176e-12,2.0770779182346641e-16,4.2003674652180973e-16,7.2160520887625027e-16,5.3643974378665279e-16,1.7802299068293844e-15
0.08,2.7109928027231801e-10,4.1757090189207742e-12,1.4839873389295694e-16,2.6218503349012568e-16,6.6183724712475151e-16,7.0942546384242373e-16,2.006233910559593e-15
0.0825,2.6042878365239717e-10,4.5967492429134134e-12,1.2739135906234917e-16,1.4149183105707876e-16,4.4683200215021408e-16,6.1467887492185245e-16,1.3286903525017385e-15
0.085,2.4993433488703077e-10,5.0257570434016232e-12,1.2129223441867059e-16,7.9170754262973172e-17,2.1216176481329581e-16,3.2331101862348238e-16,4.8425754971870892e-16
0.0875,2.3970045101148188e-10,5.453765116626664e-12,1.1987147212618756e-16,6.2376904753013745e-17,9.6848723064329589e-17,1.0838424429089358e-16,2.4980798026812572e-16
0.09,2.2981406877279163e-10,5.8719804635085614e-12,1.337290160136793e-16,6.7853215733022344e-17,1.5868441865595165e-16,1.8669571298586386e-16,6.9535543864610697e-16
0.0925,2.2034773273993382e-10,6.2723726641351048e-12,1.6984482611652134e-16,7.9636792700229695e-17,3.4166497480630665e-16,4.8906468436836622e-16,1.2580954242290747e-15
0.095,2.1134731172868367e-10,6.6477228315667e-12,2.0791237928060653e-16,9.1850451538169221e-17,5.1095901082961632e-16,7.2072270081721149e-16,1.3692935985336842e-15
0.0975,2.0284435287522122e-10,6.9915411553714405e-12,2.2009463203289953e-16,1.0265459470790984e-16,5.3880349617809825e-16,6.5790317962784e-16,9.5466692112891533e-16
