Physical Time (s),aphi_vol Monitor (W): cv1,aphi_vol Monitor (W): cv2,aphi_vol Monitor (W): cv3,aphi_vol Monitor (W): cv4,aphi_vol Monitor (W): cv5,aphi_vol Monitor (W): cv6,aphi_vol Monitor (W): cv7
0.0025,8.6627661103915456e-06,6.6048100496063996e-10,2.7917359157604714e-13,7.7083142666517217e-18,2.1008553820655735e-19,1.1208959484679258e-20,1.031616518568445e-22
0.005,4.3654742618520157e-06,8.2951878410206586e-09,1.2057783406014657e-10,8.0057540142165306e-15,3.282936060041709e-18,2.0469458826856552e-19,1.1928915738214169e-21
0.0075,2.4123096250663839e-06,1.0758603501080078e-08,7.1506748268397003e-10,1.7783692117659432e-12,3.9500426842091724e-16,3.5696523599548628e-18,2.0647471596731316e-20
0.01,1.7142414149860905e-06,9.9896384022593241e-09,1.677638120058044e-09,3.8648765401388987e-11,8.1303102554038926e-14,3.7876611514437865e-17,2.4496049136616865e-19
0.0125,1.3685914092593204e-06,8.2288440448052457e-09,2.5251300595498556e-09,2.1557319600981411e-10,2.558157044116875e-12,7.1338330886616498e-15,1.7974441343427089e-18
0.015,1.1695248938320087e-06,6.205701601539893e-09,2.6980951864148246e-09,5.2490911962453136e-10,2.503438804857199e-11,2.6453651250362357e-13,4.7277541313249895e-18
0.0175,1.0416828476093748e-06,4.5870296958282101e-09,2.5047600612076285e-09,7.274840303660719e-10,1.069649386813082e-10,3.432082960959182e-12,1.1721718906337374e-16
0.02,9.5590934552452149e-07,3.0206243808268228e-09,2.3417417080522194e-09,5.8538158124511435e-10,2.3058337438270234e-10,2.0444165547678564e-11,7.1046965925648821e-15
0.0225,8.9772907853865464e-07,2.474125909907643e-09,1.76305242021282e-09,5.3841408270327461e-10,2.7292806857721894e-10,6.7756982412372641e-11,1.1587160155516953e-13
0.025,8.5715811262545687e-07,2.5921509359573397e-09,1.2131633410937083e-09,9.2384657861353831e-10,1.8360680015318244e-10,1.3414282600123731e-10,9.4310480157869019e-13
0.0275,8.3205301322442558e-07,2.5415318501813244e-09,1.1165320191361327e-09,1.1206629927628329e-09,2.3868429759522577e-10,1.631254809788666e-10,4.7486848082711064e-12
0.03,8.2271148796246282e-07,2.4291677588056059e-09,1.110401430719637e-09,8.2786345208949849e-10,5.5897438812280914e-10,1.4621183438249772e-10,1.5934314587463331e-11
0.0325,8.2791185330263159e-07,2.4672013523961486e-09,9.3490255503558454e-10,5.9149166262368915e-10,7.7974948192631658e-10,2.0196068629012144e-10,3.6549788899084618e-11
0.035,8.4378594551098493e-07,2.7634606503993112e-09,7.097327538804355e-10,6.2878333835797117e-10,6.3548958345561922e-10,4.1205611295832545e-10,5.7618734957987972e-11
0.0375,8.6429045459561284e-07,3.1862292983771071e-09,5.6816252794601638e-10,6.7446374962023592e-10,3.8617078174629096e-10,6.4608412274191436e-10,6.3952529027558636e-11
0.04,8.8353018507791857e-07,3.5816694377250127e-09,4.9517676040363579e-10,5.2686425018737708e-10,3.7490496263838437e-10,7.3055911724066901e-10,6.437718943338059e-11
0.0425,8.9757644114388451e-07,3.8651446918144854e-09,4.6460900666996415e-10,3.0672759422143101e-10,4.7767287022500091e-10,6.5004714272047153e-10,1.0333452253527846e-10
0.045,9.0452559009008794e-07,4.0307555050587716e-09,4.3061791301758523e-10,1.6212271437514852e-10,4.3194797317265853e-10,5.5691825293341906e-10,2.0424115676246857e-10
0.0475,9.0380595238326327e-07,4.1220005059568715e-09,3.7559292203665383e-10,1.1477299078509691e-10,2.6939831603250309e-10,4.9983627277961796e-10,3.1421496663309853e-10
0.05,8.9591011504793108e-07,4.1972648780022354e-09,3.0225645263667088e-10,1.0584686516046347e-10,1.4426919149029007e-10,4.7367354998614842e-10,3.5282865526615613e-10
0.0525,8.8235389888461947e-07,4.3087664832292877e-09,2.2425444480746947e-10,9.7597698831610675e-11,1.0577050646581494e-10,4.4100138785714247e-10,3.3154442004501767e-10
0.055,8.6571617802093405e-07,4.4919102429329238e-09,1.6228424698703936e-10,7.9987040216199651e-11,1.0169154649396431e-10,3.6499413788548465e-10,3.1666555331743838e-10
0.0575,8.4945042663644259e-07,4.7694962020253159e-09,1.3553210703553393e-10,5.5998233792672416e-11,9.1085806355678669e-11,2.5941586087446534e-10,3.1595774215175369e-10
0.06,8.3723643831310631e-07,5.1670032626340467e-09,1.4746234818332844e-10,3.856476273575251e-11,7.0064953917777128e-11,1.7822107302170271e-10,2.925644051891076e-10
0.0625,8.3202144222671112e-07,5.7203835871949355e-09,1.8279530878089465e-10,4.2058117551414132e-11,4.824938520572932e-11,1.4739900454500317e-10,2.5617880015226469e-10
0.065,8.34969218112393e-07,6.4522721549030737e-09,2.2283933098905889e-10,6.7199982032504412e-11,3.7192164268181414e-11,1.354778574153437e-10,2.5121674392266489e-10
0.0675,8.4484829653383596e-07,7.3379816143891228e-09,2.6170741709875572e-10,9.6694251271980355e-11,4.3889954540096604e-11,1.1223174214441358e-10,2.6126450261470548e-10
0.07,8.5838307399200583e-07,8.3017910580514477e-09,3.0607013439425992e-10,1.1038659745338593e-10,6.5141673909036232e-11,8.25279122716569e-11,2.36223807471278e-10
0.0725,8.7145501671021375e-07,9.2510842561925793e-09,3.6144033780731466e-10,1.0492493024796731e-10,8.8340466098556631e-11,6.9982912291268932e-11,1.8827848279374068e-10
0.075,8.8071189622207218e-07,1.012203703026788e-08,4.1973577790505463e-10,9.4785747881457229e-11,1.0107908375985163e-10,8.737534594135636e-11,1.861208581305873e-10
0.0775,8.8478531060564746e-07,1.0905678511305026e-08,4.6230351627843751e-10,9.439144015771973e-11,1.0069299393152159e-10,1.2448167200984216e-10,2.4479905336249703e-10
0.08,8.8432963956984416e-07,1.1643013322417658e-08,4.7520553937190133e-10,1.0354529554274293e-10,9.3948952579315902e-11,1.5833331957413729e-10,2.8523242242315647e-10
0.0825,8.8118739575468268e-07,1.2392025172873428e-08,4.6035826587952442e-10,1.094890924752425e-10,8.6423699335044124e-11,1.6957439045111743e-10,2.5086410683730337e-10
0.085,8.7726421113262359e-07,1.3188224369755242e-08,4.3224141589413286e-10,1.0035059528099626e-10,7.7122567437684943e-11,1.5383323015528413e-10,1.673918945857466e-10
0.0875,8.7386682272652e-07,1.4037025716807969e-08,4.0991927386852688e-10,7.7338102569277437e-11,6.6438321394331305e-11,1.2714623653482628e-10,1.1169486939176462e-10
0.09,8.7157285632498182e-07,1.4914424893618317e-08,4.0656342534419311e-10,5.377710906000129e-11,6.0970370303531435e-11,1.1346571808055376e-10,1.264252300230377e-10
0.0925,8.7038326453490609e-07,1.5785734156282986e-08,4.2317002271399705e-10,4.464547550499182e-11,6.7307969131168558e-11,1.2260126402546812e-10,1.8243991361613273e-10
0.095,8.6996057098957032e-07,1.6625748486578777e-08,4.4931033102327592e-10,5.4555942207682783e-11,8.116843987094184e-11,1.3934545014237072e-10,2.1311414920253593e-10
0.0975,8.6984873555422667e-07,1.742541972234895e-08,4.7042934432458178e-10,7.3104795954798057e-11,8.6866040547786785e-11,1.3778124929352742e-10,1.8007459587668269e-10
0.1,8.696347412699147e-07,1.8191031014133437e-08,4.7678180176488252e-10,8.2423975384952524e-11,7.2422532628510242e-11,1.1056065750961964e-10,1.0718091105466406e-10
0.1025,8.6907243468236659e-07,1.89369379255005e-08,4.6744633939462787e-10,7.2468096944540709e-11,4.3659292053823782e-11,7.7232860703236539e-11,5.301616340194433e-11
0.105,8.6813840360733286e-07,1.9680049587733918e-08,4.4687015011828804e-10,4.9782574456755804e-11,2.0621066009284738e-11,6.3000781188303137e-11,4.9573048935355576e-11
0.1075,8.670035175020563e-07,2.0435715154912245e-08,4.188032921767365e-10,3.0935472166040238e-11,1.7274329086366636e-11,7.1047697814073507e-11,7.6579436862719374e-11
0.11,8.660118195701915e-07,2.1218683864937286e-08,3.8511079849006593e-10,2.6684382616696717e-11,2.7475637912377127e-11,8.1172183947160022e-11,9.3658704383764698e-11
0.1125,8.6549310553777877e-07,2.2042956496463672e-08,3.4789455278570621e-10,3.2762994542742094e-11,3.3709063154863825e-11,7.301753737285783e-11,8.3000812615046578e-11
0.115,8.656289597489471e-07,2.2924569218841133e-08,3.1317351338384595e-10,3.6326741700412888e-11,2.7622322556431719e-11,4.9453875924786402e-11,5.9608694563998454e-11
0.1175,8.6637797596342948e-07,2.3882219113746932e-08,2.9025947295046454e-10,2.9890488890723616e-11,1.7396668097599042e-11,3.1925128762050368e-11,4.6948251331504342e-11
0.12,8.6746390898444149e-07,2.493365003732021e-08,2.868672453178703e-10,1.8035230546437254e-11,1.4999871950483893e-11,3.6015462971837867e-11,5.2365597657342106e-11
0.1225,8.6843552274723819e-07,2.6084897301564523e-08,3.0486062019359991e-10,1.0831874411457603e-11,2.1272623608269897e-11,5.5895557434189446e-11,6.4938822138559592e-11
0.125,8.6878590964511223e-07,2.7327499799740177e-08,3.4012230527127005e-10,1.2457408968950133e-11,2.645000466046813e-11,7.2060340842691306e-11,6.9793190519409382e-11
0.1275,8.6809555963547163e-07,2.8643298494402288e-08,3.8440004518173652e-10,1.7737043577669879e-11,2.2998329409479687e-11,7.0934202678300578e-11,6.1799860213452412e-11
0.13,8.6618776247773911e-07,3.0010541451889926e-08,4.2827036334532009e-10,1.9474870744903812e-11,1.4164902965776802e-11,5.493431332628377e-11,4.7696795061016531e-11
0.1325,8.6321377060996698e-07,3.1413122569268024e-08,4.6466439293895058e-10,1.7164934785737934e-11,8.7232720370682188e-12,3.5900520774883375e-11,3.6836873081038183e-11
0.135,8.5963022441770979e-07,3.2842455740288605e-08,4.9267492385252537e-10,1.7403182292761867e-11,1.1954621057054316e-11,2.4448772068024024e-11,3.4219995889140644e-11
0.1375,8.5611252359754273e-07,3.4299200821750184e-08,5.1851969263138772e-10,2.6312114171650779e-11,2.1643133849504125e-11,2.3295896439035641e-11,3.8760494418853726e-11
0.14,8.5338396025788066e-07,3.5793470060726597e-08,5.5154420439665369e-10,4.284302982533909e-11,3.1132099992860033e-11,2.7982355680874556e-11,4.5380331410223933e-11
0.1425,8.5200562708448554e-07,3.7344872373288836e-08,5.9828930180523307e-10,5.9719787293593116e-11,3.5033669454880415e-11,3.1928626236870453e-11,4.8555180532178688e-11
0.145,8.5219357300288198e-07,3.8974248268262046e-08,6.5811594384683043e-10,6.9975368891627018e-11,3.2581919101291408e-11,3.1174378697558168e-11,4.5365347770093857e-11
