Physical Time (s),drag Monitor (N)
0.0025,0.00057875819668739973
0.005,-0.00019743427504175529
0.0075,-6.7585959909945836e-06
0.01,-1.8385923122551132e-05
0.0125,-5.8240558255903396e-06
0.015,-3.2191480847881664e-06
0.0175,-8.3642974416146529e-07
0.02,7.6155738917981234e-07
0.0225,1.8946285250001547e-06
0.025,3.1919871161850906e-06
0.0275,5.2867310808758183e-06
0.03,8.0546144237552631e-06
0.0325,1.0688105608481829e-05
0.035,1.2252028430185893e-05
0.0375,1.2307855571882858e-05
0.04,1.1129110855130656e-05
0.0425,9.3263499229161081e-06
0.045,7.4028395999795638e-06
0.0475,5.6340477497646802e-06
0.05,4.1507430452822645e-06
0.0525,3.0991651375090558e-06
0.055,2.7193185343078859e-06
0.0575,3.2589991325271097e-06
0.06,4.7805566982952018e-06
0.0625,7.0137287176151434e-06
0.065,9.3248724486043575e-06
0.0675,1.0982374229073736e-05
0.07,1.1488391979489302e-05
0.0725,1.0829850672060236e-05
0.075,9.4640972423662737e-06
0.0775,8.0294244591455326e-06
0.08,7.0244015065376467e-06
0.0825,6.6249446194567007e-06
0.085,6.7226677065100972e-06
0.0875,7.0825903823555554e-06
0.09,7.4842127268143485e-06
0.0925,7.7901584921473661e-06
0.095,7.9511697233346523e-06
0.0975,7.9793337954240059e-06
0.1,7.9168310625859769e-06
0.1025,7.8228247374997132e-06
0.105,7.7595436331796389e-06
0.1075,7.7761592997858967e-06
0.11,7.8919024467004687e-06
0.1125,8.0878169409539132e-06
0.115,8.3122797093002664e-06
0.1175,8.4931302929155014e-06
0.12,8.560189454832574e-06
0.1225,8.4686975308330061e-06
0.125,8.2167630271806853e-06
0.1275,7.8496361789015123e-06
0.13,7.4566522982016138e-06
0.1325,7.1487024483732216e-06
0.135,7.0249954704116694e-06
0.1375,7.1418279422836407e-06
0.14,7.4853370521977842e-06
0.1425,7.9704049687516089e-06
0.145,8.45408112574895e-06
0.1475,8.7782611636090693e-06
0.15,8.8176119644077615e-06
0.1525,8.5285403890322724e-06
0.155,7.9660991098893286e-06
0.1575,7.266459064159102e-06
0.16,6.6004297019027063e-06
0.1625,6.1246780884440419e-06
0.165,5.9402802128011207e-06
0.1675,6.073077806369633e-06
0.17,6.4716968643190738e-06
0.1725,7.0265350584599358e-06
0.175,7.604157391588134e-06
0.1775,8.0771624409868947e-06
0.18,8.3581158012674605e-06
0.1825,8.4123628957186176e-06
0.185,8.2610179447955851e-06
0.1875,7.9702975057782288e-06
0.19,7.6295722732008098e-06
0.1925,7.327912547910333e-06
0.195,7.1326032731234106e-06
0.1975,7.0795919319095927e-06
0.2,7.167418908429099e-06
0.2025,7.3565995480340377e-06
0.205,7.5858383484139467e-06
0.2075,7.7876233895443853e-06
0.21,7.9045429546888005e-06
0.2125,7.897804568941182e-06
0.215,7.7573618167408887e-06
0.2175,7.5019034874711e-06
0.22,7.1750186417508262e-06
0.2225,6.8327273245803847e-06
0.225,6.5312124002532598e-06
0.2275,6.3143240251190497e-06
0.23,6.2069566095967691e-06
0.2325,6.2145411208153053e-06
0.235,6.3195327145590876e-06
0.2375,6.4916735315181434e-06
0.24,6.6962827701137427e-06
0.2425,6.8985798200307985e-06
0.245,7.0684946041127787e-06
0.2475,7.1879559932238272e-06
0.25,7.2520491038771764e-06
0.2525,7.2676517442039267e-06
0.255,7.2497191205110007e-06
0.2575,7.2162039668088832e-06
0.26,7.1836836855036377e-06
0.2625,7.1641302262981021e-06
0.265,7.1629006113218262e-06
0.2675,7.1782916882482474e-06
0.27,7.2024120195374419e-06
0.2725,7.2234212526034616e-06
0.275,7.228470119657185e-06
0.2775,7.2073380146461435e-06
0.28,7.1547371102214437e-06
0.2825,7.071024739436874e-06
0.285,6.9632240252029439e-06
0.2875,6.8431801824775897e-06
0.29,6.7256652444085701e-06
0.2925,6.6247287026089841e-06
0.295,6.5521222815987135e-06
0.2975,6.5139509943780932e-06
0.3,6.5110800225384868e-06
0.3025,6.5392857879790198e-06
0.305,6.5904721777803257e-06
0.3075,6.6536194544555468e-06
0.31,6.7181935487508272e-06
0.3125,6.7748696934755118e-06
0.315,6.8174252574117374e-06
0.3175,6.8431812779192575e-06
0.32,6.8523123236483033e-06
0.3225,6.8471753116506053e-06
0.325,6.8320400891429546e-06
