Physical Time (s),ea_bot Monitor (W): bot_cv1,ea_bot Monitor (W): bot_cv2,ea_bot Monitor (W): bot_cv3,ea_bot Monitor (W): bot_cv4,ea_bot Monitor (W): bot_cv5,ea_bot Monitor (W): bot_cv6,ea_bot Monitor (W): bot_cv7
0.0025,1.7825935791609954e-22,2.4483911702329516e-25,-1.4160099198495094e-26,4.7331889732063981e-27,4.1759516614384459e-28,8.0551867481476504e-30,6.726749036975258e-33
0.005,3.8493205457561959e-18,-2.8278337461793007e-20,-5.9816948740378205e-21,-9.9874411931049117e-24,7.8541737754259873e-26,2.7861566867517225e-27,2.0007690656912972e-30
0.0075,1.6322682804958055e-15,-3.6364734631114502e-17,-7.2233498637351803e-18,-1.806143854111e-19,-1.988329521309186e-24,2.3971299614212952e-25,1.9336908686088782e-28
0.01,6.9992706732286457e-14,-3.4675054213029878e-15,-6.4457944416103461e-16,-7.1815663555320979e-17,-6.06089269853696e-20,1.8865959790109802e-24,1.1678495994935437e-26
0.0125,7.3890900297280317e-13,-7.1552169645210826e-14,-1.2255873868598326e-14,-3.7522077328569228e-15,-1.9494259674548032e-17,-5.7530045361088106e-21,2.697352424259646e-25
0.015,3.0314727768859154e-12,-5.4449588101244649e-13,-8.6699230513659722e-14,-5.3973286668203372e-14,-1.0890621499532712e-15,-2.1735727831086196e-18,1.3994423403916814e-24
0.0175,5.6255899249141982e-12,-1.9504078954702907e-12,-3.1781510360494247e-13,-3.0699371639543913e-13,-1.9014789658444494e-14,-1.4169221558432338e-16,-8.4822291221765087e-24
0.02,4.0902196641220367e-12,-3.429736657244617e-12,-7.5413866879845832e-13,-7.9239157962847167e-13,-1.3739883614822293e-13,-3.0979910336903539e-15,-1.8594300414989567e-20
0.0225,-4.1059110495740489e-14,-2.7856799283870423e-12,-1.2728523159204115e-12,-8.983892966197682e-13,-4.7775550506611714e-13,-2.9041404428699493e-14,-1.5346912951428999e-18
0.025,-2.7402194179075764e-12,-9.1452984070595016e-13,-1.2427732751167448e-12,-3.8994336191647242e-13,-8.2444010713567429e-13,-1.3838233954796843e-13,-4.0193972577682307e-17
0.0275,-4.8858291157373639e-12,-6.6246474017996163e-14,-2.6707093877316206e-13,-2.0078846046103452e-13,-6.458532866586934e-13,-3.6187799429068433e-13,-5.1718783019067204e-16
0.03,-5.4330681746221753e-12,1.7475346514011457e-14,5.3617226871048478e-13,-2.9603981934885898e-14,-1.8492155288253137e-13,-5.3026888465426916e-13,-3.774126289746395e-15
