Physical Time (s),ea_left Monitor (W)
0.0025,-5.1910224361676972e-15
0.005,-2.7798316891160868e-12
0.0075,-1.0975855508491918e-10
0.01,-1.0166169531341309e-09
0.0125,-3.8959107117959507e-09
0.015,-7.9199067309056274e-09
0.0175,-8.2539753414727806e-09
0.02,-3.0934196654408421e-09
0.0225,-8.4060848006946731e-11
0.025,-4.1234281103468051e-09
0.0275,-7.9543486762047252e-09
0.03,-6.7741001879325454e-09
0.0325,-3.7666794321459627e-09
0.035,-1.4888349374039501e-09
0.0375,-3.4302831634593943e-10
0.04,-1.5378624088895487e-10
0.0425,-6.952946240768954e-10
0.045,-1.3486398786697475e-09
0.0475,-1.3928215062627958e-09
0.05,-8.2228940377291395e-10
0.0525,-2.5585266437642512e-10
0.055,-3.3740613820679958e-11
0.0575,-5.1777505091929894e-12
0.06,-4.5165938441188139e-11
0.0625,-2.1950230549044996e-10
0.065,-5.0929233695991675e-10
0.0675,-7.3611322431326788e-10
0.07,-7.5841330201431506e-10
0.0725,-5.9437889179282421e-10
0.075,-3.5983497277840073e-10
0.0775,-1.6010769466662737e-10
0.08,-4.3008281236003448e-11
0.0825,-8.0986056856094931e-12
0.085,-3.0745447383528119e-11
0.0875,-7.8421000327188675e-11
0.09,-1.1993915339982697e-10
0.0925,-1.3378305643223913e-10
0.095,-1.1581178016561161e-10
0.0975,-8.0714814116260027e-11
0.1,-5.352109673333944e-11
0.1025,-5.6684892506759799e-11
0.105,-1.0029728097897008e-10
0.1075,-1.783783140457403e-10
0.11,-2.7094058082509027e-10
0.1125,-3.5167207103144765e-10
0.115,-3.9850730125381827e-10
0.1175,-4.0203326634108458e-10
0.12,-3.6767329743600826e-10
0.1225,-3.099843435337728e-10
0.125,-2.4462714054492078e-10
0.1275,-1.8268906080497037e-10
0.13,-1.3012792156358041e-10
0.1325,-8.9760971597037557e-11
0.135,-6.2706803570348301e-11
0.1375,-4.8357730647095984e-11
0.14,-4.3783583768766368e-11
0.1425,-4.42972766315562e-11
0.145,-4.5421592407571771e-11
0.1475,-4.4961618228921746e-11
0.15,-4.3582384527413757e-11
0.1525,-4.3759346326251197e-11
0.155,-4.8271590153632771e-11
0.1575,-5.9364078935257153e-11
0.16,-7.8921133275846729e-11
0.1625,-1.0930989472449468e-10
0.165,-1.5418030086772929e-10
0.1675,-2.184406935150902e-10
0.17,-3.0683771178490959e-10
0.1725,-4.2084585691178303e-10
0.175,-5.5440473378385153e-10
0.1775,-6.9052826202267125e-10
0.18,-8.016735380223179e-10
0.1825,-8.5654926883133747e-10
0.185,-8.320206565538166e-10
0.1875,-7.2481294166924982e-10
0.19,-5.5687232287604904e-10
0.1925,-3.688518276017382e-10
0.195,-2.0505027635633489e-10
0.1975,-9.7843062881616068e-11
0.2,-5.7536272601471001e-11
0.2025,-7.0686230390719459e-11
0.205,-1.0951958110720593e-10
0.2075,-1.4656682413259924e-10
0.21,-1.650022010124685e-10
0.2125,-1.6107447018566488e-10
0.215,-1.4093629956197337e-10
0.2175,-1.1518166440469099e-10
0.22,-9.3725458168331575e-11
0.2225,-8.2898483762476299e-11
0.225,-8.539276316126637e-11
0.2275,-1.0202118696194785e-10
0.23,-1.3359790256585696e-10
0.2325,-1.8158150586725523e-10
0.235,-2.4761498851354577e-10
0.2375,-3.3221719973393674e-10
0.24,-4.3282995879273726e-10
0.2425,-5.419011728038083e-10
0.245,-6.4625986324491187e-10
0.2475,-7.2883335910359919e-10
0.25,-7.726408771852141e-10
0.2525,-7.6604011609088307e-10
0.255,-7.0725294576233886e-10
0.2575,-6.0600976016023794e-10
0.26,-4.8105957656593506e-10
0.2625,-3.5470797428257931e-10
0.265,-2.4618071950681364e-10
0.2675,-1.6671438419250518e-10
0.27,-1.1802324049383097e-10
0.2725,-9.4248907502944534e-11
0.275,-8.6107302244922525e-11
0.2775,-8.50367523328974e-11
0.28,-8.5680214363668382e-11
0.2825,-8.633219694955533e-11
0.285,-8.7888496143515297e-11
0.2875,-9.2291604460800341e-11
0.29,-1.0127107980886028e-10
0.2925,-1.1575670147651011e-10
0.295,-1.3586934631639052e-10
0.2975,-1.6111952195861505e-10
0.3,-1.9063460389210518e-10
0.3025,-2.2322643872288186e-10
0.305,-2.5732458835198488e-10
0.3075,-2.9086460101363031e-10
0.31,-3.2127694744079724e-10
0.3125,-3.4565508000443051e-10
0.315,-3.6118758105720935e-10
0.3175,-3.6572432976566946e-10
0.32,-3.5835232751629162e-10
0.3225,-3.3980622944207903e-10
0.325,-3.124222062286354e-10
0.3275,-2.7974419540639154e-10
0.33,-2.4577357318645477e-10
0.3325,-2.1412892358442254e-10
0.335,-1.8742695855549914e-10
0.3375,-1.6708921210344842e-10
0.34,-1.5356049861964322e-10
0.3425,-1.4671521990096261e-10
0.345,-1.462940711383519e-10
0.3475,-1.5214027260853259e-10
0.35,-1.6417797395444073e-10
0.3525,-1.8226231868448747e-10
0.355,-2.0584629366627399e-10
0.3575,-2.3377380781051085e-10
0.36,-2.6422658494098223e-10
0.3625,-2.948445938744592e-10
0.365,-3.229641250191311e-10
0.3675,-3.4595684745496713e-10
0.37,-3.6157032691147163e-10
0.3725,-3.6824863317799435e-10
0.375,-3.6532883324763075e-10
0.3775,-3.5313883941011753e-10
0.38,-3.3291514208044779e-10
0.3825,-3.0664602040066026e-10
0.385,-2.7680838445831601e-10
0.3875,-2.4601304640537214e-10
0.39,-2.1663739319529665e-10
0.3925,-1.9053720640433909e-10
0.395,-1.6888708904554063e-10
0.3975,-1.5214987513100959e-10
0.4,-1.4016851196670922e-10
0.4025,-1.3239091697441717e-10
0.405,-1.2816915392684094e-10
0.4075,-1.2709394015644524e-10
0.41,-1.2926574339329707e-10
0.4125,-1.3545415251906589e-10
0.415,-1.4705117839967785e-10
0.4175,-1.6579714323141272e-10
0.42,-1.9332202335523196e-10
0.4225,-2.3055817704097248e-10
0.425,-2.7713399342808486e-10
0.4275,-3.3101602794245901e-10
0.43,-3.8850383910529932e-10
0.4325,-4.4463438223556336e-10
0.435,-4.9390241828592372e-10
0.4375,-5.311508202978877e-10
0.44,-5.5252684981992959e-10
0.4425,-5.5608549663608393e-10
0.445,-5.4200289111414863e-10
0.4475,-5.1237416374982642e-10
