Physical Time (s),ea_right Monitor (W): right_cv1,ea_right Monitor (W): right_cv2,ea_right Monitor (W): right_cv3,ea_right Monitor (W): right_cv4,ea_right Monitor (W): right_cv5,ea_right Monitor (W): right_cv6,ea_right Monitor (W): right_cv7
0.0025,1.5089182887069891e-08,6.2415926398331467e-12,1.5052281494637779e-18,7.271687320609372e-19,2.52829127904725e-20,1.4199229499897523e-22,3.3558724261614963e-25
0.005,1.0072693346402573e-07,7.3170396338058348e-10,8.9384650876626404e-14,9.1784521589935115e-18,1.2171144923571975e-18,5.4315909157085351e-21,9.5500447167656154e-24
0.0075,7.7985396673605572e-08,5.0968423543795403e-09,1.4280920711739344e-11,4.0675490220536982e-15,1.7882533423586324e-17,1.1003681998958894e-19,1.4930876937962084e-22
0.01,8.742532348172844e-09,1.4280491706488903e-08,2.8215862387930594e-10,7.6104666199654808e-13,1.2931006209369454e-16,1.6744077706995778e-18,1.542896140492878e-21
0.0125,2.6363477688999131e-08,1.9027447803259816e-08,1.638362584625247e-09,2.2227367557054285e-11,5.3857241693721473e-14,1.3968199644456118e-17,1.1990105698593167e-20
0.015,3.9118133048210282e-08,8.8652506096921951e-09,4.5040292798175106e-09,2.2039575424370713e-10,2.070852720256209e-12,2.9702552099240926e-17,7.3407404163603006e-20
0.0175,3.1185001746130896e-08,5.6007373320842823e-10,6.6470880967501371e-09,1.0129388118369331e-09,2.8386481013600377e-11,6.0360839456227869e-16,3.7365707489462766e-19
0.02,1.9834562480081477e-08,6.1699573520029315e-09,4.4545294363963057e-09,2.515195503357986e-09,1.8868386749908589e-10,5.2535340920173179e-14,8.8952487144241716e-19
0.0225,1.4302439734413616e-08,7.6518255171724385e-09,4.9218417451733322e-10,3.4638926706822931e-09,6.9664776177758965e-10,9.4762192655114586e-13,2.9398300501131002e-19
0.025,1.4622930453483712e-08,2.9839535341540229e-09,1.2277235458868883e-09,2.2403653004447175e-09,1.5354344266094061e-09,8.4865545394033279e-12,5.532663627197269e-17
0.0275,1.6902947947118677e-08,6.1055975393688427e-10,5.2145571736762229e-09,2.1520181747423787e-10,1.9832826974906362e-09,4.7012275585058426e-11,1.5693268518081976e-15
0.03,1.7894480059190641e-08,1.0326838519411135e-09,4.7470638740342538e-09,8.0187530777396538e-10,1.2518498707642086e-09,1.7385673548359325e-10,2.2097560053190038e-14
0.0325,1.7034660141840373e-08,1.9199082534210227e-09,1.4913425473296448e-09,3.6571642513263547e-09,1.1782192155244925e-10,4.4155894312531702e-10,2.0613318389006097e-13
0.035,1.5703937984022831e-08,2.1948398886418844e-09,1.7256072035886913e-10,4.2806203132971386e-09,4.7794298213514718e-10,7.6498274219444315e-10,1.3995937548205407e-12
0.0375,1.5305895877356371e-08,1.9927740416921958e-09,6.6516879933192212e-10,1.9950778385087592e-09,2.3666493513322853e-09,8.4838180134420797e-10,7.2406178701819301e-12
0.04,1.6087208962160002e-08,1.6320456244207302e-09,1.0429519103888254e-09,2.3755878696023552e-10,3.2223967336037125e-09,4.8493552158785868e-10,2.9244956342644698e-11
0.0425,1.7486821416469814e-08,1.3085335526739084e-09,8.1179961204954754e-10,2.6586370261270377e-10,1.9080696879208498e-09,3.6279958511360849e-11,9.3409139071915642e-11
0.045,1.8835564989227138e-08,1.0924862805574234e-09,3.7795964539679066e-10,6.916187293626634e-10,3.701344713897767e-10,2.2357345622285824e-10,2.368359989470088e-10
0.0475,1.9698209097870683e-08,9.8070749210709682e-10,8.5987966079975654e-11,5.9475921427121287e-10,9.7972226389222681e-11,1.0825641160855694e-09,4.7498511156354482e-10
0.05,2.0015122597405088e-08,9.0270780674126319e-10,3.9187505883246091e-11,2.2843538216397516e-10,4.4659227326374449e-10,1.6501128432894924e-09,7.4457136024337753e-10
0.0525,2.0139180617974361e-08,7.5812253533329463e-10,1.8944668889626426e-10,1.2837458054050318e-11,4.6728249253252831e-10,1.2346678904353408e-09,8.868949332422264e-10
0.055,2.0671957606699085e-08,5.1410776516406938e-10,3.9845296856135564e-10,6.2457505456285761e-11,1.8073324958514585e-10,3.9276830084062649e-10,7.5221815229563831e-10
0.0575,2.2148078174765442e-08,2.6602692056031311e-10,4.9893046072595339e-10,2.809279873910399e-10,3.3540416165738211e-12,2.7989031171220239e-11,3.7802901511835098e-10
0.06,2.4777890624628413e-08,1.7448664580207181e-10,4.0199764595599539e-10,5.000214337029907e-10,8.7215459882010854e-11,1.8866960755988078e-10,4.726028017649397e-11
0.0625,2.8392455754927815e-08,3.379746517515002e-10,1.7864852355012996e-10,5.6521392021356236e-10,3.0895942577947055e-10,3.4880256929642183e-10,6.548656115831518e-11
