Physical Time (s),ea_top Monitor (W): top_cv1,ea_top Monitor (W): top_cv2,ea_top Monitor (W): top_cv3,ea_top Monitor (W): top_cv4,ea_top Monitor (W): top_cv5,ea_top Monitor (W): top_cv6,ea_top Monitor (W): top_cv7
0.0025,2.0011128794734374e-22,8.3010479111889905e-25,-1.1251468140189287e-26,4.4058823745342199e-27,2.2428371084159853e-28,7.6014990148584487e-30,5.7681356291351558e-33
0.005,3.915841120479172e-18,-2.737128871481915e-20,-5.6070486216400758e-21,-8.4548237944395069e-24,5.6174942788099824e-26,2.3736305098084589e-27,1.1018658620939065e-30
0.0075,1.6385435422133202e-15,-3.6462617791636326e-17,-7.0633509183210258e-18,-1.7922370650246045e-19,-3.2226699492017158e-24,1.8218326509656419e-25,7.8117491433022585e-29
0.01,7.0066202798530397e-14,-3.4794378261975981e-15,-6.3950871767876677e-16,-7.1322167864158122e-17,-6.1451655498094528e-20,1.1347499651651681e-24,4.3814467670590544e-27
0.0125,7.3910116291303436e-13,-7.1733113297571083e-14,-1.2241446438259259e-14,-3.7425512256820371e-15,-1.9466987924287838e-17,-6.0360635638954158e-21,1.1554528730190777e-25
0.015,3.0359347954342012e-12,-5.4536249424685094e-13,-8.679322326808352e-14,-5.3923680356797104e-14,-1.0853058037580188e-15,-2.1914905063259433e-18,5.1934646030748051e-25
0.0175,5.6454426725954762e-12,-1.9518960617637753e-12,-3.1801710910758669e-13,-3.0692555684573104e-13,-1.899528445395679e-14,-1.4163345844342858e-16,-1.3152097946562982e-23
0.02,4.0878733963588091e-12,-3.4338877907597608e-12,-7.5381576286535381e-13,-7.9099146242958532e-13,-1.3831339502475801e-13,-3.0913785341810046e-15,-1.7563104889437409e-20
0.0225,-6.1414827723194289e-14,-2.7825920226221862e-12,-1.2783350577549262e-12,-8.9166433644968907e-13,-4.802789403086175e-13,-2.9031877675099678e-14,-1.4199201409653122e-18
0.025,-2.729217903138173e-12,-9.1541898130915328e-13,-1.2443745019994642e-12,-3.8552655581969256e-13,-8.2281604626528364e-13,-1.387231258742072e-13,-3.8467047891642964e-17
0.0275,-4.8448415190003809e-12,-6.924411550148269e-14,-2.6525502166522341e-13,-2.0041780871424411e-13,-6.3597885110147482e-13,-3.6237279342599314e-13,-5.0793387006651305e-16
0.03,-5.3957299830096392e-12,1.659602022956303e-14,5.2842669773370689e-13,-2.7532287806615926e-14,-1.7961955433415617e-13,-5.2876955374386532e-13,-3.7653904783331899e-15
0.0325,-3.9683669562013248e-12,2.1069413758017943e-15,4.6435103371766134e-13,8.0789132118931529e-13,-2.596031237930882e-14,-4.3969395275710342e-13,-1.6723195445511259e-14
0.035,-1.9759429400647856e-12,-3.7419189301598714e-15,1.5520355114537693e-13,1.2482333530928557e-12,3.4624826054331387e-13,-2.4129740727952094e-13,-4.5498782940616653e-14
0.0375,-1.5483494873105974e-13,-2.315137350799425e-14,2.05888438834997e-14,7.5654231055334125e-13,1.0641772562079776e-12,-4.5931029326008309e-14,-7.4149609754319279e-14
0.04,1.1420267649364093e-12,-1.095457723213523e-13,-1.1804976266409971e-14,1.8911439271756424e-13,1.1646980480925578e-12,3.5941201445825612e-13,-6.6548441487737048e-14
0.0425,1.3848492802655596e-12,-3.3475880805726524e-13,-7.3627099727539045e-14,1.1633756738944038e-14,5.7750088345941094e-13,8.5448123785680335e-13,-2.6280604904675816e-14
0.045,7.0423350966503891e-13,-6.7378842737483564e-13,-2.3028799117803287e-13,-1.5172302487009606e-15,1.1730135613527031e-13,1.0169802931210173e-12,2.741946711901192e-15
0.0475,6.471846577997936e-14,-9.3408628936638925e-13,-4.795526488411424e-13,-9.1376330351156505e-15,2.8779679853170145e-15,7.9967596205659633e-13,4.0820728333657642e-14
0.05,2.7268763189560141e-14,-8.8534005272029206e-13,-7.1426325048118242e-13,-3.8075142935022086e-14,-1.0051948191083854e-14,4.3218980481871121e-13,1.258809646773531e-13
0.0525,2.2901417676513086e-13,-5.3176161712206996e-13,-7.5733623047145343e-13,-1.3434432480500096e-13,-1.1115498412609432e-14,1.1990880445374813e-13,1.6371256836314144e-13
0.055,2.5325654256822214e-13,-1.6552832568930776e-13,-5.3709761331865035e-13,-2.6591478797565476e-13,-1.5279392371086412e-14,-1.461255299312884e-14,6.6244321788517443e-14
0.0575,1.6014462276097325e-13,-1.4765455229302719e-14,-2.1946490628728294e-13,-2.9864899490259558e-13,-6.4766628140146794e-14,-2.1296596488612129e-14,-5.1681180533971903e-14
0.06,7.7032451848239735e-14,1.5445381945700382e-15,-3.4428346469241817e-14,-1.7830986957424027e-13,-1.2189831980850639e-13,-3.2314444603942832e-14,-6.4159933627247458e-14
0.0625,1.9648040468020519e-14,1.5985202544937268e-14,2.7504716213451976e-15,-3.1716895404361782e-14,-9.8330637236746764e-14,-6.9383903736782316e-14,-6.2461329990846872e-14
0.065,7.439515163924133e-14,1.6234862889219833e-14,2.4923170824684439e-14,1.386985853116933e-14,-9.7944971769413273e-15,-6.7441470119600326e-14,-1.5083447840581283e-13
0.0675,2.4936013484579672e-13,6.3739676521713421e-15,6.0764866435039856e-14,1.1932857450080766e-14,3.3267970784557656e-14,-1.6187599087123942e-14,-1.93655908419901e-13
0.07,3.5595992214591199e-13,3.062263693377712e-14,5.9144664649441182e-14,6.4787909531926256e-14,1.056324666680356e-14,1.8010189252198277e-14,-7.1038123251322549e-14
0.0725,2.6594100976047394e-13,3.8875311942295625e-14,3.0213606609070101e-14,1.3678808916702755e-13,3.4182602612756857e-14,5.8391175703476681e-15,4.2095203655827305e-14
0.075,5.8578006925134601e-14,-3.8042664484604216e-14,3.8993549862577098e-15,1.3614342813252237e-13,1.5031416125792121e-13,2.475920892801844e-14,6.8862005730814142e-14
0.0775,-1.3058767948368237e-13,-1.584611288116464e-13,-2.4096985248639904e-14,6.0413255470777426e-14,2.3113452421258291e-13,1.3250105370928978e-13,3.2292871182118484e-13
0.08,-2.4004628666170031e-13,-2.3173887905739107e-13,-4.5128468748155718e-14,-3.2584764649441225e-14,1.4847847364349243e-13,2.2401929774929746e-13,8.8175602785688695e-13
0.0825,-2.6584137107653437e-13,-2.2815439789412015e-13,-4.031887009780916e-14,-1.1059800596227389e-13,-4.6098797969989645e-14,1.6877410651243733e-13,1.2051630852095733e-12
0.085,-2.2188772148673925e-13,-1.7984730281533531e-13,-3.0472755760227442e-14,-1.756053319398005e-13,-1.9057472659075237e-13,3.4682006220243164e-14,9.0512369881841511e-13
0.0875,-1.4424942425500202e-13,-1.268668164819553e-13,-4.8428362685414691e-14,-2.2403363559111035e-13,-1.9516617960173507e-13,-2.2258624620422138e-14,3.283760186543547e-13
0.09,-9.065272744692852e-14,-8.8764964289191606e-14,-7.9816057438055474e-14,-2.2373497340083343e-13,-1.0633266011135973e-13,-1.6665994379036244e-14,-3.5888734283917182e-15
0.0925,-1.0029528355793265e-13,-6.7966688480076314e-14,-8.1809829196982335e-14,-1.5434861555317665e-13,-2.7053955222607936e-14,-6.4911358538988298e-14,-3.6569252035744908e-14
0.095,-1.5309896406913545e-13,-6.1358212738926032e-14,-4.6709085592659534e-14,-5.9911423404565621e-14,-1.0328380193213649e-14,-1.4589061848303718e-13,-1.4973716177180644e-14
0.0975,-1.8614320601914129e-13,-6.7187644361677904e-14,-1.1267181481510684e-14,-7.7230031949790262e-15,-2.6225457212225037e-14,-1.512587948894739e-13,-4.6580352760019395e-14
0.1,-1.5346363793865068e-13,-8.5503131769414587e-14,-6.2907368434808487e-15,-2.9176061276023113e-16,-1.9294517402870381e-14,-8.1647958443057189e-14,-6.465790041592137e-14
0.1025,-5.9853336618096347e-14,-1.1468886564300281e-13,-2.6750204246619254e-14,1.2956557631125853e-14,1.7952956291379053e-14,-1.9053808240794538e-14,-3.443118307598288e-14
0.105,6.5428641585488339e-14,-1.4765794234695963e-13,-6.1112968023628239e-14,4.4394426091044045e-14,4.73144254809781e-14,4.2154808343804171e-15,-4.3410654276222425e-15
0.1075,2.1460546464402225e-13,-1.7116869682334233e-13,-1.2363241310081457e-13,4.8853403247129448e-14,4.5209386947447381e-14,5.2227805884203273e-15,-1.4495727393397655e-15
0.11,4.1048077005093228e-13,-1.7055559565058005e-13,-2.3051771187331986e-13,-1.8406328910831056e-15,2.5263543788090482e-14,2.1169600147114453e-15,3.8602390514470864e-15
0.1125,6.7409603620030969e-13,-1.382078845086463e-13,-3.5393133573206558e-13,-7.5823255352165027e-14,7.9575833160841761e-15,1.0376525719411557e-14,3.247628545984137e-14
0.115,9.9474155486229724e-13,-7.8816051893573213e-14,-4.290197008500696e-13,-1.2343252054737179e-13,-1.5128617786474731e-15,3.0962396240635019e-14,6.6609858782397945e-14
0.1175,1.333666108905643e-12,-8.1579800992568813e-15,-4.1363496542668846e-13,-1.2926375235557465e-13,-8.4522191818386132e-15,3.8801024598657568e-14,8.65088954578083e-14
0.12,1.6457671625310334e-12,5.3635443468358848e-14,-3.260507224905837e-13,-1.1088474723082942e-13,-2.087780093346802e-14,1.3577248541844654e-14,8.7151378253457441e-14
0.1225,1.8874254032638014e-12,8.9649587975359658e-14,-2.203730147596989e-13,-8.888731366452995e-14,-4.389423476498038e-14,-3.1947781177544236e-14,5.7084939275706516e-14
0.125,2.0119660544652236e-12,9.26611933562719e-14,-1.3937432699384494e-13,-7.1432248202125454e-14,-7.1896946696148301e-14,-6.8270387794078982e-14,-1.4107543635782101e-14
0.1275,1.9756874458016018e-12,6.3931123188740782e-14,-9.7352315965986952e-14,-5.8901053528890582e-14,-8.910762320668974e-14,-7.7487730404429092e-14,-9.7701452395067139e-14
0.13,1.7601220862457884e-12,5.1019336648535935e-15,-9.383811951209341e-14,-5.2803480422020507e-14,-8.3773998954463893e-14,-6.1217280621337609e-14,-1.3418521091192189e-13
0.1325,1.382871756840307e-12,-9.0568933935609981e-14,-1.3025579454901743e-13,-5.5976665442088505e-14,-5.9894706976884661e-14,-3.3709352247657219e-14,-9.9993215441079402e-14
