Physical Time (s),ek_vol Monitor (J): cv1,ek_vol Monitor (J): cv2,ek_vol Monitor (J): cv3,ek_vol Monitor (J): cv4,ek_vol Monitor (J): cv5,ek_vol Monitor (J): cv6,ek_vol Monitor (J): cv7
0.0025,1.7525672694975851e-07,3.2451104293799517e-10,1.1695179251815298e-13,7.5706843699805711e-19,5.4766248359489562e-20,2.2681426885858237e-21,1.5893096600872186e-23
0.005,1.4761096405675929e-07,3.7727593615725119e-09,2.3899425907878693e-11,2.1244389996097198e-15,1.4877497599751386e-18,1.012348206174872e-19,5.572013935172224e-22
0.0075,1.2091367495466005e-07,8.5814533153196395e-09,2.7035222839016318e-10,4.6967832868071433e-13,8.0965715760582948e-17,1.9067764185717317e-18,1.1064794552164361e-20
0.01,1.0299257428932479e-07,8.6579225705782136e-09,1.1292173922580241e-09,1.2944135553654349e-11,2.3528945587515856e-14,9.3760772786240919e-18,1.609466738455758e-19
0.0125,9.1558853435005723e-08,6.5080346793115294e-09,2.5863431309901361e-09,1.0662987168795219e-10,9.1258432919304255e-13,2.022474943374107e-15,1.4214855973494719e-18
0.015,8.0703494192749411e-08,4.7243465574525584e-09,3.4479715718365852e-09,4.1739589830993659e-10,1.1809181734257459e-11,9.8180771114435632e-14,5.4012620248676236e-18
0.0175,7.0193632666721062e-08,3.5754678443763944e-09,2.8091665448228501e-09,9.4193176766928555e-10,7.1735773194413434e-11,1.6284556337381437e-12,2.6825900592159731e-17
0.02,6.2850275124044589e-08,2.41771256741587e-09,1.5983358486583846e-09,1.2531817231657792e-09,2.4250565930549975e-10,1.3266734510641558e-11,2.8192539895922105e-15
0.0225,6.0087336678223266e-08,1.2520440741870624e-09,1.0851540676479397e-09,9.4371114309734653e-10,4.951601910763271e-10,6.1796963932023513e-11,6.0595982441219149e-14
0.025,5.9669171200776258e-08,7.6312409503972999e-10,1.075649206770833e-09,4.2816683125064278e-10,6.1225016770085652e-10,1.8260808554821e-10,6.2172134333448196e-13
0.0275,5.9822278991153956e-08,8.3189156016735625e-10,8.7335501870503584e-10,4.6424480727346775e-10,4.2334938029596623e-10,3.5904207631945572e-10,3.9535128320801371e-12
