Physical Time (s),enth_flux_enthalpy_bot Monitor (W): bot_cv1,enth_flux_enthalpy_bot Monitor (W): bot_cv2,enth_flux_enthalpy_bot Monitor (W): bot_cv3,enth_flux_enthalpy_bot Monitor (W): bot_cv4,enth_flux_enthalpy_bot Monitor (W): bot_cv5,enth_flux_enthalpy_bot Monitor (W): bot_cv6,enth_flux_enthalpy_bot Monitor (W): bot_cv7
0.0025,3.2980146239518657e-14,2.1193363246553966e-17,2.2705616083570925e-17,2.6112276259163409e-17,2.8788685933128601e-18,5.344402663508969e-19,3.1067953978935863e-20
0.005,2.8703305965122059e-11,2.1471852579115774e-13,1.803105125754163e-13,3.3464582482474542e-16,9.7553291632420109e-17,1.4037628754852549e-17,5.5332871741730392e-19
0.0075,1.4210664896727624e-09,2.1866104649881555e-11,2.9660193808153364e-11,5.7018191958330873e-13,-9.6405931549705638e-16,-1.0605000129605382e-15,-8.4560170700530615e-17
0.01,1.4337126922058725e-08,3.7263081530499452e-10,7.1818696617446909e-10,4.4274450486951251e-11,5.2561575313631881e-13,-3.5923511696695419e-14,-3.5198460564189605e-15
0.0125,5.3298080667286869e-08,2.365126269076913e-09,5.6872981974301275e-09,7.8767090166274626e-10,2.8149252833156668e-11,4.2770569402543871e-13,-4.9516753554900081e-14
0.015,9.5927653335475785e-08,8.3771608565352317e-09,2.2496125565091948e-08,5.7699433219154024e-09,4.4627748817997385e-10,2.3800532032186184e-11,-3.2027232149757904e-13
0.0175,7.3437116946987714e-08,1.903076840219937e-08,5.3834275937286031e-08,2.2741808703775616e-08,3.2517174266422658e-09,3.0602432853870169e-10,-4.5314385118075259e-13
0.02,-2.6135093294180914e-08,2.7168774317452977e-08,8.0966440593461187e-08,5.4779791946256691e-08,1.3368194791200289e-08,2.0222665522509967e-09,1.2212579652613111e-11
0.0225,-5.3137151197483534e-08,2.2398782976176478e-08,7.1959286962616265e-08,8.2390459597055653e-08,3.3434941014597149e-08,7.7077514726743983e-09,9.7700783996903329e-11
0.025,5.3387450707496364e-08,1.0661365979774998e-08,3.4414158954897356e-08,7.5471738196107124e-08,5.3559518207160823e-08,1.9042487082631034e-08,3.8505893610211867e-10
0.0275,1.361678703233631e-07,2.2574143556505217e-09,4.10590270347969e-09,3.6432244884618893e-08,5.3464821473980601e-08,3.1735241193131599e-08,9.7763666598978352e-10
0.03,9.996989284454453e-08,-2.8822830623099317e-10,-4.9455242952483601e-09,4.4240335157019621e-09,2.8615468665526253e-08,3.5009677641466885e-08,1.6833184165671073e-09
0.0325,1.788345320651739e-08,-3.6735216974109756e-11,-1.7032888808129063e-10,3.899721903117049e-09,4.0853963169444206e-09,2.2432739874039361e-08,1.8830620329855199e-09
0.035,-2.3083500351716951e-08,-3.3152435394778973e-10,6.9863700035037403e-09,2.2195415165109556e-08,6.366562404249783e-09,3.6847848847310529e-09,9.2898789245634325e-10
0.0375,-4.5527595249537153e-09,-2.6703223692517779e-09,7.3181360608628296e-09,3.4512681878882597e-08,3.1074309312347979e-08,-7.6178312585635258e-10,-9.8926296564259901e-10
0.04,3.7865528034652996e-08,-7.6876185939031461e-09,-2.8127809594171326e-09,2.9040888510026208e-08,5.0446126218778811e-08,1.8955685316124614e-08,-2.4997381778841651e-09
0.0425,5.9331776262797504e-08,-1.4258614776004318e-08,-1.9503759211454142e-08,9.3873243723944129e-09,4.5113372664666047e-08,4.8388554537139651e-08,-1.6935287739148142e-09
0.045,4.4767284309692535e-08,-1.9447640458539781e-08,-3.3611778628277628e-08,-1.1854113802801564e-08,2.0976115800214054e-08,6.06423944010587e-08,1.8277458446292548e-09
0.0475,1.4338373964446972e-08,-2.0105884985505491e-08,-3.7563835501334808e-08,-2.2814934392889647e-08,-1.5057441116104695e-09,4.5021750300467545e-08,5.7410468210614097e-09
0.05,-6.9999235227165438e-09,-1.4779218080717917e-08,-3.0010981472189092e-08,-2.0453386786746051e-08,-8.7005667964865343e-09,1.7631466738705441e-08,6.8657973994660458e-09
0.0525,-1.493711842350857e-08,-5.5946131208433861e-09,-1.5620602616038764e-08,-1.0450200592823519e-08,-2.7360485499964214e-09,2.1891706199399898e-09,4.4704148938958624e-09
0.055,-2.0170817595350683e-08,2.1423595694116591e-09,-1.7908055019333891e-09,-7.145759506527312e-10,5.7888801528874836e-09,6.2819477733434127e-09,9.8656691844954193e-10
0.0575,-2.8383290933352771e-08,3.6717453961006739e-09,5.2827739822647447e-09,4.1923470665414667e-09,9.1403860009197819e-09,1.8295392115234391e-08,-6.9016381087736694e-10
0.06,-3.3690249026383398e-08,-9.3735699374397888e-10,3.7038886467829491e-09,4.0218460011273513e-09,6.7583597959698617e-09,2.3065521061641657e-08,-1.3187446198727112e-12
0.0625,-2.8590461722384956e-08,-6.6503342286521656e-09,-3.1764760246156027e-09,9.1093241359940236e-10,2.433970752700357e-09,1.6005368837653687e-08,1.1138141636418167e-09
0.065,-1.4363147156459899e-08,-8.1116922113716237e-09,-8.8749156631143833e-09,-2.3980111972261007e-09,-1.5426296132805883e-11,4.4521824845357238e-09,5.9679254544086413e-10
0.0675,2.0952464720869572e-10,-4.6977637747402443e-09,-8.8622947957209334e-09,-3.8506368329518747e-09,5.9029039837402364e-10,-1.3793991762749514e-09,-1.3154292448523792e-09
0.07,7.53619673400812e-09,-4.1093686494794379e-10,-4.2746985052236332e-09,-2.9380055485447913e-09,2.7951277903563911e-09,2.576301282125739e-09,-2.236075917832477e-09
0.0725,7.0567131244930168e-09,8.8138235063688227e-10,-1.4623932400564993e-10,-8.6627610608453299e-10,4.2744461201640551e-09,1.1954159669853003e-08,-5.471687427399312e-10
0.075,3.4589889693139224e-09,-7.0821284812865881e-10,1.5700746624582051e-10,4.4969232798113974e-10,3.7577588174982445e-09,1.8339146263167383e-08,2.0508927870985932e-09
0.0775,1.2192103689564833e-09,-1.9503996628136196e-09,-1.6829545992508015e-09,2.212619349639012e-10,1.7653507425296208e-09,1.5779558814198547e-08,1.5577319318074743e-09
0.08,1.3042158577123764e-09,-1.5078881245562283e-10,-1.1514898834235293e-09,-2.1716178188593235e-10,1.1910779927039883e-11,5.1226174071806253e-09,-4.1169411881884358e-09
0.0825,2.0786445064657317e-09,4.3960619918878952e-09,4.0592706736101322e-09,1.4442852750951619e-09,3.1655046476294644e-10,-6.2998696640005422e-09,-1.1939710517081232e-08
0.085,2.131359693242491e-09,9.1263041863263202e-09,1.1703309583449577e-08,5.9608581683775228e-09,3.5513627531843092e-09,-9.6064825601237652e-09,-1.557759840433621e-08
0.0875,1.676145554065544e-09,1.1510815177720585e-08,1.7222787342301307e-08,1.1363116067993673e-08,8.8792375853763857e-09,-6.9184949459930768e-10,-1.0775031544661298e-08
0.09,1.594385057321967e-09,1.0747735028905366e-08,1.7662889169290247e-08,1.443479010356211e-08,1.3791615704252802e-08,1.6343112222882945e-08,6.7970903443170217e-10
0.0925,1.8840152439105292e-09,7.7528836283643021e-09,1.355816800866369e-08,1.3348660653097539e-08,1.5463143628193988e-08,3.1475811938687331e-08,1.230303423679471e-08
0.095,1.5836271047718674e-09,4.0664269992677916e-09,7.7188991620240542e-09,8.951758248827471e-09,1.2751879577662661e-08,3.5752194187671509e-08,1.8106908624680524e-08
0.0975,1.9786068926804959e-10,8.6817284026954512e-10,2.8511101068673346e-09,3.8222116980013065e-09,7.1518294223666051e-09,2.7632993916183021e-08,1.6692824006789723e-08
0.1,-1.1743962980411123e-09,-1.3079108270633095e-09,8.2777680577292079e-11,3.0866559409356804e-10,1.7495318014463371e-09,1.3619556110015582e-08,1.1059232011832618e-08
0.1025,-4.0677285312793087e-10,-2.3876336976217812e-09,-9.6376817962449746e-10,-8.4299312256122678e-10,-1.0420198591344271e-09,2.7219246581488444e-09,5.2883981500607087e-09
0.105,3.7237226375448008e-09,-2.5192766463839421e-09,-1.2378058117092918e-09,-4.7507375117813985e-10,-1.0193465240810207e-09,-3.8150077030045758e-10,1.6860034412893254e-09
0.1075,9.9224635859970978e-09,-1.9879608004246957e-09,-1.368907474670031e-09,5.2646364455168787e-11,2.1879764944630718e-10,2.1396080176997059e-09,2.7543664544184398e-10
0.11,1.4618062727092527e-08,-1.1698639785963823e-09,-1.3796212319404945e-09,6.6911244048043841e-12,9.6250458130039996e-10,4.5442190328293041e-09,-2.1113983304605613e-11
0.1125,1.4075476748865068e-08,-4.2979146534983085e-10,-9.8253486236184597e-10,-3.7368001561356774e-10,7.054851459594259e-10,3.1564139846871927e-09,-2.051307316974741e-10
0.115,6.8212119250276391e-09,-7.6054831160510232e-13,-6.7062335164789716e-11,-4.3256620637596753e-10,8.8378616613017205e-11,-8.5885155701576666e-10,-7.0447136049099105e-10
0.1175,-5.2638370977674455e-09,6.3139588117771852e-11,1.0784326601512283e-09,1.4382417208433288e-10,-2.8864309480367522e-11,-3.4456037441967735e-09,-1.3401018686033374e-09
0.12,-1.7755591504386377e-08,-1.396864659172938e-10,1.9378527655185166e-09,1.0372323379242058e-09,6.3647275595861025e-10,-1.8228688001430096e-09,-1.4403692915407372e-09
0.1225,-2.6119833629396667e-08,-4.0868596374255775e-10,2.1905396972234443e-09,1.6781120417402436e-09,1.6936190284652909e-09,2.9692064875127062e-09,-4.4625454256978101e-10
0.125,-2.8012950080025305e-08,-5.2440393609569577e-10,1.944852839454815e-09,1.787798358207296e-09,2.517719019900362e-09,7.2563224086922347e-09,1.5674156229607638e-09
0.1275,-2.3825703321040723e-08,-3.512859703478092e-10,1.5779500980902759e-09,1.5166409398008466e-09,2.6670265673637579e-09,7.9106511825673391e-09,3.7985668014862796e-09
0.13,-1.6165974482789032e-08,7.0185790430975011e-11,1.4412880062436667e-09,1.221235527972177e-09,2.0912889868472768e-09,4.6438686477134474e-09,4.9522826595479293e-09
0.1325,-8.4020196500842188e-09,5.4269150704947986e-10,1.6141496087692785e-09,1.0876228688497361e-09,1.0896700924336847e-09,-5.4534593325980299e-11,4.137214052050587e-09
0.135,-2.9349041706469707e-09,8.5417910023266664e-10,1.8455394076065e-09,9.3495137980544537e-10,7.4540405271958002e-11,-3.0658719542849574e-09,1.7786602480452994e-09
0.1375,-3.0588274769570697e-10,9.0875823860269879e-10,1.6946602260994606e-09,3.6481013714245836e-10,-6.7222947964979057e-10,-2.808689492821086e-09,-4.322881905707033e-10
0.14,3.9777649251208173e-10,7.0601113607910779e-10,7.3923588704042802e-10,-9.1118302556082503e-10,-1.1143569821207373e-09,7.5664919916828731e-11,-4.99733571611229e-10
0.1425,3.373257752847816e-10,2.1883316036247667e-10,-1.2202198658664705e-09,-2.8391157668274464e-09,-1.3925519979449421e-09,3.7236482738105667e-09,2.70670245195267e-09
0.145,7.5307754541898122e-11,-6.3761323860922711e-10,-4.0075291361578404e-09,-5.0150555681274076e-09,-1.669884180577236e-09,6.43622841171182e-09,8.5596062648368636e-09
0.1475,-3.6571674878382354e-10,-1.8759119101276257e-09,-7.0596711316411095e-09,-6.8739527411465096e-09,-2.0195659432020778e-09,7.4012554788673228e-09,1.4632465809204695e-08
0.15,-9.0756474307801965e-10,-3.300331722079198e-09,-9.6145942397483943e-09,-7.9524463694249568e-09,-2.409199798334523e-09,6.5834731353177968e-09,1.7787333195505894e-08
0.1525,-1.0413658738913836e-09,-4.5304532254422943e-09,-1.1044845104577933e-08,-8.0775767332927031e-09,-2.7518216874017628e-09,4.306257513285926e-09,1.5919411930719224e-08
0.155,-8.7848545712846564e-11,-5.1932574657679277e-09,-1.112530168088021e-08,-7.3836487094278049e-09,-2.9647560208323613e-09,1.0430166283552176e-09,9.3066321362710365e-09
0.1575,2.191303571299586e-09,-5.1308491966025993e-09,-1.0075643628135183e-08,-6.1957095706087481e-09,-2.9969531789747623e-09,-2.4964993096157e-09,6.2947829657452499e-10
0.16,5.261994551520033e-09,-4.4702798803099312e-09,-8.3885814093713926e-09,-4.8655835444839163e-09,-2.8270343426727486e-09,-5.3257502707591279e-09,-6.4618326781182346e-09
0.1625,8.0795319451867592e-09,-3.5140629749000893e-09,-6.5761252582232802e-09,-3.6506010834149329e-09,-2.4575364256671024e-09,-6.4860932293466038e-09,-9.3545483358288253e-09
0.165,9.6940663007440674e-09,-2.5655098526434411e-09,-4.9817916766583306e-09,-2.6656483475068264e-09,-1.9214204302853742e-09,-5.6041816550431788e-09,-7.8140619950985475e-09
0.1675,9.7328347665797051e-09,-1.8043827324989191e-09,-3.7313031990148704e-09,-1.909716322416889e-09,-1.2865216046408395e-09,-3.2684913423770444e-09,-3.8587657043436906e-09
0.17,8.4457857310820323e-09,-1.2599699426941797e-09,-2.7735716175771096e-09,-1.3146143603716283e-09,-6.5501908222478685e-10,-8.2748613429065566e-10,-3.7376489059507448e-10
0.1725,6.4184102840341983e-09,-8.6437786437631127e-10,-1.9704768485881828e-09,-7.9733654882857535e-10,-1.4583921824713221e-10,3.4202793633151905e-10,5.7558650382393468e-10
0.175,4.1195565977659861e-09,-5.1908236044054977e-10,-1.1469787578364967e-09,-2.7508746297153735e-10,1.5410654772408501e-10,-3.4711407880846657e-10,-1.2858050129062991e-09
0.1775,1.8008179288939339e-09,-1.4965139682368595e-10,-1.6228821986345029e-10,3.009740617391206e-10,2.1853736615347426e-10,-2.4231503807855514e-09,-4.6984852436298822e-09
0.18,-4.9114502791899586e-10,2.9100099783450122e-10,1.0713669184715073e-09,9.4755669712317188e-10,1.0734571340303052e-10,-4.7051189055163579e-09,-7.822687511464579e-09
0.1825,-2.797124094047354e-09,8.3587314755951103e-10,2.58480544722346e-09,1.6676741042625698e-09,-3.8343637259727855e-11,-6.0006175347094108e-09,-9.2099763706592537e-09
0.185,-5.145050804898607e-09,1.5187193263435873e-09,4.3685851798360575e-09,2.4855007684618693e-09,-2.6527935441508884e-11,-5.6610257065034182e-09,-8.2580698256917064e-09
0.1875,-7.478937351516736e-09,2.3767105224243138e-09,6.3997452969544592e-09,3.4746697973663983e-09,3.3753254456875041e-10,-3.7017160437891738e-09,-5.1654950245938159e-09
0.19,-9.5884309633155354e-09,3.4304104071800113e-09,8.644395885484532e-09,4.7410609240553044e-09,1.1921065432665392e-09,-5.782071521372298e-10,-6.4378012515238958e-10
0.1925,-1.1158824724566695e-08,4.6562478807721379e-09,1.1036059761746887e-08,6.3548467660030775e-09,2.5536065049074499e-09,3.091244638720748e-09,4.2915911599137977e-09
0.195,-1.1870729787320002e-08,5.951837376119129e-09,1.3412743575049844e-08,8.2419919285783467e-09,4.2574734517170252e-09,6.6231453685235054e-09,8.4558101943430661e-09
0.1975,-1.1574054629238751e-08,7.1236767061489713e-09,1.5467391957642312e-08,1.0110773218955493e-08,5.9445747854438734e-09,9.2733522779351254e-09,1.0727489235747597e-08
0.2,-1.0358863246651587e-08,7.9025332125101123e-09,1.6741304708238196e-08,1.146758495708374e-08,7.1330891096725657e-09,1.0356892275539287e-08,1.0475853537466225e-08
0.2025,-8.5407299558556191e-09,8.0318024213841759e-09,1.6768331446600002e-08,1.1797522540545428e-08,7.4019656412073576e-09,9.5627504756893628e-09,7.979826403029172e-09
0.205,-6.4574925244645368e-09,7.3483426034399719e-09,1.5230435547590394e-08,1.0778964568883623e-08,6.5815147215728131e-09,7.1990973911296031e-09,4.3981875475213096e-09
0.2075,-4.3051817616959901e-09,5.8392300519066198e-09,1.2094686489543566e-08,8.4416729031669738e-09,4.8558953707363719e-09,4.1568987153443381e-09,1.2830360383045344e-09
0.21,-2.1211257719721289e-09,3.6680361811450707e-09,7.683273144309039e-09,5.1934194554941951e-09,2.7128549005285358e-09,1.5546758832037076e-09,-1.6424663397952902e-10
0.2125,1.2908530044530722e-10,1.1410371326319943e-09,2.6003301901412573e-09,1.6684560481592798e-09,7.3301089161474338e-10,1.9794465868589111e-10,3.2182759669732711e-10
0.215,2.4427913992637307e-09,-1.3714085422040509e-09,-2.4501384480943193e-09,-1.5299773191253967e-09,-6.7505514371323859e-10,1.9441981322061259e-10,2.006702343279708e-09
0.2175,4.7125455026878246e-09,-3.5277189947272782e-09,-6.8660593749532076e-09,-4.0477837579098061e-09,-1.4416577572419337e-09,9.5261210998180179e-10,3.6359548245441705e-09
0.22,6.7418798348601586e-09,-5.0965644631045379e-09,-1.0287698863284812e-08,-5.8552345832181023e-09,-1.8158425861004611e-09,1.5586600356129226e-09,4.1500713490061238e-09
