Physical Time (s),enth_flux_enthalpy_left Monitor (W)
0.0025,-2.1958211546509305e-08
0.005,-6.8819542717358105e-07
0.0075,-4.7785665155095649e-06
0.01,-1.5055014482229405e-05
0.0125,-2.8552066827252093e-05
0.015,-3.7145924343543545e-05
0.0175,-2.9595145725538546e-05
0.02,4.2505389792724354e-07
0.0225,4.1107430601026892e-05
0.025,7.1187057703257653e-05
0.0275,7.1000974209481523e-05
0.03,4.2446081621100876e-05
0.0325,4.760641831183793e-06
0.035,-2.5936355639950764e-05
0.0375,-4.2343809819379358e-05
0.04,-4.4767345344674312e-05
0.0425,-3.6963250789537491e-05
0.045,-2.3836411189968095e-05
0.0475,-1.0048716944885588e-05
0.05,1.4469186999179392e-06
0.0525,9.455506214821158e-06
0.055,1.4188919033591205e-05
0.0575,1.6238534924996601e-05
0.06,1.5856644242673066e-05
0.0625,1.2981133545150876e-05
0.065,7.9143991337497183e-06
0.0675,1.6123603340483007e-06
0.07,-4.4928222415022703e-06
0.0725,-9.0272244065724261e-06
0.075,-1.1065574874292494e-05
0.0775,-1.0290813704229322e-05
0.08,-6.9539587467208224e-06
0.0825,-1.8567329758346959e-06
0.085,3.8457161781859876e-06
0.0875,8.8232288188322054e-06
0.09,1.1869122108875557e-05
0.0925,1.2210778496195487e-05
0.095,9.7305873437938977e-06
0.0975,4.9835630776115856e-06
0.1,-9.5440494861907761e-07
0.1025,-6.7671696683266412e-06
0.105,-1.1241336316798929e-05
0.1075,-1.3542828655202392e-05
0.11,-1.338619087652057e-05
0.1125,-1.103215925217516e-05
0.115,-7.1333422052959021e-06
0.1175,-2.5453764327806419e-06
0.12,1.8461158533075558e-06
0.1225,5.3496016840920947e-06
0.125,7.6033951649211227e-06
0.1275,8.4783671162975929e-06
0.13,8.0648355125929285e-06
0.1325,6.6844235887101714e-06
0.135,4.7885277936849425e-06
0.1375,2.8149156636913598e-06
0.14,1.0618701802162519e-06
0.1425,-3.4326484392318408e-07
0.145,-1.3965958484036659e-06
0.1475,-2.1716830631264353e-06
0.15,-2.7582975767985928e-06
0.1525,-3.2232631727537314e-06
0.155,-3.5783220239454244e-06
0.1575,-3.7754806467725817e-06
0.16,-3.7396959105682894e-06
0.1625,-3.4193204225173154e-06
0.165,-2.8242266066870133e-06
0.1675,-2.0459960506611103e-06
0.17,-1.2394452671086546e-06
0.1725,-5.8734296838241852e-07
0.175,-1.9786635033618632e-07
0.1775,-9.8396810333991262e-08
0.18,-2.1267836789192048e-07
0.1825,-3.8409213653734654e-07
0.185,-4.2832649345336492e-07
0.1875,-1.8843730613909682e-07
0.19,4.0462703193367613e-07
0.1925,1.3134556892437654e-06
0.195,2.3796398968839788e-06
0.1975,3.3739985414185392e-06
0.2,4.0441193984915792e-06
0.2025,4.207395508305335e-06
0.205,3.7786123483455234e-06
0.2075,2.7731494488402859e-06
0.21,1.3257284019370229e-06
0.2125,-3.3060100547094339e-07
0.215,-1.9193237740973415e-06
0.2175,-3.1841929293933697e-06
0.22,-3.952547228852363e-06
0.2225,-4.1660176307096199e-06
0.225,-3.8790788028868187e-06
0.2275,-3.2299519260115648e-06
0.23,-2.4009683643102478e-06
0.2325,-1.5913938769862762e-06
0.235,-9.5767294274592014e-07
0.2375,-5.8071999939341739e-07
0.24,-4.6538572930679208e-07
0.2425,-5.4186969204576997e-07
0.245,-6.983119351766368e-07
0.2475,-8.1399249491531422e-07
0.25,-7.8855421157887161e-07
0.2525,-5.6759903463030068e-07
0.255,-1.5038488094657797e-07
0.2575,4.1175174269401198e-07
0.26,1.027349199123081e-06
0.2625,1.5968315426002418e-06
0.265,2.0155270465190869e-06
0.2675,2.22006855395279e-06
0.27,2.1791491265184521e-06
0.2725,1.9067389946281686e-06
0.275,1.4454024736748855e-06
0.2775,8.6283136267482339e-07
0.28,2.3776365038907655e-07
0.2825,-3.5849029522292498e-07
0.285,-8.7687965601458943e-07
0.2875,-1.2912184193061501e-06
0.29,-1.5980632432085052e-06
0.2925,-1.8091460958261508e-06
0.295,-1.9420583996454958e-06
0.2975,-2.0119728148333756e-06
0.3,-2.0263546859114033e-06
0.3025,-1.9826401209441653e-06
0.305,-1.8698478088154084e-06
0.3075,-1.6735901995173216e-06
0.31,-1.3836907453918571e-06
0.3125,-1.0000440196241568e-06
0.315,-5.3836144909432244e-07
0.3175,-3.0595705675282333e-08
0.32,4.7871261853830722e-07
0.3225,9.3800603459877758e-07
0.325,1.2976522077321832e-06
0.3275,1.5176348712520199e-06
0.33,1.5748969021017235e-06
0.3325,1.4672751195437447e-06
0.335,1.2121386585904862e-06
0.3375,8.428221551156361e-07
0.34,4.0228677025830923e-07
0.3425,-6.4031603512839092e-08
0.345,-5.1459658420902212e-07
0.3475,-9.1626995059328143e-07
0.35,-1.2478326938741207e-06
0.3525,-1.4984729931520986e-06
